title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Guinness Chili for Two,"This Guinness chili for two, inspired by the Irish draught ale, makes ordinary stew meat spectacular. A turn in the oven thickens the chili and deepens the flavor.",20 mins,1 hr 30 mins,1 hr 50 mins,2,"['1 tablespoon olive oil', '1 slice bacon', '1/4 tsp salt and freshly ground black pepper', '1 1/2 pounds beef stew meat', '1/2 cup all purpose flour', '1/4 medium yellow onion', '1/4 cup cilantro leaves', '2 teaspoons garlic paste', '1/4 cup tomato paste', '2 tablespoons chili powder', '1/8 teaspoon dried oregano', '1 teaspoon ground cumin', '1/8 teaspoon smoked paprika', '1/2 teaspoon ground coriander', '5 fluid ounces Irish stout, such as Guinness® Draught ale', '1 (5-ounce) can tomato sauce', '1 1/2 cups beef broth', '1/4 tsp salt and freshly ground black pepper', 'sliced green onion and cilantro, for garnish']","['Preheat the oven to 325 degrees F (165 degrees C). Add oil to an oven-safe pot and place over medium heat. Add bacon and cook, stirring occasionally, until golden but not yet crispy, about 3 minutes.', 'Season stew cubes with salt and pepper. Place flour in a shallow bowl, and dredge cubes in flour, shaking off excess. Add to the pot and cook in bacon grease, mixing bacon in with beef until beef is browned on all sides. Pour in 1/2 cup beef broth to deglaze the pan and prevent sticking.', 'Add onion and garlic to the pot; cook and stir until onion is just translucent, about 3 minutes. Add tomato paste, chili powder, oregano, cumin, paprika, and coriander. Stir to coat onion and meat with spices.', 'Pour in Guinness; scrape up any bits on the bottom of the pot. Add tomato sauce and remaining beef broth; season with salt and pepper. Stir, then bring to a boil.', 'Transfer to the preheated oven and bake, uncovered, uncovered until chili is thick and meat is tender, 1 1/2 to 2 hours. Stir stew every 30 minutes to prevent scorching; add a small amount of water or broth if stew seems too dry.', 'Garnish each bowl with green onion and cilantro leaves.']","{'Calories': '1014', 'Fat': '37g', 'Carbs': '44g', 'Protein': '122g'}",https://www.allrecipes.com/guinness-chili-for-two-recipe-11692381
Corned Beef Stroganoff,"This corned beef stroganoff, with mushrooms, creme fraiche, and dill, is a switch from the classic St. Patrick's Day preparation. The result is amazing—it really does taste like a proper stroganoff, but even more flavorful.",20 mins,2 hrs 40 mins,3 hrs 30 mins,6,"['1 (3 pound) corned beef brisket', '2 tablespoons vegetable oil', '8 ounces brown mushrooms, sliced', '1/4 teaspoon salt', '1 cup diced onions', '2 tablespoons unsalted butter', '3 cloves garlic, minced', '2 tablespoons all-purpose flour', '1/2 cup white wine', '1 cup reserved corned beef cooking liquid', '2 cups low-sodium beef broth', '3/4 cup creme fraiche, plus more for garnish', '1/4 cup chopped fresh dill, plus more for garnish']","['Place corned beef along with the contents of spice packet into a pot, and cover by 2 inches with water. Bring to a boil, reduce heat to low, and simmer for 2 hours 15 minutes. While corned beef is cooking, occasionally add more water to keep the level near where it was when it started boiling.', 'Remove corned beef to a bowl, and let cool until cool enough to handle, at least 30 minutes. Reserve 1 cup cooking liquid.', 'When meat is cool, slice off most of the fat. Cut meat with the grain into thick strips, and then turn and slice into thin, bite-sized pieces. Reserve until needed.', 'Heat oil in a pan over medium-high heat. Add mushrooms and salt to the hot pan, and cook and stir until mushrooms are nicely browned, about 3 minutes. Add onions, and continue cooking until they soften and turn translucent, about 3 minutes. Add butter and stir until melted.', 'Make a space in the center of the pan, add garlic, and sauté until fragrant, about 30 seconds. Add flour, and cook and stir for 1 minute more. Pour in white wine and reserved corned beef cooking liquid, and stir to combine. Raise the heat to high, bring to a boil, and cook, stirring, until sauce reduces by about half and thickens, 3 to 5 minutes more.', 'Stir in beef broth, and continue to boil and reduce until sauce thickens again, 6 to 7 minutes. Stir in crème fraiche, and reduce until the sauce is as thick as you’d like, a few more minutes.', 'Stir in sliced corned beef, and reduce heat to medium-low. Cook, stirring occasionally, until meat is heated through, 2 to 4 minutes. Sprinkle with fresh dill.', ""Garnish each serving with a small dollop of crème fraiche or sour cream and a little fresh dill.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Note:\nAn option is to cook the corned beef a day ahead, and chill in the refrigerator. It is easy to remove the fat and slice when very cold.""]","{'Calories': '832', 'Fat': '65g', 'Carbs': '12g', 'Protein': '45g'}",https://www.allrecipes.com/corned-beef-stroganoff-recipe-11692154
Kimchi Corned Beef,"Instead of the same old corned beef and cabbage recipe every year, try this new and exciting Korean twist on the St. Patrick's Day staple. The spicy fermented cabbage adds a lot of extra savoriness, not only to the meat, but even more so to the vegetables. The potatoes especially soak up a surprising amount of flavor, and may be my favorite part of the whole dish. Garnish with sliced green onions.",20 mins,2 hrs 45 mins,3 hrs 5 mins,10,"['1 (3 1/2) pound ready-to-cook corned beef', '2 (16 ounce) jars kimchi, not drained', '½ cup cold water, or as needed', '2 pounds Yukon gold potatoes, quartered', '3 large carrots, cut into large chunks', '2 ribs celery, cut into large chunks']","['Pour 1 jar of kimchi into a pot. Top with corned beef and cover with the second jar of kimchi. Pour in water. Cover and bring to a simmer over high heat. Reduce heat to low. Cook, covered, until fork-tender, 2 to 3 hours. Flip over the beef occasionally and drape kimchi back on top.', 'Remove corned beef to a bowl. Bring kimchi mixture back to a simmer over high heat. Add potatoes, carrots, and celery. Cover, reduce heat to medium-low, and cook until almost tender, 20 to 25 minutes. Reduce heat to low and add beef back in. Cover and cook on low until meat is heated through, about 15 minutes. Taste the broth and add water as needed.', 'Slice corned beef thinly and serve in a bowl with the vegetables; spoon some broth on top.']","{'Calories': '500', 'Fat': '31g', 'Carbs': '23g', 'Protein': '33g'}",https://www.allrecipes.com/recipe/264005/kimchi-corned-beef/
Coconut Milk Corned Beef and Cabbage,"I was craving corned beef and cabbage recently, but the thought of doing the same old New England boiled dinner had me yawning. I tried to think of some new, interesting braising liquid, and that's when I remembered I've never had something stewed in coconut milk that I didn't like. The coconut milk gave the broth a subtle sweetness and richness that I was really happy with.",15 mins,3 hrs 45 mins,4 hrs,6,"['4 pounds beef brisket', '4 cups water', '1 (15 ounce) can coconut milk', '2 tablespoons tomato paste', '1 tablespoon fish sauce', '1 teaspoon red curry paste', '1 teaspoon ground coriander', '2  bay leaves', '1  onion, cut into large chunks', '2 stalks celery, cut into large chunks', '2  carrots, peeled and cut into large chunks', '1 pound potatoes, peeled and cut into large chunks', '½ small head cabbage, cored and cut into large chunks']","['Place brisket, fat-side up, in the bottom of a Dutch oven. Stir in water, coconut milk, tomato paste, fish sauce, red curry paste, coriander, and bay leaves. Bring to a boil and skim off any foam that accumulates.', 'Stir in onion, celery, and carrots. Bring mixture to a boil; reduce heat to low, cover, and cook for 3 hours, turning once.', 'Stir in potatoes and cabbage; cook until potatoes are tender and cabbage is soft and sweet, about 35 minutes. Transfer beef to a plate; thinly slice across the grain. Ladle potato cabbage mixture into bowls and top with sliced beef.\n\n \n\n\n\n\n\n \n Chef John']","{'Calories': '754', 'Fat': '57g', 'Carbs': '26g', 'Protein': '36g'}",https://www.allrecipes.com/recipe/222236/coconut-milk-corned-beef-and-cabbage/
14 Beef Dinners Perfect for Two People,There's a recipe for every type of beef fan.,,,,,[],[],,https://www.allrecipes.com/best-beef-dinners-for-two-8745407
Bistro-Style Steak,"Chef John's steak frites recipe features a pan-seared and pan-sauced steak, just like you'd get at a French bistro. If you always grill steak, this will be a game-changer. This method delivers a perfectly prepared, perfectly seasoned steak, and can be used with many different cuts beyond New York strip.",10 mins,15 mins,2 hrs 50 mins,2,"['1 (14-ounce) New York strip steak', '3/4 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1 teaspoon vegetable oil', '1 teaspoon melted clarified butter', '2 tablespoons minced shallots', '1/3 cup white wine', '1/3 cup beef bone broth', '2 tablespoons unsalted butter, cubed']","['Trim any excess fat from the steak, then trim off the tough membrane by running a sharp knife between the membrane and the meat under the fat cap of the steak. Season evenly on both sides with salt and pepper, and place on a crinkled-up piece of foil set on a plate.', 'Refrigerate, uncovered, for at least 2 and up to 10 hours, turning occasionally.', 'Bring the steak out of the refrigerator to sit at room temperature for 15 to 30 minutes before beginning to cook, turning over once halfway through.', 'Place a heavy duty steel pan over high heat, and add oil and clarified butter. When the fats are hot and start to shimmer, place steak in the pan. When steak begins to sizzle, reduce the heat to medium.', 'Cook the first side for 2 minutes, then pick up the steak with tongs, and rub the seared surface around the pan to redistribute the fat under the steak. Sear the first side for 2 minutes more, for a total of 4 minutes.', 'Turn steak over and repeat searing on the second side, 4 minutes total, or until the steak is cooked to your desired doneness. For medium rare, remove steak when an instant-read thermometer inserted near the center reaches 125 degrees F (52 degrees C). Turn off the heat, remove the steak to a plate, cover very loosely with foil, and let rest while you make the pan sauce, about 5 minutes.', 'For sauce, add minced shallots to the still-hot pan, and cook, stirring, until they start to soften and take on some color, about 1 minute. If there is not enough residual heat in the pan for this step, turn heat back on to medium.', 'Turn the heat to high, and add wine. Cook, stirring, until wine reduces by at least half, 1 to 2 minutes. Pour in the beef bone broth, and cook until the liquids in the pan reduce by about 3/4, 1 to 2 minutes more. Turn off heat.', ""Add cold butter cubes, and swirl the pan until butter disappears and a slightly thick, glossy sauce has formed, about 30 seconds. Season with a pinch of salt if needed, and serve over rested steak.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Notes\nUse any tender cut of steak with a similar thickness for this recipe.Garlic and/or onion can be used with, or instead of, shallots.For sauce, red wine can be used instead of white, but I prefer the slightly less intense flavor of white.A tablespoon of wine vinegar stirred into 1/4 cup water can be substituted for wine.""]","{'Calories': '800', 'Fat': '60g', 'Carbs': '3g', 'Protein': '53g'}",https://www.allrecipes.com/bistro-style-steak-recipe-8787026
Mississippi Pot Roast Cheesesteak,"This Mississippi pot roast cheesesteak is made with what is arguably the best braised beef recipe ever. If you've never tried Mississippi pot roast, prepare to be shocked: this is so super flavorful, insanely rich and beefy. This will make one of the best sandwiches you will ever have.",10 mins,8 hrs,8 hrs 10 mins,8,"['2 teaspoons vegetable oil', '4 to 5 pounds boneless beef chuck roast', '1/2 cup pepperoncini brine', '1/4 cup water', '1 (1 ounce) packet ranch dressing mix, such as Hidden Valley®', '1 (1 ounce) packet powdered au jus gravy mix, such as McCormick®', '1/2 cup unsalted butter, cut into slices', '6 pepperoncini peppers, or to taste', '8 sandwich rolls', '16 slices provolone cheese, or more to taste', 'processed cheese sauce, such as Kraft® Cheese Whiz, as needed (optional)', '2 cups sliced pickled peppers (1/4 cup per sandwich), or to taste']","['Optional: to brown beef, heat oil in a skillet, Dutch oven, or multi-functional cooker over high heat, and sear both sides of beef until well browned, about 3 minutes per side. Remove meat to a large slow cooker. Add pepperoncini brine to the skillet, and stir to loosen any browned bits; pour into the slow cooker.', 'If you skipped the browning step, now add meat and pepperoncini brine to the slow cooker. Drizzle water over meat. Sprinkle ranch dressing evenly over the top, then sprinkle au jus gravy mix evenly over. Top with\xa0 butter slices and peppers.', 'Slow cook on Low until the meat is very tender and can easily be pulled apart, 8 to 10 hours. At this point, you can use the beef for sandwiches, or for anything you like.', 'Remove beef from the slow cooker, and shred the meat using two forks.', 'For sandwiches, preheat the oven to 400 degrees F (200 degrees C). Slice sandwich roll open, cover the open face with provolone cheese slices, and place on a baking sheet.', 'Bake in the preheated oven until the edges start to brown, about 7 minutes.', 'Top roll with hot, juicy shredded Mississippi pot roast. Garnish with Cheez Whiz and pickled peppers and serve.\n\n \n\n\n\n\n\n \n John Mitzewich']","{'Calories': '991', 'Fat': '61g', 'Carbs': '39g', 'Protein': '73g'}",https://www.allrecipes.com/mississippi-pot-roast-cheesesteak-recipe-8785850
Slow Cooker Ground Beef Stroganoff,"This slow cooker ground beef stroganoff is pure comfort food, made even more budget friendly using ground beef. Made in the slow cooker preparation is easy and convenient.",10 mins,4 hrs 40 mins,4 hrs 50 mins,5,"['1 pound ground beef', '1 tablespoon butter', '1 onion, finely chopped', '8 ounces sliced mushrooms', 'salt and freshly ground black pepper to taste', '1  (10.5-ounce) can beef consomme', '2 tablespoons tomato paste', '8 ounces plain Greek yogurt', '4 ounces whipped cream cheese', '1 tablespoon Worcestershire sauce', '1 tablespoon soy sauce', '3 3/4 cups egg noodles', '2 tablespoons beef broth, or as needed']","['Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Remove ground beef to slow cooker.', 'Add butter to the skillet, and cook and stir onions and mushrooms until onions are softened, about 3 minutes. Season with salt and pepper. Add onion mixture to slow cooker; stir to combine.', 'Pour consommé into slow cooker. Stir in tomato paste, Greek yogurt, whipped cream cheese, Worcestershire sauce, and soy sauce. Cover and cook on High for 4 hours.', 'Stir dry egg noodles into slow cooker. Cover and cook until noodles are softened, about 30 minutes. If stroganoff seems too dry, stir in beef broth, 1 tablespoon at a time, as needed to thin sauce.']","{'Calories': '578', 'Fat': '29g', 'Carbs': '40g', 'Protein': '39g'}",https://www.allrecipes.com/slow-cooker-ground-beef-stroganoff-recipe-8778867
Ground Beef and Rice Skillet,"This ground beef and rice skillet is a flavorful Mexican-inspired one-pot dish with a casserole feel, but made in a skillet. It’s nicely saucy, with a family-friendly mild heat.",15 mins,30 mins,50 mins,6,"['1 pound ground beef', '1 onion, chopped', '1 red bell pepper, chopped', '2 cloves garlic, minced', '1 cup long grain white rice', '1/2 teaspoon salt', '1/2 teaspoon ground cumin', '2 tablespoons tomato paste', '1 (14.5 ounce) can diced tomatoes', '1 1/2 cups lower-sodium beef broth', '1 (4 ounce can) diced green chiles', '2 teaspoons Worcestershire sauce', '1 cup shredded Cheddar or Monterey Jack cheese', '1 tablespoon chopped green onion or cilantro']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cook ground beef, onion, red bell pepper, and garlic in an extra-large tall-sided skillet over medium heat until beef is no longer pink and vegetables are tender, stirring occasionally to break up large chunks of ground beef, about 8 minutes; drain fat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in rice, salt, and cumin. Cook and stir for 1 minute.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in tomato paste. Cook and stir for 1 minute.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Mix in undrained diced tomatoes, broth, diced chiles, and Worcestershire sauce. Bring to boiling. Reduce heat, cover, and simmer until liquid is reduced and rice is tender, about 20 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove skillet from heat. Sprinkle with cheese. Cover and let stand until cheese melts, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Garnish with green onion.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '358', 'Fat': '20g', 'Carbs': '17g', 'Protein': '28g'}",https://www.allrecipes.com/ground-beef-and-rice-skillet-recipe-8767178
Cowboy Steak,"This delicious cowboy steak is nicely seasoned with salt and pepper, and the cowboy compound butter adds complexity and a smoky note.",15 mins,1 hr,2 hrs 30 mins,4 to 6,"['1/4 cup salted butter, softened', '2 teaspoons minced fresh parsley', '1 teaspoon stone ground Dijon mustard', '1 teaspoon minced fresh rosemary', '1/2 teaspoon smoked paprika', '1 clove garlic, minced', '1 pinch cayenne pepper', '1 (2 1/2-inch-thick) beef cowboy steak (bone-in ribeye), 2 1/2- to 2 3/4-pounds', '1 tablespoon vegetable oil', '1 tablespoon kosher salt', '1 tablespoon freshly ground black pepper']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'For compound butter, combine butter, parsley, mustard, rosemary, smoked paprika, garlic, and cayenne pepper in a small bowl. Spoon onto a sheet of waxed paper. Roll into a log. Wrap in the waxed paper. Chill in the refrigerator until firm, 30 minutes or up to 1 week.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'For steak, let steak stand at room temperature for 45 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat the oven to 400 degrees F (200 degrees C). Place a wire rack in a foil-lined rimmed baking sheet.', 'Heat oil in a 12-inch cast iron skillet over medium-high until it starts to smoke. Season steak generously with salt and pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sear steak in the skillet until well-browned, 5 minutes per side, then 2 minutes on the fat cap side. Place steak on the rack in the prepared baking sheet.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Roast 45 minutes or until an instant-read thermometer inserted into the center registers 135 degrees F (57 degrees C) for medium rare, or 150 degrees F (65 degrees C) for medium.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place steak on a cutting board. Tent loosely with foil. Let rest 10 minutes. Temperature will continue to rise as steak rests.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Slice between meat and bone to separate. Thinly slice steak across the grain. Top sliced steak with Cowboy Compound Butter.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '907', 'Fat': '69g', 'Carbs': '2g', 'Protein': '71g'}",https://www.allrecipes.com/cowboy-steak-recipe-8758222
