title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Teriyaki Salmon Bowl,"For this teriyaki salmon bowl, salmon is baked for 15 minutes with a 4-ingredient homemade teriyaki sauce using soy sauce, brown sugar, garlic, and ginger, then served in a bowl with rice, red cabbage, carrots, and radishes.",15 mins,15 mins,30 mins,1,"['1/4 cup low-sodium soy sauce', '3 tablespoons brown sugar', '1 small clove garlic, chopped', '1 tablespoon chopped fresh ginger', '1 (6 ounce) salmon filet', '1/4 cup grated carrots', '2 radishes, thinly sliced', '1 cup shredded red cabbage', '1 cup cooked rice', '1 teaspoon sesame seeds (optional)', '1 green onion, thinly sliced (optional)']","['Preheat the oven to 400 degrees F (200 degrees C) and spray a baking dish with cooking spray.', 'Combine soy sauce, brown sugar, garlic, and ginger in a small bowl. Place the salmon in the prepared baking dish, skin side down. Pour teriyaki sauce over.', 'Bake in the preheated oven until fish flakes easily with a fork, 12 to 15 minutes.', 'Place rice in a bowl, top with salmon, and spoon over teriyaki sauce from the baking dish. Add in the shredded cabbage, grated carrots, and radishes. Sprinkle with sliced green onions and sesame seeds, to garnish.']","{'Calories': '780', 'Fat': '22g', 'Carbs': '96g', 'Protein': '50g'}",https://www.allrecipes.com/teriyaki-salmon-bowl-recipe-8624279
Meatless Grain Bowl,"This meatless grain bowl is made with tofu ""jerked"" to perfection. The addition of roasted sweet potatoes brings a surprise twist—all of which will have your tastebuds dancing for joy!",15 mins,40 mins,55 mins,6,"['2 cups white rice', '4 cups water', '1 large sweet potato, peeled and cubed', '3 tablespoons coconut oil or vegetable oil, or as needed, divided', '1/2 red bell pepper, sliced', '1/2 green bell pepper, sliced', '1/2 orange bell pepper, sliced', '1 (14 ounce) package extra firm tofu', '1 (15 ounce) can black beans, drained and rinsed', '1 teaspoon jerk seasoning, or to taste', '2 tablespoons jerk marinade']","['Bring water and rice to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until rice is tender and water has been absorbed, 20 to 25 minutes. Keep warm.', 'Preheat the oven to 450 degrees F (230 degrees C).', 'Toss cubed sweet potatoes in 1 tablespoon oil. Spread evenly on a baking sheet.', 'Roast sweet potatoes in the preheated oven until tender but not too soft, 15 to 20 minutes.', 'Heat a cast iron skillet with 1 tablespoon coconut oil over medium-high heat; add red, green, and orange bell peppers and saute for 2 to 3 minutes. Remove from the skillet and set aside.', 'Add remaining 1 tablespoon coconut oil to the same skillet. Add tofu evenly. Cook for 2 minutes and gently flip to the other side. Continue cooking, turning occasionally, until tofu gets a little crisp on the edges, 6 to 8 minutes.', 'Add jerk marinade, being deliberate about making sure tofu is covered. Once tofu starts to caramelize from the marinade, remove from heat.', 'Warm black beans in a microwave-safe dish until hot, 2 to 3 minutes, stirring every 30 seconds.', 'Assemble grain bowls: divide rice, tofu, peppers, sweet potatoes, and black beans evenly into individual serving bowls.']","{'Calories': '305', 'Fat': '12g', 'Carbs': '38g', 'Protein': '14g'}",https://www.allrecipes.com/meatless-grain-bowl-recipe-8584633
Bourbon Teriyaki Salmon Rice Bowl,"For these bourbon teriyaki salmon rice bowls, salmon is coated with mustard and everything bagel seasoning, and baked with broccoli on a sheet pan. A simple homemade bourbon teriyaki sauce adds next-level flavor.",15 mins,16 mins,31 mins,2,"['2 (6 ounce) salmon filets', '4 teaspoons Dijon mustard', '1 tablespoon everything bagel seasoning', '1 head broccoli, chopped into small pieces', '3 tablespoons olive oil', '1 teaspoon onion powder', '1/3 cup bourbon whiskey', '1/3 cup low-sodium soy sauce', '1/4 cup brown sugar', '1 small clove garlic, chopped', '1 tablespoon chopped fresh ginger', '2 cups cooked white rice']","['Preheat the oven to 400 degrees F (200 degrees C) and spray a baking pan with cooking spray.', 'Place salmon filets skin side down on the prepared baking pan; brush with Dijon mustard and sprinkle with everything bagel seasoning.', 'Toss broccoli, olive oil, and onion powder together in a bowl; spread broccoli on the baking pan.', 'Bake in the preheated oven until the salmon flakes easily with a fork, about 15 minutes.', 'Combine bourbon, soy sauce, brown sugar, garlic, and ginger in a small saucepan over medium heat. Cook until brown sugar is dissolved, and sauce begins to bubble, 1 to 3 minutes.', 'Divide rice into 2 serving bowls. To each bowl, add half the broccoli and 1 salmon filet. Pour bourbon teriyaki sauce over each bowl.']","{'Calories': '996', 'Fat': '43g', 'Carbs': '86g', 'Protein': '51g'}",https://www.allrecipes.com/bourbon-teriyaki-salmon-rice-bowl-recipe-7968978
Garlic Ginger Chicken Meatball Bowls,"Chicken meatballs star in this dish. In fact, they can be used for Asian-inspired lettuce wraps, in soup, or in a stir-fry. The cooking technique ensures that the meatballs stay tender.",20 mins,15 mins,35 mins,4,"['1 pound ground chicken', '4 cloves garlic, minced', '1 (1-inch) piece fresh ginger, peeled and minced', '1/2 onion, finely minced', '1 tablespoon light soy sauce', '1 tablespoon sake', '1 large egg, lightly beaten', '1/4 cup panko breadcrumbs', '1/4 cup sliced green onions', '2 teaspoons light soy sauce', '1 teaspoon dark soy sauce', '1 tablespoon honey', '1 teaspoon oyster sauce', '1/2 cup water', '1/2 teaspoon cornstarch', '1 teaspoon sesame seed', '2 cups chopped mixed stir-fry vegetables, such as red bell pepper, carrots, snow peas, broccoli, and onions, or more to taste', '2 cups cooked jasmine rice']","['Combine ground chicken, garlic, ginger, onion, 1 tablespoon light soy sauce, sake, egg, panko, and green onions in a bowl. Gently mix and form into 1-inch meatballs. Place shaped meatballs onto a parchment lined tray.', 'For sauce, whisk together 2 teaspoons light soy sauce, dark soy sauce, honey, oyster sauce, water, and cornstarch in a bowl; set aside.', 'Bring a large pot of water to a boil over high heat. Using a spider or slotted spoon, carefully lower chicken meatballs into boiling water - you may have to do this in batches. Cook until meatballs float to the top, 3 to 4 minutes. Remove meatballs with a spider or slotted spoon.', 'Heat sesame oil in a wok. Add chicken meatballs, and cook until lightly browned, about 3 minutes. Pour sauce ingredients into the wok. Add the mixed vegetables, toss to mix. Cook until vegetables are crisp-tender, about 5 minutes.', 'Place 1/2 cup cooked jasmine rice in each bowl or on each plate. Add cooked vegetables and chicken meatballs. Serve immediately.']","{'Calories': '429', 'Fat': '15g', 'Carbs': '41g', 'Protein': '34g'}",https://www.allrecipes.com/garlic-ginger-chicken-meatball-bowls-recipe-7570245
Watermelon “Tuna” Poke Bowl,"Marinating and baking chunks of watermelon (yes, really!) creates a tender, tuna-like texture fit for poke—traditionally a bowl of diced raw fish with lots of toppers.",20 mins,1 hr,5 hrs 20 mins,4,"['1/3 cup less-sodium soy sauce', '1/4 cup rice vinegar', '1/4 cup vegetable oil', '1 teaspoon lime zest', '3 tablespoons lime juice (from 2 limes)', '1 tablespoon grated fresh ginger', '1 tablespoon honey', '2 lb watermelon, rind removed and cut into 1-inch pieces', '1/2 cup Japanese-style mayonnaise (such as Kewpie®)', '4 cups hot cooked short-grain white rice', '2 avocados, sliced', '1 English cucumber, sliced', '1 cup sliced radishes', '1 cup hot cooked shelled edamame', '1 carrot, shredded', '1 tablespoons black and/or white sesame seeds', 'thinly sliced green onions, for garnish']","['For marinade, whisk together soy sauce, vinegar, oil, lime zest, lime juice, ginger, and honey in a large bowl. Add watermelon; toss to coat. Chill, covered, at least 4 hours or up to 12 hours.', 'Preheat the oven to 350 degrees F (175 degrees C). Line a 10x15-inch baking pan with parchment paper.', 'Transfer watermelon from marinade to prepared pan with a slotted spoon, allowing marinade to drip off. Chill remaining marinade, covered, while watermelon bakes. Bake watermelon until browned, about 1 hour. Let cool slightly.', 'For dressing, stir 2 tablespoons reserved marinade into mayonnaise in a small bowl. Pour remaining reserved marinade over baked watermelon.', 'Divide rice among 4 bowls. Top each serving with watermelon, avocados, cucumber, radishes, edamame, and carrot. Drizzle with dressing and sprinkle with sesame seeds. Garnish with green onions.\n\n  Vegan-ize  \n Use vegan mayonnaise instead of rich, tangy-sweet Kewpie.']","{'Calories': '913', 'Fat': '59g', 'Carbs': '89g', 'Protein': '14g'}",https://www.allrecipes.com/watermelon-tuna-poke-bowl-recipe-7568001
Salmon Couscous Salad,"This salmon couscous salad recipe features salmon, couscous, and arugula salad layered in a bowl and drizzled with homemade pesto dressing for a unique presentation. This dish is a nod to a dish I tried at a local restaurant.",20 mins,10 mins,30 mins,2,"['1/2 cup mayonnaise', '1/2 cup buttermilk', '1/4 cup prepared pesto', '1 lemon, juiced', '1 clove garlic', 'ground black pepper to taste', '1 (5.8 ounce) package herb and garlic couscous', '1/2 pound salmon filet, with skin', '1 teaspoon Greek seasoning, such as Cavender’s® Greek Seasoning', '1 teaspoon butter', '1 teaspoon olive oil', '2 Roma tomatoes, seeded and chopped', '2 cups arugula and spinach salad mix, roughly chopped', '2 tablespoons shredded Parmesan cheese', '2 tablespoons pepitas']","['Add mayonnaise, buttermilk, pesto, lemon juice, and garlic to the bowl of a food processor. Blend until smooth. Season to taste with black pepper. Set dressing aside.', 'Meanwhile, heat a skillet over medium-high heat. Season salmon with Greek seasoning. Cut salmon into two filets. Melt butter in a skillet over medium heat and add olive oil. Place salmon, skin side down, in the hot skillet. Cook until salmon flakes easily with a fork, about 8 minutes.', 'Bring water to a boil in a saucepan; remove from heat and stir couscous into the water. Cover saucepan and let stand until water is absorbed completely, about 10 minutes.', ""To assemble, place salad mixture into 2 dinner bowls, and sprinkle chopped tomatoes over the salad. Fluff couscous with a fork. Mound couscous in the center of each bowl. Sprinkle Parmesan cheese around couscous. Place a salmon filet to the side of the couscous. Pour 1 to 2 tablespoons pesto dressing on top of dish. Sprinkle with pepitas. Serve immediately.\n\n  Cook's Note:  \n Nutrition data for this recipe includes the full amount of dressing ingredients. The actual amount of dressing consumed will vary.""]","{'Calories': '983', 'Fat': '77g', 'Carbs': '34g', 'Protein': '39g'}",https://www.allrecipes.com/salmon-couscous-salad-recipe-7561932
Spicy Canned Salmon Salad Rice Bowl,"Canned salmon mixed with rice vinegar, Sriracha, and mayonnaise makes this one spicy salmon salad rice bowl. Fresh cucumbers, quickly marinated in soy sauce, and sliced avocado add some coolness. Feel free to make this bowl your own by adding more ingredients.",15 mins,,15 mins,2,"['1 cup chopped English cucumber', '1 tablespoon low-sodium soy sauce', '1 (14.75 ounce) can pink salmon, skin and bone removed, drained and flaked', '2 ½ tablespoons chile-garlic sauce (such as Sriracha®)', '1 tablespoon light mayonnaise', '1 tablespoon rice vinegar', '1 cup cooked white rice', '1 avocado - peeled, pitted, and sliced', '1/2 teaspoon sesame seeds', '1 tablespoon chopped green onion for garnish (optional)']","['Combine chopped cucumbers and soy sauce in a small bowl and set aside.', 'In a small bowl, combine the salmon, Sriracha®, mayonnaise, and rice vinegar.', 'In a bowl place cooked rice and top it with the salmon mixture, sliced avocado, and chopped cucumber mixture. Sprinkle with sesame seeds. Top with extra Sriracha and green onions if desired.']","{'Calories': '908', 'Fat': '58g', 'Carbs': '46g', 'Protein': '54g'}",https://www.allrecipes.com/spicy-canned-salmon-salad-rice-bowl-recipe-7558696
Chicken Teriyaki Rice Bowls,"Skip the takeout with this grilled chicken teriyaki bowl. Grill marinated chicken, pineapple, and seasoned broccoli and red pepper and serve over rice.",15 mins,30 mins,4 hrs 45 mins,4 servings,"['1/2 cup low-sodium teriyaki marinade (such as Kikkoman®)', '2 tablespoons prepared horseradish', '1 tablespoon chili oil', '1 pound boneless skinless chicken breast halves', '1 bunch broccoli, cut into florets', '1 red bell pepper, cut into strips', '2 tablespoons sesame oil', '1 1/2 teaspoons garlic powder', '1/4 teaspoon freshly ground black pepper', '1/8 teaspoon salt', '1 pinch red pepper flakes', '1 pineapple - peeled, cored, and cut into 6 wedges', '2 cups cooked white rice', '1 teaspoon black and white sesame seeds (optional)', '1 green onion, thinly sliced (optional)']","['Pour teriyaki marinade, horseradish, and chili oil into a resealable plastic bag. Add chicken, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator, at least 4 hours.', 'Preheat an outdoor grill for medium-high heat and lightly oil the grate.', 'Coat chicken in teriyaki marinade and cook on the prepared grill until no longer pink and juices run clear, 10 to 15 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Meanwhile place broccoli florets and red pepper strips in a large bowl. Drizzle with sesame oil and toss to coat. Add garlic powder, black pepper, salt, and crushed red pepper and toss to coat again.', 'Place broccoli and red pepper strips in a grill basket and grill, turning occasionally, until tender-crisp, about 10 minutes.', 'Grill pineapple until soft and heated through, 2 to 3 minutes per side.', 'Slice pineapple and chicken into 1-inch cubes. In 4 separate bowls layer rice, chicken, pineapple, broccoli, and red peppers. Garnish each bowl with sliced green onions and sesame seeds. Drizzle extra teriyaki sauce over each bowl if desired.']","{'Calories': '498', 'Fat': '15g', 'Carbs': '48g', 'Protein': '43g'}",https://www.allrecipes.com/chicken-teriyaki-rice-bowls-recipe-7372857
Spinach and Artichoke Farro Bowl with Chicken and Mushrooms,"This spinach and artichoke grain bowl gets extra heft from the addition of chicken and mushrooms, plus a nice tangy zip from marinated artichoke hearts.",30 mins,35 mins,1 hr 5 mins,4,"['1 cup pearled farro, rinsed and drained', '2 cups water, or as needed to cover', '3 tablespoons all-purpose flour', '¼ teaspoon salt', '¼ teaspoon ground black pepper', '3 tablespoons olive oil, divided', '2 pounds skinless, boneless chicken breasts, cut into 1-inch strips', '1 large onion, finely chopped', '4 cloves garlic, minced', '1 (16 ounce) package sliced fresh mushrooms', '1 cup low-sodium chicken broth', '4 cups baby spinach leaves', '1 ½ cups marinated artichoke hearts, drained and coarsely chopped', '½ cup freshly grated Parmesan cheese', '½ cup plain Greek yogurt', '4 ounces cream cheese', '1 ½ teaspoons Italian seasoning', 'salt and freshly ground black pepper to taste']","['Combine farro and enough water to cover in a large pot. Bring to a boil, reduce heat to medium-low, and simmer until tender, about 30 minutes. Drain excess liquid.', 'Meanwhile, whisk together flour, salt, and pepper in a small bowl.', 'Heat 2 tablespoons olive oil over medium heat in a Dutch oven. Dredge chicken strips in flour mixture, and tap off excess. Working in batches if necessary, fry chicken in the Dutch oven; cook, turning occasionally, until golden in color and juices run clear, about 8 minutes. An instant-read thermometer inserted near the center should read 165 degrees F (74 degrees C). Remove chicken from pan and set aside.', 'Heat remaining 1 tablespoon olive oil in the Dutch oven over medium-high heat. Stir in onion, garlic, and mushrooms; cook, stirring often, until softened, 5 to 7 minutes. Pour in chicken broth and use a wooden spoon to scrape up any browned bits from the bottom of the pan. Continue to cook until reduced slightly, 3 to 4 minutes.', 'Reduce heat to low; stir in spinach and cook until wilted, about 2 minutes. Add in artichoke hearts and cook another 2 minutes.', 'Add Parmesan, yogurt, cream cheese, and Italian seasoning to the pan; cook and stir until thoroughly incorporated. Season with salt and pepper.', 'Return chicken to the pan; cook until heated through. Serve over cooked farro in a bowl.']","{'Calories': '786', 'Fat': '33g', 'Carbs': '56g', 'Protein': '73g'}",https://www.allrecipes.com/recipe/8537903/spinach-and-artichoke-farro-bowl-with-chicken-and-mushrooms/
Easy Korean Beef Bowl,"This delicious Korean beef bowl is quick and easy to make with ground beef. It's seasoned with fresh ginger, garlic, soy, sesame seeds, and crushed red pepper, but these ingredients can easily be adjusted to suit your taste. Serve over warm rice or spiralized vegetables.",10 mins,15 mins,25 mins,4,"['1 pound lean ground beef', '5 cloves garlic, crushed', '1 tablespoon freshly grated ginger', '2 teaspoons toasted sesame oil', '½ cup reduced-sodium soy sauce', '⅓ cup light brown sugar', '¼ teaspoon crushed red pepper', '6  green onions, chopped, divided', '4 cups hot cooked brown rice', '1 tablespoon toasted sesame seeds']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat a large skillet over medium-high heat. Add beef and cook, stirring and crumbling into small pieces until browned, 5 to 7 minutes. Drain excess grease.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in garlic, ginger, and sesame oil and cook until fragrant, about 2 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in soy sauce, brown sugar, and red pepper. Cook until beef absorbs some sauce, about 7 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add 1/2 of chopped green onions.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve over hot cooked rice; garnish with sesame seeds and remaining green onions.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '574', 'Fat': '19g', 'Carbs': '70g', 'Protein': '29g'}",https://www.allrecipes.com/recipe/268091/easy-korean-ground-beef-bowl/
