title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Homemade Ham and Cheese Hot Pockets,"These homemade ham and cheese hot pockets are a DIY version of the frozen sandwich with crescent rolls and a simple filling, good for breakfast, lunch, or a snack.",10 mins,10 mins,20 mins,4,"['1 (8 ounce) can refrigerated crescent rolls, such as Pilsbury® Original Crescents', '1 tablespoon yellow mustard, plus more for serving', '2 thin slices Black Forest ham, cut in half', '4 slices sharp Cheddar cheese, cut in half', '1 large egg', '2 teaspoons water', '1 teaspoon sesame seeds']","['Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.', 'Unroll dough onto the parchment paper. Press perforated seams together or use a rolling pin to roll dough into a single large rectangle.', 'Cut dough in half crosswise to form 2 squares, then cut each square in half again so you have 4 large rectangles. Spread a bit of mustard on 1 half of each rectangle.', 'Lay 1 ham slice over mustard, then top with 2 cheese slices. Repeat for all rectangles.', 'Lift the bare end of dough up and bring it over the end with toppings. Press down on all sides, then use a fork to press down and seal the ""pocket"" all the way around.', 'Whisk egg and water together with a fork in a small bowl or cup, then brush egg wash on each hot pocket. Sprinkle each pocket with sesame seeds.', 'Bake in the preheated oven until dough is puffed and golden brown, about 10 minutes. Serve with mustard.']","{'Calories': '335', 'Fat': '20g', 'Carbs': '25g', 'Protein': '14g'}",https://www.allrecipes.com/homemade-ham-and-cheese-hot-pockets-recipe-11698211
"Sausage, Egg, and Cheese Biscuit Casserole","This sausage, egg, and cheese biscuit casserole is a quick and easy breakfast for the whole family.",15 mins,35 mins,50 mins,8,"['cooking spray', '1 (16.3 ounce) can refrigerated biscuits (such as Pillsbury Grands! Original)', '1 pound bulk pork sausage', '1 1/2 cups shredded Cheddar cheese', '8 large eggs', '1 cup milk', '1/2 teaspoon salt', '1/2 teaspoon ground black pepper']","['Gather all ingredients.\xa0Preheat the oven to 425 degrees F (220 degrees C). Grease a 9x13-inch baking dish.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Line prepared baking dish with the biscuits, pressing to form an even layer.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Bake in the preheated oven until puffed and lightly browned, about 8 minutes. Reduce oven temperature to 375 degrees F (190 degrees C). (Leave the oven door open for a bit to let the oven cool down.)\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Meanwhile, heat a large skillet over medium-high heat. Add sausage to skillet; cook and stir until fully cooked and browned, about 10 minutes; drain fat.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Sprinkle cooked sausage and cheese evenly over baked biscuits.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Whisk together eggs, milk, salt, and pepper in a large bowl. Pour egg mixture over sausage and cheese. (The egg mixture won’t cover the cheese and sausage at this point, but will expand as it bakes.)\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Bake until casserole is set and internal temperature registers 165 degrees F (74 degrees C), about 25 minutes.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Enjoy!\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell']","{'Calories': '491', 'Fat': '29g', 'Carbs': '30g', 'Protein': '26g'}",https://www.allrecipes.com/sausage-egg-and-cheese-biscuit-casserole-recipe-11695493
Sherry's Perfect Sous Vide Eggs,"These sous vide eggs come out soft-boiled with firm egg whites and a just-solidified yolk. Eggs are an excellent candidate for sous vide cooking because you can control the temperature. The last time I made these for my girlfriend, Sherry, she stopped me mid-sentence to say, ""These eggs are perfect!""",5 mins,45 mins,50 mins,6,['6  eggs'],"['Prepare a heat-proof container of water with a sous vide cooker. Set temperature to 150 degrees F (66 degrees C).', 'Fill a bowl with enough ice water to cover eggs; set aside.', 'Fill a saucepan with water and bring to a boil. Add eggs to boiling water and cook until whites are set, exactly 5 minutes. Transfer eggs to the ice bath to stop the cooking process, at least 1 minute.', 'Place eggs into the sous vide water bath; set a timer for 40 minutes.', 'Serve immediately or refrigerate and reheat for a few minutes in the sous vide or a bowl of hot water.']","{'Calories': '63', 'Fat': '4g', 'Carbs': '0g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/263116/sherrys-perfect-sous-vide-eggs/
Crescent Sausage Egg Roll-Ups,"These crescent sausage and egg roll-ups, scrambled egg and a sausage link baked inside a crescent roll, make a great breakfast, at home or as a grab-and-go meal.",10 mins,20 mins,30 mins,8,"['2 large eggs', '2 tablespoons milk', '1 tablespoon butter', 'salt and freshly ground black pepper to taste', '1 (8 ounce) tube refrigerated crescent rolls, such as Pillsbury®', '8 breakfast sausage links, cooked, such as Farmer Johns®']","['Preheat the oven to 350 degrees F 180 degrees C).', 'Whisk eggs and milk together in a bowl\xa0 until combined. Melt butter in a skillet over medium heat. Add egg mixture and cook, stirring constantly, until eggs are set, about 3 minutes. Season with salt and pepper.', 'Unroll crescent roll dough and separate into 8 triangles. Add 1 tablespoon scrambled egg and 1 sausage to the wide end of a crescent roll. Roll up to enclose contents; place on an ungreased baking sheet. Repeat with remaining ingredients.', 'Bake in the preheated oven until golden brown, 13 to 16 minutes.']","{'Calories': '207', 'Fat': '14g', 'Carbs': '12g', 'Protein': '8g'}",https://www.allrecipes.com/crescent-sausage-egg-roll-ups-recipe-11691116
Quiche Supreme,"This is the best quiche recipe I've ever made! It's loaded with veggies, ham, and a variety of cheeses. It tastes so delicious, and the quiche freezes well after it is baked. Use ham, bacon, sausage, or any combination you'd like.",15 mins,1 hr 10 mins,1 hr 25 mins,16,"['2 (9 inch)  deep-dish frozen pie crusts', '1 small onion, finely chopped', '1 (4.5 ounce) can mushrooms, drained and chopped', '1 tablespoon finely chopped green bell pepper', '2 cups heavy cream', '6 large eggs', '12 ounces cooked ham, chopped', '8 ounces shredded Monterey Jack cheese', '8 ounces shredded Swiss cheese', '½ teaspoon vinegar', '⅛ teaspoon dried tarragon', '1 pinch garlic powder', '1 pinch ground nutmeg', '1 pinch dried parsley', 'salt and pepper to taste']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Par-bake crusts in the preheated oven for 10 minutes. Set aside to cool on a wire rack.', 'Sauté onion, mushrooms, and green pepper in a large skillet until onion is soft and translucent. Remove from heat and set aside.', 'Whisk together cream and eggs in a large bowl until well combined. Stir in ham, Jack cheese, Swiss cheese, and sautéed vegetables. Stir in vinegar and season with tarragon, garlic powder, nutmeg, parsley, salt and pepper. Divide filling evenly between par-baked pie crusts.', 'Bake in the preheated oven until filling is set and crusts are golden brown, 55 to 60 minutes.']","{'Calories': '409', 'Fat': '33g', 'Carbs': '14g', 'Protein': '15g'}",https://www.allrecipes.com/recipe/23773/quiche-supreme/
Simple Quiche Lorraine,"This easy quiche Lorraine is made with bacon, eggs, cheese, onions, and a store-bought crust. It's delicious for breakfast, brunch, lunch, or dinner!",20 mins,50 mins,1 hr 20 mins,8,"['1 (9 inch) refrigerated pie pastry', '6 slices bacon', '1 medium onion, sliced', '1 ½ cups shredded Swiss cheese', '1 tablespoon all-purpose flour', '1 ½ cups milk', '3 large eggs, beaten', '¼ teaspoon salt']","['Gather all ingredients. Preheat the oven to 450 degrees F (230 degrees C).\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Place pie pastry into a 9-inch pie pan; line with a double layer of aluminum foil and a layer of pie weights or dried beans.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Bake in the preheated oven until golden on the edges, about 8 minutes. Carefully remove the foil and weights; continue baking until crust is set and dry, about 5 minutes more. Remove from the oven and reduce the temperature to 325 degrees F (165 degrees C).\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'While the crust is baking, cook bacon in a large skillet over medium-high heat until crisp, about 10 minutes. Transfer to a paper towel-lined plate and crumble when cool enough to handle. Drain all but 2 tablespoons drippings from the skillet.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Add onion to drippings in the skillet; cook and stir over medium heat until tender, about 5 minutes. Use a slotted spoon and transfer to a bowl.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Toss Swiss cheese and flour together in a small bowl. Whisk milk, eggs, and salt together in a large bowl, then stir in bacon and onion.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Mix in cheese mixture until well combined, then pour into pie crust.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Bake in the preheated oven until a knife inserted into the center comes out clean, 35 to 40 minutes. Let stand for 10 minutes before serving.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma']","{'Calories': '359', 'Fat': '26g', 'Carbs': '17g', 'Protein': '14g'}",https://www.allrecipes.com/recipe/18477/quiche-lorraine-ii/
Café Tropical Burrito,"This breakfast burrito comes together quickly. Scrambled eggs, bacon, cheese, and a hashbrown patty are served up in a tortilla for a satisfying start into your day.",5 mins,15 mins,20 mins,1,"['2 strips bacon, or more to taste', '1 frozen hashbrown patty', '2 eggs, beaten, or more to taste', '1/4 cup shredded Cheddar and Swiss cheese mixture', 'salt and freshly ground black pepper, to taste', '1 (12-Inch) flour tortilla']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned and crisp, about 10 minutes.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Drain most of the bacon grease out of the skillet. Add hashbrown patty to the remaining hot bacon grease and fry over medium heat until hot, crispy, and golden brown, about 5 minutes. You can also use canola or grapeseed oil instead of bacon grease\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Meanwhile, pour beaten eggs into a nonstick pan or flat top; let cook undisturbed until the bottom of the eggs begins to firm, 1 to 2 minutes. Stir in Cheddar and Swiss cheese and season with salt and pepper.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Cook and stir until eggs are nearly set, light, and fluffy, 3 to 4 minutes more.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'While eggs are cooking, heat tortilla on the stovetop until lightly browned and warm.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'To assemble the burrito, place hashbrown patty onto the tortilla. Top with scrambled eggs and bacon. Fold two sides of the burrito to the center, roll up, and serve.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck']","{'Calories': '2580', 'Fat': '81g', 'Carbs': '372g', 'Protein': '84g'}",https://www.allrecipes.com/cafe-tropical-burrito-recipe-8777851
Menemen (Turkish Scrambled Eggs),"Chef John scrambles eggs in a simple tomato and pepper sauce to make his version of this Turkish dish. Spooned into a bowl, and served with plenty of baguette, it’s a saucy, luxurious dish like no other scrambled eggs you have ever had.",15 mins,20 mins,35 mins,4,"['2 tablespoons unsalted butter', '2 tablespoons olive oil', '1 1/2 cups diced fresh peppers (any mix of sweet and chile peppers)', '1/4 cup diced onion (optional)', '1 teaspoon kosher salt, plus more to taste', '1/4 teaspoon dried oregano', '1/4 teaspoon Aleppo chili flakes, or any chili flakes, plus more to taste', '1/4 teaspoon freshly ground black pepper', '2 cups diced or chopped fresh or canned tomato', '1/2 cup shredded Monterey Jack cheese or mozzarella', '4 large eggs', '1/4 cup cilantro leaves', 'crusty baguette, for serving']","['Melt butter in olive oil over medium-high heat. Add peppers, onions, and salt, and cook, stirring occasionally, until vegetables begin to soften and start to brown around the edges, 3 to 4 minutes.', 'Stir in oregano, chili flakes, black pepper, and tomato, and bring to a simmer; reduce heat to low, cover, and cook until vegetables are tender, about 10 minutes.', 'Stir in half the cheese, and as soon as it melts, add the eggs. Break yolks with the tip of a spoon, and stir into the tomato mixture for anywhere from a few seconds to a few minutes, depending on the final texture you want. The longer you stir the eggs, the smoother and creamier your menemen will be. If you prefer larger, identifiable pieces of egg, closer to classic scrambled eggs, then only stir in the eggs briefly.', ""Cover and cook on low until eggs are as set as you like, about 3 minutes. Turn off heat, and top with remaining cheese and a drizzle of olive oil, and another shake of chili flakes. Top with cilantro, and serve with lots of crusty bread or toast.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Notes\nFor something closer to classic scrambled eggs, use 6 instead of 4 eggs, and don’t stir in as thoroughly as shown in the video.Eggs can also be cracked on top of tomato mixture, and cooked unbroken, similar to shakshuka.Feta cheese can be used instead, or along with Jack cheese.""]","{'Calories': '705', 'Fat': '26g', 'Carbs': '91g', 'Protein': '29g'}",https://www.allrecipes.com/menemen-turkish-scrambled-eggs-recipe-8774545
Boursin Omelet,"This Boursin omelet is a quick, luxurious breakfast that brings creamy texture and rich flavor to the classic omelet. Finish with a sprinkle of chives for a fresh pop of color.",10 mins,5 mins,15 mins,1,"['3 large eggs', '1 teaspoon water', 'salt and freshly ground black pepper to taste', '1 tablespoon butter', '1 tablespoon minced fresh chives', '1 ounce soft French cheese, such as Boursin® cheese (any flavor), crumbled']","['Whisk eggs, water, salt, and pepper together in a bowl until yolks and whites are completely combined and eggs are light and frothy, about 30 seconds.', 'Melt butter in an 8-inch nonstick skillet over medium heat. Pour eggs into skillet and stir rapidly for 20 to 30 seconds until eggs are just starting to set. Spread top of eggs in an even layer and let cook until just slightly underdone and shiny. If necessary, move extra raw egg around to the edges of the skillet. Lower heat to medium-low to prevent browning, if necessary.', 'Sprinkle cheese down the middle of the omelet, along with 2 teaspoons chives. Fold one side over the cheese in the middle, followed by the other side, so the omelet is folded in thirds. Remove to a plate and sprinkle with remaining chives.']","{'Calories': '440', 'Fat': '35g', 'Carbs': '4g', 'Protein': '26g'}",https://www.allrecipes.com/boursin-omelet-recipe-8750293
One Pan Breakfast Skillet Mac and Cheese,"For this breakfast skillet mac and cheese, baked breakfast eggs nestle in a bed of mac and cheese with sausage. And the best part? It cooks completely in the skillet - no extra pot to boil the pasta necessary.",10 mins,25 mins,35 mins,4 to 6,"['1 pound breakfast sausage', '1 1/2 cups milk', '1 cup water', '1 box macaroni and cheese mix, such as Kraft® Macaroni and Cheese', '1 cup shredded Cheddar cheese', '4 large eggs', '1/4 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '2 tablespoons sliced green onions', '1 tablespoon Mexican hot sauce, such as Cholula®']","['Preheat the oven to 400 degrees F (200 degrees C).', 'Heat an ovenproof skillet over medium-high heat. Add sausage and cook, crumbling with a spoon, until browned and no longer pink, about 7 minutes.\xa0Add in macaroni, milk, water, and powdered cheese packet and stir, using a wooden spoon to scrape any browned bits from the bottom of the skillet. Bring mixture to a boil; reduce to a simmer and cook, stirring occasionally, until pasta is just tender and mixture is thick and creamy, about 10 minutes. Stir in 1 cup cheese. Turn off heat.', 'Create 4 wells in the macaroni mixture and crack an egg into each well. Sprinkle remaining cheese around eggs; sprinkle evenly with salt.', 'Bake skillet in the preheated oven until whites are just set, about 5 minutes. Sprinkle evenly with pepper and green onions and drizzle with hot sauce.']","{'Calories': '877', 'Fat': '58g', 'Carbs': '43g', 'Protein': '44g'}",https://www.allrecipes.com/one-pan-breakfast-skillet-mac-and-cheese-recipe-8758487
