title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Crescent Sausage Egg Roll-Ups,"These crescent sausage and egg roll-ups, scrambled egg and a sausage link baked inside a crescent roll, make a great breakfast, at home or as a grab-and-go meal.",10 mins,20 mins,30 mins,8,"['2 large eggs', '2 tablespoons milk', '1 tablespoon butter', 'salt and freshly ground black pepper to taste', '1 (8 ounce) tube refrigerated crescent rolls, such as Pillsbury®', '8 breakfast sausage links, cooked, such as Farmer Johns®']","['Preheat the oven to 350 degrees F 180 degrees C).', 'Whisk eggs and milk together in a bowl\xa0 until combined. Melt butter in a skillet over medium heat. Add egg mixture and cook, stirring constantly, until eggs are set, about 3 minutes. Season with salt and pepper.', 'Unroll crescent roll dough and separate into 8 triangles. Add 1 tablespoon scrambled egg and 1 sausage to the wide end of a crescent roll. Roll up to enclose contents; place on an ungreased baking sheet. Repeat with remaining ingredients.', 'Bake in the preheated oven until golden brown, 13 to 16 minutes.']","{'Calories': '207', 'Fat': '14g', 'Carbs': '12g', 'Protein': '8g'}",https://www.allrecipes.com/crescent-sausage-egg-roll-ups-recipe-11691116
One Pan Breakfast Skillet Mac and Cheese,"For this breakfast skillet mac and cheese, baked breakfast eggs nestle in a bed of mac and cheese with sausage. And the best part? It cooks completely in the skillet - no extra pot to boil the pasta necessary.",10 mins,25 mins,35 mins,4 to 6,"['1 pound breakfast sausage', '1 1/2 cups milk', '1 cup water', '1 box macaroni and cheese mix, such as Kraft® Macaroni and Cheese', '1 cup shredded Cheddar cheese', '4 large eggs', '1/4 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '2 tablespoons sliced green onions', '1 tablespoon Mexican hot sauce, such as Cholula®']","['Preheat the oven to 400 degrees F (200 degrees C).', 'Heat an ovenproof skillet over medium-high heat. Add sausage and cook, crumbling with a spoon, until browned and no longer pink, about 7 minutes.\xa0Add in macaroni, milk, water, and powdered cheese packet and stir, using a wooden spoon to scrape any browned bits from the bottom of the skillet. Bring mixture to a boil; reduce to a simmer and cook, stirring occasionally, until pasta is just tender and mixture is thick and creamy, about 10 minutes. Stir in 1 cup cheese. Turn off heat.', 'Create 4 wells in the macaroni mixture and crack an egg into each well. Sprinkle remaining cheese around eggs; sprinkle evenly with salt.', 'Bake skillet in the preheated oven until whites are just set, about 5 minutes. Sprinkle evenly with pepper and green onions and drizzle with hot sauce.']","{'Calories': '877', 'Fat': '58g', 'Carbs': '43g', 'Protein': '44g'}",https://www.allrecipes.com/one-pan-breakfast-skillet-mac-and-cheese-recipe-8758487
Million Dollar Bacon,"This million dollar bacon is sweet and spicy, caramelized on top, and chewy with crisp edges. Very tasty!",5 mins,40 mins,45 mins,8,"['1 pound thick-cut bacon', '1/3 cup packed brown sugar', '1 teaspoon crushed red pepper', '1 teaspoon freshly ground black pepper', '1/8 teaspoon cayenne pepper (optional)', '1/4 cup pure maple syrup']","['Gather all ingredients.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place oven rack in center of oven and preheat to 350 degrees F (175 degrees C).', 'Line a large rimmed baking pan with foil. Place a wire rack on top of foil.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Lay bacon in a single layer on wire rack.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'In a small bowl combine brown sugar, crushed red pepper, black pepper, and cayenne pepper, if desired.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Rub bacon with brown sugar mixture.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drizzle with maple syrup. Bake until caramelized and at desired doneness, 40 to 50 minutes .\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '322', 'Fat': '20g', 'Carbs': '15g', 'Protein': '19g'}",https://www.allrecipes.com/million-dollar-bacon-recipe-8749105
Full English Breakfast,"This full English breakfast of baked beans with eggs, bangers and bacon, seared tomatoes and mushrooms, is traditional in the UK. Just add toast!",10 mins,20 mins,30 mins,1,"['1 (8 ounce) can baked beans', '2 tablespoons ketchup', '1 tablespoon HP sauce', '3 slices bacon', '2 bangers (British sausages)', '1 bunch cherry tomatoes on the vine', '5 whole cremini mushrooms', '2 large eggs']","['Place beans in a small saucepan over medium-low heat. Add ketchup and HP sauce, and heat until warmed through, about 5 minutes.', 'Heat a large skillet over medium heat, and add bacon and sausages. Cook until sausage is browned and bacon is cooked to your taste, about 10 minutes. Remove from the pan and set aside.', 'Add tomatoes and mushrooms to the skillet, and sear in bacon fat for 2 minutes; remove from the pan.', 'Add 1 cup water to the pan, crack in eggs, and simmer until whites are opaque and yolks are still runny. Spoon beans onto a plate, and arrange eggs, bacon, bangers, tomatoes, and mushrooms around them.']","{'Calories': '1189', 'Fat': '65g', 'Carbs': '90g', 'Protein': '69g'}",https://www.allrecipes.com/full-english-breakfast-recipe-8739702
"NYC Deli Bacon, Egg, and Cheese Sandwich","This NYC deli bacon, egg, and cheese sandwich takes you straight to the City. It makes a delicious hand-held breakfast.",5 mins,15 mins,20 mins,2,"['4 strips bacon', '2 Kaiser rolls, sliced in half horizontally', '4 tablespoons unsalted butter, divided', '4 large eggs, lightly whisked', '4 slices American cheese', 'ketchup, for serving (optional)']","['Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until crisp, about 10 minutes. Drain bacon slices on paper towels.', 'Melt 2 tablespoons butter in a large nonstick pan or griddle over low heat. Add Kaiser rolls, cut sides down, and toast until lightly golden, about 3 minutes. Remove and set aside.', 'For each sandwich, melt 1 tablespoon butter in the skillet. Pour half the eggs into the pan, and cook as if making an omelet, pushing eggs aside and lifting to allow uncooked egg to run underneath. Layer 1 slice of cheese, 2 slices bacon, and 1 slice cheese onto half of the cooked egg, and fold the other half over the top. Add this to a toasted Kaiser roll, and wrap the roll in foil to steam. Repeat with remaining sandwich ingredients.', 'Slice in half and serve with ketchup.']","{'Calories': '694', 'Fat': '52g', 'Carbs': '24g', 'Protein': '31g'}",https://www.allrecipes.com/nyc-deli-bacon-egg-and-cheese-sandwich-recipe-8739440
"Turkey Sausage, Potato, Brussels Sprouts, and Apple Hash","Juicy apples, hearty Brussels sprouts, and fragrant sage add fall flair to this hash.",20 mins,15 mins,35 mins,4,"['1 tablespoon olive oil', '1 tablespoon butter', '8 ounces Brussels sprouts, trimmed and halved (quartered if large)', '2 medium russet potatoes,\xa0cut into 1/2-inch pieces', '1 pound bulk turkey sausage', '1 onion, chopped', '2 tablespoons chopped fresh sage', '1/2 teaspoon freshly ground black pepper', '1/4 teaspoon salt', '1 red apple, cored and chopped', '4 fried eggs (see Tip)']","['Heat oil and butter in a large skillet over medium heat. Cook Brussels sprouts and potatoes, stirring occasionally, until browned and nearly tender, about 10 minutes. Transfer Brussels sprouts and potatoes to a medium bowl using a slotted spoon.', 'Cook sausage and onion in same skillet, stirring and breaking up lumps, until sausage is lightly browned, about 6 minutes. Stir in sage, pepper, and salt.', 'Return Brussels sprouts and potatoes to skillet. Stir in apple. Reduce heat to medium-low; cook, stirring occasionally, until apple is crisp-tender, about 8 minutes. Top each serving with a fried egg.\n\n Recipe Tip:\nCoat a large nonstick skillet with cooking spray; heat over medium. Break 4 eggs into skillet. Sprinkle with 1/4 teaspoon salt and 1/8 teaspoon black pepper. Reduce heat to medium-low. Cook until whites are completely set and yolks start to thicken, 3 to 4 minutes.']","{'Calories': '507', 'Fat': '25g', 'Carbs': '32g', 'Protein': '38g'}",https://www.allrecipes.com/turkey-sausage-potato-brussels-sprouts-and-apple-hash-recipe-8690240
Mini Sausage Pancake Muffins,These mini sausage pancake muffins are a great combination of sweet and savory. They're as good for special occasion breakfasts as they are to freeze for a grab-and-go anytime breakfast.,10 mins,20 mins,30 mins,36,"['1 pound pork sausage', '2 cups pancake mix', '1 1/4 cups water', '1 cup shredded sharp Cheddar cheese', '2 tablespoons finely chopped fresh chives', '1/4 cup maple syrup, plus more for serving', '2 tablespoons melted butter, or as needed (optional)']","['Preheat the oven to 400 degrees F (200 degrees C). Coat 36 mini muffin cups with cooking spray or line with paper liners.', 'Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes. Remove to drain and cool slightly on paper towels.', 'Stir together pancake mix and water in a bowl until smooth. Add sausage, cheese, chives, and maple syrup and fold the mixture until well combined. Divide mixture among the prepared muffin cups.', 'Bake in the preheated oven until lightly browned, and a toothpick inserted near the center comes out clean, about 15 minutes. Brush with melted butter and serve with maple syrup for dipping.']","{'Calories': '102', 'Fat': '6g', 'Carbs': '8g', 'Protein': '5g'}",https://www.allrecipes.com/mini-sausage-pancake-muffins-recipe-8403975
Breakfast Pork Cutlets,"How long has it been since a new breakfast meat was introduced to the public? If you like breakfast sausage, or chicken fried steak, or pork chops with your eggs, then you're going to love these, since they were inspired by all three.",20 mins,5 mins,25 mins,2 servings,"['1/4 teaspoon whole fennel seeds', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon dried poultry seasoning', '1/4 teaspoon freshly ground nutmeg', '1/4 teaspoon garlic powder', '1 pinch cayenne pepper', '2 (6-8-ounce) boneless center cut pork chops, trimmed', '1 1/2 teaspoons kosher salt', '2 teaspoons maple syrup', '1/2 cup fine dry breadcrumbs', '2 tablespoons olive oil', '1 tablespoon butter']","['Crush fennel seeds in a mortar and pestle; transfer to a small bowl. Stir in black pepper, poultry seasoning, nutmeg, garlic powder, and cayenne; set aside.', 'Make several shallow vertical cuts through fat on edges of each pork chop. Place each chop between 2 pieces of plastic wrap; pound to 1/4-inch thick using a meat pounder or heavy flat object. Transfer to a plate.', 'Season both sides of chops with salt; sprinkle both sides with spice mix. Rub or brush each side of chops with about ½ teaspoon maple syrup.', 'Sprinkle each chop on one side with breadcrumbs; press in firmly. Turn over and repeat.', 'Heat olive oil and butter in a nonstick skillet over medium to medium-high heat.\xa0Pan fry pork cutlets, turning once, until meat is no longer pink at the center and edges are browned and crisp, about 2 minutes per side. An instant-read thermometer inserted near the center should read 145 degrees F (63 degrees C).']","{'Calories': '464', 'Fat': '30g', 'Carbs': '25g', 'Protein': '24g'}",https://www.allrecipes.com/breakfast-pork-cutlets-recipe-7198099
Easy Sausage Gravy and Biscuits,"This biscuits and gravy recipe uses jumbo buttermilk biscuits and pork sausage crumbles for a hearty, family-favorite breakfast that's ready in just 15 minutes.",5 mins,10 mins,15 mins,8,"['1 (16 ounce) can refrigerated jumbo buttermilk biscuits', '1 (9.6 ounce) package Jimmy Dean® Original Hearty Pork Sausage Crumbles', '¼ cup flour', '2 ½ cups milk', 'salt and freshly ground black pepper to taste']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat the oven to 350 degrees F (175 degrees C). Arrange biscuits 1 to 2 inches apart on an ungreased cookie sheet. Bake in the preheated oven until golden brown, about 13 to 15 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, cook sausage in a large skillet over medium heat until thoroughly heated, stirring frequently, about 5 to 6 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in flour until well combined.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Gradually add milk, stirring continuously, until the gravy thickens and comes to a boil. Reduce heat to medium-low; simmer and stir for 2 more minutes. Season to taste with salt and pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Split biscuits in half. Place 2 halves on each of 8 plates; top with about 1/3 cup gravy.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '333', 'Fat': '19g', 'Carbs': '31g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/216391/easy-sausage-gravy-and-biscuits/
Sausage Balls,"These 3-ingredient sausage balls are a real crowd pleaser, whether you serve them as a breakfast or brunch treat, a party appetizer, a game-day nibble, or a holiday hors d'oeuvre. Savory sausage, store-bought biscuit mix, and sharp Cheddar cheese team up for a yummy savory flavor that can't be beaten! My family makes these every Christmas morning.",10 mins,20 mins,30 mins,15,"['1 pound ground pork sausage, at room temperature', '2 cups biscuit baking mix', '1 pound sharp Cheddar cheese, shredded']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine room temperature sausage and biscuit mix in a large bowl; mix with your hands until well combined.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add shredded Cheddar cheese and mix until fully incorporated.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Roll mixture into about 30 walnut-sized balls; transfer to a baking sheet.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until golden brown and sausage is cooked through, 20 to 25 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '264', 'Fat': '19g', 'Carbs': '11g', 'Protein': '13g'}",https://www.allrecipes.com/recipe/21649/sausage-balls/
