title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Hamburgers with Grilled Apple and Chili Crisp,"These hamburgers with grilled apple and chili crisp are juicy and delicious. For your summer grilling, level up beef patties with grilled sweet-tart apples and thick-cut onions and chili-crisp mayo.",10 mins,15 mins,25 mins,4,"['2 red apples, cored (such as Fuji, Gala, or Pink Lady)', '1 pound ground beef', '1/4 cup fine dry bread crumbs', '5 teaspoons chili crisp, divided, plus more for serving', '1/2 teaspoon salt', '2 (1⁄3-inch) slices red onion', '4 hamburger buns', '1/4 cup mayonnaise']","['Slice 1 apple using a mandoline slicer to create 8 (¼-inch-thick) slices. Shred any remaining scraps plus all or part of the second apple to get 1/2 cup shredded apple. Squeeze shredded apple to extract some of the moisture. Reserve any remaining apple for another use.', 'Preheat an outdoor grill to medium heat (350 to 375 degrees F (175 to 190 degrees C)).', 'Combine ground beef, bread crumbs, 3 teaspoons chili crisp, salt, and the 1/2 cup shredded apple in a bowl. Shape into 4 (½-inch-thick) patties, 4 inches in diameter. Mixture may be wet so be sure to tightly pack patties.', 'Oil the grill grate. Grill patties, covered, carefully turning halfway through, until an instant-read thermometer inserted into centers of patties reads 160 degrees F (71 degrees C), 10 to 13 minutes. Grill onion slices, turning halfway through, 8 to 10 minutes. Grill apple slices, turning halfway through, 4 to 5 minutes. If you like, grill buns, cut sides down, until toasted, 1 to 2 minutes. When onions are cool enough to handle, separate rings.', 'Stir mayonnaise and remaining 2 teaspoons chili crisp together in a small bowl. Spread buns with mayonnaise mixture and fill with patties, onion, and apple slices. Serve with additional chili crisp if desired.']","{'Calories': '684', 'Fat': '35g', 'Carbs': '51g', 'Protein': '39g'}",https://www.allrecipes.com/hamburgers-with-grilled-apple-and-chili-crisp-recipe-8637636
Copycat McDonald's Filet-o-Fish Sandwich,Skip the drive-thru and make this one even better at home.,20 mins,10 mins,30 mins,"4 (serving size: 1 sandwich [1 bun, 1 fillet, 2 Tbsp. tartar sauce, 1 slice cheese)","['canola oil, for frying', '4 (4-ounce) skinless cod fillets (about 4- x 4-inch large and 1-inch thick)', '1 teaspoon kosher salt, divided', '1 large egg', '1 tablespoon mayonnaise', '1 tablespoon Dijon mustard', '1 tablespoon corn starch', '1 tablespoon all-purpose flour', '1/4 teaspoon paprika', '2 cups panko (Japanese-style breadcrumbs)', '4 brioche hamburger buns, split', '4 (1/2-ounce each) processed American cheese slices', '2 teaspoons tap water', ""McDonald's Tartar Sauce"", 'cooked shoestring fries, for serving']","['Gather all ingredients. Pour oil to a depth of 2 inches in a large Dutch oven; heat oil over medium-high to 360 degrees F (182 degrees C). Preheat oven to 200 degrees F (93 degrees C). Set a wire rack inside a large rimmed baking sheet; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While oil heats, pat fillets dry with paper towels, and sprinkle evenly with 1/2 teaspoon of the salt. Whisk together egg, mayonnaise, Dijon mustard, corn starch, flour, paprika, and remaining 1/2 teaspoon salt in a medium shallow bowl until combined. Place panko in another shallow bowl. Working with one fillet at a time, dip into egg mixture, flipping to coat all sides and letting excess drip off. Place in bowl with panko, and coat all sides. Place on a large plate; repeat with remaining fillets.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Gently add 2 fillets to hot oil; fry, gently stirring and flipping fillets in oil occasionally, until golden brown and crispy, 3 to 5 minutes. Remove fillets from oil using a slotted spoon, and place on prepared wire rack. Place in preheated oven to keep warm while repeating frying process with remaining 2 fillets.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Working with 2 buns at a time, place bottom buns on a large microwavable plate; top each bun with 1 cheese slice. Lightly sprinkle a small paper towel with water, and place in small microwavable bowl with bottom buns. Cover plate with an inverted microwavable glass bowl. Microwave on HIGH until buns are steamy and cheese is melted, 15 to 20 seconds. Carefully remove buns from plate; place top buns on the same plate and microwave on HIGH for 10 to 15 seconds.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Immediately top bottom buns with a fish fillet and drizzle 2 tablespoons McDonald’s Tartar Sauce on top. Cover with top buns and serve immediately with shoestring fries. Repeat with remaining buns and fish fillets.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '766', 'Fat': '25g', 'Carbs': '87g', 'Protein': '45g'}",https://www.allrecipes.com/copycat-mcdonalds-filet-o-fish-sandwich-recipe-8580443
Copycat Onion Wrapped Flying Dutchman,"This copycat onion wrapped flying Dutchman is essentially a cheeseburger served in an onion ""bun"" that is tender, crisp, and sweet, and pairs perfectly well with the richness of the meat.",20 mins,20 mins,40 mins,2,"['1 large white onion', '3/4 pound ground beef round', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '4 slices American cheese, cut into thirds', '1/4 cup mayonnaise', '1 tablespoon ketchup', '1 teaspoon mustard', '1 tablespoon sweet pickle relish']","['Cut 4 1/2 -inch thick slices from the center portion of the onion and discard the smaller ends for another use. Divide beef into 4 portions and form each portion into a very thin patty.\xa0 Season patties with salt and pepper.', 'Heat a large skillet over medium-high heat.\xa0Working in batches,\xa0add 2\xa0 onion slices to the pan and cook, undisturbed, about 2 minutes.\xa0Add 2 patties and continue to cook until golden brown,\xa02 to 3 minutes.\xa0Flip onion and burger patties and continue to cook until golden brown pressing the burger as it cooks.', 'Add 2 cheese slices to the top of one onion slice and both burger patties.\xa0Place one burger on the cheese-topped onion slice and top with the second burger patty.\xa0Place remaining onion slice over burger and press down.\xa0Flip burger and cook 1 to 2 more minutes.\xa0Remove frompan and set aside.\xa0Repeat with remaining onions, burger patties andcheese.', 'Combine mayo, ketchup, mustard, and pickle relish in a small bowl and stir well.\xa0 Serve with burgers.']","{'Calories': '823', 'Fat': '60g', 'Carbs': '16g', 'Protein': '54g'}",https://www.allrecipes.com/copycat-onion-wrapped-flying-dutchman-recipe-8553215
Spicy Chicken Burgers With Mango Salsa,"Made with only a few simple ingredients, these spicy chipotle chicken burgers will be on the grill in no time. Topped with gouda cheese, mayonnaise, lettuce, and mango salsa, they're just the right combination of spicy and cool.",10 mins,15 mins,25 mins,4,"['1 pound ground chicken', '1/3 cup panko bread crumbs', '1/3 cup chopped red onion', '1 large egg', '1 lime, zested and juiced', '2 tablespoons chopped cilantro', '2 cloves garlic, minced', '5 chipotle peppers in adobo sauce, minced', '1 mango - peeled, seeded, and chopped', '4 hamburger buns', '4 slices gouda cheese', '4 tablespoons mayonnaise', '1 cup shredded lettuce']","['Combine ground chicken, breadcrumbs, chopped onion, egg, lime zest, cilantro, garlic, and chipotle in a bowl. Shape mixture into four 1/4-pound patties.', 'Preheat an outdoor grill to medium-high heat and lightly oil the grate.', 'Meanwhile, stir together chopped mangoes and the juice of the lime in a small bowl; set aside.', 'Grill chicken burgers on the preheated grill until chicken is no longer pink inside, juices run clear, and burgers show browned grill marks, 5 to 8 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'About 2 minutes before burgers are done, place hamburger buns onto the grill to toast, about 1 minute per side. About 1 minute before the burgers are done, top each burger with a slice of Gouda cheese, and let melt.', 'Spread each bun with 1 tablespoon mayonnaise and top with 1/4 cup shredded lettuce and grilled chicken burger. Spoon 1/4 of mango-lime mixture on each burger and top with the other half of the bun to serve.']","{'Calories': '729', 'Fat': '35g', 'Carbs': '63g', 'Protein': '44g'}",https://www.allrecipes.com/spicy-chicken-burgers-with-mango-salsa-recipe-7971039
Pork Dumpling Hamburger Sliders,"These pork dumpling hamburger sliders really taste like the inside of a pork dumpling. They are paired with a spicy, creamy sauce that pairs nicely with the sweet bun and a tangy slaw.",30 mins,10 mins,40 mins,12,"['12 Hawaiian slider rolls', '1\xa0(10 ounce)\xa0bag angel hair shredded cabbage', '1/4 cup sliced green onions', '3 tablespoons rice vinegar', '2 tablespoons olive oil', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1/2 cup mayonnaise', '1\xa0 tablespoon Sriracha hot sauce, or more to taste', '1 1/2 lb. ground pork', '1/2 cup finely chopped green onion', '3 tablespoons  soy sauce', '2 tablespoons sesame oil', '1 tablespoon minced fresh ginger', '1 teaspoon garlic powder', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1 large egg, lightly beaten', '1/4 cup plain breadcrumbs', '2 tablespoons olive oil, divided']","['Combine cabbage, green onion, rice vinegar, olive oil, 1/2 teaspoon kosher salt, and 1/4 teaspoon pepper for the slaw in a bowl and toss well.\xa0 Set aside in the refrigerator until ready to serve.', 'Stir together mayonnaise and Sriracha in a small bowl and set aside.', 'Combine pork, green onion, soy sauce, sesame oil, ginger, garlic powder, 1 teaspoon salt, 1/2 teaspoon pepper, and egg in a bowl and mix well. Stirin breadcrumbs until just combined. Form mixture into 12 patties, each about 3/4-inch thick.', 'Heat 1 tablespoon oil in a large nonstick skillet over medium heat until hot.\xa0 Working in batches, add ½ of the patties to the skillet and cook until browned and cooked through, about 4 minutes on each side.', 'Spread mayo on tops and bottoms of slider buns.\xa0 Add burger patties to bottom buns and top with slaw.\xa0 Place top bun over slaw and serve immediately.']","{'Calories': '405', 'Fat': '28g', 'Carbs': '19g', 'Protein': '19g'}",https://www.allrecipes.com/pork-dumpling-hamburger-sliders-recipe-7971775
Chipotle Chicken Burgers,"These juicy, smoky and spicy chipotle chicken burgers are topped off with pepper Jack cheese, refreshing pico de gallo, and creamy chipotle mayo. Only use 1 or 2 chipotle peppers if you like things a little milder. Use fresh store-made pico de gallo to save time.",20 mins,15 mins,45 mins,4,"['1/4 cup mayonnaise', '1 tablespoon adobo sauce from chipotle peppers', '1 teaspoon lime juice', '1/8 teaspoon salt', '1 pound ground chicken', '4 chipotle peppers in adobo sauce, minced', '1/2 cup crumbled queso fresco', '1 teaspoon salt', '1/2 teaspoon ground coriander', '1 tablespoon butter, melted', '4 hamburger buns', '1 tablespoon vegetable oil', '1/4 cup coarsely chopped cilantro', '4 slices pepper Jack cheese', '1/2 cup prepared pico de gallo']","['Stir mayonnaise, 1 tablespoon adobo sauce, lime juice, and the 1/8 teaspoon salt together in a small bowl; set aside. In a medium bowl, combine ground chicken, chipotle peppers, queso fresco, salt, and ground coriander. Form into 4 patties and place on squares of parchment paper. Refrigerate for 10 minutes to help patties firm up.', 'Preheat a large non-stick skillet over medium-high heat. Brush skillet with butter and toast buns, cut side down, until lightly browned, about 1 to 2 minutes; set aside.', 'Heat oil in the same skillet over medium heat. Fry burgers until chicken is no longer pink at the center and juices run clear. An instant-read thermometer inserted near the center should read at least 165 degrees F (74 degrees C), about 3 minutes per side. Turn heat off. Place cheese slices over patties and cover with a lid, letting the residual heat melt the cheese.', 'Spread chipotle mayo on bottom buns and sprinkle with 1 tablespoon cilantro. Add chicken patty and top with pico de gallo.']","{'Calories': '695', 'Fat': '44g', 'Carbs': '34g', 'Protein': '43g'}",https://www.allrecipes.com/chipotle-chicken-burgers-recipe-7971118
Turkey Burgers with Rice Krispies,"These subtle tarragon-flavored light and moist turkey burgers use Rice Krispies instead of bread crumbs to hold them together. We enjoy them with mayo, tomato, fried onion, and lettuce on a sesame seed bun.",10 mins,8 mins,38 mins,4,"['1 pound ground turkey', '1/3 cup crispy rice cereal, such as Rice Krispies®', '1/4 cup shredded zucchini', '2 tablespoons finely minced red onion', '2 teaspoons Dijon mustard', '1 1/2 teaspoons dried tarragon', '1/2 teaspoon garlic salt', '1/4 teaspoon freshly ground black pepper', '4 hamburger buns']","['Combine turkey, Rice Krispies, zucchini, onion, Dijon, tarragon, garlic salt, and black pepper in a bowl. Gently mix with a fork or your hands until just combined.', 'Divide the meat into 4 equal portions, shape into patties, and move to the freezer for 20 minutes.', 'Preheat an outdoor grill for medium high heat, and lightly oil the grate. Remove burgers from the freezer, and place on the grill. Cook over direct heat until no longer pink in the center and the juices run clear, 4 to 5 minutes per side. An instant-read thermometer inserted near the center of burgers should read at least 165 degrees F (74 degrees C).', 'Place the turkey burgers on the buns, add toppings as desired, and serve.']","{'Calories': '466', 'Fat': '22g', 'Carbs': '32g', 'Protein': '35g'}",https://www.allrecipes.com/turkey-burgers-with-rice-krispies-recipe-7969063
Mediterranean Ground Turkey Burgers with Olive and Feta Topping,"The Mediterranean olive and feta topping brings the wow factor to these ground turkey burgers, and will take your grilled burgers to the next level. Serve them on a bun or without, as you choose.",15 mins,25 mins,40 mins,4,"['1/3 cup crumbled feta', '1/3 cup minced green olives', '1/3 cup minced black olives', '1 lemon, juiced', 'salt and freshly ground black pepper to taste', '1 pound ground turkey', '1/3 cup panko breadcrumbs', '1/3 cup chopped onion', '1 large egg', '1/2 cup crumbled feta', '1 lemon, zested', '2 tablespoons chopped fresh dill', '1/2 tablespoon dried oregano', '2 cloves garlic, minced', '1 tablespoon smoked paprika']","['Mix together feta, green olives, black olives, and lemon juice in a small bowl. Season with salt and pepper. Place in the refrigerator until ready to serve.', 'Combine ground turkey, breadcrumbs, chopped onion, egg, feta, lemon zest, dill, oregano, garlic, and smoked paprika in a bowl. Shape mixture into four 1/4-pound patties.', 'Preheat an outdoor grill to medium-high heat and lightly oil the grate.', 'Cook the turkey burgers on the preheated grill until no longer pink in the center and the juices run clear, 7 to 10 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Top each burger with olive and feta topping.']","{'Calories': '487', 'Fat': '32g', 'Carbs': '14g', 'Protein': '37g'}",https://www.allrecipes.com/mediterranean-ground-turkey-burgers-with-olive-and-feta-topping-recipe-7570594
Chimichurri Chicken Burgers,"We fixed the chicken burger, and all it really took was stirring in a couple spoons of chimichurri sauce. No longer sort of dry and kind of boring, this is one of the best burgers you'll ever have.",20 mins,10 mins,1 hr 30 mins,4,"['1/2 cup Italian parsley leaves', '1/4 cup fresh cilantro leaves', '2 tablespoons fresh oregano leaves', '2 cloves garlic, sliced', '1/4 cup olive oil', '2 tablespoons white wine vinegar', '1/4 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1/4 teaspoon ground cumin', '1/8 teaspoon red pepper flakes', '1 1/2 pounds boneless skinless chicken thighs', '1 1/2 teaspoons kosher salt', '2 tablespoons breadcrumbs (optional)', '2 tablespoons olive oil', '1/3 cup mayonnaise']","['To make chimichurri, chop herbs with a sharp knife until fine; add sliced garlic to the mixture. Continue chopping until mixture is very fine; transfer to a bowl. Stir in the 1/4 cup olive oil, white wine vinegar, the 1/4 teaspoon salt, black pepper, cumin, and red pepper flakes. Wrap and refrigerate until needed.', 'To make burgers, place chicken thighs in the freezer until firm and half-frozen, about 30 minutes.', 'Place thighs on a cutting board, and using a large sharp knife or heavy cleaver, chop until it resembles coarsely ground meat. (Alternatively, place chicken in a food processor; pulse on and off, scraping sides often, until texture resembles coarsely ground meat.)', 'Transfer chicken to a bowl, add the 1 1/2 teaspoons salt and 1/4 cup chimichurri sauce. Use a fork to mix thoroughly.', 'Using damp hands, form chicken mixture into 4 equal-sized patties, about 1/2-inch thick. Cover and refrigerate until chilled, about 30 minutes.', 'Stir together mayonnaise and\xa0 remaining chimichurri sauce to make spread for buns; refrigerate until needed.', 'Remove burgers from the fridge; sprinkle both sides with breadcrumbs.', 'Add olive oil to a large non-stick skillet and set over medium high heat. When hot, but before oil starts smoking, add burgers, and cook about 5 minutes per side, or until chicken is cooked through. An instant read thermometer inserted near the center should read 145 to 150 degrees F (63 to 65 degrees C).', 'Let burgers rest for a minute or two. Serve on buns spread with chimichurri mayo and the fixings of your choice.\n\n \n\n\n\n\n\n \n Chef John']","{'Calories': '590', 'Fat': '47g', 'Carbs': '2g', 'Protein': '42g'}",https://www.allrecipes.com/chimichurri-chicken-burgers-recipe-7553187
Seven Layer Sliders,"These seven layer sliders have everything you'd ever want in a burger - a rich flavorful burger served in Hawaiian rolls topped with homemade grilled pico, crunchy lettuce, jalapenos, guacamole, and cheese.",30 mins,15 mins,45 mins,12,"['3 Roma tomatoes, halved and seeds removed', '1 large (1 1/2 -inch) slice white onion', '2 large jalapeno peppers, divided', '2 tablespoons finely chopped cilantro', '1 tablespoon freshly squeezed lime juice', '1 teaspoon kosher salt, divided', '1/4 teaspoon garlic powder', '1/3 cup sour cream', '2 tablespoons mayonnaise', '2 teaspoons taco seasoning, divided', ""1 (12 piece-package) King's Hawaiian rolls"", '1 lb ground sirloin', '1/2 cups shredded Monterey Jack cheese', '1/2 cup guacamole', '1 cup shredded lettuce', '24 pickled jalapeno slices', '12 black olives']","['Preheat an outdoor grill for high heat and lightly oil the grate.', 'Place tomatoes, onion and 1 jalapeno on the hot grill and cook, undisturbed, until grill marks form, about 2 minutes. Remove tomatoes and jalapeno and set aside to cool. Flip onion slice and cook for 1 more minutes. Remove from heat to cool slightly. Finely chop tomatoes, and onion. Remove seeds from jalapeno if desired and finely chop. Add chopped veggies to a bowl and stir in cilantro, lime juice, 1/2 teaspoon salt, and garlic powder. Set grilled pico de gallo aside.', 'Reduce grill heat to medium-high.', 'Combine sour cream, mayonnaise, and 1 tablespoon taco seasoning in a small bowl; mix well and set aside.', 'Combine ground beef and remaining taco seasoning in a bowl and mix well. Form into 2 rectangular patties.', 'Slice whole loaf of rolls in half and place each cut side down on the lightly oiled grill grate. Toast on the hot grill for 1 minute. Remove from heat and set on a cutting board.', 'Place burger patties on the grill and cook for 4 minutes. Season top side with remaining 1/2 teaspoon salt and flip. Cook until desired degree of doneness, about 3 more minutes. Top each patty with cheese and cook until cheese is melted, 30 seconds more.', 'Remove from heat and place on bottom half of toasted buns. Top cheese with guacamole, grilled pico de gallo, lettuce, and sliced jalapenoes. Spread desired amount of sour cream sauce on the cut side of the bun tops and reserve any remaining sauce to serve on the side.', 'Invert the sauced buns on the top of the sliders.\xa0 Cut into 12 sliders. Slice the remaining jalapeno thinly. Garnish each slider with an olive, a slice of jalapeno, and a toothpick.\n\n \n\n\n\n\n\n \n Dotdash Meredith']","{'Calories': '310', 'Fat': '14g', 'Carbs': '30g', 'Protein': '17g'}",https://www.allrecipes.com/seven-layer-sliders-recipe-7500680
