title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
4-Ingredient Orange Chicken,"This 4-ingredient orange chicken made with frozen chicken tenders is great for when you’re craving takeout. It’s so simple to make at home, is very budget-friendly, and only takes 4 ingredients. I serve it over rice, topped with green onions and sesame seeds.",5 mins,20 mins,25 mins,4,"['1 cup orange marmalade', '1/2 cup Kansas City-style BBQ sauce', '1/4 cup low sodium soy sauce', '1 (1 pound) bag frozen fully cooked chicken nuggets', 'sliced green onions (optional)', 'sesame seeds (optional)']","['Preheat the oven to 400 degrees F (200 degrees C). Place frozen nuggets in a single layer on a baking sheet.', 'Bake in the preheated oven until hot and crispy, 11 to 13 minutes, or according to package directions.', 'Meanwhile, whisk marmalade, BBQ sauce, and soy sauce together in a small saucepan and heat over low heat until hot, about 5 minutes.', 'Place nuggets in a large bowl. Drizzle sauce over the top. Toss to coat.\n\n \n\n\n\n\n\n \n Nicole Russell']","{'Calories': '615', 'Fat': '23g', 'Carbs': '85g', 'Protein': '20g'}",https://www.allrecipes.com/4-ingredient-orange-chicken-recipe-8713472
Baked Sweet And Sour Chicken,This baked sweet and sour chicken is savory sweet and the chicken gets wonderfully crispy. Serve over rice just like in your favorite Chinese restaurant.,20 mins,30 mins,50 mins,4,"['1/4 cup olive oil, divided', '4 (6-ounce) boneless skinless chicken thighs, cut into 1 inch cubes', '1/4 teaspoon freshly ground black pepper', '1 3/4 teaspoons kosher salt', '2 large eggs', '1 cup all purpose flour', '2 large multicolored bell peppers, sliced', '1/2 cup ketchup', '1/4 cup pineapple juice', '1/4 cup honey', '3 tablespoons soy sauce', '1 tablespoon rice vinegar', '3 cups cooked white rice']","['Gather all ingredients. Preheat oven to 475 degrees F (245 degrees C) with racks in upper and lower third positions. Grease each of 2 baking sheets with 1 tablespoon of the oil along 1 of the short sides; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sprinkle chicken evenly with pepper and 1 1/2 teaspoons of the salt, and place in a bowl. Add eggs, and stir to coat. Place flour in a shallow bowl or baking dish. Working in batches, dredge chicken in flour, and shake off excess. Divide chicken between the prepared baking sheets, spreading in an even layer along short edges.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Divide bell peppers among baking sheets, spreading evenly along other short edges. Drizzle bell peppers evenly with remaining 2 tablespoons oil, and toss gently to coat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven, rotating baking sheets halfway through, until chicken is browned in spots, about 15 minutes. Remove chicken and bell peppers from the oven; use a spatula to carefully flip chicken only . Return to the oven, and continue baking at 475 degrees F (245 degrees C) until chicken is crispy and a thermometer inserted into thickest portion of chicken registers 165 degrees F (73 degrees C), about 5 minutes.', 'While chicken is baking, whisk together ketchup, pineapple juice, honey, soy sauce, rice vinegar, and remaining 1/4 teaspoon salt in a small saucepan. Bring to a boil over medium, whisking occasionally. Reduce to a simmer over medium-low, and cook, stirring often, until mixture is reduced to 3/4 cup and coats back of spoon, about 5 minutes. Remove from heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour 1/4 cup of the prepared sauce over chicken on the baking sheets; toss to coat evenly. Divide rice, chicken, and bell peppers evenly among bowls. Drizzle evenly with remaining 1/2 cup sauce. Serve immediately.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '823', 'Fat': '30g', 'Carbs': '88g', 'Protein': '53g'}",https://www.allrecipes.com/baked-sweet-and-sour-chicken-recipe-8654805
Copycat Panda Express Orange Chicken,"Try this copycat recipe to make Panda Express orange chicken with its signature citrusy sweet and tangy flavor at home. It's all in the sauce which features orange juice, orange zest, brown sugar, soy sauce, vinegar, and red chili peppers.",20 mins,20 mins,40 mins,6,"['2 cups flour', '½ cup cornstarch', '2 teaspoons salt', '½ teaspoon white pepper', '1 large egg', '1 cup water', '2 tablespoons canola oil, divided', '2 pounds boneless skinless chicken thighs, cut into 1-inch pieces', '2 cups peanut oil, or as needed, for frying', '3 teaspoons sesame oil, divided', '¼ teaspoon crushed red pepper', '2 teaspoons minced ginger', '2 teaspoons minced garlic', '¼ cup brown sugar', '¼ cup fresh orange juice', '¼ cup white vinegar', '2 tablespoons soy sauce', '3 tablespoons water', '2 tablespoons cornstarch', '1 teaspoon orange zest', '3 cups cooked rice, or as needed', 'sliced green onions for garnish', 'sesame seeds for garnish']","['Whisk flour, ½ cup cornstarch, salt, and white pepper together in a large bowl.\xa0 Add egg, water, and 1 ½ tablespoons canola oil and stir to combine (mixture will be like a sticky batter).\xa0Add chicken pieces to batter and toss well to coat.\xa0Let chicken stand in refrigerator while oil heats.', 'Pour peanut oil into a deep saucepan filled about 2 inches deep.\xa0Heat oil to 375 degrees C (190 degrees F).', 'Meanwhile, to make the sauce: Heat remaining ½ tablespoon canola oil and 2 teaspoons sesame oil in a large skillet over medium-high heat.\xa0Add crushed red pepper, ginger, and garlic; cook, stirring constantly, until fragrant, about 30 seconds. Stir in brown sugar, orange juice, vinegar, and soy sauce; bring mixture to a boil, stirring often.', 'Combine 3 tablespoons cold water with 2 tablespoons cornstarch in a small bowl and stir until cornstarch is dissolved.\xa0Pour mixture into saucepan and stir to combine.\xa0Bring mixture to a boil and reduce to simmer, stirring constantly until sauce thickens.\xa0Turn heat off and keep warm while chicken is cooking.', 'Working in batches, add coated chicken pieces carefully to the hot oil.\xa0Oil temperature will reduce when food is added. Cook chicken at 350 degrees F (175 degrees C), stirring occasionally, until golden brown and crispy, 5 to 6 minutes. Remove chicken with a slotted spoon and drain on a wire rack set over paper towels.\xa0Bring oil temperature back up to 365 to 375 degrees F (185 to 190 degrees C) and repeat process with remaining chicken.', 'Return sauce mixture to medium heat, add more water if necessary if sauce thickens too much.\xa0Once hot, add in cooked chicken pieces and toss well to coat.\xa0Stir in remaining 1 teaspoon sesame oil and orange zest and serve over hot cooked rice.\xa0Garnish with green onions and sesame seeds if desired.\n\n \n\n\n\n\n\n \n Dotdash Meredith Video Studios']","{'Calories': '726', 'Fat': '27g', 'Carbs': '76g', 'Protein': '45g'}",https://www.allrecipes.com/copycat-panda-express-orange-chicken-recipe-8687732
Ginger Chicken,"Ginger chicken is a Chinese dish typically made with fresh garlic, ginger, and scallions with a sticky brown sauce over rice and noodles.",15 mins,30 mins,45 mins,4,"['1/4 cup packed light brown sugar', '3 tablespoons soy sauce', '2 tablespoons Shaoxing\xa0wine or rice vinegar', '1/8 teaspoon freshly ground white pepper', '1/2 cup plus 1 tablespoon tap water, divided', '4 scallions, sliced', '1 tablespoon olive oil', '1 1/2\xa0\xa0pounds boneless, skinless chicken thighs (about 6 thighs)', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1 1/2 tablespoons fresh ginger', '2 cloves garlic, chopped', '2 teaspoons cornstarch', 'sesame seeds for garnish', '2 cups cooked long-grain white rice, for serving']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk together brown sugar, soy sauce, Shaoxing wine, white pepper, and 1/2 cup of the water until combined; set aside. Thinly slice scallions, and separate white and light green parts from dark green parts; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a large skillet over medium-high until shimmering. Sprinkle both sides of chicken evenly with salt and black pepper. Add chicken to skillet, rounded sides down, and cook until golden brown, about 10 minutes. Flip chicken, and continue to cook until a thermometer inserted into thickest portion registers 165 degrees F (73 degrees C), about 5 minutes. Transfer to a large plate, and cover loosely with aluminum foil to keep warm.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add ginger, garlic, and reserved white and light green scallion parts to drippings in skillet, and cook over medium-high, stirring often, until garlic and ginger are fragrant and lightly toasted, and scallions are starting to fall apart, 3 to 4 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk together cornstarch and remaining 1 tablespoon water until smooth. Add cornstarch mixture and soy sauce mixture to skillet. Bring to a boil over medium-high. Reduce heat to low to maintain a simmer, and cook, stirring constantly, until sauce thickens and coats the back of a spoon, about 1 minute. Remove from heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Return chicken and any residual juices to skillet, tossing to coat evenly in soy sauce mixture. Garnish with sesame seeds and dark green scallion parts. Serve over rice.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '547', 'Fat': '20g', 'Carbs': '40g', 'Protein': '46g'}",https://www.allrecipes.com/ginger-chicken-recipe-8639346
Black Pepper Chicken,"This black pepper chicken tastes just like the Chinese takeout favorite, golden-fried chicken in a soy, wine, and black pepper sauce, and served over white rice.",15 mins,15 mins,45 mins,4,"['1/4 cup cornstarch', '1 tablespoon reduced-sodium soy sauce', '1 tablespoon Shaoxing wine', '1 teaspoon freshly ground black pepper', '1 pound skinless boneless chicken thighs, cut into 1-inch pieces', '1/4 cup low-sodium chicken broth', '1/4 cup oyster sauce', '2 tablespoons wine', '2 tablespoons reduced-sodium soy sauce', '1 tablespoon water', '1 tablespoon cornstarch', '1 teaspoon freshly ground black pepper', '3 tablespoons vegetable oil, divided', '1 tablespoon minced garlic', '1 teaspoon minced fresh ginger', '1 cup green bell pepper, cut into 1/2-inch pieces', '1 cup white onion, cut into 1/2-inch pieces', '2 cups cooked white rice']","['Gather Ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'For Chicken Coating, whisk together cornstarch, soy sauce, Shaoxing wine, and pepper in a large bowl. Mixture will be quite thick. Add chicken pieces to bowl; stir to coat chicken. Let stand at room temperature for 15 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, for Black Pepper Sauce, whisk together chicken broth, oyster sauce, Shaoxing wine, soy sauce, water, cornstarch, and pepper in a medium bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat 2 tablespoons vegetable oil in a 12-inch skillet over medium-high heat. Add half the chicken. Cook and stir until lightly browned and no longer pink, about 5 minutes. Transfer chicken to a plate; set aside. Repeat with remaining chicken. Remove chicken from skillet.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add remaining 1 tablespoon vegetable oil to skillet. Stir in minced garlic and ginger. Cook and stir until fragrant, about 30 seconds. Stir in bell pepper and onion. Cook and stir until crisp-tender, 2 to 3 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour in Black Pepper Sauce and cook until sauce has thickened, 2 to 3 minutes. Return cooked chicken to skillet. Cook and stir until all ingredients are coated with sauce. Serve immediately over cooked white rice.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '484', 'Fat': '20g', 'Carbs': '44g', 'Protein': '32g'}",https://www.allrecipes.com/black-pepper-chicken-recipe-8382732
Sesame Chicken with Broccoli,"This stir-fried sesame chicken with broccoli has the classic, sweet, slightly spicy flavor you expect, but is also loaded with fresh broccoli florets. Serve with white or brown rice, or your favorite Asian noodles.",25 mins,20 mins,45 mins,4,"['1 ½ pounds boneless skinless chicken breast, cut into 1-inch pieces', '2 teaspoons cornstarch', '1 teaspoon salt, or to taste', '1/4 teaspoon white pepper, or to taste', '1 teaspoon cooking oil', '2 teaspoons minced fresh ginger', '2 teaspoons minced fresh garlic', '4 tablespoons cooking oil, divided', '1/3 cup soy sauce', '1/3 cup hoisin sauce', '1/3 cup rice vinegar', '1 teaspoon sambal oelek, or to taste', '2 tablespoons sesame oil', '1/2 cup carrots, cut into matchsticks', '1/2 cup sliced shallots', '4 cups fresh broccoli florets', '1 tablespoon cornstarch', '1 tablespoon soy sauce', '1 tablespoon sesame seeds, or to taste']","['Place chicken pieces in a bowl. Sprinkle with cornstarch, salt, and white pepper. Toss chicken to coat evenly and set aside.', 'Heat 1 teaspoon cooking oil in a small nonstick skillet over medium heat. Add garlic and ginger and cook, stirring, until fragrant, about 1 minute.', 'Stir in soy sauce, hoisin sauce, rice vinegar, sambal oelek, and sesame oil. Bring to a boil and cook, stirring, about 1 minute. Remove from heat and set aside.', 'Heat 2 tablespoons cooking oil over medium-high heat in a large nonstick skillet or wok until very hot. Add chicken pieces carefully to the hot oil. Cook, stirring, until chicken pieces are lightly browned on all sides, 8 to 10 minutes total. The chicken pieces will cause spattering, so be sure to use a long-handled spoon or other utensil to move the chicken around.', 'Using a slotted spoon, remove chicken from the skillet and add the remaining 2 tablespoons cooking oil. Add carrots, shallots, and broccoli, and stir quickly and continually, 3 to 4 minutes.', 'Stir in prepared sauce, and cook until the vegetables are as tender as you like, 2 to 3 minutes.', 'Place cornstarch in a small bowl and stir in 1 tablespoon soy sauce. Keep stirring until there are no lumps. Add cornstarch slurry to the skillet and rapidly stir until well combined. Return chicken pieces and cook, stirring often, until heated through, 2 to 3 minutes.', 'Remove from heat, sprinkle with sesame seeds, and serve hot.']","{'Calories': '652', 'Fat': '32g', 'Carbs': '31g', 'Protein': '60g'}",https://www.allrecipes.com/sesame-chicken-with-broccoli-recipe-8426412
Copycat Panda Express Chow Mein,"You can make this Panda Express menu favorite at home in less time than it’d take you to load in the car and hit the drive thru. Even better, you can customize our copycat chow mein easily by adding in any favorite veggies you have on hand. If you want to bulk this easy noodle dish into an entree, add your protein of choice—leftover chicken, shrimp, or a freshly fried egg would all make great additions (and they won’t cost extra).",5 mins,6 mins,11 mins,4,"['3 tablespoons canola oil', '1 tablespoon sesame oil', '1/2 white onion, finely chopped', '2 stalks celery, sliced', '1 tablespoon chopped fresh ginger', '3 cups shredded coleslaw mix', '5 ounces bean sprouts', '1 (7.1 ounce) package pre-cooked stir-fry noodles', '1/4 cup tamari', '2 tablespoons mirin']","['Heat canola oil and sesame oil in a wok over high heat. Add onion, celery, and ginger; cook, stirring often, 1 minute. Add coleslaw mix and sprouts; cook, stirring constantly, 2 minutes. Add noodles, and cook, stirring constantly, 1 minute. Add tamari and mirin; cook, stirring occasionally, 2 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Video Studios']","{'Calories': '492', 'Fat': '36g', 'Carbs': '35g', 'Protein': '8g'}",https://www.allrecipes.com/copycat-panda-express-chow-mein-recipe-7556785
Quick Beef Stir-Fry,Quick and easy beef stir-fry recipe. I make this on my busiest weeknights.,15 mins,10 mins,25 mins,4,"['2 tablespoons vegetable oil', '1 pound beef sirloin, cut into 2-inch strips', '1 ½ cups fresh broccoli florets', '1  red bell pepper, cut into matchsticks', '2  carrots, thinly sliced', '1  green onion, chopped', '1 teaspoon minced garlic', '2 tablespoons soy sauce', '2 tablespoons sesame seeds, toasted']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat vegetable oil in a large wok or skillet over medium-high heat; add beef and stir-fry until browned, 3 to 4 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Move beef to the side of the wok and add broccoli, bell pepper, carrots, green onion, and garlic to the center of the wok; stir-fry vegetables for 2 minutes.', 'Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve hot and enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '268', 'Fat': '16g', 'Carbs': '9g', 'Protein': '23g'}",https://www.allrecipes.com/recipe/228823/quick-beef-stir-fry/
Orange Chicken,"This orange chicken recipe is sticky, sweet, and delicious. It tastes similar to the orange chicken from a popular Chinese restaurant in the mall! It's easier to make than you think for delicious takeout at home.",20 mins,20 mins,2 hrs 50 mins,4,"['1 ½ cups water', '⅓ cup rice vinegar', '¼ cup lemon juice', '2 ½ tablespoons soy sauce', '2 tablespoons orange juice', '1 cup packed brown sugar', '2 tablespoons chopped green onion', '1 tablespoon grated orange zest', '½ teaspoon minced fresh ginger root', '½ teaspoon minced garlic', '¼ teaspoon red pepper flakes', '3 tablespoons cornstarch', '2 tablespoons water', '2 large skinless, boneless chicken breasts, cut into ½-inch cubes', '1 cup all-purpose flour', '¼ teaspoon salt', '¼ teaspoon pepper', '3 tablespoons olive oil']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Combine water, rice vinegar, lemon juice, soy sauce, and orange juice for sauce into a saucepan over medium-high heat. Stir in brown sugar, green onion, orange zest, ginger, garlic, and pepper flakes; bring to a boil. Remove from heat, and cool for 10 to 15 minutes.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Place chicken in a resealable plastic bag. Pour in 1 cup cooled sauce. Seal the bag, and refrigerate for at least 2 hours. Reserve the remaining sauce.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Mix flour, salt, and pepper in another resealable plastic bag.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Remove chicken from the marinade and place into the bag of seasoned flour. Seal the bag and shake to coat.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Heat the olive oil in a large skillet over medium heat. Cook chicken in the hot skillet until browned on both sides.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Remove to a paper towel-lined plate and cover with aluminum foil. Wipe out the skillet.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Pour reserved sauce into the skillet and bring to a boil over medium-high heat. Mix together cornstarch and water until completely smooth. Stir into the boiling sauce.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Reduce heat to medium-low, add the chicken, and simmer, stirring occasionally, until cooked through, about 5 minutes.\n\n \n\n\n\n\n\n \n Brie Goldman/ Food Styling: Annie Probst / Prop styling: Sue Mitchell', 'Serve over rice and enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '445', 'Fat': '11g', 'Carbs': '69g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/61024/asian-orange-chicken/
Kung Pao Chicken,"This tasty kung pao chicken is similar to what is served in Chinese restaurants. It's easy to make, and you can be as creative with the measurements as you want. You can't go wrong! The sauce reduces until nice and thick.",30 mins,30 mins,1 hr 30 mins,4,"['2 tablespoons cornstarch, dissolved in 2 tablespoons water', '2 tablespoons white wine, divided', '2 tablespoons soy sauce, divided', '2 tablespoons sesame oil, divided', '1 pound skinless, boneless chicken breast halves - cut into chunks', '1 ounce hot chili paste', '2 teaspoons brown sugar', '1 teaspoon distilled white vinegar', '1 (8 ounce) can water chestnuts', '4 ounces chopped peanuts', '4  green onions, chopped', '1 tablespoon chopped garlic']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine water and cornstarch in a cup; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine 1 tablespoon wine, 1 tablespoon soy sauce, 1 tablespoon sesame oil, and 1 tablespoon cornstarch/water mixture in a large glass bowl. Add chicken pieces and toss to coat. Cover the dish and refrigerate for about 30 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine remaining 1 tablespoon wine, 1 tablespoon soy sauce, 1 tablespoon sesame oil, and remaining cornstarch/water mixture in a medium bowl. Whisk in chili paste, brown sugar, and vinegar. Add water chestnuts, peanuts, green onions, and garlic and toss to coat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer water chestnut mixture to a medium skillet. Heat slowly over medium heat until aromatic.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, transfer chicken from marinade into a large skillet; cook over medium-high heat, stirring, until chicken is cooked through and juices run clear.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine water chestnut mixture and sautéed chicken together in one skillet. Adjust heat and simmer together until sauce thickens.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '437', 'Fat': '23g', 'Carbs': '25g', 'Protein': '34g'}",https://www.allrecipes.com/recipe/9027/kung-pao-chicken/
