title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Strawberry Sando,"Chef John's strawberry sando, a Japanese-style fruit sandwich, is delicious, fun to make, and very, very pretty. The flavor is simply strawberries in sweet cream, so use the sweetest, ripest strawberries you can find.",30 mins,,1 hr 30 mins,2,"['10 fresh, sweet, ripe strawberries', '4 slices milk bread, regular white bread, or brioche', '1/2 cup mascarpone cheese', '1/4 teaspoon vanilla extract', '1 very small pinch salt', ""2 tablespoons confectioner's sugar"", '1 cup very cold heavy cream']","['Hull strawberries with a paring knife, cutting out the green tops only, and set aside until needed. Trim the crusts off bread; trim each slice into a square.', 'Add mascarpone cheese, vanilla, a few grains of salt, and confectioner’s sugar to a mixing bowl; whisk or use an electric hand mixer on high speed to beat until light and fluffy.', 'Pour in cold whipped cream, and continue to beat just until very stiff peaks have formed. Be careful not to exceed stiff peak stage, as cream will separate and become grainy. Spread each slice of bread with a thick layer of cream, going all the way to edges.', 'On 2 slices, place 3 whole strawberries tightly together from 1 corner of the slice to the other. Place 2 smaller strawberries, or a larger one cut in half, in the other two corners with pointed ends facing out.', 'Fill gaps with whipped cream, and generously cover strawberries with more whipped cream. Top with the other slice of bread, and press down lightly. Use remaining whipped cream to fill in the sides. Use the edge of a knife to square and smooth the surface.', 'Use a knife to make a mark on the top slice to indicate the direction of the center row of strawberries. Wrap tightly in plastic and refrigerate for at least 1 hour and up to 2 hours.', ""Cut sandos carefully on the diagonal with a serrated knife. For a nicer presentation, use a pairing knife to scrape any excess whipped cream from the cut surface of strawberries, to fill in any gaps, and to reveal their glistening red color underneath. Plate and serve.\n\n \n\n\n\n\n\n \n Chef John\n\n Cook’s Note\nMake your own soft white sandwich bread with Chef John's Milk Bread recipe. It's great for savory sandwiches, too, like his take on the tamago sando: Japanese Egg Salad Sandwich.""]","{'Calories': '985', 'Fat': '95g', 'Carbs': '27g', 'Protein': '10g'}",https://www.allrecipes.com/strawberry-sando-recipe-11717106
14 Best Banana Pudding Recipes That Would Even Impress Grandma,"These recipes will be family favorites in your home, too.",,,,,[],[],,https://www.allrecipes.com/best-banana-pudding-recipes-8699958
Old-Fashioned Shortcake,"This easy recipe for shortcake was given to me by a friend. It was her mother's recipe, and it has become one of my favorite summer dessert recipes. These fabulous cakes sop up all the strawberry juices, and the touch of nutmeg sends them over the top!",15 mins,15 mins,40 mins,8,"['2 cups all-purpose flour', '1 cup white sugar', '4 teaspoons baking powder', '½ teaspoon salt', '¼ teaspoon ground nutmeg (Optional)', '½ cup cold butter, cubed', '⅓ cup milk', '1 large egg']","['Preheat the oven to 450 degrees F (230 degrees C). Grease an 8-inch baking pan.', 'Sift flour, sugar, baking powder, salt, and nutmeg together in a large bowl. Cut in butter with 2 knives or a pastry blender until mixture resembles coarse crumbs. Beat together milk and egg in a small bowl; stir into flour mixture until batter is just blended. Spread batter in the prepared baking pan.', 'Bake in the preheated oven until golden, about 15 minutes. Cool in the pan for 10 minutes before removing to cool completely on a wire rack.']","{'Calories': '327', 'Fat': '13g', 'Carbs': '50g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/222844/old-fashioned-shortcake/
5-Ingredient Chocolate Pretzel Bites,"These 5-ingredient chocolate pretzel bits are for when you are craving something sweet, but also a bit savory. And with only 5 ingredients, they are so easy—most of the ingredients are already in your pantry.",10 mins,30 mins,1 hr,8,"['1 cup sweetened coconut flakes', '1/4 cup crushed pretzels', '1/4 cup chopped roasted peanuts', '1/2 cup semi-sweet chocolate chips', '1/2 cup sweetened condensed milk']","['Preheat the oven to 325 degrees F (165 degrees C). Line an 8x8-inch pan with parchment paper. Lightly spray parchment with cooking spray.', 'Combine coconut, pretzels, peanuts, chocolate chips, and condensed milk in a large bowl and stir until fully combined. Transfer mixture to baking pan and spread out evenly.', 'Bake in the preheated oven until golden brown, about 30 minutes. Remove from the oven and let cool completely before cutting into bars.']","{'Calories': '195', 'Fat': '10g', 'Carbs': '25g', 'Protein': '4g'}",https://www.allrecipes.com/5-ingredient-chocolate-pretzel-bites-recipe-11714991
No-Bake Carrot Cheesecake,"This no-bake carrot cheesecake is the perfect combination of carrot cake and cheesecake with a graham cracker crust, a smooth, creamy carrot filling, and topped with whipped cream, coconut, and pecans.",30 mins,,12 hrs 30 mins,12 slices,"['4 medium carrots, peeled and sliced into 1/2-inch thick pieces', '1 1/2 cups graham cracker crumbs', '1 cup unsweetened shredded coconut, toasted, plus more for garnish', '6 tablespoons butter, melted', 'pinch of salt', '1 cup whipping cream', '2 (8-ounce) packages cream cheese, softened', '3/4 cup powdered sugar', '6 tablespoons brown sugar, divided', '1 teaspoon vanilla extract', '1 teaspoon ground cinnamon', '1/4 teaspoon ground ginger', '1/4 teaspoon ground nutmeg', '1/8 teaspoon salt', 'candied pecans for garnish (optional)', 'sweetened whipped cream for garnish (optional)']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo', 'Place carrots into a saucepan and cover with water. Bring to a boil.\xa0 Reduce heat and simmer, covered,\xa0until carrots are tender, about 20 minutes. Drain, but reserve cooking liquid. Transfer carrots to a blender container. Cover and blend until smooth, adding reserved liquid, 1 tablesppon. at a time as needed. You should get 1 cup of carrot puree. Chill until ready to use.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo\n\n To cook in the microwave:\nCombine carrots and 1/4 cup water in a microwave-safe casserole. Cover and cook on 100% power (High) until carrots are just tender, 7 to 9 minutes, stirring once after 4 minutes.', 'In a small bowl combine graham cracker crumbs, 1/2 cup toasted coconut,\xa0butter, 2 tablespoons brown sugar and salt. Press very firmly into the bottom of a 9-inch springform pan. Chill until ready to use.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo\n\n Toast Coconut\nSpread 1 cup unsweetened coconut in a single layer in a shallow baking pan. Bake in a 350 degrees F (180 degrees C) oven until light brown, 5 to 10 minutes. Watch it carefully, and stir it so it browns evenly.', 'Beat whipping cream in a bowl with an electric mixer until\xa0stiff peaks form. Set aside.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo', 'Beat cream cheese\xa0in a large bowl with an electric mixer until completely smooth and creamy, scraping the bowl as needed.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo', 'Add 1 cup carrot puree, powdered sugar, and remaining 4 tablespoons\xa0 brown sugar. Beat on medium-high speed until well combined, scraping the bowl as needed. Add thevanilla, cinnamon, ginger, nutmeg and salt and beat until combined and smooth.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo', 'Slowly fold in whipped cream with a spatula until just combined, careful to not deflate the whipped cream.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo', 'Pour filling into the prepared crust, spreading evenly.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo', 'Cover and chill overnight. Serve topped with additional whipped cream, candied pecans and remaining toasted coconut.\n\n \n\n\n\n\n\n \n Allrecipes / Sonia Bozzo\n\n Sweetened Whipped Cream\nIn a chilled mixing bowl beat 1 cup whipping cream, 2 tablespoons powdered sugar, and 1 teaspoon vanilla with an electric mixer on medium speed until soft peaks form. Chill until serving.\n\n\n\n\n Recipe developed by Nicole Irwin.']","{'Calories': '398', 'Fat': '32g', 'Carbs': '26g', 'Protein': '4g'}",https://www.allrecipes.com/no-bake-carrot-cheesecake-recipe-11709646
Ooey Gooey Carrot Butter Cake,"This ooey gooey carrot butter cake hits somewhere between a carrot cake, a chess bar, and a cheesecake. It has crisp sugary edges, a gooey interior, and a soft cookie-like crust which makes the cake extra scrumptious.",40 mins,50 mins,3 hrs 30 mins,24,"['baking spray with flour', '1/2 cup plus 2 tablespoons unsalted butter, melted and divided', '2 cups shredded carrot (about 4 carrots)', '1/2 teaspoon ground\xa0cardamom', '1 (15.25-ounce) box spice cake mix (such as Duncan Hines)', '3 large eggs, at room temperature, divided', '2 1/2 teaspoons vanilla extract, divided', '1 (8-ounce) package cream cheese, softened', '4 cups powdered sugar, plus more for dusting', '2 teaspoons freshly grated lemon zest', '3/4 teaspoon table\xa0salt', '1/2 cup chopped toasted\xa0pecans, plus more for garnish']","['Gather all ingredients. Preheat oven to 350 degrees F (180 degrees C). Grease a 13- x 9-inch baking pan with baking spray; line bottom and sides with parchment paper leaving a 2-inch overhang on long sides.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Heat 2 tablespoons butter in a skillet over medium heat. Add carrots and cook, stirring frequently, until softened and just starting to brown slightly, about 8 minutes.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Transfer to a heatproof bowl; stir in cardamom. Chill in the refrigerator, uncovered, until completely cool, about 15 minutes.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'While carrots cool, beat cake mix, 1 egg, 1 1/2 teaspoons vanilla extract, and remaining 1/2 cup butter in a large bowl with an electric mixer on medium-low speed just until combined, 30 seconds to 1 minute.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Pat mixture evenly into the bottom of the prepared pan.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Beat cream cheese in a separate large bowl with an electric mixer on medium speed until smooth and creamy, 1 to 2 minutes, stopping to scrape down sides.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Add powdered sugar, lemon zest, salt, remaining 2 eggs, and remaining 1 teaspoon vanilla; beat on medium-low speed until smooth and creamy, about 1 to 2 minutes. Stir in cooled carrots and pecans until evenly dispersed.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Spread cream cheese mixture evenly over cake mix layer in pan.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Bake in the preheated oven until top is lightly golden, shiny, and slightly crackly, about 40 minutes. Let cool completely in pan on a wire rack, about 2 to 3 hours. (It’s OK if topping sinks slightly as it cools.)\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Using parchment paper as handles, remove from pan and cut into bars. Dust with powdered sugar. Garnish with pecans.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai']","{'Calories': '226', 'Fat': '7g', 'Carbs': '39g', 'Protein': '2g'}",https://www.allrecipes.com/ooey-gooey-carrot-butter-cake-recipe-11709616
Banoffee Cheesecake Bars,"These no bake banoffee cheesecake bars are incredibly tasty - imagine a Graham cracker crust with layers of homemade caramel sauce, cream cheese filling, and fresh banana slices. Serve topped with whipped cream and chocolate shavings.",40 mins,10 mins,5 hrs 50 mins,16,"['1 1/4 cups graham cracker crumbs', '3 tablespoons white sugar', '1/3 cup butter, melted', '1/4 cup butter', '1/3 cup packed dark brown sugar', '1/3 cup whipping cream', '1/2 teaspoon vanilla extract', '2 (8-ounce) packages cream cheese, softened', '1 (14-ounce) can sweetened condensed milk', '1 1/2 cups whipping cream', '1 (3.4-ounce) package vanilla-flavor instant pudding mix', '5 tablespoons banana-flavor instant pudding mix (about 1/2 of 3.4-ounce package)', '1 1/2 teaspoons vanilla extract', '1/8 teaspoon salt', '2 large bananas, thinly sliced', '2 cups sweetened whipped cream', 'chocolate shavings']","['Gather all ingredients.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'For the Crust: Line a 9-inch square baking pan with parchment paper, letting excess overhang on two sides.\xa0Stir together the graham cracker crumbs and white sugar in a medium bowl. Add 1/3 cup melted butter; stir to combine.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Pour crust mixture into prepared pan and press evenly onto bottom. Chill crust in the refrigerator for at least 1 hour.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'For the Toffee Sauce Filling: Meanwhile, melt 1/4 cup butter in a small saucepan over medium heat. Stir in brown sugar. Bring to a boil and stir until sugar is dissolved. Reduce heat and boil gently, uncovered, for 5 minutes, stirring occasionally.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Carefully stir in 1/3 cup whipping cream. Return to a boil and cook, stirring constantly, until slightly thickened, about 3 minutes.\xa0 Remove from heat; stir in 1/2 teaspoon vanilla extract. Let cool to room temperature.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'For the Cheesecake: Beat cream cheese in a large bowl with an electric mixer at medium speed until light and fluffy. Add sweetened condensed milk and 1 1/2 cups whipping cream; beat until smooth, scraping down sides of bowl as needed.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Add pudding mixes, 1 1/2 teaspoon vanilla, and salt; beat until smooth and well combined (mixture will be very thick).\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Spread half of the pudding mixture over the chilled crust in the pan. Top with toffee sauce filling, spreading to an even layer.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Arrange banana slices in an even layer over the toffee filling. Top with dollops of the remaining pudding mixture, carefully spreading in an even layer. Chill, covered, at least 4 hours (or up to overnight).\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Cut into 16 bars. Top cheesecake bars with sweetened whipped cream and chocolate shavings.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco']","{'Calories': '472', 'Fat': '32g', 'Carbs': '42g', 'Protein': '6g'}",https://www.allrecipes.com/banoffee-cheesecake-bars-recipe-11707744
No-Bake Lemon Ricotta Cheesecake Bars,"These no-bake lemon ricotta cheesecake bars get an extra creamy boost from the addition of ricotta cheese. Make sure to take the time to drain the ricotta before adding it to the filling. The pistachios in the crust and garnish, are optional; but totally recommended. You can use almonds, or simply use more graham cracker crumbs instead.",25 mins,0 mins,4 hrs 45 mins,18,"['6 tablespoons unsalted butter', '3 tablespoons firmly packed light brown sugar', '1 pinch salt', '1 pinch ground nutmeg', '1 1/3 cups finely ground graham cracker crumbs (from about 9 crackers)', '1/2 cup finely chopped roasted, unsalted pistachios', '1/8 teaspoon almond extract', '1 1/2 cups whole milk ricotta cheese, drained', '16 ounces full-fat cream cheese, softened', '1 cup confectioners sugar, or to taste', '2 tablespoons freshly grated lemon zest', '3 tablespoons freshly squeezed lemon juice', '1/2 teaspoon vanilla extract', '1 pinch salt', '2 tablespoons finely chopped roasted, unsalted pistachios (optional)']","['Place ricotta into a fine mesh strainer set over a bowl. Allow to drain for at least 1 hour before using.', 'Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.', 'For crust, combine butter, brown sugar, salt, and nutmeg in a microwave-safe bowl. Microwave, stopping to stir after every 30-second interval, until mixture begins to foam and bubble, and sugar is mostly dissolved; about 2 minutes. Stir in graham cracker crumbs, pistachios, and almond extract until evenly moistened.', 'Press crust mixture very firmly and evenly into the bottom of the prepared pan. Freeze crust until chilled and set, about 20 minutes.', 'For filling, combine drained ricotta and cream cheese in a large bowl. Beat with an electric mixer on medium speed until smooth and combined. Add in confectioner’s sugar, lemon zest, lemon juice, vanilla, and salt and beat on medium speed until smooth and combined.', 'Remove crust from freezer. Pour filling over crust and smooth into an even layer. Return pan to the freezer and chill until filling is set, at least 3 hours.', 'To cut bars, remove from the pan using the parchment overhang, and place onto a cutting board. Run a sharp knife under hot water for several seconds, then wipe it dry. Cut bars with the hot knife, wiping it off between each cut and running it under hot water and drying again as needed. Sprinkle bars with chopped pistachios before serving.', 'Keep bars stored in the freezer, but allow to sit at room temperature to soften for about 30 minutes before serving.']","{'Calories': '236', 'Fat': '17g', 'Carbs': '16g', 'Protein': '5g'}",https://www.allrecipes.com/no-bake-lemon-ricotta-cheesecake-bars-recipe-11706597
French Yogurt Cake,"This is a very traditional French cake, probably one of the only cakes French people actually bake. I got this from my sister who lived in France for a while. It is great with afternoon tea or even brunch. Enjoy!",15 mins,40 mins,1 hr 25 mins,8,"['2 teaspoons butter', '1 ½ cups all-purpose flour', '2 teaspoons baking powder', '1 pinch salt', '1 cup white sugar', '2  lemons, zested and juiced, divided', '3  eggs', '½ cup Greek yogurt', '1 teaspoon vanilla extract', '½ cup extra-virgin olive oil', ""1 cup confectioners' sugar""]","['Preheat oven to 350 degrees F (175 degrees C). Grease an 8-1/2x4-1/2-inch loaf pan with butter.', 'Sift flour, baking powder, and salt together into a bowl.', 'Combine white sugar and lemon zest in a bowl. Rub lemon zest into the sugar with your fingers until fragrant.', 'Combine eggs, yogurt, juice of 1 lemon, and vanilla extract in a large bowl; beat with an electric mixture until blended. Add flour mixture and sugar mixture; beat on low speed until batter is just combined. Fold in olive oil gently using a spatula.', 'Pour batter into the prepared loaf pan.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, 40 to 50 minutes. Let cool in the pan, at least 30 minutes. Run a knife around the edge of the pan to loosen; invert onto a serving dish.', ""Whisk remaining lemon juice and confectioners' sugar together in a bowl to make a thin glaze. Drizzle glaze over cake.""]","{'Calories': '424', 'Fat': '18g', 'Carbs': '60g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/221855/french-yogurt-cake/
No-Bake Millionaire’s Shortbread,"This no-bake millionaire's shortbread has a buttery, tender base followed by a layer of homemade melt-in-your mouth caramel and topped with dark chocolate. Sprinkle with sea salt to cut the sweetness if you like.",25 mins,10 mins,4 hrs 45 mins,24,"['10 ounces shortbread cookies', '1 cup butter, divided', '1 (14-ounce) can sweetened condensed milk', '6 tablespoons brown sugar', '1/4 teaspoon salt', '10 ounces dark chocolate chips', '1/2 teaspoon coarse sea salt (optional)']","['Gather all ingredients.\xa0Grease a 9x9-inch square baking pan and line with parchment paper so parchment paper overhangs edges by 1-inch.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Pulse cookies in a food processor until fine crumbs form.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Meanwhile, melt 1/2\xa0cup butter and add to the cookie crumbs in the food processor; pulse until combined.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Press crumb mixture firmly and evenly into the bottom of the prepared baking pan using the flat bottom of a measuring cup or glass. Refrigerate for 30 minutes.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Meanwhile, combine 6 tablespoons butter, sweetened condensed milk, brown sugar, and salt in a saucepan. Cook over medium-high heat until boiling, stirring often.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Reduce heat to medium. Cook, stirring continuously, until a candy thermometer reads 230 to 235 degrees F (110 to 113 degrees C) or until thickened and darkened in color, 6 to 8 minutes. Pour caramel over the chilled shortbread base and spread evenly. Refrigerate for 2 hours.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Once caramel has chilled, combine dark chocolate chips and remaining 2 tablespoons butter in a microwave safe bowl.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Microwave chocolate on High\xa0until melted and smooth, 1 to 2 minutes, stirring every 20 seconds. Spread melted chocolate mixture evenly over the chilled caramel layer.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Sprinkle with coarse sea salt after standing for 10 minutes, if desired. Refrigerate until set, about 1 hour.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Remove from the pan, place on a cutting board, and let stand for 30 minutes.\n\n Tip\nStanding at room temperature for 30 minutes makes the top easier to slice without cracking.\n\n\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco', 'Cut into 24 bars.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Charlie Worthington / Prop Styling: Gabriel Greco']","{'Calories': '275', 'Fat': '16g', 'Carbs': '30g', 'Protein': '3g'}",https://www.allrecipes.com/no-bake-millionaire-s-shortbread-recipe-11703318
