title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Rustic Chicken and Dumplin's,"Rachel Parton George makes this rustic chicken dish for her sister, Dolly Parton, every year on her birthday.",,,2 hrs 15 mins,8,"['1 whole chicken, cut into pieces (drumsticks, thighs, and halved breasts)', '1 teaspoon Morton Nature’s Seasons seasoning blend', '3 tablespoons butter', '1 (32 ounce) carton low-sodium chicken broth', '2 cups water', '1/2 onion, minced', '1 teaspoon poultry seasoning', '1 teaspoon minced garlic', '1 1/2 teaspoons salt', '1 teaspoon black pepper', '3 medium carrots, cut into 1-inch pieces (1 1/2 cups)', '3 medium\xa0stalks celery, cut into 1-inch pieces (1 1/2 cups)', '1 1/4 cups flour, plus more for dusting', '1 teaspoon baking powder', '1 egg', '1/2 cup whole buttermilk, well shaken', '1/2 cup butter, chilled and cut into thin slices', 'Chopped fresh parsley, for garnish']","['Season chicken pieces all over with the Morton’s seasoning blend.', 'Melt 3 tablespoons butter in a large Dutch oven over medium-high heat. Add chicken pieces, skin sides down, and cook until golden brown, 6 to 8 minutes. Turn chicken pieces and brown again, 6 to 8 minutes more.', 'Add broth and water; bring to a boil over high heat. Add onion, poultry seasoning, garlic, 1 teaspoon salt, and pepper. Reduce heat and simmer, covered, 20 minutes. Add carrots and celery. Leaving pot partially covered, continue simmering over low heat until vegetables are almost tender, about 20 minutes.', 'Meanwhile, sift flour, baking powder, and remaining 1/2 teaspoon salt together in a large bowl. In a separate medium bowl, whisk together egg and buttermilk.', 'Cut chilled butter into dry mixture using a pastry cutter or two forks. Blend well to a crumbly consistency. Add buttermilk mixture and gently stir with a wooden spoon until combined. Cover with plastic wrap and refrigerate 30 minutes.', 'Turn out dough onto a floured surface. Using your hands, pat dough to approximately 1-inch thickness and gently fold outer edges into center. Continue to gently fold—do not knead—until it comes together. Pat dough out again to approximately 1-inch thickness.', 'Remove cooked chicken from Dutch oven (an instant-read thermometer inserted into thickest part of chicken should register 170 degrees F /76 degrees C) and put it on a plate. Cover with foil to keep warm. Skim fat from broth. Bring broth to a gentle boil over medium-high heat.', 'Using a knife, cut dough into 9 (2x2-inch) squares. Gently drop each square, one at a time, into boiling broth. Lower heat to medium and simmer, uncovered, until all dumplings rise to top and a toothpick inserted in center comes out clean, about 10 minutes. Return chicken to pot and simmer an additional 5 minutes.', 'Spoon chicken and dumplin’s into bowls. Garnish with parsley.']","{'Calories': '465', 'Fat': '29g', 'Carbs': '21g', 'Protein': '29g'}",https://www.allrecipes.com/rustic-chicken-and-dumplins-recipe-8707675
Gnocchi,"Gnocchi is simple to make with just three ingredients: mashed potato, flour, and egg. This recipe is one my family has used for generations.",30 mins,40 mins,1 hr 15 mins,4,"['3 medium russet potatoes, scrubbed', '1 ½ cups all-purpose flour, plus more for dusting', '1 large egg', '1 teaspoon kosher salt']","['Gather the ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place potatoes\xa0in a large saucepan and cover with 2 inches of salted water. Bring to a boil over high heat; reduce heat to medium-high and simmer, undisturbed, until tender but still firm, 25 to 30 minutes. Drain potatoes and place back in the pot to dry and cool slightly, 5 to 10 minutes.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'As soon as potatoes are cool enough to handle, peel potatoes by rubbing skins off with your hands. Pass peeled potatoes through a potato ricer into a large bowl (alternatively, mash until very smooth.) Let cool slightly, about 10 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Fold in flour, egg, and salt until flour is incorporated and\xa0 dough starts to hold together. Transfer dough to a lightly floured surface and gently knead once or twice until mostly smooth (do not overwork).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Divide dough into 4 even portions. Roll and shape each portions of the dough into long ""snakes,"" about ¾-inch in diameter.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cut snakes into about 1/2-inch long pieces. (Optional: Roll each piece against the tines of a fork or a gnocchi board to make light ridges.) Transfer shaped gnocchi to a single layer on a parchment-lined baking sheet dusted with flour.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring a large pot of lightly salted water to a boil over high. Working in batches, drop in gnocchi and cook for 3 to 4 minutes or until gnocchi have risen to the top; transfer cooked gnocchi with a spider or slotted spoon to desired sauce.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '314', 'Fat': '2g', 'Carbs': '64g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/18465/gnocchi-i/
Homemade Dumplings,My mother was one of the best cooks I ever knew. Whenever she made stews we mostly found homemade dumplings in them. We never ate things from packages and you sure could taste what food was! That's the way I continue to cook today.,5 mins,15 mins,20 mins,6,"['1 cup all-purpose flour', '2 teaspoons baking powder', '1 teaspoon white sugar', '½ teaspoon salt', '1 tablespoon butter or margarine', '½ cup milk']","['Gather the ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir together flour, baking powder, sugar, and salt in a bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cut in butter until mixture is crumbly. Stir in milk and mix until a batter forms that is thick enough to be scooped with a spoon. Allow batter to rest for 3 to 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drop batter by spoonfuls into boiling stew or soup. Cover and simmer without lifting the lid for 15 minutes. Serve.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve hot and enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '106', 'Fat': '3g', 'Carbs': '18g', 'Protein': '3g'}",https://www.allrecipes.com/recipe/6900/dumplings/
One Pan Dumpling Dinner,"This one pan dumpling dinner, with frozen dumplings baked atop saucy coconut milk and curry bok choy, takes just a few minutes to put together, and bakes in less than a half hour.",10 mins,25 mins,35 mins,4,"['2 teaspoons minced fresh garlic', '1 teaspoon minced fresh ginger', '3 tablespoons soy sauce', '1 tablespoon rice vinegar', '2 teaspoons toasted sesame oil', '2 tablespoons red curry paste', '1/2 cup full-fat coconut milk or cream', '1/2 cup water', '5 cups chopped bok choy', '20 frozen chicken and vegetable or pork and vegetable dumplings', '3 tablespoons chopped cilantro', '1/4 cup thinly sliced green onion', '2 teaspoons toasted sesame seeds', 'chili crunch oil (optional)']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Stir together garlic, ginger, soy sauce, rice vinegar, sesame oil, curry paste, coconut milk, and water in a casserole dish until well combined. Add bok choy and toss lightly. Top with dumplings and cover casserole with foil.', 'Bake in the preheated oven until dumplings are heated through at the center, about 25 minutes.', 'Divide dumplings and bok choy among serving plates and top with sauce from the pan. Top evenly with cilantro, green onions, sesame seeds, and drizzle with chili crunch oil.\xa0\n\n \n\n\n\n\n\n \n Peyton Beckwith']","{'Calories': '516', 'Fat': '18g', 'Carbs': '74g', 'Protein': '16g'}",https://www.allrecipes.com/one-pan-dumpling-dinner-8774252
Apple Sausage Gravy Dumplings,"These delicious apple sausage gravy dumplings are Chef John's very successful riff on sausage gravy and biscuits. They have the perfect balance of savory and fruity, and the dumplings have a gorgeous, delicate texture.",20 mins,35 mins,55 mins,6,"['1 tablespoon vegetable oil', '1 pound pork sausage', '1/2 large yellow onion, diced', '1 pinch salt', '2 tablespoons unsalted butter', '1/4 cup all-purpose flour', '1 large apple, peeled and diced', '4 cups chicken broth', '1/2 cup milk', 'freshly ground black pepper to taste', 'cayenne pepper to taste', '1/4 cup sliced green onions', '1 tablespoon apple cider vinegar, or to taste', '1 large egg', '1/4 cup apple cider', '1/4 cup creme fraiche', '1 teaspoon chopped fresh thyme leaves', '2 tablespoons sliced green onions', '1 teaspoon kosher salt', '1 1/2 teaspoons baking powder', '1 cup all-purpose flour']","['Heat vegetable oil in a skillet over medium-high heat and add sausage. Cook and stir, breaking up chunks with a spatula, until browned and crumbly, about 5 minutes.', 'Reduce heat to medium, add onions and a pinch of salt, and cook, stirring, until onions start to turn soft and translucent, about 5 minutes.', 'Stir in butter, and once melted, add flour. Cook, stirring, for about 2 minutes. Add diced apple, and cook, stirring for another minute or so.', 'Pour in chicken broth, raise heat to high, and stir with a spoon, scraping up all the browned bits (fond) from the bottom. Add milk and bring mixture to a simmer. Reduce heat to between medium and medium-low, and simmer for about 15 minutes. For thicker gravy, mixture can be reduced further. Reduce heat to medium-low and prepare dumpling batter.', 'Combine egg, cider, creme fraiche, thyme, 2 tablespoons green onions, 1 teaspoon salt, and baking powder in a bowl and whisk thoroughly. Add 1 cup flour and whisk just until flour disappears. Clean off whisk with a spatula, and scrape down the sides of the bowl, mixing in any visible flour. Set batter aside until needed.', 'Stir gravy and taste for seasoning—add more salt if needed, plus freshly ground black pepper, cayenne, 1/4 cup green onions, and 1 tablespoon apple cider vinegar.', 'Raise heat to medium, and transfer generous, rounded teaspoons of dumpling batter on top of the simmering gravy.', 'Cover, and let cook, untouched, until dumplings are puffed up, and floating on top, 5 to 6 minutes. A skewer inserted into the center of a dumpling should come out clean. Serve immediately topped with additional green onions if desired.']","{'Calories': '498', 'Fat': '33g', 'Carbs': '31g', 'Protein': '20g'}",https://www.allrecipes.com/apple-sausage-gravy-dumplings-recipe-8714162
"Our 15 Favorite Potsticker, Gyoza, and Dumpling Recipes","From pork-filled Chinese dumplings to reader-favorite shrimp potstickers, these recipes are restaurant-worthy—but easy enough to make in the comfort of your own home.",,,,,[],[],,https://www.allrecipes.com/best-potsticker-gyoza-and-dumpling-recipes-8650336
Sweet Potato Dumplings with Peach-Thai Chili Sauce,"These sweet and spicy sweet potato dumplings with peach-Thai chili sauce are a party app that can be adjusted to feed vegetarians, vegans, and meat lovers.",40 mins,45 mins,1 hr 25 mins,48,"['2 (8 ounce) sweet potatoes, peeled and coarsely chopped', '1/4 cup plus 2 teaspoons vegetable oil, divided', '2 apples - peeled, cored, and chopped into 1/2-inch pieces', '3/4 cup peach jam', '3/4 cup Thai-style sweet chili sauce', '5 tablespoons chopped fresh cilantro, divided', '1 cup shredded Cheddar cheese (4 ounces)', '1 tablespoon minced jalapeno pepper', '1/2 teaspoon salt', '1 (16 ounce) package wonton wrappers', '12 tablespoons water, divided']","['Put sweet potatoes in a large pot. Cover with salted water; bring to a boil. Reduce heat to medium-low. Simmer, covered, until tender, about 20 minutes. Drain and coarsely mash. Let cool 10 to 15 minutes.', 'Meanwhile, heat 2 teaspoons oil in a large skillet over medium-high heat. Cook apples, stirring frequently, until lightly browned and crisp-tender, about 5 minutes. Let cool.', 'For dipping sauce, stir together peach jam, chili sauce, and 2 tablespoons cilantro.', 'For filling, stir together mashed sweet potatoes, apples, cheddar, jalapeño, salt, and remaining 3 tablespoons cilantro in a medium bowl. Line a baking sheet with parchment paper or waxed paper.', 'For each dumpling, spoon about 1 tablespoon filling onto center of a wonton wrapper. Cover remaining wrappers with a damp towel while you work. Dampen edges of wrapper with water; fold wrapper diagonally over filling and pinch edges together to seal. Transfer dumpling to prepared baking sheet. Repeat with remaining wrappers and filling. Cover filled dumplings with a damp towel.', 'Heat 1 tablespoon oil in a large skillet over medium heat. Add 12 dumplings to skillet. Cook, turning once, until lightly browned, about 4 minutes. Carefully add 3 tablespoons water to skillet. Cook, covered, until dumplings are softened, 3 to 4 minutes.', 'Remove lid. Increase heat to medium-high. Cook until most of water has evaporated, 2 to 3 minutes more. Transfer dumplings to a serving dish. Working in batches of 12, repeat with remaining dumplings, oil, and water. Serve with dipping sauce.']","{'Calories': '88', 'Fat': '2g', 'Carbs': '15g', 'Protein': '2g'}",https://www.allrecipes.com/sweet-potato-dumplings-with-peach-thai-chili-sauce-recipe-8347235
Beef and Mushroom Dumplings in Broth,"This is a flavor-packed recipe of ground beef and mushroom-filled dumplings in a savory broth. Top with a drizzle of sesame oil, green onions, and sesame seeds for an extra burst of flavor!",45 mins,10 mins,55 mins,4 servings,"['2 tablespoons olive oil', '8 ounces crimini mushrooms, minced', '2 garlic cloves, minced', '1 pound ground beef', '2 tablespoons grated fresh ginger', '1 tablespoon low-sodium soy sauce', '1/2 teaspoon freshly ground black pepper', '4 green onions, chopped', '36 wonton wrappers, or more as needed', '2 tablespoons olive oil, or more as needed', '2 shallots, sliced', '2 garlic cloves, minced', '1 tablespoon grated fresh ginger', '4 cups vegetable broth', '1/4 cup soy sauce', '1/4 teaspoon red pepper flakes (optional)', '2 teaspoons sesame oil, or as needed', '2 green onions, chopped, or as needed', '1 teaspoon sesame seeds, or as needed']","['Heat 2 tablespoons olive oil in a large skillet over medium heat. Add mushrooms and sauté until most of the water from the mushrooms has evaporated and mushrooms are slightly golden, 8 to 10 minutes. Add garlic and cook for 1 minute, stirring frequently. Set aside to cool.', 'To make the dumpling filling, combine ground beef, ginger, soy sauce, black pepper, green onions, and the cooled mushroom mixture in a large mixing bowl. Stir to combine; set aside.', 'To make the broth, heat 2 tablespoons olive oil in a pot over medium heat. Add shallots and cook until softened and beginning to brown, about 3-4 minutes. Add ginger and garlic and cook for 1 minute, stirring frequently. Add the vegetable broth, soy sauce, and red pepper flakes, and bring to a boil, scraping the bottom of the pan as you stir. Reduce heat to low and simmer uncovered for at least 10 minutes while you shape the dumplings.', 'To assemble dumplings, place 1 tablespoon filling in the center of each wrapper. Brush the edges of wrapper with water (a spray bottle also works well to spray the edges) and fold to shape. Seal each dumpling fully, leaving no open holes. Repeat until all dumplings are filled.', 'Heat 2 tablespoons olive oil in a large skillet over medium heat. Working in batches, add dumplings to the pan in one even layer and cook uncovered until bottoms are golden, 2 to 3 minutes. Reduce heat to medium-low. Carefully add ¼ cup water and immediately cover, letting the dumplings steam until golden brown on the bottom and filling is no longer pink at the center, 5 to 7 minutes. An instant-read thermometer inserted near the center should read at least 160 degrees F (70 degrees C). Use more olive oil If the dumplings are sticking to the pan.', 'Transfer cooked dumplings to a plate; keep warm. Repeat to cook remaining dumplings.', 'To serve, place several dumplings in a shallow bowl, then pour over with a spoonful of broth. Top with chopped green onions, sesame seeds and a drizzle of sesame oil.']","{'Calories': '888', 'Fat': '45g', 'Carbs': '63g', 'Protein': '55g'}",https://www.allrecipes.com/beef-and-mushroom-dumplings-in-broth-recipe-7369568
Collard Green Wontons,"These collard cream cheese wontons, a fusion of Southern and Asian cuisine, will be a hit at your next gathering.",20 mins,20 mins,40 mins,6 servings,"['2 tablespoons grapeseed oil', '3 green onions, chopped', '1/2 red bell pepper, chopped', '1/2 orange bell pepper, chopped', '1 bunch collard greens, stems removed, chopped', '1 tablespoon chopped fresh garlic', '1 tablespoon greens seasoning (such as Concord® Fresh Express® Greens & Kale Southern Style Seasoning Mix)', '1 (8 ounce) package cream cheese, softened', '1 tablespoons sour cream', '1 package wonton wrappers', 'oil for frying']","['Heat grapeseed oil in wok over medium heat; cook and stir green onions, red bell pepper, and orange bell pepper for 5 minutes. Add collard greens, garlic, and greens seasoning; cook and stir until greens are wilted, about 10 minutes. Allow to cool for 10 minutes.', 'Stir cream cheese and sour cream together in a large bowl until smooth; stir in greens, a little at a time, until well mixed.', 'Place ½ to 1 teaspoon greens mixture in center of wonton wrapper. Dip a finger into a small bowl of water, and trace edges of wonton wrapper to moisten; fold wonton into a triangle and press edges together to seal securely. Repeat with remaining wonton wrappers and greens.', 'Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Fry wontons in small batches until golden and crisp, 2 to 3 minutes. Remove to a paper towel-lined plate.']",,https://www.allrecipes.com/collard-green-wontons-recipe-7254880
Manti (Armenian Dumplings),"If you ever wished for dumplings that are shaped like boats with the meat visible inside, try making these Armenian dumplings called manti. You can use either ground beef or ground lamb and they are traditionally served with either plain yogurt or a yogurt-based sauce.",40 mins,,2 hrs 5 mins,6,"['1 ⅔ cups all-purpose flour, or more as needed', '1 large egg', '1 ½ teaspoons olive oil', '½ teaspoon kosher salt', '2 tablespoons water, or as needed', '½ pound ground beef', '¼ cup finely diced onion', '2 tablespoons minced fresh parsley', '1 teaspoon smoked paprika', '1 teaspoon kosher salt', '½ teaspoon freshly ground black pepper', '1 pinch cayenne pepper', '1 tablespoon olive oil', '1 clove crushed garlic', '½ cup tomato sauce', '2 cups chicken or beef broth', 'salt and freshly ground black pepper to taste', 'cayenne pepper to taste']","['Combine 3/4 of the flour, egg, olive oil, salt, and water in a bowl. Mix with a fork, just like when making a pasta dough, until ingredients just come together. Continue mixing everything with your hands into a shaggy dough. Turn out mixture onto a floured surface and keep kneading until dough is nice and smooth. Add additional flour as needed. Cover and allow dough to rest on the counter for 30 minutes.', 'Combine ground beef, onion, parsley, smoked paprika, kosher salt, pepper, and Armenian cayenne in a bowl. Mix with a fork at first, then use your hands until filling is well combined. Cover and chill in the refrigerator.', 'Preheat the oven to 400 degrees C (200 degrees C). Grease a cast-iron skillet with olive oil.', 'Lightly flour a work surface and set the dough on top. Cut dough in half and roll out one half as thin as possible into a large rectangle. Cut dough first into strips, then into 20 small rectangles, about 1.5 x 1.75 inches each. Reserve dough scraps in case there is left over filling to make extra manti. Repeat with second half.', 'Use a teaspoon to portion out the filling, about 1/2 to 1 teaspoon per manti, and set into the middle of each dough rectangle (you can also use your hands to portion out the filling as shown in the video).', 'Moisten the outer, shorter edges of each rectangle with a little bit of water on your fingertips, pick up a rectangle, and trap the filling inside by pinching both ends of the dough together, creating the classic ""little man in the boat"" design. Press dumpling together so manti will sit up straight in the skillet, making sure the dough at the ends is as thin as it is around the filling.', 'Set manti inside the prepared skillet in such a way that there is still a little room between the dumplings as the dough will expand to about twice its size during cooking.', 'Bake in the preheated oven on the center rack for 40 minutes.', 'Meanwhile, heat olive oil in a pot over medium-high heat and cook garlic until fragrant, 20 to 30 seconds. Add tomato sauce and stir quickly. Add chicken broth and season with salt, pepper, and cayenne.', 'Bring tomato broth to a simmer and turn off the heat.', 'Ladle tomato broth over the manti and return to the oven for 15 more minutes.\n\n \n\n\n\n\n\n \n Chef John']","{'Calories': '257', 'Fat': '15g', 'Carbs': '20g', 'Protein': '11g'}",https://www.allrecipes.com/recipe/8491621/manti-armenian-dumplings/
