title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Quick and Easy Pancit,"This quick pancit recipe with chicken, vegetables, and rice noodles is easy and delicious. It will remind you of island fiestas!",15 mins,15 mins,30 mins,6,"['1 (12 ounce) package dried rice noodles', '1 teaspoon vegetable oil', '1  onion, finely diced', '3 cloves garlic, minced', '2 cups diced cooked chicken breast meat', '1 small head cabbage, thinly sliced', '4  carrot, thinly sliced', '¼ cup soy sauce', '2  lemons - cut into wedges, for garnish']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place rice noodles in a large bowl; cover with warm water and let soften for 8 to 10 minutes. Drain and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, heat oil in a wok or large skillet over medium-low heat. Add onion and garlic; cook and stir until onion is tender, about 3 to 5 minutes. Stir in chicken, cabbage, carrots, and soy sauce. Cook until cabbage begins to soften.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Toss in noodles and cook, stirring constantly, until heated through.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer pancit to a serving dish and garnish with lemon wedges.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '369', 'Fat': '5g', 'Carbs': '65g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/47015/quick-and-easy-pancit/
Chicken Tinola,"Tinola is an easy, one-pot soup from the Philippines. Chicken, chayote squash (or papaya!), bok choy, and spinach are simmered with fresh ginger in a savory broth that's often served with white rice.",30 mins,20 mins,50 mins,4,"['1 tablespoon cooking oil', '1 medium onion, chopped', '2 cloves garlic, minced', '1 (1 1/2 inch) piece fresh ginger, peeled and thinly sliced', '1 tablespoon fish sauce', '3 pounds chicken legs and thighs, rinsed and patted dry', '2 (14 ounce) cans chicken broth', '1  chayote squash, peeled and cut into bite-sized pieces', 'salt and ground black pepper to taste', '1 head bok choy, chopped', '1 (8 ounce) package fresh spinach, chopped']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a large pot over medium heat. Add onion and garlic; cook and stir until fragrant, about 2 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add ginger and fish sauce; cook and stir for 1 to 2 minutes. Stir in chicken and cook for 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour in chicken broth and cook for 5 minutes. Add squash and simmer until chicken is no longer pink in the center, about 10 minutes. Season with salt and pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add bok choy and spinach; cook until spinach is just wilted, 1 to 2 minutes. Serve hot.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '532', 'Fat': '23g', 'Carbs': '14g', 'Protein': '66g'}",https://www.allrecipes.com/recipe/212929/chicken-tinola/
Famous Chicken Adobo,This chicken adobo recipe is simple to make and loved by all who try it! It has been modified to be a bit saucier than traditional adobo and is delicious served over rice.,15 mins,45 mins,1 hr,6,"['2 tablespoons vegetable oil', '1 (3 pound) chicken, cut into pieces', '1 large onion, quartered and sliced', '2 tablespoons minced garlic', '⅔ cup low sodium soy sauce', '⅓ cup white vinegar', '1 tablespoon garlic powder', '2 teaspoons black pepper', '1  bay leaf']","['Heat vegetable oil in a large skillet over medium-high heat. Cook chicken pieces until golden brown, 2 to 3 minutes per side. Transfer chicken to a plate and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add onion and garlic to the skillet; cook until softened and brown, about 3 to 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour in soy sauce and vinegar and season with garlic powder, black pepper, and bay leaf.', 'Return chicken to pan, increase heat to high, and bring to a boil. Reduce heat to medium-low, cover, and simmer until chicken is tender and cooked through, 35 to 40 minutes.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '361', 'Fat': '22g', 'Carbs': '7g', 'Protein': '33g'}",https://www.allrecipes.com/recipe/128699/famous-chicken-adobo/
Pinakbet,"Pinakbet is a vegetable-based dish from the Philippines that can be served as an everyday dish or when you have company. Since it also contains pork and prawns, you can eat it as a one-pot meal.",15 mins,30 mins,45 mins,6,"['3 tablespoons olive oil', '1  onion, chopped', '2 cloves garlic, minced', '½ pound pork loin, chopped', '½ pound peeled and deveined prawns', 'salt and pepper to taste', '1  tomato, chopped', '¼ pound zucchini, seeded and cut into bite-size pieces', '¼ pound fresh okra, ends trimmed', '¼ pound fresh green beans, trimmed', '¼ pound eggplant, cut into bite-size pieces', '1 small bitter melon, cut into bite-size pieces']","['Heat oil in a large pot over medium heat; stir in onion and garlic and cook until tender, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add pork; cook and stir until browned, 5 to 7 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add prawns; cook and stir until they turn pink, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in tomato; season with salt and pepper, cover and simmer for 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in zucchini, okra, green beans, eggplant, and bitter melon; cover and cook until the vegetables are tender, about 10 minutes.']","{'Calories': '184', 'Fat': '10g', 'Carbs': '9g', 'Protein': '14g'}",https://www.allrecipes.com/recipe/212994/pinakbet/
Pork Sinigang,"Sinigang is a Filipino soup cooked with pork. Serve with rice and for additional sauce, use soy or fish sauce. If you want to, you can add what Filipinos call gabi gabi, which is a small taro root. When peeled they look like potatoes. You can add five to six of them when you add the water and make sure they are cooked through. Take them out when they are cooked because they can get too soft.",15 mins,1 hr,1 hr 15 mins,4,"['1 tablespoon vegetable oil', '1 small onion, chopped', '1 teaspoon salt', '1 (1/2 inch) piece fresh ginger, chopped', '2  plum tomatoes, cut into 1/2-inch dice', '1 pound bone-in pork chops', '4 cups water, more if needed', '1 (1.41 ounce) package tamarind soup base (such as Knorr®)', '½ pound fresh green beans, trimmed']","['Heat vegetable oil in a skillet over medium heat. Add onion; cook and stir until softened and translucent, about 5 minutes. Season with salt.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in ginger, tomatoes, and pork chops. Cover and reduce heat to medium-low. Turn the pork occasionally, until browned.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour in water and tamarind soup base. Bring to a boil, then reduce heat and simmer until the pork is tender and cooked through, about 30 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in green beans and cook until tender.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '240', 'Fat': '9g', 'Carbs': '12g', 'Protein': '27g'}",https://www.allrecipes.com/recipe/204958/pork-sinigang/
Lumpia in the Air Fryer,"This recipe for lumpia in the air fryer results in the same crispiness without having to deep-fry. Your taste buds will never know the difference, but your waistline will!",15 mins,30 mins,45 mins,16,"['1 pound Italian hot sausage links', '½ cup finely sliced green onions', '½ cup finely chopped carrots', '½ cup finely chopped water chestnuts', '¼ cup diced onions', '2 cloves garlic, minced', '2 tablespoons soy sauce', '½ teaspoon salt', '¼ teaspoon ground ginger', '16  spring roll wrappers', 'avocado oil cooking spray']","['Remove casing from sausage and cook in a skillet over medium heat until slightly browned, 4 to 5 minutes. Add green onions, carrots, water chestnuts, and onion. Cook and stir until onions are soft and translucent, 5 to 7 minutes. Add garlic and cook for 1 to 2 minutes. Season with soy sauce, salt, and ginger. Stir until filling is well combined; remove from heat.', 'Lay a spring roll wrapper at an angle. Place a scant 1/4 cup filling in the center of the wrapper. Fold bottom corner over filling and tuck in the sides to form a roll. Use your finger to lightly moisten edges with water. Repeat with remaining wrappers and filling. Mist each roll with avocado oil cooking spray.', 'Preheat an air fryer to 390 degrees F (198 degrees C).', 'Place lumpia rolls in the air fryer basket, making sure they are not touching; cook in batches if necessary. Fry for 4 minutes; flip and cook until skins are crispy, about 4 minutes more.']","{'Calories': '98', 'Fat': '6g', 'Carbs': '7g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/270708/lumpia-in-the-air-fryer/
Filipino Beef Steak,"This beef steak is a very easy recipe to make. A tender cut of beef is sliced thin, then marinated with lemon juice and soy sauce for at least an hour.",15 mins,10 mins,1 hr 25 mins,6,"['4 pounds New York strip steak, sliced thin', '1  lemon, juiced', '3 tablespoons soy sauce', '1 teaspoon white sugar', 'salt and pepper to taste', '1 tablespoon cornstarch', '¼ cup vegetable oil', '3 tablespoons olive oil', '1  onion, chopped', '2 cloves garlic, chopped']","['Place sliced beef in a large bowl. Whisk together lemon juice, soy sauce, sugar, salt, and pepper in a small bowl; pour over beef and toss to coat. Stir in cornstarch. Cover and refrigerate for 1 hour to overnight.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat vegetable oil in a large skillet over medium heat.', 'Remove beef slices from marinade, shaking to remove any excess liquid. Discard marinade.', 'Working in batches, fry beef slices in hot oil until they start to firm and are reddish-pink and juicy in the center, 2 to 4 minutes per side. Transfer beef slices to a serving platter.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat olive oil in a small skillet over medium heat. Cook and stir onion and garlic in hot oil until onion is golden brown, 5 to 7 minutes; spoon over beef slices.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '756', 'Fat': '39g', 'Carbs': '8g', 'Protein': '89g'}",https://www.allrecipes.com/recipe/212911/filipino-beef-steak/
Adobong Pusit (Squid Adobo),"Adobong pusit is a Filipino squid recipe that tastes best if you use fresh, smaller squid. Squid is simmered with onion, garlic, tomato, vinegar, and soy sauce for a tasty meal.",10 mins,35 mins,45 mins,5,"['2 ¼ pounds squid, cleaned', '½ cup white vinegar', '½ cup water', 'salt and ground black pepper to taste', '2 tablespoons olive oil', '1 small onion, minced', '2 cloves garlic, minced', '1  tomato, chopped', '1 tablespoon soy sauce']","['Combine squid, vinegar, and water in a small pot over medium heat; season with salt and pepper. Simmer for 10 minutes.', 'Meanwhile, heat olive oil in a saucepan over medium heat; cook and stir onion and garlic in hot oil until softened, 5 to 7 minutes. Stir in tomato and soy sauce.', 'Pour squid mixture into tomato mixture and bring to a simmer; cook for 20 minutes.']","{'Calories': '198', 'Fat': '7g', 'Carbs': '3g', 'Protein': '28g'}",https://www.allrecipes.com/recipe/212923/adobong-pusit-squid-adobo/
Ginataang Manok (Chicken Cooked in Coconut Milk),"This ginataang manok is a Filipino chicken dish flavored with ginger and coconut milk. Each family has their own version; this is my mother's. It's a rich dish that makes your kitchen smell so wonderful! Once my family smells the ginger frying and coconut milk simmering, they can't wait for it to be done so they can dig in. I salt it liberally, as the coconut milk tends to hide the salt flavor.",5 mins,50 mins,55 mins,6,"['3 tablespoons canola oil', '½ cup sliced fresh ginger', '1 (5 pound) whole chicken, cut into pieces', 'salt and ground black pepper to taste', '2 (14 ounce) cans coconut milk', '1 (10 ounce) package frozen chopped spinach, thawed and drained']","['Heat oil in a large skillet over medium heat and stir in ginger. Cook and stir until fragrant and lightly browned. Remove ginger and set aside.', 'Season chicken with salt and pepper. Place chicken in the same skillet over medium-high heat without crowding. Cook until chicken is lightly brown on all sides.', 'Return ginger to the skillet and add coconut milk. Bring to a boil, then cover with the lid tilted to allow steam to escape. Reduce heat to medium-low and simmer, stirring occasionally, until chicken is no longer pink at the bone, about 30 minutes.', 'Stir in spinach and simmer uncovered until spinach is warmed through, 8 to 12 minutes. Season with salt and pepper.']","{'Calories': '709', 'Fat': '60g', 'Carbs': '7g', 'Protein': '39g'}",https://www.allrecipes.com/recipe/204821/ginataang-manok-chicken-cooked-in-coconut-milk/
Filipino Lechon Kawali,"Lechon kawali is a popular Filipino dish of crispy deep-fried pork belly pieces that are super crunchy, tender, and delicious. Serve them hot with your favorite dipping sauce.",10 mins,45 mins,1 hr 10 mins,4,"['1 ½ pounds pork belly, cut into small pieces', '3 cloves garlic, crushed', '2  bay leaves', '½ teaspoon salt', '½ teaspoon ground black pepper', '2 cups oil for frying, or as needed']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine pork belly, garlic, bay leaves, salt, and pepper in a skillet; pour in enough water to cover. Bring to a boil, reduce heat, and simmer until skin is tender, 35 to 45 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drain and let sit at room temperature until pork has air-dried.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).', 'Fry pork in the hot oil, working in batches, until golden brown, 3 to 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove fried pork with a slotted spoon and drain on a paper towel-lined plate.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '502', 'Fat': '45g', 'Carbs': '2g', 'Protein': '21g'}",https://www.allrecipes.com/recipe/237899/filippino-lechon-kawali/
