title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Duck a l'Orange,"Duck a l'orange is one of those classic dishes that somehow became a cliché, and people stopped making it for fear of looking un-cool, which is too bad, since it's really good. This is traditionally done with a whole roasted duck, but by using duck breasts we get pretty much the same results in a lot less time.",15 mins,20 mins,50 mins,2,"['2  duck breast halves', 'salt to taste', '1 cup chicken broth', '2 tablespoons orange liqueur (such as Grand Marnier)', '1 tablespoon sherry vinegar', '1 tablespoon Seville orange marmalade, or more to taste', '2 teaspoons grated orange zest', '1 pinch cayenne pepper', '1 tablespoon reserved duck fat', '1 teaspoon all-purpose flour', '1 tablespoon butter']","['Score duck skin almost all the way through the skin and fat each way on the diagonal in a crosshatch pattern. Generously season with salt and rub salt into each breast. Let rest, skin-side up, at room temperature, for 15 minutes.', 'Whisk chicken broth, orange liqueur, sherry vinegar, orange marmalade, orange zest, and cayenne pepper together in a small bowl.', 'Pat duck breasts dry with paper towels. Re-season skin-side of duck breasts with salt.', 'Heat duck fat in a heavy skillet over medium heat for 2 minutes. Place duck in skillet, skin-side down, and cook for 6 minutes. Flip duck breasts and cook until they start to firm and are reddish-pink and juicy in the center, about 4 minutes more. An instant-read thermometer inserted into the center should read 140 degrees F (60 degrees C). Transfer breasts to a plate to rest. Pour any rendered duck fat into a glass jar.', 'Return skillet to medium heat and whisk flour into pan; cook and stir until flour is completely incorporated, about 1 minute. Pour orange mixture into skillet; bring to a boil. Cook until sauce thickens and is reduced, 3 to 5 minutes. Reduce heat to low. When orange mixture stops bubbling, add butter; stir until butter is completely melted and incorporated into the sauce, about 1 minute. Season with salt to taste.', 'Slice duck breasts across the grain, arrange on a plate, and spoon orange sauce over the top.']","{'Calories': '354', 'Fat': '21g', 'Carbs': '15g', 'Protein': '20g'}",https://www.allrecipes.com/recipe/236699/chef-johns-orange-duck/
Meat Pie,"This meat pie is delicious! I got it from my husband's mother. She is French so I believe this is a French meat pie recipe. Beef, pork, and potato are all nicely spiced and baked together. It's yummy and pretty easy to make too! It's best served fresh, but you can also make it ahead and freeze or refrigerate it. Serve the pie by itself or with a beef gravy.",25 mins,25 mins,50 mins,8,"['1 medium potato, peeled and cubed', '½ pound ground beef', '½ pound ground pork', '½ cup chopped onion', '⅓ clove garlic, chopped', '½ teaspoon mustard powder', '½ teaspoon dried thyme', '¼ teaspoon dried sage', '¼ teaspoon ground cloves', '1 teaspoon salt', '¼ teaspoon ground black pepper', '¼ cup water', '1 (15 ounce) package refrigerated pie crusts']","['Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place potato in a saucepan with enough water to cover. Bring to a boil, and cook until tender, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drain, mash, and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, crumble ground beef and pork into a large saucepan. Add onion, garlic, mustard powder, thyme, sage, cloves, salt, and black pepper. Stir in water. Cook over medium heat, stirring, until meat is evenly browned.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove from the heat and mix in mashed potato.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Ease one pie crust into a 9-inch pie plate. Fill with meat mixture, then top with the remaining pie crust.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Trim any excess dough, then crimp the edges with the tines of a fork to seal.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Prick top crust a few times with a knife to vent steam. Cover the edges of the crust with aluminum foil.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until crust is browned, about 25 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '381', 'Fat': '24g', 'Carbs': '28g', 'Protein': '14g'}",https://www.allrecipes.com/recipe/76296/meat-pie/
Trout Meunière,"Trout meunière is the lightest, freshest, most clean way to enjoy fish I know of. It's coated and pan-fried golden brown and topped with a lemony sauce. Classic, easy, and delicious.",15 mins,10 mins,25 mins,4,"['4 (6 ounce) fillets boneless, skin-on rainbow trout fillets, patted dry', '¾ teaspoon kosher salt, divided', '½ teaspoon finely ground black pepper', '½ cup all-purpose flour', '4 tablespoons ghee (clarified butter)', '6 tablespoons unsalted butter', '2 tablespoons finely chopped shallot', '3 tablespoons fresh lemon juice', '3 tablespoons finely chopped fresh flat-leaf parsley', 'lemon wedges, for serving']","['Preheat the oven to 200 degrees F (93 degrees C). Line a rimmed baking sheet with parchment paper and set aside.', 'Season trout fillets evenly with 1/2 teaspoon salt and pepper. Lightly dredge each fillet in flour, shaking off excess flour.', 'Heat ghee over medium-high in a large skillet. When butter shimmers, add fish fillets skin-side down, cooking in batches if necessary. Cook for 2 to 3 minutes, flip, and continue cooking until the outside is lightly golden brown, and fish is just cooked through and opaque, 1 to 2 minutes. Remove cooked fish to the prepared baking sheet and place in the preheated oven to keep warm.', 'Pour excess ghee or clarified butter from skillet; wipe skillet clean. Add unsalted butter and shallot to the skillet and cook briefly over medium heat until butter is melted and shallot has softened a bit, about 1 minute. Stir in lemon juice and season with remaining 1/4 teaspoon salt. Allow mixture to cook for about 30 seconds. Remove from heat, and stir in parsley.', 'Place fish fillets on plates or a platter; top with sauce from skillet and serve immediately with lemon wedges on the side.']","{'Calories': '530', 'Fat': '36g', 'Carbs': '14g', 'Protein': '37g'}",https://www.allrecipes.com/recipe/8465314/trout-meuniere/
Beans and Greens Tartine,Bacon-y beans and garlicky greens are combined in this delicious French open-faced sandwich called a tartine.,30 mins,35 mins,1 hr 5 mins,4,"['4 thick slices French bread', '2 tablespoons olive oil', '1 bunch Swiss chard, stems removed', '1 tablespoon olive oil', '2 cloves garlic, minced', 'zest from 1 lemon', 'salt and freshly ground black pepper to taste', 'cayenne pepper to taste', '2 slices bacon, cut into 1/2 inch pieces', '¼ cup sliced green onions', '½ teaspoon ground cumin', '¼ teaspoon dried oregano', 'salt to taste', '1 (12 ounce) can pinto beans, drained and rinsed', '2 tablespoons water, plus more as needed', '1  lemon, juiced', '6 ounces pepper Jack cheese, grated', '1  red Fresno chile, thinly sliced', '¼ cup thinly sliced green onions']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Drizzle olive oil on both sides of the bread.', 'Bake in the preheated oven until light golden brown, about 20 minutes.', 'Meanwhile, bring a large pot of lightly salted water to a boil over high heat. Add Swiss chard and cook for 2 minutes. Transfer chard to a bowl of cold water to stop the cooking process. Drain and squeeze out as much excess water from the chard as possible using your hands. Roughly chop.', 'Heat olive oil in a skillet over medium-heat and add garlic. Cook and stir until fragrant, about 20 seconds. Add chard and stir to combine. Turn off heat, and season with lemon zest, salt, pepper, and cayenne; stir to combine. Remove from stove and set aside until needed.', 'Meanwhile, place bacon in a large skillet and cook over medium-high heat, turning occasionally, until well browned and crisp, about 10 minutes. Turn off heat and remove bacon with a slotted spoon. Drain bacon slices on paper towels. Crumble once cool enough to handle.', 'Preheat the oven to 450 degrees F (230 degrees C). Line a baking sheet with aluminum foil.', 'Remove all but 1 to 2 tablespoons of bacon fat from the skillet. Heat skillet over medium-high heat and add green onions. Cook onions for 1 minute. Stir in cumin, oregano, and salt. Add beans, and stir to combine. Add water, and bring to a simmer. Once beans are simmering, use a potato masher to mash beans as smooth as you want. Add more water of you like to achieve desired texture. Taste and adjust for salt.', 'Spread bean mixture evenly amongst the 4 pieces of toast. Top with chard, followed by crumbled bacon. Drizzle with lemon juice, and top with freshly grated pepper Jack cheese.', 'Bake in the preheated oven until cheese starts to brown and the tartines are heated through, about 12 minutes.', 'Serve topped with Fresno chile pepper slices and green onions.']","{'Calories': '514', 'Fat': '32g', 'Carbs': '38g', 'Protein': '20g'}",https://www.allrecipes.com/recipe/8524473/beans-and-greens-tartine/
Croque Madame,"A classic croque madame makes the perfect French-inspired brunch or lunch dish. Once you try this, it will be hard to have ""just"" a ham and cheese sandwich again. Don't cheat and use Swiss cheese, this deserves the real thing! Using Gruyère cheese will make all the difference.",15 mins,25 mins,40 mins,2,"['4 tablespoons salted butter, softened, divided', '1 ½ tablespoons all-purpose flour', '1 cup milk', '2 ounces shredded Gruyère cheese', '¼ teaspoon salt, or to taste', '¼ teaspoon ground black pepper, or to taste', '⅛ teaspoon ground nutmeg', '4 slices white bread, lightly toasted', '2 teaspoons Dijon mustard', '2 thin slices  Black Forest ham', '2 large eggs', '1 tablespoon water', '1 teaspoon chopped fresh dill, or to taste (Optional)']","[""Set an oven rack about 6 inches from the heat source and preheat the oven's broiler."", 'Melt 1 1/2 tablespoons butter in a saucepan over medium-low heat. Whisk in flour and stir until slightly brown, about 3 minutes. Whisk in milk; bring to a boil, stirring constantly. Once boiling, reduce heat immediately and simmer for 5 minutes. Add 1/2 of the Gruyère cheese, salt, pepper, and nutmeg; heat until cheese is melted, about 2 minutes. Remove from the heat and set aside.', 'Spread about 1 teaspoon butter on 2 pieces of bread. Spread 1 tablespoon cheese sauce on top and layer each with a ham slice. Spread 1 teaspoon butter on the remaining 2 pieces of bread, then spread Dijon mustard on top and sprinkle with remaining Gruyère. Transfer all 4 pieces to a baking sheet.', 'Broil in the preheated oven until cheese is almost melted, 2 to 3 minutes. Remove from the oven, place toast slices together to make 2 sandwiches and pour remaining cheese sauce on top of each sandwich. Return to the broiler until sauce starts to brown, about 2 minutes.', 'While the sandwiches are broiling, heat remaining butter in a nonstick skillet over medium-high heat. Crack 2 eggs into the skillet, keeping them completely separate from one another. Season with salt and pepper. Add water, cover, and baste until whites are set but yolks are still runny, about 2 minutes.', 'Top each sandwich with an egg and sprinkle with dill, if using. Serve immediately.']","{'Calories': '639', 'Fat': '43g', 'Carbs': '37g', 'Protein': '25g'}",https://www.allrecipes.com/recipe/282251/croque-madame-sandwich/
Chicken Cordon Bleu,This entree is easy and delicious! It's one of my husband's favorites! Try to use the largest chicken breasts you can find so you'll be able to roll them easier.,10 mins,35 mins,45 mins,4,"['nonstick cooking spray', '4  skinless, boneless chicken breast halves', '¼ teaspoon salt', '⅛ teaspoon ground black pepper', '6 slices Swiss cheese', '4 slices cooked ham', '½ cup seasoned bread crumbs']","['Gather all ingredients. Preheat oven to 350 degrees F (175 degrees C). Coat a 7x11-inch baking dish with nonstick cooking spray.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pound chicken breasts to 1/4 inch thickness.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sprinkle each piece of chicken on both sides with salt and pepper. Place 1 Swiss cheese slice and 1 ham slice on top of each breast.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Roll up each breast and secure with toothpicks.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place in the prepared baking dish and sprinkle chicken evenly with bread crumbs.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until chicken is no longer pink, 30 to 35 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove from the oven, and place 1/2 Swiss cheese slice on top of each breast.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Return to the oven until cheese has melted, 3 to 5 minutes. Remove toothpicks and serve immediately.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '419', 'Fat': '19g', 'Carbs': '13g', 'Protein': '46g'}",https://www.allrecipes.com/recipe/8495/chicken-cordon-bleu-i/
Lobster Thermidor,"Lobster Thermidor is surprisingly simple to make at home for a stunning meal for two. Lobster shells are stuffed with cooked lobster in a creamy white wine sauce, topped with Parmesan cheese, and broiled until golden.",30 mins,10 mins,40 mins,2,"['1 medium (1 ½ pound) cooked lobster', '2 tablespoons butter', '1  shallot, finely chopped', '1 ⅜ cups fresh fish stock', '¼ cup white wine', '¼ cup heavy cream', '½ teaspoon hot English mustard', '2 tablespoons chopped fresh parsley', '1 tablespoon fresh lemon juice', 'salt and freshly ground black pepper to taste', '¼ cup freshly grated Parmesan cheese']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cut lobster in half lengthwise, and remove any meat from the claws, tail, and head. Cut meat into pieces and place back into the shells.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Melt butter in a large skillet over medium heat. Add shallot; cook and stir until tender.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Mix in fish stock, white wine, and cream. Bring to a boil, and cook until reduced by half. Mix in parsley, lemon juice, mustard, salt, and pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', ""Preheat your oven's broiler. Place stuffed lobster halves on a broiling pan or baking sheet. Spoon sauce over the meat and sprinkle with Parmesan cheese.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios"", 'Broil in the preheated oven until just golden brown, 3 to 4 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve immediately and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '653', 'Fat': '28g', 'Carbs': '14g', 'Protein': '77g'}",https://www.allrecipes.com/recipe/87386/lobster-thermidor/
Quiche Lorraine,"Quiche Lorraine is a timeless classic. This version has bacon, Swiss cheese, and onions in perfect harmony amidst eggs and cream for a supremely satisfying brunch dish!",15 mins,55 mins,1 hr 20 mins,6,"['12 slices bacon', '1 cup shredded Swiss cheese', '⅓ cup minced onion', '1 (9-inch) prepared pie crust', '2 cups light cream', '4 large eggs, beaten', '¾ teaspoon salt or to taste', '¼ teaspoon white sugar or to taste', '⅛ teaspoon cayenne pepper']","['Preheat the oven to 425 degrees F (220 degrees C).', 'Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels, then chop coarsely.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sprinkle bacon, Swiss cheese, and onion into prepared pastry crust.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk cream, eggs, salt, sugar, and cayenne pepper in a medium bowl; pour mixture into pastry shell.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven for 15 minutes. Reduce heat to 300 degrees F (150 degrees C) and continue baking until a knife inserted 1 inch from the edge comes out clean, about 30 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Allow quiche to sit 10 minutes before cutting into wedges and serving.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '761', 'Fat': '68g', 'Carbs': '19g', 'Protein': '19g'}",https://www.allrecipes.com/recipe/17515/quiche-lorraine-i/
Omelet in a Bag,This easy omelet-in-a-bag recipe is great for when there are picky eaters in the crowd who want different egg additions. You can make as many as needed or just one if you like. Got this from an internet friend. Good served with fruit and coffee cake.,10 mins,20 mins,30 mins,1,"['2 large eggs', '2 slices ham, chopped (Optional)', '½ cup shredded Cheddar cheese', '2 tablespoons chopped fresh tomato (Optional)', '2  fresh mushrooms, sliced (Optional)', '1 tablespoon chopped onion (Optional)', '1 tablespoon chopped green bell pepper (Optional)', '1 tablespoon chunky salsa (Optional)']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Crack eggs into a large resealable freezer bag. Press out most of the air, and seal. Shake or squeeze to beat the eggs.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Open the bag, and add ham, Cheddar, tomato, mushrooms, onion, bell pepper, and salsa. Squeeze out as much of the air as you can and seal the bag again.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring a large pot of water to a boil. Place the bag (up to 8 bags at a time) into the boiling water. Cook for exactly 13 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Open the bag, and let the omelet roll out onto a plate. The omelet should roll out easily.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '484', 'Fat': '34g', 'Carbs': '8g', 'Protein': '38g'}",https://www.allrecipes.com/recipe/85107/omelet-in-a-bag/
Chef John's Coq au Vin,"I make coq au vin with bone-in chicken thighs to create that sticky goodness in the braising liquid. Bacon, Burgundy red wine, and fresh thyme add tons of flavor and depth to this classic French stew. Serve this coq au vin with mashed potatoes or polenta that can soak up all that delicious sauce.",15 mins,1 hr 30 mins,1 hr 45 mins,6,"['6  bone-in, skin-on chicken thighs', 'kosher salt and freshly ground black pepper to taste', '8 ounces bacon, sliced crosswise into ½-inch pieces', '10 large button mushrooms, quartered', '½ large yellow onion, diced', '2  shallots, sliced', '2 teaspoons all-purpose flour', '2 teaspoons butter', '1 ½ cups red wine', '6 sprigs fresh thyme', '1 cup chicken broth']","['Preheat the oven to 375 degrees F (190 degrees C). Season chicken thighs all over with salt and black pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sauté bacon in a large, oven-proof skillet over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Transfer bacon with a slotted spoon to a paper towel-lined plate, leaving drippings in the skillet.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Increase the heat to high and place chicken thighs, skin-side down, into the skillet. Cook until browned, 2 to 4 minutes per side. Transfer chicken to a plate; drain and discard all but 1 tablespoon drippings from the skillet.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Lower the heat to medium-high; sauté mushrooms, onion, and shallots with a pinch of salt in the hot skillet until golden and caramelized, 7 to 12 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir flour and butter into vegetable mixture until completely incorporated, about 1 minute.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour red wine into the skillet and bring to a boil while scraping browned bits of food off of the bottom of the pan with a wooden spoon. Stir bacon and thyme into red wine mixture; simmer until wine is about 1/3 reduced, 3 to 5 minutes. Pour chicken broth into wine mixture and return chicken thighs to the skillet; bring to a simmer.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer the skillet to the preheated oven and cook for 30 minutes. Spoon pan juices over the chicken and continue cooking until no longer pink at the bone and the juices run clear, about 30 minutes more. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees F (74 degrees C). Transfer chicken to a platter.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place the skillet over high heat and reduce pan juices, skimming fat off the top as necessary, until sauce thickens slightly, about 5 minutes. Season with salt and pepper; remove and discard thyme. Pour sauce over chicken to serve.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '255', 'Fat': '19g', 'Carbs': '5g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/239230/chef-johns-coq-au-vin/
