title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Frozen Tajin Grapes,"These frozen Tajin grapes—a tangy treat for hot summer days—take only 4 ingredients. If you've never had frozen grapes, you're in for a real treat. Super quick and easy to remember—the ingredient amounts are all in 2s.",10 mins,,8 hrs 10 mins,8,"['2 pounds green grapes', '2 atblespoons chili lime seasoning, (such as Tajin®)', '2 tablespoons lemon juice', '2 tablespoons white sugar']","['Place grapes in a large bowl with a cover. Add Tajin, lemon juice, and sugar; toss to coat. Let stand for 30 minutes. Toss again. Cover bowl and freeze for 8 hours or up to overnight.', 'Remove grapes from the freezer and let sit 5 minutes. Toss again and enjoy.']","{'Calories': '96', 'Fat': '0g', 'Carbs': '25g', 'Protein': '1g'}",https://www.allrecipes.com/frozen-tajin-grapes-recipe-8709027
3 Ingredient Ube Ice Cream,"This 3 ingredient ube ice cream is super easy to make, absolutely delicious, and purple! I was thrilled when I discovered ube sweetened condensed milk at my local Filipino market, and this is the result.",10 mins,,1 day 10 mins,6,"['2 cups heavy cream', '1 (10 ounce) can ube sweetened condensed milk', '4 teaspoons ube flavoring or extract']","['Pour heavy cream into a chilled bowl. Using a hand mixer, whip until soft peaks form, 3 to 4 minutes. Add ube sweetened condensed milk and continue whipping until stiff peaks form. Add ube flavoring and mix until just combined.', 'Pour into a freezer-safe container with a lid. Freeze overnight.', 'Before serving, let sit on counter for a few minutes to soften a bit.']","{'Calories': '482', 'Fat': '34g', 'Carbs': '37g', 'Protein': '7g'}",https://www.allrecipes.com/3-ingredient-ube-ice-cream-recipe-8681790
Dulce De Leche Ice Cream,"This dulce de leche ice cream, with ripples of lightened dulce de leche in every scoop, is very creamy and rich, with just the perfect hint of salt.",15 mins,,8 hrs 15 mins,6,"['1 (13.4 ounce) can dulce de leche', '2 cups heavy whipping cream, divided', '2 teaspoons vanilla extract', '1/2 teaspoon kosher salt', 'flaky sea salt']","['Gather all ingredients. Line inside of a 5x9-inch loaf pan with plastic wrap, leaving a 1-inch overhang on both long sides; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk dulce de leche and 1/3 cup of the heavy cream in a small mixing bowl until evenly combined, about 1 minute. Transfer 1 cup of the dulce de leche mixture to a large mixing bowl, and set aside. Reserve remaining mixture for drizzling.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Beat vanilla, salt, and remaining 1 2/3 cups heavy cream with a stand mixer fitted with a whisk attachment on medium-high speed just until stiff peaks form, about 3 minutes. Fold whipped cream, in 3 additions, into the 1 cup of dulce de leche mixture in large bowl until fully incorporated and no streaks remain.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer half of the whipped cream mixture into prepared loaf pan, spreading into an even layer. Spoon about half of the reserved dulce de leche mixture evenly over whipped cream layer. Repeat process with the remaining whipped cream mixture and remaining reserved dulce de leche mixture.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Using a butter knife gently swirl dulce de leche mixture and whipped cream mixture together to create a decorative design.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cover loosely with plastic wrap and store in freezer until fully set, at least 8 hours or up to 12 hours. Sprinkle with flaky sea salt, and serve.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '473', 'Fat': '33g', 'Carbs': '37g', 'Protein': '7g'}",https://www.allrecipes.com/dulce-de-leche-ice-cream-recipe-8680054
These Copycat Choco Tacos Taste Just Like the Real Thing,"If Klondike won't bring back the ice cream truck treat, you can still make it at home.",30 mins,30 mins,2 hrs 20 mins,8,"['1/2 cup butter', '1/2 cup packed dark brown sugar', '1/2 cup egg whites', '1 1/2 teaspoons vanilla extract', '1/2 teaspoon salt, plus a pinch', '1/2 cup plus 1/8 cup flour', '1/4 cup water', 'vanilla fudge swirl ice cream', '1 cup semisweet chocolate chips', '1/3 cup coconut oil', '1/2 cup\xa0chopped\xa0unsalted peanuts']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Stand a thin hard cover book up straight with the hard edge facing upwards. Drape a sheet of parchment across the book (this is what you will use to shape the shells). Line a plate with parchment paper.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Heat butter in a small saucepan over medium-low until melted, 2 to 3 minutes. Transfer the melted butter to a bowl, then whisk in brown sugar, egg whites, vanilla to taste, and 1/2 teaspoon salt. Add flour and water. Whisk until the batter is smooth and no clumps remain.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', ""Heat a non-stick skillet over medium. Pour about 1 tablespoon batter into the pan; spread into a thin layer with a spoon. Cook until browned on the bottom and bubbles begin to form on top, 1 to 2 minutes. Flip and cook until browned on other side, 1 to 2 minutes more. Remove from pan and immediately drape over parchment-lined book, pressing to help form that taco shell shape. Transfer to a parchment-lined plate and repeat with remaining batter. Let cool completely before filling. Alternatively, preheat a waffle cone maker according to manufacturer's instructions. Pour batter into the preheated waffle maker and cook according to instructions. Remove from pan and immediately drape across the parchment-lined book. Let cool completely before filling.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai"", 'Remove ice cream from the freezer and let soften for about 5 minutes.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Meanwhile, combine chocolate chips and coconut oil in a microwave-safe bowl; microwave in 30-second intervals, mixing well between each, until mixture is melted and smooth, 1 to 2 minutes. Stir in chopped peanuts.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Carefully fill the taco shells with the ice cream, pressing down gently to evenly distribute the ice cream to the edges. Repeat with the remaining taco shells. Place back on the parchment-lined plate.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Dip the top of each ice cream taco in the peanut-chocolate mixture to completely coat the exposed ice cream. Return to the parchment-lined plate. Repeat with the remaining tacos until all are dipped. Once chocolate has hardened, carefully place Choco Tacos in a sealable container or bag and return to freezer.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai']","{'Calories': '458', 'Fat': '33g', 'Carbs': '39g', 'Protein': '6g'}",https://www.allrecipes.com/copycat-choco-tacos-recipe-8660298
Chef John’s 8 Most Popular Ice Cream Recipes to Beat the Heat,Keep reading for our most-saved Chef John ice cream recipes.,,,,,[],[],,https://www.allrecipes.com/best-chef-john-ice-cream-recipes-8672733
Bastani (Saffron and Rose Ice Cream),"Bastani is flavored with rose water, the key to this vibrant and delicious saffron and rose ice cream. Rose water has a strong flavor, so start with 2 tablespoons if you want a more delicate floral note.",15 mins,15 mins,12 hrs 30 mins,8,"['5 large egg yolks', '1/2 cup white sugar', '5 1/2 cups whole milk', '2 to 4 tablespoons rose water', '1 teaspoon vanilla extract', '1/2 teaspoon saffron threads, crushed to a powder', '1 1/2 cups whipping cream', '1/3 cup chopped raw, unsalted pistachios\xa0(optional), plus more for garnish', 'dried rose petals, for garnish']","['Whisk together egg yolks and sugar in a medium bowl until thick and pale yellow, 1 to 2 minutes.', 'Warm the milk, rose water, and vanilla in a medium saucepan over medium heat just until mixture lightly simmers. Gradually pour milk mixture into yolk mixture, whisking constantly.', 'Return mixture to saucepan and cook over medium-low heat, stirring constantly, until an instant-read thermometer registers 170 degrees F (77 degrees C) and mixture is thick enough to coat the back of a spoon, 5 to 8 minutes. Remove from heat. Add saffron, stirring until mixture takes on a deep-yellow color, about 1 minute. Stir in whipping cream. Cover surface with plastic wrap; chill at least 8 hours or up to 24 hours.', 'Churn mixture in an ice cream maker according to manufacturer’s directions until it reaches the texture of soft-serve ice cream. Add pistachios (if using) during the last few minutes of churning.', 'Transfer to a freezer-safe container, cover surface with parchment paper, and freeze until firm, at least 4 hours.', 'Scoop into bowls. Garnish with pistachios and rose petals. (Freeze in an airtight container up to 1 week.)']","{'Calories': '356', 'Fat': '25g', 'Carbs': '22g', 'Protein': '11g'}",https://www.allrecipes.com/bastani-saffron-and-rose-ice-cream-recipe-8661887
Peanut Butter Cottage Cheese Ice Cream,"Peanut butter cottage cheese ice cream? Yes! It is low in calories, high in protein, and best of all it is a delicious soft-serve ice cream. No ice cream maker is needed, since it is made in a powerful blender.",10 mins,,10 mins,8,"['1 (24 ounce) container full-fat cottage cheese', '1/2 cup peanut butter', '1/3 cup pure maple syrup', '2 tablespoons peanut butter powder', '1 tablespoon sugar-free peanut butter syrup, such as Torani®', '1 teaspoon vanilla extract', '1/8 teaspoon salt']","['Combine cottage cheese, peanut butter, maple syrup, peanut butter powder, peanut butter syrup, vanilla, and salt in blender cup of a powerful blender such as a Vitamix. Blend until completely smooth, using a tamper if needed.', 'Pour into a freezer-safe container. Freeze until consistency is that of soft-serve ice cream, stirring every 30 minutes to avoid ice crystals, about 2 hours.\n\n Cook’s Note\nThis is best served immediately. If ice cream freezes completely, let sit on counter 10 to 15 minutes to soften; stir and serve.A food processor can be used in place of a Vitamix.']","{'Calories': '221', 'Fat': '12g', 'Carbs': '16g', 'Protein': '14g'}",https://www.allrecipes.com/peanut-butter-cottage-cheese-ice-cream-recipe-8644150
Easy No-Churn Ice Cream,"This easy no-churn ice cream is so simple to make, very creamy, tasty, and easy to scoop. This version is vanilla-flavored, but it's easy to create many different flavors, and a number of variations are included below.",15 mins,,6 hrs 15 mins,10,"['2 cups chilled heavy cream', '1 (14 ounce) can sweetened condensed milk', '1 tablespoon vanilla extract', '1/4 teaspoon salt']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add heavy cream to the bowl of a stand mixer with a whisk attachment. Beat on medium-high speed until stiff peaks form, 2 to 3 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add sweetened condensed milk, vanilla and salt. Mix on low speed until fully combined, 20 to 30 seconds, scraping sides of bowl as needed.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer mixture into a 9x5-inch loaf pan, spreading evenly in the pan. Cover with plastic wrap, gently pressing down to touch the ice cream mixture and seal out any air bubbles. Freeze until firm, at least 6 hours before serving.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios\n\n Recipe Variations:\nDouble Chocolate: Whip cream. Whisk 2 tablespoons unsweetened cocoa powder and 1/4 cup hot fudge sauce into sweetened condensed milk, reduce vanilla extract to 1 teaspoon; mix into whipped cream. Freeze as above.Oreo® Brownie Fudge: Whip cream. Whisk 1/4 cup hot fudge sauce into sweetened condensed milk, reduce vanilla extract to 1 teaspoon, and mix into whipped cream. Fold in\xa01/2 cup crushed Oreo® cookie pieces and 1/2 cup chopped brownie pieces. Freeze as above.Salted Caramel Peanut: Whip cream. Whisk 1/4 cup caramel sauce into sweetened condensed milk, reduce vanilla extract to 1 teaspoon, and increase salt to 1/2 teaspoon; mix into whipped cream. Fold in 1/2 cup roasted salted peanuts. Freeze as above.Strawberry: Whip cream. Whisk 1/4 cup strawberry jam into sweetened condensed milk, reduce vanilla extract to 1 teaspoon; mix into whipped cream. Fold in 1/2 cup finely chopped strawberries. Freeze as above.\n\n\n\n Cook’s Note\nAdd 1/2 cup of any preferred toppings and stir in before freezing.For original recipe, substitute vanilla bean paste for vanilla extract for a richer vanilla flavor.For a richer strawberry flavor, roast chopped strawberries in a shallow baking dish at 350 degrees F (175 degrees C) until the berries are tender and juices have released , about 20 minutes. Cool berries and juices to room temperature, then stir into cream mixture.Store ice cream in an airtight container in the freezer for up to 2 weeks.']","{'Calories': '337', 'Fat': '22g', 'Carbs': '31g', 'Protein': '6g'}",https://www.allrecipes.com/easy-no-churn-ice-cream-recipe-8581998
Donut Ice Cream Sandwiches,"These donut ice cream sandwiches begin with a not-so-ordinary maple bacon bar, but butter pecan ice cream inside really takes them over the top. A maple bar will do for the sandwich, but it might be worth the trouble to track down a maple bacon bar. For a treat this good, who would think you’d only need 5 minutes to make them?",5 mins,,5 mins,2,"['1 maple bacon bar donut', '1/2 cup butter pecan ice cream, slightly softened']","['Cut maple bacon bar in half, then cut each piece in half horizontally.', 'Spread the bottom of each bar donut half with butter pecan ice cream. Place the cut donut tops onto the ice cream. Serve immediately.']","{'Calories': '384', 'Fat': '21g', 'Carbs': '44g', 'Protein': '6g'}",https://www.allrecipes.com/donut-ice-cream-sandwiches-recipe-8423867
Nutella Ice Cream,"This exquisite homemade Nutella ice cream is full of nutty flavor, and everyone will simply love it. Nutella gives this ice cream an unbelievable hazelnut taste.",10 mins,15 mins,2 hrs 40 mins,8,"['2 cups whole milk', '1 cup heavy cream, divided', '4 large egg yolks', '1/2 teaspoon vanilla extract', '1/2\xa0 cup cocoa hazelnut spread (such as Nutella®)', '1 ounce hazelnuts, crushed, or as needed for garnish']","['Combine milk, cream, and 1/2 cup sugar in a saucepan over medium heat. Cook until sugar dissolves, about 5 minutes.', 'Beat egg yolks with the remaining sugar in a bowl with an electric mixer until eggs become thick and pale yellow, about 4 minutes.', 'Pour 1/2 cup warm milk mixture into egg mixture and stir. Add this mixture back into the saucepan. Cook over very low heat, stirring constantly, until the mixture becomes thick enough to coat the back of a wooden spoon, 7 to 10 minutes.', 'Place a strainer over a bowl and pour the warm custard mixture through the strainer. Stir in vanilla and hazelnut spread until it dissolves.', 'Chill mixture completely, about 1 hour. Pour into an ice cream maker and churn until frozen according to manufacturer’s instructions, 15 to 20 minutes.', 'Transfer to a plastic container and place in the freezer for an hour before serving. Top with crushed hazelnuts for serving.']","{'Calories': '305', 'Fat': '23g', 'Carbs': '16g', 'Protein': '8g'}",https://www.allrecipes.com/nutella-ice-cream-recipe-7508716
