title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Easy Strawberry Brownies,"These easy strawberry brownies are made with strawberry cake mix, and iced with a fresh strawberry glaze.",10 mins,20 mins,50 mins,12,"['1 (15.5 ounce) box strawberry cake mix', '1/2 cup unsalted butter, melted', '2 large eggs', '2 teaspoons vanilla extract, divided', '3 strawberries, chopped', ""1 1/2 cups confectioner's sugar, or more as needed"", '1/4 teaspoon kosher salt']","['Preheat the oven to 350 degrees F (180 degrees C). Lightly grease an 11x7-inch baking dish.', 'Mix cake mix, melted butter, eggs, and 1 teaspoon vanilla extract in a bowl until well combined. Spread mixture into an even layer in the prepared baking dish.', 'Bake in the preheated oven until a toothpick comes out clean when inserted into the center, 16 to 18 minutes. Allow brownies to cool in the pan for about 20 minutes.', 'Meanwhile, puree strawberries and remaining teaspoon of vanilla extract in a food processor or with an immersion blender until smooth.', 'Stir strawberry mixture into confectioner’s sugar until smooth, adding extra sugar as necessary to reach the consistency of a glaze. Add salt and stir.', 'Spread strawberry glaze evenly over the cooled brownies and let stand until completely cooled.\xa0 Cut into 12 squares, or refrigerate until ready to serve.\n\n \n\n\n\n\n\n \n Peyton Beckwith']","{'Calories': '251', 'Fat': '10g', 'Carbs': '39g', 'Protein': '2g'}",https://www.allrecipes.com/easy-strawberry-brownies-recipe-11696682
Creamsicle Sheet Cake,"This tasty poke cake takes inspiration from tres leches cake, but incorporates zest orange flavor for a dreamy creamsicle twist.",30 mins,30 mins,3 hrs,24,"['non-stick cooking spray', '1 cup granulated sugar', '1 large orange, zested', '5 large eggs, at room temperature', '1 1/4 cups all purpose flour', '1 3/4 teaspoons baking powder', '1/2 teaspoon fine\xa0sea salt', '1/2 cup buttermilk', '2 teaspoons vanilla extract', '1 1/4 cups fresh squeezed\xa0orange juice', '1 (14-ounce) can sweetened condensed milk', '1/2 cup whole milk', '2 cups heavy whipping cream, chilled', '1/4 cup powdered sugar', '1/2 teaspoon vanilla extract', 'orange zest, for garnish (optional)']","['Gather all ingredients. Place an oven rack in the center of the oven. Preheat the oven to 350 degrees F (180 degrees C). Lightly grease a 9 x 13 inch cake pan with nonstick spray.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Combine sugar and orange zest in a small bowl and rub together with your hands until well zest has colored the sugar a light orange.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Add eggs to the bowl of an electric mixer fitted with the whip attachment (or in a large bowl if using a hand mixer) and beat on medium speed for 1 minute. Increase to medium-high speed, and gradually add orange sugar in about 3 additions. Continue to whip for 5 minutes, until the mixture becomes pale and thick.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'While the eggs whip, whisk flour, baking powder, and salt together in a small bowl.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Once egg mixture is ready, mix in buttermilk and vanilla on low speed, mixing just to incorporate.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Add dry ingredients to the bowl, and mix on low speed until combined. Scrape the bowl well, and mix once more on low speed to make sure everything is well combined.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Pour batter into the prepared pan and gently spread into an even layer. Transfer to the oven and bake until the surface of the cake is evenly golden brown, and the cake springs back gently in the center when touched, 30 to 35 minutes.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Prick the warm cake all over with the tines of a fork, a chopstick, or a skewer to make holes all over the cake.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Pour orange juice evenly over the surface of the cake.', 'Combine sweetened condensed milk and milk in a large liquid measuring cup or mixing bowl with a pour spout and stir until well combined. Pour milk mixture over the cake, aiming to evenly cover the whole surface. Let cake cool completely at room temperature.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Loosely cover the surface of the cake pan with plastic wrap, and refrigerate the cake for at least 2 hours and up overnight.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Combine cream, powdered sugar, and vanilla in the bowl of an electric mixer fitted with the whip attachment (or in a large bowl if using a hand mixer) and beat on medium speed until medium peaks form.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram', 'Unwrap the soaked cake, and cover the surface evenly with whipped cream. Garnish with orange zest. The cake will keep, loosely covered, in the refrigerator for up to 4 days.\n\n \n\n\n\n\n\n \n Allrecipes / Preethi Venkatram']","{'Calories': '230', 'Fat': '10g', 'Carbs': '30g', 'Protein': '5g'}",https://www.allrecipes.com/creamsicle-sheet-cake-recipe-8783024
Sticky Rice with Passion Fruit Sauce,"This sticky rice with passion fruit sauce and coconut milk is a subtly sweet Thai dessert often served with fresh mango. Here, passion fruit adds sour and snap.",15 mins,20 mins,1 hr 45 mins,8,"['1 1/2 cups water', '1 1/4 cups uncooked glutinous sticky white rice, rinsed well', '1 (13.5 to 14 ounce) can unsweetened coconut milk', '1/2 cup white sugar', '1/2 teaspoon salt', '1 teaspoon tapioca starch', '2 tablespoons passion fruit puree', '1/4 cup pomegranate arils']","['Stir together water and rice in a medium saucepan. Bring to a boil over high heat. Reduce heat to low; simmer, covered, until water is absorbed, 15 to 20 minutes. Let stand 10 minutes.', 'Meanwhile, stir together coconut milk, sugar, and salt in a small saucepan. Bring to a boil over high heat, stirring frequently. Remove from heat.', 'Reserve 1/3 cup of coconut milk mixture for sauce; pour remaining mixture over cooked rice, stirring gently to combine. Let cool, covered, 1 hour.', 'Meanwhile, for sauce, whisk together reserved coconut milk mixture and tapioca starch in the small saucepan; bring to a boil over high heat, stirring frequently. Cook, stirring constantly, just until thickened, about 2 minutes. Remove from heat. Stir in passion fruit purée.', 'Stir rice just before serving. Drizzle servings with sauce and sprinkle with pomegranate arils. Rice and sauce can be chilled in separate airtight containers for up to 5 days.']","{'Calories': '270', 'Fat': '15g', 'Carbs': '36g', 'Protein': '3g'}",https://www.allrecipes.com/sticky-rice-with-passion-fruit-sauce-recipe-11686748
Rhubarb-Buttermilk Clafoutis,"In this rhubarb-buttermilk clafoutis, tart fresh rhubarb amps up a dessert-for-breakfast treat. To use frozen rhubarb, thaw and drain, and skip the roasting steps.",10 mins,50 mins,1 hr 30 mins,6,"['1 pound fresh rhubarb, cut into 1-inch piece', '1 teaspoon butter', '1/2 cup all-purpose flour', '1/8 teaspoon baking powder', '1/8 teaspoon salt', '3 large eggs', '1 cup buttermilk', '1/3 cup white sugar', '1 teaspoon vanilla extract', '1 teaspoon orange zest', '1 tablespoon coarse sugar, such as turbinado', 'whipped cream, for serving']","['Preheat oven to 400 degrees F (200 degrees C). Line a 10x15-inch rimmed baking sheet with parchment paper. Spread rhubarb in an even layer in prepared pan.', 'Roast in the preheated oven until tender, 10 to 15 minutes. Let cool 30 minutes.', 'Reduce oven temperature to 350 degrees F (180 degrees C). Grease a 9-inch round or oval baking dish with 1 teaspoon butter. Transfer rhubarb to the prepared baking dish.', 'Stir together flour, baking powder, and salt in a small bowl. In a large bowl, whisk together eggs, buttermilk, white sugar, vanilla, and orange zest; add flour mixture and stir until batter is smooth. Carefully pour batter over rhubarb in baking dish.', 'Bake in the preheated oven until batter is set, about 30 minutes. Sprinkle with coarse sugar. Bake until top is lightly browned, 10 to 15 minutes more. Serve with whipped cream.']","{'Calories': '168', 'Fat': '4g', 'Carbs': '27g', 'Protein': '6g'}",https://www.allrecipes.com/rhubarb-buttermilk-clafoutis-recipe-11686831
Bananas Foster Crispy Rice,"For this bananas Foster crispy rice, caramelized bananas, ice cream, toasted pecans, and a rum caramel sauce sit atop a sweet-salty disc of butter-fried crisp sushi rice.",10 mins,55 mins,10 hrs 15 mins,6,"['1 cup sushi rice, rinsed', '1 1/2 cups tap water', '1/4 cup plus 2 tablespoons white sugar, divided', '1 1/2 teaspoons kosher salt, divided', '1/4 cup plain whole milk yogurt', '1 tablespoon light brown sugar', '2 teaspoons vanilla extract', '1 teaspoon ground cinnamon', '5 tablespoons unsalted butter, divided', '2 medium bananas, halved crosswise and lengthwise', '1/3 cup caramel topping\xa0(such as Smucker’s®)', '1 tablespoon dark rum\xa0(such as Myers’s®)', 'vanilla ice cream, for serving', 'finely chopped toasted pecans, for garnish']","['Stir together rice, water, 1/4 cup white sugar, and 1 teaspoon salt in a saucepan. Bring to a boil over high heat. Once boiling, reduce heat to medium-low and cover with a tight fitting lid. Cook, undisturbed, until rice is tender, about 25 minutes. Remove from heat and let sit, covered, for 10 minutes. Fluff with a fork and spread onto a parchment-lined baking sheet. Refrigerate, uncovered, for at least 8 hours and up to 24 hours.', 'Stir together yogurt, brown sugar, vanilla, cinnamon, and remaining 1/2 teaspoon salt in a bowl. Add refrigerated rice and stir well until fully coated.', 'Heat 2 tablespoons butter in a 10-inch nonstick skillet over medium-high heat. Add rice mixture to skillet and use the back of a spoon to flatten into an even layer to cover bottom of skillet. Press rice with spoon to ensure there are no gaps.', 'Cook over medium heat, uncovered, pressing rice down occasionally, and turning pan 90 degrees every 2 minutes, until it sizzles and begins to brown and crisp along edges of skillet, about 10 minutes. Remove from heat. Spray a large plate with cooking spray and place upside down over the skillet. Holding both firmly, flip the skillet over so rice is on the plate. Add 2 tablespoons of the remaining butter to skillet, then gently slide rice back into skillet. Cook over medium until a crust begins to form and edges are crisp, about 8 more minutes. Slide rice onto a large plate and set aside. Reserve skillet.', 'Meanwhile, place banana slices on a large plate and sprinkle flat sides evenly with remaining 2 tablespoons white sugar. Using a kitchen torch, carefully heat sugar until deeply golden brown and shiny, about 2 minutes.', 'Melt remaining 1 tablespoon butter in skillet over medium heat. Add caramel and stir until just starting to bubble, about 30 seconds. Remove from heat and add rum. Using kitchen torch, carefully light rum in skillet. Swirl skillet until flames have disappeared, about 30 seconds.', 'Place caramelized banana slices on top of crispy rice and drizzle with some of the caramel mixture. Top with small scoops of ice cream and another drizzle of caramel. Sprinkle with chopped pecans and serve immediately with remaining sauce on the side.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai\n\n From the Editor:\nHow to toast pecans: Preheat the oven to 350 degrees F (180 degrees C). Spread pecans onto a baking sheet. Toast in the preheated oven until nuts start to turn golden brown and become fragrant, 8 to 12 minutes.']","{'Calories': '437', 'Fat': '20g', 'Carbs': '59g', 'Protein': '5g'}",https://www.allrecipes.com/bananas-foster-crispy-rice-recipe-11685503
Fudgy Black Forest Bars,"These fudgy Black Forest bars are a decadent dessert that is somewhere between brownie and cake, loaded with chocolate and bathed in cherries. They're fabulous with coffee.",15 mins,40 mins,55 mins,10,"['1 cup salted butter, softened', '1 1/2 cups white sugar', '2 teaspoons vanilla extract', '4 large eggs', '2 cups all purpose flour', '1/2 cup unsweetened triple chocolate baking cocoa', '1 large dark chocolate bar, chopped into chunks (about 1 cup chunks)', '1 (21 ounce) can cherry pie filling', '1 tablespoon confectioners sugar (optional)']","['Gather all ingredients. Preheat the oven to 350 degrees F (180 degrees C). Grease a 9x13-inch pan.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Beat butter and sugar together in a bowl with an electric mixer until creamy. Beat in vanilla. Add eggs, 1 at a time, beating in each egg completely before adding the next.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Stir in flour and cocoa powder until fully combined. Stir in chocolate chunks.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Spread mixture into prepared pan, then pour pie filling over the top, smoothing it out.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Bake in the preheated oven for 40 minutes, then check for doneness. A toothpick inserted near the center should come out with just a few moist crumbs. Bake up to 10 minutes more, if needed.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma', 'Cool completely; sprinkle with confectioner’s sugar. Cut into bars.\n\n \n\n\n\n\n\n \n Allrecipes / Christine Ma']","{'Calories': '593', 'Fat': '25g', 'Carbs': '87g', 'Protein': '7g'}",https://www.allrecipes.com/fudgy-black-forest-bars-recipe-8781403
Cherry Torte with Cherry Prosecco Syrup,"This cherry torte with cherry Prosecco syrup is my updated version of the humble cake my mother served for many holidays. Her version, delicious with canned tart cherries, may date back to the Depression. I use frozen dark, sweet bing cherries, and a syrup that is so good you will want to pour it on everything.",10 mins,1 hr 10 mins,1 hr 20 mins,9,"['1 1/2 cups unsweetened cherry juice', '1/2 (750 ml) bottle Prosecco', '1 1/4 cups white sugar, divided', '1 large egg', '1 (10 ounce) bag frozen dark sweet bing cherries, thawed, divided', '1 cup all-purpose flour', '1 teaspoon baking soda', '1 teaspoon salt', '1/2 teaspoon vanilla extract', '1 tablespoon melted butter']","['For syrup, pour cherry juice, Prosecco, and sugar into a saucepan and bring to a boil over medium-high heat. Reduce heat and cook at a lively simmer until syrupy and reduced by at least half, about 40 minutes. Set aside 1 cup cherries for cake; add remaining cherries to syrup; allow to cool. Syrup can be made several days in advance.', 'Preheat the oven to 350 degrees F (180 degrees C). Line a 9x9-inch square baking pan with parchment.', 'Stir sugar and egg together in a bowl. Stir in the reserved 1 cup cherries. Add flour, baking soda, salt, vanilla, and butter and stir until flour disappears. Spread into the prepared baking pan.', 'Bake in the preheated oven until a toothpick inserted near the center comes out clean, 30 to 40 minutes. The cake will collapse in the center; this is expected. Cool on a wire rack to room temperature.', 'Cut cake into squares, and spoon a generous amount of syrup with cherries over each serving. Cake and syrup are best served warm or at room temperature.']","{'Calories': '242', 'Fat': '2g', 'Carbs': '48g', 'Protein': '3g'}",https://www.allrecipes.com/cherry-torte-with-cherry-prosecco-syrup-recipe-8786525
Lemon Crumb Bars,"These lemon crumb bars have a buttery shortbread crust, with a tart, tangy lemon filling, and a golden crumb topping.",15 mins,45 mins,1 hr 40 mins,16,"['3/4 cup unsalted butter, melted', '1/2 cup white sugar', '1/2 cup firmly packed light brown sugar', '3/4 teaspoon salt', '2 teaspoons vanilla extract', '2 cups all-purpose flour', '1/4 teaspoon baking powder', '3 large eggs, at room temperature, divided', '1 cup plus 2 tablespoons white sugar', '2 tablespoons cornstarch', '2 tablespoons freshly grated lemon zest', '1 pinch salt', '3 tablespoons unsalted butter,\xa0melted and cooled', '1/2 cup freshly squeezed lemon juice']","['Preheat the oven to 350 degrees F (180 degrees C). Line a 9x9-inch square pan with enough parchment paper to have overhang on all sides.', 'For crust and crumb, stir together melted butter, white sugar, brown sugar, salt, and vanilla until thoroughly combined. Add in flour and baking powder and mix until mixture comes together in large clumps. Measure out a loosely-packed 1 3/4 cups crumbs and press firmly and evenly into the bottom of prepared pan. Reserve remaining crumb mixture for topping.', 'Break an egg into a large bowl and whisk for a few seconds. Lightly brush a thin layer of egg over the crust; you will use any egg left in the filling. Place crust into the freezer for about 10 to 15 minutes while you prepare filling.', 'For filling, to the egg you used as egg wash, add the remaining 2 eggs, 1 cup plus 2 tablespoons sugar, cornstarch, lemon zest, and pinch salt. Whisk until completely smooth and combined. Whisk in the 3 tablespoons melted butter until incorporated. Pour in lemon juice and whisk until combined.', 'Remove crust from freezer and pour the filling evenly over the top.', 'Bake bars in the preheated oven for 25 minutes.', 'Remove pan from oven and sprinkle reserved crumb topping evenly over the top, breaking up any larger crumbs as needed. Return pan to the oven.', 'Bake until crumbs just begin to turn golden, 20 to 25 minutes more. Allow bars to cool completely, about 30 minutes, before cutting and serving.\n\n Cook’s Note\nI recommend making this in a metal pan—not glass—just to avoid the potential of thermal shock from taking the pan directly from the freezer to the oven.']","{'Calories': '273', 'Fat': '12g', 'Carbs': '40g', 'Protein': '3g'}",https://www.allrecipes.com/lemon-crumb-bars-recipe-8781116
Whole Orange Blender Cake,"This whole orange blender cake is a pretty domed loaf, nicely sweet with big orange flavor, and even a tantalizing hint of delightful bitterness. It's also nice to have only the blender jar to wash when you're done!",10 mins,45 mins,55 mins,8,"['1 navel orange or other thin-skinned orange, at room temperature', '3 large eggs, at room temperature', '1/3 cup butter, melted', '1 teaspoon vanilla extract', '2 cups all-purpose flour', '2/3 cup white sugar', '2 teaspoons baking powder', '1/2 teaspoon salt', ""3/4 cup confectioner's sugar"", '1 tablespoon orange juice or milk']","['Gather all ingredients.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat the oven to 350 degrees F (180 degrees C). Coat an 8x4-inch loaf pan with nonstick spray and line with parchment paper.', 'Wash the orange and blot dry with paper towels. Cut in 8ths, removing any seeds.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine orange pieces, eggs, sugar, melted butter, and vanilla in a blender. Cover and blend until smooth, about 30 seconds. Add flour, baking powder, and salt. Cover and pulse just until combined and batter is smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add batter to prepared pan.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake until a toothpick inserted into the center comes out clean, about 45 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cool in the pan on a wire rack 10 minutes. Remove from pan and cool completely on a wire rack.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk together powdered sugar and orange juice until smooth. Drizzle over the cooled loaf.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '396', 'Fat': '10g', 'Carbs': '72g', 'Protein': '7g'}",https://www.allrecipes.com/whole-orange-blender-cake-recipe-8769291
No-Bake Nutter Butter Banana Pudding Cheesecake,This no-bake nutter butter banana pudding cheesecake comes together quickly and then needs to chill for a couple of hours. The perfect make-ahead dessert for company.,20 mins,,2 hrs 20 mins,10,"['20 Nutter Butter sandwich cookies, plus more for garnish', '5 tablespoons butter, melted', '2 (8-ounce packages) cream cheese, softened', '1 (8-ounce) can sweetened condensed milk', '2 cups heavy whipping cream, divided', '1 (3.4 ounce) package vanilla instant pudding mix', '1/2 (3.4 ounce) package banana instant pudding mix', '1 1/2 teaspoons vanilla extract', '1/8 teaspoon salt', '2 bananas, thinly sliced', '3 tablespoons peanut butter, plus more for topping', '2 tablespoons powdered sugar']","['Pulse cookies in a food processor until finely crushed.\xa0Add melted butter and pulse just until combined.\xa0Press mixture into the bottom of a 9 inch spring form pan.\xa0Freeze crust while filling is prepared.', 'In a stand mixer fitted with a paddle attachment, beat cream cheese until light and fluffy.\xa0Add in sweetened condensed milk and 1 1/2 cups cream and beat until smooth, scraping down the sides of the bowl as necessary.\xa0Add in pudding mixes, vanilla, and salt and blend until smooth and well combined.\xa0Mixture will be very thick.', 'Spread half of the pudding mixture into the pan over the crust.\xa0Add banana slices in an even layer over pudding mixture.\xa0Melt peanut butter for about 15 seconds in the microwave and drizzle evenly over the banana slices.\xa0Top with remaining pudding mixture and spread into an even layer.\xa0Refrigerate for 2 hours and up to overnight.', 'Whip remaining cream and powdered sugar together until soft peaks form.\xa0Serve cheesecake topped with\xa0 whipped cream.\xa0Top with half of a cookie and more melted peanut butter if desired.\n\n \n\n\n\n\n\n \n Dotdash Meredith Video Studios']","{'Calories': '1024', 'Fat': '59g', 'Carbs': '119g', 'Protein': '10g'}",https://www.allrecipes.com/no-bake-nutter-butter-banana-pudding-cheesecake-recipe-8733272
