title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Greek-Style Grilled Lamb Chops,"These Greek-style grilled lamb chops, seasoned with a simple herb and lemon marinade, grill up grassy, sweet, and tender.",10 mins,10 mins,4 hrs 55 mins,4,"['8 cloves garlic, crushed', '6 tablespoons extra-virgin olive oil', '1/4 cup fresh lemon juice, divided, plus lemon wedges for serving', '1 tablespoon dried oregano, divided', '1 tablespoon kosher salt, divided', '1 teaspoon crushed red pepper, divided (optional)', '3/4 teaspoon freshly ground black pepper, divided', '2 pounds (1/2-inch thick) bone-in lamb rib chops or (1-inch thick) lamb loin chops, trimmed']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk together garlic cloves, 1/4 cup olive oil, 3 tablespoons lemon juice, 2 teaspoons dried oregano, 2 teaspoons salt, 1/2 teaspoon red pepper, and 1/2 teaspoon black pepper in a small bowl until combined.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place lamb chops in a resealable plastic bag, and pour marinade over chops. Remove air from bag, and seal. Store in the refrigerator to marinate at least 4 hours or up to 12 hours. Remove from refrigerator, and let stand 30 minutes to warm slightly.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat an outdoor grill to High (450 to 500 degrees F (230 to 260 degrees C)). Scrape off excess marinade from lamb chops, and discard remaining marinade in bag. Sprinkle chops evenly with 1/2 teaspoon of the salt and remaining 1/4 teaspoon black pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place lamb chops on oiled grates; grill, covered, turning once or twice, until browned and a thermometer inserted into thickest portion of lamb chop registers 130 degrees F (54 degrees C) for medium-rare, about 4 minutes for rib chops and about 6 minutes for loin chops, or to desired degree of doneness. Carefully turn lamb chops with tongs to sear edges, as desired. Transfer lamb chops to a platter; let rest 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While lamb chops rest, whisk together remaining 2 tablespoons oil, 1 tablespoon lemon juice, 1 teaspoon oregano, 1/2 teaspoon salt, and 1/2 teaspoon crushed red pepper, as desired, in a small bowl until combined.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drizzle olive oil mixture over lamb chops, and serve immediately with lemon wedges.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '887', 'Fat': '68g', 'Carbs': '4g', 'Protein': '65g'}",https://www.allrecipes.com/greek-style-grilled-lamb-chops-recipe-8680071
Greek Turkey Meatballs,"These Greek turkey meatballs are perfect for your next Greek night at home, reminiscent of Greek-style kebabs, and they take no time to make.",20 mins,10 mins,30 mins,4 to 6,"['nonstick cooking spray', '1 pound ground turkey', '2 ounces feta cheese, drained and finely crumbled', '1/2 cup seasoned breadcrumbs', '2 tablespoons olive oil', '2 tablespoons finely chopped red onion', '2 tablespoons finely chopped fresh mint', '1 tablespoon finely chopped fresh oregano, plus oregano leaves for garnish', '1 tablespoon finely chopped fresh flat-leaf parsley', '3/4 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon garlic powder', '1/2 teaspoon ground cumin', '1/2 teaspoon lemon zest, plus lemon wedges for serving', '1/4 teaspoon crushed red pepper', '1 large egg']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', ""Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a large rimmed baking sheet with aluminum foil; spray with cooking spray."", 'Place ground turkey, feta, breadcrumbs, olive oil, red onion, mint, oregano, parsley, salt, black pepper, garlic powder, cumin, lemon zest, crushed red pepper, and egg in a large bowl; stir gently until well combined.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Using a cookie scoop or tablespoon, shape mixture into 24 (1-ounce) meatballs; arrange in an even layer on the prepared baking sheet. Generously spray meatballs with cooking spray.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Broil in the preheated oven until meatballs are golden brown on top, and an instant-read thermometer inserted into thickest portion of meatballs registers 165 degrees F (74 degrees C), 8 to 10 minutes. Rotate baking sheet from front to back halfway through cooking time. Garnish with oregano leaves, and serve with lemon wedges.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '473', 'Fat': '32g', 'Carbs': '13g', 'Protein': '35g'}",https://www.allrecipes.com/greek-turkey-meatballs-recipe-8654633
Souvlaki,"Souvlaki is a Greek specialty made with tender cuts of meat. In this recipe, pork tenderloin is marinated in a lemony mixture of olive oil and oregano. Serve with rice pilaf and a Greek salad.",30 mins,10 mins,2 hrs 40 mins,12,"['¼ cup olive oil', '¼ cup soy sauce', '1 medium lemon, juiced', '3 cloves garlic, crushed', '1 teaspoon dried oregano', '3 pounds pork tenderloin, cut into 1 inch cubes', '2 medium yellow onions, cut into 1 inch pieces', '2 medium green bell peppers, cut into 1 inch pieces', 'skewers']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Mix oil, soy sauce, lemon juice, garlic, and oregano together in a large glass bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add pork, onions, and bell peppers, and stir until coated. Cover and refrigerate for 2 to 3 hours.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat an outdoor grill for medium-high heat and lightly oil the grate.', 'Remove pork and vegetables from marinade and shake off excess; thread onto skewers. Discard remaining marinade.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cook on the preheated grill, turning frequently, until pork is no longer pink in the middle, 10 to 15 minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '189', 'Fat': '8g', 'Carbs': '4g', 'Protein': '24g'}",https://www.allrecipes.com/recipe/14713/souvlaki/
Greek Feta and Spinach Potato Casserole,"If you like potato gratins and casseroles, try this unique Greek-inspired recipe. The herbaceous flavor of mint and spinach pairs well with the rich flavor of baked feta cheese.",25 mins,55 mins,1 hr 30 mins,6 servings,"['2 1/2 pounds yukon gold potatoes, peeled and halved', '8 ounces spinach', '2 tablespoons water', '1/4 cup extra virgin olive oil', '2 cloves peeled garlic', '2 tablespoons sliced green onions', '2 teaspoons lemon zest', '1 1/2 teaspoons kosher salt to taste', '1/2 teaspoon freshly ground black pepper\xa0to taste', 'cayenne pepper to taste', '1 large egg', '6 ounces Greek feta, crumbled, divided', '1/4 cup fresh mint leaves']","['Place potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until barely tender, about 15 minutes. Drain well and allow to cool to room temperature.', ""Meanwhile, add spinach in a dry saucepan over medium-high heat and wilt, turning the entire time with tongs so it doesn't burn, 1 to 2 minutes. Transfer spinach to a high container. Add water, olive oil, peeled garlic, green onions, lemon zest, salt, pepper, cayenne pepper, egg, 1/2 of the feta cheese, and mint leaves. Puree using an immersion blender until well combined."", 'Preheat the oven to 400 degrees F (200 degrees C).', 'Slice potatoes 1/4-inch thick into a bowl. Pour spinach mixture on top of the sliced potatoes and toss well so each slice is evenly coated. Transfer mixture to a shallow baking dish, smooth out the top, and sprinkle with remaining feta cheese.', 'Bake on the center rack in the preheated oven until the edges of the feta start to just turn golden, 35 to 45 minutes. Let rest for 10 minutes before serving.\n\n \n\n\n\n\n\n \n Chef John']","{'Calories': '360', 'Fat': '16g', 'Carbs': '45g', 'Protein': '11g'}",https://www.allrecipes.com/greek-feta-and-spinach-potato-casserole-recipe-7372803
Traditional Gyro Meat,"This delicious gyro meat is the closest I've come to emulating my favorite Mediterranean restaurant's recipe. The Greek/Lebanese-style meatloaf is sliced and served with pita bread, tzatziki, and tomatoes. The preparation time seems long, but most of it is resting time, so you can be doing other things!",15 mins,1 hr,2 hrs 15 mins,10,"['½ medium onion, cut into chunks', '1 pound ground lamb', '1 pound 80/20 ground beef', '1 tablespoon minced garlic', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '1 teaspoon dried marjoram', '1 teaspoon ground dried rosemary', '1 teaspoon ground dried thyme', '1 teaspoon ground black pepper', '1½ teaspoons fine sea salt', 'cooking spray']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pulse onion in a food processor until finely chopped, about 5 (1-second) pulses. Scoop onions onto the center of a towel, gather up the towel ends, and squeeze to remove liquid.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine onions, lamb, beef, garlic, oregano, cumin, marjoram, rosemary, thyme, pepper, and salt in a large bowl. Mix with your hands until well combined. Cover and refrigerate 1 to 2 hours to allow the flavors to blend. Preheat the oven to 325 degrees F (165 degrees C). Evenly coat a 9x5-inch loaf pan with cooking spray.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Working in 2 batches if necessary, place meat mixture into a food processor and pulse until finely chopped and the texture feels tacky, about 1 minute.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer mixture into prepared loaf pan, and pack down to make sure there are no air pockets. Line a medium roasting pan with a damp kitchen towel. Place the loaf pan in the center of the towel-lined roasting pan, and transfer it into the preheated oven. Carefully pour boiling water into the roasting pan until it comes halfway up the sides of the loaf pan.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until gyro meat is no longer pink in the center, about 1 hour to 1 hour 25 minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour off any accumulated fat, and allow to cool slightly before slicing thinly and serving.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '258', 'Fat': '17g', 'Carbs': '1g', 'Protein': '24g'}",https://www.allrecipes.com/recipe/173420/traditional-gyro-meat/
Moussaka,This moussaka tastes great! Layers of sliced eggplant are baked in a ground beef sauce and smothered in a creamy white béchamel sauce in this classic Greek dish.,45 mins,1 hr,1 hr 45 mins,8,"['3  eggplants, peeled and cut lengthwise into 1/2 inch thick slices', 'salt to taste', '¼ cup olive oil', '1 tablespoon butter', '1 pound lean ground beef', '2  onions, chopped', '1 clove garlic, minced', 'ground black pepper to taste', '2 tablespoons dried parsley', '½ teaspoon fines herbs', '¼ teaspoon ground cinnamon', '½ teaspoon ground nutmeg, divided', '1 (8 ounce) can tomato sauce', '½ cup red wine', '1  egg, beaten', '4 cups milk', '½ cup butter', '6 tablespoons all-purpose flour', 'ground white pepper, to taste', '1 ½ cups freshly grated Parmesan cheese']","['Lay eggplant slices on paper towels; sprinkle lightly with salt. Let sit for 30 minutes to draw out moisture, then pat dry with paper towels.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Warm olive oil in a skillet over high heat. Fry eggplant until browned, 2 to 3 minutes per side. Drain on paper towels; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Melt 1 tablespoon butter in a large skillet over medium heat. Stir in ground beef, onions, and garlic; season with salt and black pepper. Cook and stir until beef is browned, 8 to 10 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add parsley, fines herbs, cinnamon, and 1/4 teaspoon nutmeg. Pour in tomato sauce and wine; mix well. Simmer for 20 minutes. Allow to cool, then stir in beaten egg.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Scald milk in a saucepan over medium heat.', 'At the same time, melt 1/2 cup butter in a large skillet over medium heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk flour into butter until smooth. Lower heat; gradually pour in scalded milk, whisking constantly until it thickens. Season béchamel sauce with salt and white pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.', 'Arrange a single layer of eggplant in the prepared baking dish.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cover eggplant with meat sauce, then sprinkle 1/2 cup Parmesan cheese on top. Cover with remaining eggplant and sprinkle another 1/2 cup cheese on top.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour béchamel sauce on top and sprinkle with remaining 1/4 teaspoon nutmeg. Cover with remaining cheese.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until bubbly and browned, about 1 hour.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve hot and enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '567', 'Fat': '39g', 'Carbs': '29g', 'Protein': '24g'}",https://www.allrecipes.com/recipe/19644/moussaka/
Chicken Souvlaki with Tzatziki Sauce,Chicken souvlaki skewers are marinated Greek kabobs. Fantastic flavor for chicken. The marinade can also be used for pork.,15 mins,15 mins,2 hrs 30 mins,6,"['¼ cup olive oil', '2 cloves garlic, minced', '2 tablespoons lemon juice', '1 teaspoon dried oregano', '½ teaspoon salt', '1 ½ pounds skinless, boneless chicken breast halves - cut into bite-sized pieces', '6  wooden skewers, or as needed', '1 (6 ounce) container plain Greek-style yogurt', '½  cucumber - peeled, seeded, and grated', '1 tablespoon olive oil', '2 teaspoons white vinegar', '1 clove garlic, minced', '1 pinch salt']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Prepare kabobs: Combine olive oil, garlic, lemon juice, oregano, and salt in a large resealable bag. Add chicken, coat with the marinade, squeeze out excess air and seal the bag; marinate in the refrigerator for 2 hours.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Prepare sauce: Mix yogurt, cucumber, olive oil, vinegar, garlic, and salt together in a bowl. Refrigerate sauce for flavors to blend, 1 to 2 hours.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Soak wooden skewers in a bowl of cold water for about 15 minutes. Preheat an outdoor grill for medium-high heat and lightly oil the grate.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove chicken from marinade and thread onto the soaked skewers. Discard unused marinade.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cook the skewers on the preheated grill, turning frequently until browned on all sides and chicken is no longer pink in the center, about 7 to 8 minutes per side.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve with tzatziki sauce. Enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '268', 'Fat': '17g', 'Carbs': '3g', 'Protein': '26g'}",https://www.allrecipes.com/recipe/231644/chicken-souvlaki-with-tzatziki-sauce/
Traditional Gyros,Make a Greek gyro sandwich at home with this recipe that I absolutely love!,15 mins,45 mins,3 hrs 15 mins,12,"['1 small onion, cut into chunks', '1 pound ground lamb', '1 pound ground beef', '1 tablespoon minced garlic', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '1 teaspoon dried marjoram', '1 teaspoon dried thyme', '1 teaspoon dried rosemary', '1 teaspoon freshly ground black pepper', '¼ teaspoon sea salt', '12 tablespoons hummus', '12  pita bread rounds', '1 small head lettuce, shredded', '1 large tomato, sliced', '1 large red onion, sliced', '6 ounces crumbled feta cheese', '24 tablespoons tzatziki sauce']","['Place onion in a food processor and finely chop. Transfer onion to a piece of cheesecloth and squeeze out the liquid. Place onion in a large bowl.', 'Mix lamb, beef, garlic, oregano, cumin, marjoram, thyme, rosemary, black pepper, and salt with the onion using your hands until well mixed. Cover bowl with plastic wrap and refrigerate until flavors blend, about 2 hours.', 'Preheat the oven to 325 degrees F (165 degrees C).', 'Place meat mixture in a food processor and pulse until finely chopped and tacky, about 1 minute. Pack meat mixture into a 7x4-inch loaf pan, ensuring there are no air pockets. Place the loaf pan into a roasting pan and pour enough boiling water around the loaf pan to reach halfway up the sides for a water bath.', 'Bake in the preheated oven until no longer pink in the center, 45 to 60 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Pour off any accumulated fat and cool slightly.', 'Thinly slice the cooked gyro meat loaf.', 'Spread 1 tablespoon hummus onto each pita bread. Then top each with some of the gyro meat slices, shredded lettuce, tomato slices, red onion slices, feta cheese crumbles, and 2 tablespoons tzatziki sauce to complete each sandwich.']","{'Calories': '425', 'Fat': '41g', 'Carbs': '43g', 'Protein': '22g'}",https://www.allrecipes.com/recipe/240559/traditional-gyros/
Greek Chicken,"This Greek chicken recipe is great for summer grilling season! I serve it with sliced tomatoes, feta cheese, and garlic bread.",10 mins,30 mins,2 hrs 40 mins,8,"['½ cup olive oil', '2  lemons, juiced', '3 cloves garlic, chopped', '1 tablespoon chopped fresh rosemary', '1 tablespoon chopped fresh thyme', '1 tablespoon chopped fresh oregano', '1 (4 pound) chicken, cut into pieces']","['Mix olive oil, lemon juice, garlic, rosemary, thyme, and oregano in a glass dish. Place chicken pieces in the mixture; cover and marinate in the refrigerator for 2 to 3 hours.', 'Preheat an outdoor grill for high heat and lightly oil the grate.', 'Place chicken on the grill, and discard the marinade. Cook until chicken is no longer pink at the bone and the juices run clear, about 15 minutes per side (smaller pieces will not take as long). An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).\n\n \n\n\n\n\n\n \n Fabeveryday']","{'Calories': '412', 'Fat': '31g', 'Carbs': '4g', 'Protein': '31g'}",https://www.allrecipes.com/recipe/14527/greek-chicken/
Vegetarian Moussaka,"This vegetarian moussaka recipe always gets rave reviews from vegetarians and non-vegetarians alike. Easy to make, but takes time. Serve with salad.",30 mins,1 hr 35 mins,2 hrs 35 mins,8,"['1  eggplant, thinly sliced', '1 teaspoon salt, or more as needed', '1 tablespoon olive oil, or more as needed', '1 large zucchini, thinly sliced', '2  potatoes, thinly sliced', '1  onion, sliced', '1 clove garlic, chopped', '1 tablespoon white vinegar', '1 (14.5 ounce) can whole peeled tomatoes, chopped', '½ (14.5 ounce) can lentils, drained with liquid reserved', '2 tablespoons chopped fresh parsley', '1 teaspoon dried oregano', 'ground black pepper to taste', '1 cup crumbled feta cheese', '1 ¼ cups milk', '2 tablespoons all-purpose flour', '1 ½ tablespoons butter', '1 pinch ground nutmeg', 'ground black pepper to taste', '1 large egg, beaten', '¼ cup grated Parmesan cheese']","['Sprinkle eggplant slices with salt; set aside for 30 minutes. Rinse and pat dry with paper towels.', 'Preheat the oven to 375 degrees F (190 degrees C).', 'Heat olive oil in a large skillet over medium-high heat. Cook eggplant and zucchini in hot oil until lightly browned, about 3 minutes per side. Remove with a slotted spoon to drain on a paper towel-lined plate, reserving as much oil as possible in the skillet.', 'Add more oil to the skillet if needed and let it get hot. Cook potato slices in hot oil until browned, 3 to 5 minutes per side. Remove with a slotted spoon to drain on a paper towel-lined plate, again reserving oil in the skillet.', 'Sauté onion and garlic in reserved oil until lightly browned, 5 to 7 minutes. Pour in vinegar, bring to a boil, and reduce heat to medium-low; cook until liquid is reduced in volume and thick. Stir in tomatoes, lentils, 1/2 of the juice from lentils, parsley, and oregano. Season with salt and black pepper. Cover, reduce heat to medium-low, and simmer for 15 minutes.', 'Layer about 1/3 of the eggplant, 1/3 of the zucchini, 1/2 of the potatoes, and 1/2 of the feta in a 9x13-inch baking dish. Pour 1/2 of the tomato mixture over vegetables; repeat layering, finishing with a layer of eggplant and zucchini.', 'Cover and bake in the preheated oven for 25 minutes.', 'Meanwhile, make the sauce: Stir milk, flour, and butter for together in a small saucepan; bring to a low boil, whisking constantly, until thick and smooth. Season with nutmeg and black pepper. Remove from heat, cool for 5 minutes, and stir in beaten egg.', 'Pour sauce over vegetables and top with Parmesan cheese. Continue baking, uncovered, until sauce is bubbly and top is lightly brown, 25 to 30 minutes.']","{'Calories': '240', 'Fat': '12g', 'Carbs': '26g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/25311/vegetarian-moussaka/
