title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Chickpea Tikka Masala,Chickpea tikka masala is a classic Indian curry where chickpeas are cooked in a flavorful creamy sauce. Serve over basmati rice or with naan.,15 mins,20 mins,35 mins,4,"['1 tablespoon olive oil', '1 medium onion, thinly sliced', '2 carrots, thinly sliced', '1 teaspoon garam masala', '1/4 teaspoon ground cumin', '1/8 teaspoon freshly ground black pepper', '1 tablespoon tomato paste', '1 1/2 teaspoons ginger paste', '1/2 teaspoon garlic paste', '1/2 medium fresh jalapeño chile pepper, finely chopped*', '2 (15-ounce) cans chickpeas, rinsed and drained', '1 (8 ounce) can tomato sauce', '1/4 teaspoon sugar', '1/4 teaspoon salt', '1/8 teaspoon cayenne pepper (optional)', '3/4 cup water, or as needed', '1/4 cup half and half', '1/4 cup snipped fresh cilantro', '4 cups hot cooked basmati rice']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a large skillet over medium-high. Add onion and carrots and cook until tender, 5 to 6 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in garam masala, cumin, and black pepper; cook and stir until mixture is fragrant, about 30 seconds.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add tomato paste, ginger paste, garlic paste, and jalapeño pepper; cook and stir for 2 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in chickpeas, tomato sauce, sugar, salt, and cayenne pepper. Cook over medium-high heat until mixture is hot. Reduce heat to low. Cover and simmer for 10 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in 3/4 cup water and half-and-half. Continue cooking on low until heated through, about 1 minute. For a saucier mixture, add more water if desired. Remove from heat; cover and keep warm.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Top with cilantro and serve with hot cooked basmati rice and/or naan.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '485', 'Fat': '10g', 'Carbs': '80g', 'Protein': '22g'}",https://www.allrecipes.com/chickpea-tikka-masala-recipe-7497387
Chicken Bhuna,Chicken bhuna is an Indian curry with delicious fried onions and aromatic herb and spices that tastes fantastic! Enjoy with freshly cooked basmati rice and naan bread.,20 mins,40 mins,1 hr,4,"['2 tablespoons vegetable oil', '3 medium onions, finely chopped', '1  teaspoon salt', '4 cloves garlic, crushed', '1 tablespoon minced fresh ginger', '1/4 cup hot water', '1 teaspoon chili powder', '1 teaspoon ground coriander', '1 teaspoon ground cumin', '1/2 teaspoon ground turmeric', '2 medium tomatoes, chopped', '2 green chiles, halved lengthways (Optional)', '2 skinless, boneless chicken breast halves, cubed', ""1 teaspoon curry paste, such as Patak's"", '1/4 cup fresh cilantro leaves, chopped']","['Heat oil in a nonstick pan over high heat. Add onion and salt; cook and stir until onion has softened, about 5 minutes.', 'Reduce heat to low; stir in garlic and ginger until fragrant. Add hot water; cover, and cook, stirring occasionally, until water has evaporated, about 5 minutes.', 'Add chili powder, ground coriander, cumin, and turmeric; cook and stir over high heat until spices are toasted, about 5 minutes. Stir in tomatoes and green chiles; cover and cook over low heat for 5 minutes.', 'Add chicken; cook and stir over high heat until browned, 5 to 7 minutes. Stir in curry paste; reduce heat to low, cover and cook until chicken is cooked through, adding a little water if necessary, about 5 minutes. Check seasoning and sprinkle with freshly chopped cilantro.']","{'Calories': '183', 'Fat': '9g', 'Carbs': '16g', 'Protein': '12g'}",https://www.allrecipes.com/chicken-bhuna-recipe-7485475
Lamb Rogan Josh,"Rogan josh is my favorite Indian curry, and this recipe makes it easy to enjoy at home. The lamb falls apart in a rich tomato sauce that's flavored with dry-roasted spices. Serve with basmati rice and naan to soak up every bit of the delicious sauce!",30 mins,1 hr 15 mins,1 hr 45 mins,4,"['1/3 cup plain yogurt', '2 cloves garlic, minced', '2 teaspoons grated fresh ginger', '2 teaspoons ground coriander', '1 1/2 teaspoons ground cumin', '1 teaspoon cayenne pepper', '1 teaspoon paprika', '1/2 teaspoon ground turmeric', '1 1/2 pounds lamb shoulder, cut into 2-inch pieces', '2 medium onions, finely chopped', '1 1/2 tablespoons tomato paste', 'pinch of salt', '2 tablespoons unsalted butter', '1 1/2 cups boiling water', '2 bay leaves, crumbled', '2 green cardamom pods, split open at the top', '1 (2-inch) cinnamon stick', '4 whole cloves', '1/2 teaspoon nutmeg', '2 tablespoons freshly chopped cilantro', '1 tablespoon freshly chopped mint']","['Gather the ingredients.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK', 'Mix yogurt, garlic, ginger, coriander, cumin, cayenne, paprika, and turmeric in a bowl until well combined.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK', 'Place lamb in a nonstick saucepan; add onions and cook over medium heat until onions start to sizzle.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK', 'Stir in yogurt mixture; reduce heat to low, cover, and cook, stirring occasionally, until lamb has released all its natural juices, about 30 minutes.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK', 'Remove the lid, increase heat to medium and cook, stirring frequently, until sauce has reduced to a paste-like consistency, about 5 minutes.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK', 'Stir in tomato paste, salt, and 1 tablespoon of butter. Reduce heat to low; cook and stir for 3 to 4 minutes. Add boiling water, cover, and simmer for 15 minutes.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK', 'Melt remaining 1 tablespoon butter over low heat. Add bay leaves, cardamom, cinnamon, and cloves; allow them to sizzle for 30 seconds.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK', 'Stir in nutmeg and pour sauce over lamb; mix well, cover, and cook for 10 minutes.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK', 'Stir in chopped mint and coriander.\n\n \n\n\n\n\n\n \n ALLRECIPES / JULIA HARTBECK']","{'Calories': '343', 'Fat': '16g', 'Carbs': '14g', 'Protein': '37g'}",https://www.allrecipes.com/lamb-rogan-josh-recipe-7485811
Tandoori Chicken,"Try this authentic tandoori chicken that's marinated in yogurt and spices, then cooked on the grill instead of a clay oven so you can make it at home. Serve with long-grain basmati rice, grilled veggies, roasted corn on the cob, and a cucumber salad.",25 mins,20 mins,7 hrs 5 mins,4,"['2 pounds chicken, cut into pieces', '1 medium lemon, juiced', '1 teaspoon salt', '1 ¼ cups plain yogurt', '½ medium onion, finely chopped', '1 clove garlic, minced', '2 teaspoons garam masala', '1 teaspoon grated fresh ginger root', '1 teaspoon cayenne pepper', '1 teaspoon red food coloring (Optional)', '1 teaspoon yellow food coloring (Optional)', '2 teaspoons finely chopped cilantro', '1 medium lemon, cut into wedges']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove and discard skin from chicken pieces. Cut slits into meat and place into a shallow dish. Season chicken on both sides with lemon juice and salt. Let sit for 20 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Mix yogurt, onion, garlic, garam masala, ginger, and cayenne pepper together in a medium bowl until smooth, then stir in food coloring.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Spread yogurt mixture over chicken, cover, and refrigerate for 6 to 24 hours (the longer the better).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'When ready to cook, preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove chicken from marinade. Discard remaining marinade.', 'Cook chicken on the preheated grill until no longer pink and the juices run clear. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Garnish with cilantro and lemon wedges.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '356', 'Fat': '19g', 'Carbs': '14g', 'Protein': '36g'}",https://www.allrecipes.com/recipe/50347/indian-tandoori-chicken/
Keema Aloo (Ground Beef and Potatoes),"This keema aloo curry is by far my favorite Indian recipe. Inspired by my mom, who still makes this for me to this day. If you want to try something a little different, I guarantee you will love this meal.",20 mins,55 mins,1 hr 20 mins,8,"['2 tablespoons extra-virgin olive oil', '1 extra-large onion, chopped', '2 tablespoons water (Optional)', '2 pounds lean ground beef', '4 cloves garlic, minced', '2 tablespoons grated fresh ginger root', '1  serrano chile pepper, finely chopped', '2 teaspoons chopped fresh cilantro', '1 tablespoon ground coriander', '1 ½ teaspoons salt', '1 ½ teaspoons ground cumin', '1 teaspoon ground cayenne pepper', '1 teaspoon ground turmeric', '3  potatoes, peeled and diced', '1 (28 ounce) can diced tomatoes', '1 cup frozen green peas', '1 teaspoon garam masala']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat olive oil in a large saucepan over medium-high heat. Add onion; cook and stir until soft and beginning to brown, about 12 minutes. If browned bits of onion are stuck to the bottom of the pan, add water and stir to loosen.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir ground beef, garlic, ginger, serrano chile, and cilantro into the pan; cook and stir until beef is browned and crumbly, 10 to 15 minutes. Reduce heat to medium-low.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in coriander, salt, cumin, cayenne pepper, and turmeric; cook and stir until flavors blend, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add potatoes and tomatoes; cover and simmer until potatoes are tender, about 15 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in green peas and cook until sauce has slightly thickened and flavors have blended, 10 to 15 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sprinkle garam masala over top, cover, and let stand for 5 minutes before serving.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '362', 'Fat': '18g', 'Carbs': '23g', 'Protein': '26g'}",https://www.allrecipes.com/recipe/231026/keema-aloo-ground-beef-and-potatoes/
Indian Chicken Curry (Murgh Kari),This is a really good recipe for spicy Indian chicken curry. It's pretty easy to make and tastes better than takeout!,20 mins,40 mins,1 hr,6,"['2 pounds skinless, boneless chicken breast halves', '2 teaspoons salt', '½ cup cooking oil', '1 ½ cups chopped onion', '1 tablespoon minced garlic', '1 ½ teaspoons minced fresh ginger root', '1 tablespoon curry powder', '1 teaspoon ground cumin', '1 teaspoon ground turmeric', '1 teaspoon ground coriander', '1 teaspoon cayenne pepper', '1 tablespoon water', '1 (15 ounce) can crushed tomatoes', '1 cup plain yogurt', '1 tablespoon chopped fresh cilantro', '1 teaspoon salt', '½ cup water', '1 teaspoon garam masala', '1 tablespoon chopped fresh cilantro', '1 tablespoon fresh lemon juice']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sprinkle the chicken breasts with 2 teaspoons salt. Heat oil in a large skillet over high heat; partially cook the chicken in the hot oil in batches until completely browned on all sides. Transfer browned chicken breasts to a plate and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Reduce the heat to medium and add onion, garlic, and ginger to the oil remaining in the skillet. Cook and stir until onion turns soft and translucent, 5 to 8 minutes. Stir curry powder, cumin, turmeric, coriander, cayenne, and 1 tablespoon of water into the onion mixture; allow to heat together for about 1 minute while stirring.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add tomatoes, yogurt, 1 tablespoon chopped cilantro, and 1 teaspoon salt to the mixture; stir to combine.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Return chicken breast to the skillet along with any juices on the plate. Pour in 1/2 cup water and bring to a boil, turning the chicken to coat with the sauce. Sprinkle garam masala and 1 tablespoon cilantro over the chicken.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cover the skillet and simmer until chicken breasts are no longer pink in the center and the juices run clear, about 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Drizzle with lemon juice to serve.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drizzle with lemon juice to serve.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '427', 'Fat': '24g', 'Carbs': '15g', 'Protein': '38g'}",https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/
Easy Indian Butter Chicken,An easy butter chicken recipe I've perfected over the years and shared with many others. The sauce is perfect when creamy and not too thick or too thin. The level of salt and spices can be suited to your taste. Garam and tandoori masala can be found in the ethnic aisle of your grocery store.,15 mins,45 mins,1 hr,6,"['1 cup butter, divided', '1  onion, minced', '1 tablespoon minced garlic', '1 (15 ounce) can tomato sauce', '3 cups heavy cream', '2 teaspoons salt', '1 teaspoon cayenne pepper', '1 teaspoon garam masala', '1 ½ pounds skinless, boneless chicken breast, cut into bite-sized chunks', '2 tablespoons vegetable oil', '2 tablespoons tandoori masala']","['Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Melt 2 tablespoons butter in a skillet over medium heat. Stir in onion and garlic, and cook slowly until the onion caramelizes to a dark brown, about 15 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, combine cream, tomato sauce, remaining butter, salt, cayenne pepper, and garam masala in a saucepan over medium-high heat; bring to a simmer.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Reduce heat to medium-low, cover, and simmer, stirring occasionally, for 30 minutes. Stir in caramelized onions.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While the sauce is simmering, toss chicken with vegetable oil until coated. Season with tandoori masala and spread out onto a baking sheet.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake chicken in the preheated oven until no longer pink in the center, about 12 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add cooked chicken to the sauce and simmer for 5 minutes before serving.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '880', 'Fat': '82g', 'Carbs': '13g', 'Protein': '26g'}",https://www.allrecipes.com/recipe/141169/easy-indian-butter-chicken/
Indian Chicken Curry,This Indian-inspired creamy chicken curry recipe is similar to a curry I had in India. The aromatic spices and flavors are a delight to the senses! Delicious with fresh naan and basmati rice.,20 mins,25 mins,45 mins,4,"['3 tablespoons olive oil', '1 small onion, chopped', '2 cloves garlic, minced', '3 tablespoons curry powder', '1 teaspoon ground cinnamon', '1 teaspoon paprika', '1  bay leaf', '½ teaspoon grated fresh ginger root', '½ teaspoon white sugar', 'salt to taste', '2  skinless, boneless chicken breast halves - cut into bite-size pieces', '1 tablespoon tomato paste', '1 cup plain yogurt', '¾ cup coconut milk', '½  lemon, juiced', '½ teaspoon cayenne pepper']","['Heat olive oil in a skillet over medium heat. Sauté onion until lightly browned.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in garlic, curry powder, cinnamon, paprika, bay leaf, ginger, sugar, and salt. Continue stirring for 2 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add chicken pieces, tomato paste, yogurt, and coconut milk. Bring to a boil, reduce heat, and simmer for 20 to 25 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove bay leaf, and stir in lemon juice and cayenne pepper. Simmer 5 more minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve hot and enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '313', 'Fat': '22g', 'Carbs': '14g', 'Protein': '19g'}",https://www.allrecipes.com/recipe/46822/indian-chicken-curry-ii/
Slow Cooker Butter Chicken,It's easy to prep this butter chicken in the slow cooker in the morning to come home to the wonderful aroma of warm Indian spices... I love it and it's one of my favorite Indian dishes! Serve with basmati rice and warm naan bread.,15 mins,4 hrs 15 mins,4 hrs 30 mins,6,"['2 tablespoons butter', '2 tablespoons vegetable oil', '4 large skinless, boneless chicken thighs, cut into bite-sized pieces', '1  onion, diced', '3 cloves garlic, minced', '1 (6 ounce) can tomato paste', '1 tablespoon curry paste', '2 teaspoons curry powder', '2 teaspoons tandoori masala', '1 teaspoon garam masala', '15  green cardamom pods', '1 (14 ounce) can coconut milk', '1 cup low-fat plain yogurt', 'salt to taste']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat butter and vegetable oil in a large skillet over medium heat. Stir in chicken, onion, and garlic. Cook and stir until onion has softened and turned translucent, about 10 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in tomato paste, curry paste, curry powder, tandoori masala, and garam masala until no lumps of tomato paste remain.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour mixture into a slow cooker; stir in cardamom pods, coconut milk, and yogurt. Season with salt.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cook on High for 4 to 6 hours or Low for 6 to 8 hours, or until chicken is tender and sauce has reduced to the desired consistency. Remove and discard cardamom pods before serving.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '501', 'Fat': '37g', 'Carbs': '19g', 'Protein': '30g'}",https://www.allrecipes.com/recipe/174543/slow-cooker-butter-chicken/
Chicken Makhani (Indian Butter Chicken),"This butter chicken recipe, or chicken makhani, is one of my favorite Indian dishes. It features a full-flavored sauce that complements the chicken well. It can be made as mild or spicy as you wish by adjusting the cayenne. Serve with basmati rice and naan bread.",10 mins,25 mins,35 mins,4,"['2 tablespoons peanut oil, divided', '1  shallot, finely chopped', '¼  white onion, chopped', '2 tablespoons butter', '1 tablespoon ginger garlic paste', '2 teaspoons lemon juice', '2 teaspoons garam masala, divided', '1 teaspoon chili powder', '1 teaspoon ground cumin', '1  bay leaf', '1 cup tomato puree', '1 cup half-and-half', '¼ cup plain yogurt', '1 pinch salt and ground black pepper to taste', '1 pound boneless, skinless chicken thighs, cut into bite-size pieces', '¼ teaspoon cayenne pepper, or to taste', '1 tablespoon cornstarch', '¼ cup water']","['Heat 1 tablespoon oil in a large saucepan over medium-high heat. Sauté shallot and onion until soft and translucent, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in butter, ginger-garlic paste, lemon juice, 1 teaspoon garam masala, chili powder, cumin, and bay leaf. Cook and stir for 1 minute. Add tomato sauce, and cook for 2 minutes, continuing to frequently stir.', 'Stir in half-and-half and yogurt. Reduce heat to low, and simmer for 10 minutes, frequently stirring. Season with salt and pepper. Remove from heat and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat remaining 1 tablespoon oil in a large heavy skillet over medium heat. Cook chicken until lightly browned, about 10 minutes.', 'Reduce heat, and season with remaining 1 teaspoon garam masala and cayenne. Stir in a few spoonfuls of sauce, and simmer until liquid has reduced, and chicken is no longer pink. Add cooked chicken into sauce and stir together.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Dissolve cornstarch into water, then mix into the sauce. Cook for 5 to 10 minutes, or until thickened.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve over rice with naan.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '408', 'Fat': '28g', 'Carbs': '16g', 'Protein': '23g'}",https://www.allrecipes.com/recipe/45957/chicken-makhani-indian-butter-chicken/
