title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Creamy Tuscan White Bean Skillet,"This creamy Tuscan white bean skillet is a flavorful dish featuring tender beans, artichoke hearts, and bright sun-dried tomatoes coated in a creamy sauce with Parmesan cheese. A vegetarian-friendly main dish or side, it has the feel of comfort food, elevated beyond simple beans.",10 mins,15 mins,25 mins,4,"['1 tablespoon olive oil', '1/2 cup chopped onion', '2 cloves garlic, minced', '2 (15 ounce) cans cannellini beans, rinsed and drained', '1 (14.5 ounce) can artichoke hearts, drained', '1/2 cup oil-packed sun-dried tomatoes, chopped', '1 tablespoon chopped fresh oregano, or 1 teaspoon dried oregano, plus more for garnish (optional)', '1/2 teaspoon crushed red pepper', '1/2 teaspoon freshly ground black pepper', '1/4 teaspoon salt', '1/2 cup vegetable broth', '1/2 cup heavy cream', '4 cups torn kale or spinach', '1/3 cup grated Parmesan cheese']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a very large skillet over medium heat. Add onion; cook until softened, about 4 minutes.\xa0Add garlic and cook 30 seconds more.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add beans, artichoke hearts, sun-dried tomatoes, oregano, crushed red pepper, black pepper, and salt to the skillet; stir to combine.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour in broth and cream; bring to a simmer and cook until lightly thickened, stirring occasionally, 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add kale and reduce heat to low. Cook until kale begins to soften, stirring often, 2 to 3 minutes longer. Remove from the heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sprinkle the cheese over the beans and stir; garnish with additional chopped fresh oregano.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '603', 'Fat': '20g', 'Carbs': '81g', 'Protein': '34g'}",https://www.allrecipes.com/creamy-tuscan-white-bean-skillet-recipe-8769362
Roman-Style Pizza,"This Roman-style pizza has a long-fermented thicker crust, and is absolutely awesome. Topped with prepared sauce, sausage, sweet peppers, and three cheeses, or with whatever you like, you'll want to make this on repeat.",30 mins,45 mins,2 days 3 hrs,12,"['4 1/4 cups bread flour (500 grams)', '1 rounded teaspoon dry yeast (3.5 grams)', '1 1/2 cups plus 3 tablespoons water (400 ml)', 'generous 1 1/2 tablespoons olive oil (20 ml), plus 2 teaspoons more to oil container', 'rounded 1 1/2 teaspoons sea salt or kosher salt (10 grams)', '6 ounces Italian sausage', '1 cup diced sweet peppers and onions', '1 1/2 cups prepared pizza sauce', '2 cups shredded mozzarella cheese', '1 1/2 cups shredded Monterey Jack cheese', '1/2 cup freshly grated Parmigiano Reggiano cheese', '1/4 cup olive oil, divided']","['For dough, mix together flour, yeast, and water with a wooden spoon until almost all flour has disappeared and a rough dough is formed.', 'Add salt and olive oil and continue mixing with a spoon for about 3 minutes until a smooth, very soft and sticky dough forms. Clean off spoon and scrape down bowl. Cover and let rest 15 minutes.', 'Perform first set of rotating folds: leaving dough in the bowl, with a damp hand, reach under and grab the dough at the edge of the bowl, pull it and stretch it over the top. Rotate the bowl a few inches and repeat about 10 or 12 times, then gather the dough into a ball as best you can, turning the smoothest side up. Cover the bowl, and let dough rest for 15 minutes. Repeat this stretch, fold, and rest process 2 more times.', 'Transfer dough into an oiled container with a lid, rub dough with a few drops of olive oil and cover. Refrigerate for 24 hours or until doubled in size.', 'Transfer dough to the counter. With damp hands press and stretch dough into a square about 15 inches wide. Fold in half, and then in half again to create a rectangle. Fold rectangle into thirds, and turn over so the seam side is down.', 'Shape back into a neat ball with damp hand. Transfer dough into an oiled container, rub with a few drops of olive oil, and cover. Refrigerate for an additional 24 hours or until doubled in size.', 'Remove dough from the refrigerator and let stand on the counter for 1 hour to come to room temperature.', 'Meanwhile, prepare toppings: Cook and stir sausage in a skillet over medium heat until browned and crumbly, breaking up any clumps with a spatula, about 10 minutes. Remove from the pan; set aside to cool. Add red peppers and onions to the same skillet, and cook and stir just until they begin to soften, 3 to 5 minutes; remove and set aside.', 'Preheat the oven to 500 degrees F (250 degrees C). Oil a sheet pan generously with olive oil. A sheet of parchment paper can be placed on the pan to prevent sticking.', 'Transfer dough to the prepared sheet pan. Use oiled fingers to press dough into a rectangle that almost covers the pan. If dough is too elastic to stay in place, let it rest for a minute, and then continue stretching and pressing into place.', 'Drizzle a teaspoon of olive oil over dough and brush to coat evenly.', 'Bake in the preheated oven until golden brown, about 15 minutes. Remove pizza crust to a cooling rack to cool to room temperature, about 15 minutes. Remove parchment from pan if used, then return crust to the pan.', 'Spread crust with sauce, scatter over sausage and vegetables, sprinkle with mozzarella and Monterey Jack cheese, and finish with a dusting of Parmesan.', ""Bake in the preheated oven until the edges are well browned, about 15 minutes. Remove to a cooling rack; let cool for 10 to 15 minutes, then cut and serve.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Note\nThe bottom of the pizza should be golden brown and crisp, but if it is not, place back on sheet pan, and place over a medium high flame, until you can hear the crust start to sizzle slightly. Rotate the pan so all parts of the bottom crust get toasted and turn golden brown. This is a great way to crisp up a crust, but be careful not to go too far and burn the dough.""]","{'Calories': '413', 'Fat': '20g', 'Carbs': '39g', 'Protein': '17g'}",https://www.allrecipes.com/roman-style-pizza-recipe-8771243
Cod Piccata,"This cod piccata is lemony, bright, and fresh. The most challenging thing about this recipe is to avoid overcooking the cod, while making the tangy and delightful sauce. My trick is to brown only one side of the fish, and allow it to finish in the sauce.",5 mins,15 mins,20 mins,3,"['1 1/2 pounds cod filets, in serving-sized pieces', 'salt and pepper to taste', '4 teaspoons all-purpose flour, divided', '4 tablespoons unsalted butter, divided', '1 large lemon, half thinly sliced, half reserved', '2 tablespoons thinly sliced shallot', '3 tablespoons capers, rinsed and drained', '1/4 cup dry white wine', '3/4 cup low-sodium chicken broth', '2 tablespoons minced fresh parsley, plus a few sprigs for garnish (optional)']","['Pat cod filets dry with paper towels and lightly season both sides with salt and pepper. Use a scant teaspoon of flour to very lightly dust one side of cod filets. See note.', 'Melt 2 tablespoons butter in a large skillet over medium high heat. When butter stops bubbling, add cod filets, floured side down. Cook undisturbed, until a light brown color develops, about 3 minutes. Keeping the floured side up, carefully remove filets from skillet and keep warm.', 'Cook lemon slices in the same skillet for 2 to 3 minutes, turning to cook evenly, and add shallots and capers. Cook about 1 minute more.', 'Stir in white wine; cook about 1 minute, scraping up any browned bits from the bottom of the skillet. Stir in chicken broth and chopped parsley, and squeeze juice of reserved lemon half into the skillet; cook about 4 minutes.', 'Gently return filets to the skillet, floured side up. Cook in the sauce until an instant read thermometer inserted in the center reads 145 degrees F (63 degrees C). Remove to a serving plate, floured side up, and keep warm.', 'Remove about 1/4 cup of liquid from skillet; allow to cool slightly.', 'Add remaining 2 tablespoons butter to skillet and stir until melted.', 'Whisk cooled liquid and remaining flour together to make a smooth slurry. Stir slurry briskly into the skillet, and\xa0 cook until sauce is thickened and bubbly. Pour sauce over cod filets, and garnish with parsley sprigs.']","{'Calories': '517', 'Fat': '19g', 'Carbs': '35g', 'Protein': '57g'}",https://www.allrecipes.com/cod-piccata-recipe-8763624
Unstuffed Shells Pasta Bake,"""This is an Italian classic made so easy!""",15 mins,55 mins,1 hr 10 mins,8,"['12 ounces medium pasta shells', 'cooking spray', '1 tablespoon extra-virgin olive oil', '1 pound ground sirloin', '1 1/4 teaspoons kosher salt, divided, plus more for cooking pasta', '1 teaspoon dried\xa0Italian seasoning, divided', '1/2 teaspoon freshly ground black pepper, divided', '1 yellow onion, chopped', '1 1/2 tablespoons minced garlic, divided', '1 (24 ounce) jar marinara sauce (such as Rao’s)', '1 cup whole-milk ricotta cheese', '1 (8 ounce) package cream cheese, softened', '1/2 cup freshly grated Parmesan cheese', '1/4 cup fresh basil leaves, chopped, plus more for garnish', '1 large egg, lightly beaten', '1 cup shredded low-moisture part-skim mozzarella cheese']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring a large pot of salted water to a boil. Add shells and cook, stirring occasionally, until tender yet firm to the bite, about 9 minutes. Drain well and set pasta aside.', 'Meanwhile, preheat the oven to 350 degrees F (180 degrees F). Lightly grease a 13- x 9-inch oven-safe baking dish with cooking spray; set aside.', 'Heat oil in a large nonstick skillet over medium-high. Add ground sirloin, 1/2 teaspoon salt, 1/2 teaspoon Italian seasoning, and 1/4 teaspoon pepper and cook, stirring occasionally, until beef is lightly browned but not fully cooked through, about 5 minutes. Add onion and 1 tablespoon garlic; cook, stirring occasionally, until onion is softened, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Reduce heat to medium; stir in marinara sauce, and cook, stirring occasionally, just until beginning to simmer, about 3 minutes. Remove from heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While beef mixture cooks, stir together ricotta, cream cheese, Parmesan cheese, basil, egg, remaining 1 1/2 teaspoons garlic, 3/4 teaspoon salt, 1/2 teaspoon Italian seasoning, and 1/4 teaspoon pepper in a large mixing bowl until evenly combined. Gently fold in cooked pasta until evenly coated.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer 1/2 of the beef mixture (about 2 cups) into the prepared baking dish, spreading into an even layer. Top evenly with pasta mixture.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Spread remaining beef mixture over pasta layer, and sprinkle evenly with mozzarella cheese.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cover baking dish loosely with aluminum foil. Bake in the preheated oven until bubbling around the edges and cheese is just beginning to melt, about 25 minutes. Uncover and continue to bake until cheese is fully melted and pasta is heated through, about 10 minutes more.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove from oven and serve, garnished with basil.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '508', 'Fat': '30g', 'Carbs': '28g', 'Protein': '32g'}",https://www.allrecipes.com/unstuffed-shells-pasta-bake-recipe-8747308
Pappardelle with Jammy Onion Ragu,"Tuscan pappardelle is a wide, egg-enriched wheat pasta usually served under a blanket of thick, rich sauce (like this caramelized onion ragù).",15 mins,50 mins,1 hr 5 mins,6,"['7 tablespoons butter, divided', '8 cups yellow onions, halved lengthwise and thinly sliced\xa0(about 2 1/2 pounds)', '3/4 teaspoon salt', '4 clove garlic, minced', '3 tablespoons tomato paste', '1/3 cup dry white wine', '3 cups low-sodium chicken broth or vegetable broth', '2 bay leaves', '1 teaspoon chopped fresh thyme, plus more for garnish', '1/4 teaspoons crushed red pepper', '1/8 teaspoon ground cloves', '2 tablespoons finely chopped oil-packed sun-dried tomatoes', '2 teaspoons balsamic vinegar', '1/4 teaspoon freshly ground black pepper', '16 ounces dried pappardelle or tagliatelle pasta', 'shaved Parmesan cheese, for serving']","['Melt 5 tablespoons butter in a very large, deep, heavy-bottomed skillet or an 8-quart Dutch oven over medium heat. Add onions and 1/4 teaspoon salt. Toss to coat in butter. Cook, covered, stirring occasionally, until onions are tender, about 15 minutes. Increase heat to high. Cook, stirring constantly, until onions start to brown, 3 to 5 minutes.', 'Reduce heat to medium and add garlic; cook, stirring, until fragrant, about 1 minute. Add tomato paste. Cook, stirring constantly, until mixture begins to darken, 1 to 2 minutes.\xa0Add wine to skillet, then use a wooden spoon or spatula to scrape up any browned bits from bottom of pot. Simmer for 2 minutes.', 'Add broth, bay leaves, thyme, crushed red pepper, and cloves. Bring to a boil. Reduce heat to low; simmer, stirring occasionally, until liquid is reduced and onions are jammy, with just a bit of liquid at the edges of skillet, about 25 minutes.', 'While sauce simmers, cook pasta according to package directions. Drain, reserving 1/2 cup cooking water. Remove sauce from heat.', 'Remove\xa0 and discard bay leaves. Stir in sun-dried tomatoes, vinegar, black pepper, and remaining 2 tabelspoons butter and 1/2 teaspoon salt. Stir cooked pasta into warm sauce, adding reserved pasta cooking water a little at a time until sauce is desired thickness. Serve with Parmesan cheese and garnish with thyme.']","{'Calories': '530', 'Fat': '17g', 'Carbs': '78g', 'Protein': '17g'}",https://www.allrecipes.com/pappardelle-with-jammy-onion-ragu-recipe-8741109
Tuscan Chicken Casserole,"This Tuscan chicken casserole, boneless chicken breasts in a creamy cheese and sun-dried tomato sauce with spinach and mushrooms, requires little enough hands-on time to make for weeknight dinner.",20 mins,20 mins,40 mins,4,"['1 pound skinless, boneless chicken breasts', '1 teaspoon Italian seasoning', '1/2 teaspoon paprika', '1/2 teaspoon onion powder', '1/2 teaspoon red pepper flakes', '1/2 teaspoon garlic powder', 'salt and freshly ground black pepper to taste', '2 cups fresh spinach', '1 (4 ounce) can sliced mushrooms, drained, or more to taste', '1/2 cup chopped oil-packed sun-dried tomatoes', '3/4 cup shredded mozzarella cheese', '1/4 cup freshly grated Parmesan cheese', '3/4 cup heavy cream', '1/3 cup freshly grated Parmesan cheese', '1 clove garlic, pressed', '2 ounces cream cheese, softened', '1 1/2 teaspoons chicken bouillon granules, such as Knorr®', '2 tablespoons chicken broth', '2 tablespoons oil\xa0from jar of sun-dried tomatoes']","['Preheat the oven to 425 degrees F (220 degrees C). Spray an 8x8-inch baking dish with nonstick cooking spray.', 'Season both sides of chicken with Italian seasoning, paprika, onion powder, pepper flakes, garlic powder, salt and pepper. Place in the prepared pan. Place spinach over chicken, mushrooms over spinach, and sun-dried tomatoes over mushrooms. Top with mozzarella and Parmesan cheese.', 'For sauce, beat cream, Parmesan cheese, garlic, cream cheese, chicken bouillon, chicken broth, and oil together in a bowl until just combined. Season with salt and pepper. Pour mixture over chicken.', 'Bake casserole in the preheated oven until bubbly, chicken is no longer pink, and juices run clear, 20 to 25 minutes.\xa0 An instant-read thermometer inserted in the center of chicken should read 165 degrees F (74 degrees C).']","{'Calories': '597', 'Fat': '40g', 'Carbs': '13g', 'Protein': '48g'}",https://www.allrecipes.com/tuscan-chicken-casserole-recipe-8735197
Lemon Garlic Butter Chicken Spiedini,"These lemon garlic butter chicken spiedini are air-fried crispy, golden breaded chicken skewers with a light lemon garlic butter drizzle.",15 mins,15 mins,30 mins,6,"['1/2 cup extra-virgin olive oil', '1/4 cup white wine, such as Pinot Grigio', '3 tablespoons lemon juice, divided', '1 teaspoon lemon zest', '4 cloves garlic, finely minced, divided', '1/4 teaspoon crushed red pepper flakes', '1/4 teaspoon dried oregano', '2 teaspoons kosher salt, divided', '1 teaspoon freshly ground black pepper, divided', '2 pounds skinless boneless chicken thighs, cut into 1 1/2 inch pieces', '2/3 cup Italian breadcrumbs', '2/3 cup panko', '1/2 cup grated Parmesan cheese', '1/2 teaspoon garlic powder', '6 (6 to 8 inch) skewers', 'olive oil cooking spray', '4 tablespoons butter', '2 teaspoons finely chopped fresh parsley']","['Whisk together olive oil, wine, 2 tablespoons lemon juice, lemon zest, 1/2 of the garlic, crushed red pepper, oregano, 1 teaspoon salt, and 1/2 teaspoon pepper in a bowl. Add chicken and toss to coat. Cover and refrigerate 30 minutes to 1 hour.', 'Stir together remaining salt and pepper with bread crumbs, panko, Parmesan cheese, and garlic powder in a shallow dish. Remove chicken from marinade and toss to coat in breadcrumb mixture, pressing to adhere as necessary. Thread chicken onto skewers and coat with olive oil cooking spray.', 'Preheat an air fryer to 390 degrees F (198 degrees C).\xa0 Air fry until chicken is no longer pink at the center and juices run clear, and is until lightly golden brown and crisp, about 12 minutes. An instant read thermometer, inserted near the center, should read 165 degrees F (74 degrees C).', 'Meanwhile, melt butter with remaining garlic in a microwave-safe dish on High in the microwave, about 10 seconds.\xa0 Stir in remaining lemon juice and parsley. Drizzle butter mixture over chicken just before serving.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios\n\n From the Editor\nNutrition data for this recipe includes the full amount of breading and marinade ingredients. The actual amount of breading and marinade consumed will vary.']","{'Calories': '636', 'Fat': '41g', 'Carbs': '21g', 'Protein': '43g'}",https://www.allrecipes.com/lemon-garlic-butter-chicken-spiedini-recipe-8727930
Italian Steak Pizzaiola,"In this Italian steak pizzaiola recipe, thin beef rib-eye steaks are braised in a fresh tomato sauce with olives and parsley.",5 mins,20 mins,25 mins,4,"['4 thin ribeye steaks', '1 1/2 teaspoons kosher salt, divided', '1 teaspoon freshly ground black pepper, divided', '3 tablespoons extra virgin olive oil, divied', '1/2 cup finely chopped onion', '2 cloves garlic, minced', '1/4 teaspoon crushed red pepper', '1/2 cup white or red wine', '8 roma tomatoes, chopped', '1/2 teaspoon oregano', '2 tablespoons tomato paste', '1/4 cup sliced olives', '2 tablespoons finely chopped parsley']","['Season steaks with 1 teaspoon salt and 1/2 teaspoon pepper.\xa0 Heat 1 tablespoon oil in a large deep skillet over high heat. Add steaks to skillet and cook, undisturbed, until browned about 2 minutes.\xa0 Flip and cook 1 more minute. Remove steaks from skillet and set aside.', 'Add remaining oil to skillet and turn heat to medium.\xa0 Add onions, remaining salt and pepper, and cook, stirring occasionally until softened.\xa0 Add garlic and cook for 1 minute.\xa0Add wine and scrape bottom of skillet to loosen any browned bits.\xa0Add tomatoes\xa0 and oregano and bring mixture to a simmer.\xa0 Simmer until tomatoes soften, about 5 minutes, stirring occasionally.', 'Use a potato masher or the back of a spoon to crush the tomatoes.\xa0 Add in tomato paste and olives and stir to combine.\xa0 Simmer for 2 minutes.', 'Return steaks and any juices accumulated to the skillet and cover the steaks in the tomato mixture.\xa0 Cook until the steak is heated through, 2 to 3 minutes.\xa0 Remove from heat and add parsley. Serve with crusty bread or over pasta or rice.\n\n \n\n\n\n\n\n \n Dotdash Meredith Video Studios']","{'Calories': '477', 'Fat': '33g', 'Carbs': '12g', 'Protein': '30g'}",https://www.allrecipes.com/italian-steak-pizzaiola-recipe-8732132
Slow Cooker Tuscan Chicken Meatballs with Gnocchi,Homemade moist and tender chicken meatballs cooked in cream sauce with dried tomatoes and gnocchi in the slow cooker. Comfort food at its best!,25 mins,3 hrs 15 mins,3 hrs 40 mins,6,"['1 large egg', '1/4 cup fine dry bread crumbs', '1/4 cup finely chopped onion', '2 tablespoons finely chopped dried tomatoes', '2 tablespoons milk', '1 tablespoon freshly grated Parmesan cheese', '1 clove garlic, minced', '1/2 teaspoon Italian seasoning', '1/4 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '1 pound ground chicken', '2 1/4 cups reduced sodium chicken broth', '1/2 cup heavy cream', '1/4 cup dry white wine', '1/3 cup chopped dried tomatoes', '1/2 teaspoon Italian seasoning', '1 (16-ounce) package shelf-stable potato gnocchi', '1 (5 ounce) package baby spinach', '1/2 cup freshly grated Parmesan cheese']","['Gather all ingredients.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'For meatballs, preheat the oven to 375 degrees F (190 degrees C). Line a 15x10x1-inch baking pan with parchment paper.', 'Combine egg, bread crumbs, onion, 2 tablespoons dried tomatoes, milk, 1 tablespoon Parmesan cheese, garlic, 1/2 teaspoon Italian seasoning, salt and pepper in a bowl.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add chicken, mix well.\xa0Shape mixture into 20 1 1/2-inch meatballs. Place in the prepared baking pan.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until set and lightly browned (they don’t have to be done at this point), about 15 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add meatballs to a 3 1/2- to 4-quart slow cooker.\xa0Add broth, cream, wine, 1/3 cup dried tomatoes, and 1/2 teaspoon Italian seasoning. Cover and cook on Low 6 hours or on High 3 hours.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'If using Low, turn to High. Add gnocchi. Cover and cook 20 minutes.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in spinach and Parmesan cheese.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve hot and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '460', 'Fat': '20g', 'Carbs': '39g', 'Protein': '29g'}",https://www.allrecipes.com/slow-cooker-tuscan-chicken-meatballs-with-gnocchi-recipe-8718448
Short Ribs Pizzaiola,"These short ribs pizzaiola are rustic Italian beef short ribs, braised in a pizza-style sauce. Tender and succulent, with deep flavors, these are amazing.",20 mins,3 hrs 40 mins,4 hrs,6,"['1 (28 ounce) can San Marzano plum tomatoes', '6 beef short ribs\xa0(3 pounds total)', '3 teaspoons kosher salt, plus more to taste', '2 tablespoons olive oil', '10 large brown mushrooms, halved', '1 yellow onion, diced', '1 tablespoon dried oregano', '1 teaspoon freshly ground black pepper', '1/4 teaspoon red chili flakes', '8 cloves garlic, finely minced', '1/2 cup white wine', '1 cup chicken or beef broth', '1 large red bell pepper, diced', '1/2 cup fresh basil leaves to tear and serve on top']","['Transfer San Marzano tomatoes into a mixing bowl, and use your hand to crush into a fine purée. Set aside until needed.', 'Season short ribs with salt on all sides.', 'Heat olive oil in a Dutch oven over high heat, and brown short ribs very well on all sides, about 8 minutes. Turn off heat, remove short ribs to a plate, and set aside.', 'Add mushrooms, along with a pinch of salt, and turn heat to medium-high. Use tongs to turn each mushroom onto a flat side down, and cook until golden brown, about 5 minutes.', 'Add onion and cook, stirring, until they begin to turn translucent, 3 to 5 minutes. Add oregano, black pepper, and chili flakes, and cook, stirring, for about 1 minute. Add garlic; cook for 1 minute more.', 'Pour in white wine, and stir to deglaze the bottom of the pot. Add tomatoes and broth. Turn heat up to high and bring to simmer. Stir in the diced bell pepper, and transfer short ribs back in.', 'Reduce heat to low, cover, and simmer gently until meat is very tender when pierced with a fork, 3 to 4 hours. About 2 hours into the cooking time, turn short ribs over.', 'When short ribs are tender, remove to a plate; set aside. Turn heat up to medium-high, and boil\xa0 sauce for about 10 minutes, or until it reduces to your desired thickness. While reducing, excess fact can be skimmed off the top. Taste; season with salt and pepper if needed.', ""Transfer short ribs back into sauce. reduce heat to low, and simmer, basting occasionally with sauce, until heated through, about 10 minutes. Serve with fresh basil.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Note\nCooking time will depend on size and shape of the meat, so start checking for doneness early, and don’t stop simmering until a fork goes into the beef very easily.\xa0This recipe can be done with beef chuck instead of short ribs.""]","{'Calories': '814', 'Fat': '57g', 'Carbs': '13g', 'Protein': '61g'}",https://www.allrecipes.com/short-ribs-pizzaiola-recipe-8720220
