title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Yaki Udon,Yaki Udon is a classic Japanese stir-fry dish with udon noodles and lots of vegetables in a soy-based sauce. Feel free to add meat or tofu.,,15 mins,35 mins,4,"['¼ cup oyster sauce', '3 tablespoons soy sauce', '2 tablespoons mirin', '1 tablespoon unseasoned rice vinegar', '2 teaspoons Worcestershire sauce', '2 teaspoons toasted sesame oil', '1 teaspoon packed light brown sugar', '1 teaspoon Sriracha sauce', '1 medium garlic, grated', '1 medium (5-oz.) bunch scallions', '2 tablespoons canola oil', '12 ounces sliced mixed wild mushrooms (such as cremini, oyster, and shiitake) (about 6 cups)', '2 medium heads baby bok choy, thinly sliced', '1 (10 ounce) package carrots, cut into match-stick size pieces', '½ cup water, divided', '1 (14 ounce) package pre-cooked udon noodles (such as KA-ME)', 'Optional garnishes: thinly sliced nori, cilantro, lime wedges, furikake seasoning']","['Whisk together oyster sauce, soy sauce, mirin, rice vinegar, Worcestershire, sesame oil, sugar, Sriracha, and garlic in a small bowl; set aside. Remove root ends from scallions and discard. Chop whites and light greens into 2-inch pieces and quarter pieces lengthwise; set aside. Thinly slice remaining dark greens of scallions and reserve for garnish.', 'Heat oil in a large skillet or wok over medium-high heat. Add mushrooms in a single layer and cook, undisturbed, until browned on first side, about 3 minutes. Stir and continue to cook, stirring occasionally, until mushrooms are tender and golden brown on both sides, about 4 more minutes. Add bok choy, carrots, sliced whites and light greens of scallions, and 1/4 cup water to pan with mushrooms. Cook, stirring occasionally, until vegetables are just tender, about 3 minutes.', 'Add udon noodles and remaining 1/4 cup water and cook, gently separating noodles with tongs or spoon. Add reserved oyster sauce mixture and cook, stirring constantly, until noodles and vegetables are well-coated, about 1 minute. Divide among serving bowls and garnish with reserved sliced greens of scallions and optional garnishes. Serve immediately.']","{'Calories': '212', 'Fat': '11g', 'Carbs': '23g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/8539106/yaki-udon/
Homemade Sushi Rolls,"This recipe will teach you how to make some popular sushi rolls like California rolls, Philadelphia rolls, or spicy tuna rolls at home.",45 mins,15 mins,1 hr 40 mins,24,"['1 ⅓ cups sushi rice', '1 (4 inch) piece dashi kombu (dried kelp)', '3 cups water', '2 tablespoons rice wine', '2 tablespoons sugar', '¾ teaspoon salt', '4  nori seaweed sheets', 'desired fillings (see bottom of recipe)']","['Put rice into a large deep bowl. Fill with cold water and rub rice together with hands until water turns milky white. Drain cloudy water, being careful not to pour out rice. Repeat three or four times until you can see rice through 3 inches of water; drain once more.', 'Transfer rice to a saucepan; add kombu and 3 cups water. Let stand 30 minutes. Cover; bring to a boil over high heat. Reduce heat to low; simmer 10 minutes. Remove from heat and let stand, covered, 5 minutes.', 'Meanwhile, stir together rice vinegar, sugar, and salt in a small bowl until dissolved.', 'Remove and discard kombu; stir in vinegar mixture until no lumps remain. Spread rice mixture onto a rimmed 9x13 baking sheet. [Spreading helps cool rice and prevents it from continuing to cook.] Let cool to room temperature.', 'Lay one sheet of nori on a sushi mat lined with plastic wrap; spread 1 cup of rice over nori with damp fingers, leaving a 1-inch border along one edge. Arrange desired fillings (see below) crosswise just off center of rice. Carefully lift filled edge of nori and roll over filling toward unfilled edge, tucking as you roll. Brush unfilled edge of nori with water; press to seal. Cut each roll into 8 pieces. Repeat with remaining nori, rice, and fillings. To make ahead, chill, covered, up to 4 hours.']",,https://www.allrecipes.com/recipe/8536667/homemade-sushi-rolls/
Chicken Katsu,Chicken katsu is Japanese-style fried chicken. This is my family recipe and can also be used to make tonkatsu by using pork cutlets instead of chicken. Serve with white rice and tonkatsu sauce.,15 mins,10 mins,25 mins,4,"['4 skinless, boneless chicken breast halves - pounded to ½-inch thickness', 'salt and pepper to taste', '2 tablespoons all-purpose flour', '1  egg, beaten', '1 cup panko bread crumbs', '1 cup oil for frying, or as needed']","['Season chicken breasts on both sides with salt and pepper. Place flour, beaten egg, and panko crumbs into separate shallow dishes. Coat chicken breasts in flour, shaking off any excess; dip into egg, and then press into panko crumbs until well coated on both sides.', 'Heat oil in a large skillet over medium-high heat. Place chicken in the hot oil, and fry until golden brown, 3 or 4 minutes per side. Transfer to a paper towel-lined plate to drain.\n\n \n\n\n\n\n\n \n Mitsuha Kirigaija']","{'Calories': '297', 'Fat': '11g', 'Carbs': '22g', 'Protein': '31g'}",https://www.allrecipes.com/recipe/72068/chicken-katsu/
Sesame-Seared Tuna,"This sesame-seared tuna is an easy, great-tasting dish. Fresh tuna steaks are coated with sesame seeds, then quickly seared and served rare, so be sure to use good quality fresh tuna.",10 mins,1 mins,11 mins,4,"['¼ cup soy sauce', '2 tablespoons sesame oil', '1 tablespoon mirin (Japanese sweet wine)', '1 tablespoon honey', '1 tablespoon rice wine vinegar', '½ cup sesame seeds', '4 (6 ounce) tuna steaks', '1 tablespoon olive oil', 'wasabi paste']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir together soy sauce, sesame oil, mirin, and honey in a small bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour half into a separate small bowl, stir in rice wine vinegar, and set it aside as a dipping sauce.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Spread sesame seeds out on a plate. Coat tuna steaks with remaining soy sauce mixture, then press into sesame seeds to coat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat olive oil in a cast iron skillet over high heat until very hot. Place steaks in the pan; sear for about 30 seconds on each side.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve with dipping sauce and wasabi paste.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '422', 'Fat': '21g', 'Carbs': '13g', 'Protein': '44g'}",https://www.allrecipes.com/recipe/71698/sesame-seared-tuna/
Japanese-Style Deep-Fried Shrimp,"These deep-fried shrimp are coated with crispy panko crumbs to make the easiest, tastiest deep-fried shrimp ever!",10 mins,15 mins,25 mins,4,"['1 pound medium shrimp, peeled (tails left on) and deveined', '½ teaspoon salt', '½ teaspoon ground black pepper', '½ teaspoon garlic powder', '1 cup all-purpose flour', '1 teaspoon paprika', '2 large eggs, beaten', '1 cup panko crumbs', '1 quart vegetable oil for frying']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place shrimp in a bowl and season with salt, pepper, and garlic powder.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Mix flour and paprika together in a shallow bowl. Place eggs in a second bowl and panko in a third bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a deep fryer or deep skillet to 375 degrees F (190 degrees C). Dip each shrimp into flour mixture, then into egg, and finally into panko crumbs to coat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Fry a few shrimp at a time in the hot oil until golden brown, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove with a slotted spoon and drain on paper towels before serving.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '630', 'Fat': '37g', 'Carbs': '54g', 'Protein': '28g'}",https://www.allrecipes.com/recipe/127500/japanese-style-deep-fried-shrimp/
Air Fryer Chicken Katsu with Homemade Katsu Sauce,"Air fryer chicken katsu that is crispy on the outside, tender and juicy on the inside. The sauce is a little bit sweet, a little bit tangy, and complements the chicken perfectly. Serve over rice if desired.",20 mins,20 mins,40 mins,4,"['½ cup ketchup', '2 tablespoons soy sauce', '1 tablespoon brown sugar', '1 tablespoon sherry', '2 teaspoons Worcestershire sauce', '1 teaspoon minced garlic', '1 pound boneless skinless chicken breast, sliced in half horizontally', '1 pinch salt and ground black pepper to taste', '2 large eggs, beaten', '1 ½ cups panko bread crumbs', 'cooking spray']","['Gather the ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Prepare sauce: Whisk ketchup, soy sauce, brown sugar, sherry, Worcestershire sauce, and garlic together in a bowl until sugar has dissolved. Set katsu sauce aside. Preheat an air fryer to 350 degrees F (175 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, lay chicken pieces on a clean work surface. Season with salt and pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place beaten eggs in a flat dish or shallow bowl. Pour bread crumbs into a second flat dish. Dredge chicken pieces in egg and then in bread crumbs. Repeat by dredging chicken in egg and then bread crumbs again, pressing down so the bread crumbs stick to the chicken.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place chicken pieces in the basket of the preheated air fryer. Spray the tops with nonstick cooking spray.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Air fry for 10 minutes. Flip chicken pieces over using a spatula and spray the tops with nonstick cooking spray. Cook for 8 minutes more. Transfer chicken to a cutting board and slice. Serve with katsu sauce.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve with katsu sauce and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '318', 'Fat': '7g', 'Carbs': '41g', 'Protein': '32g'}",https://www.allrecipes.com/recipe/278708/air-fryer-chicken-katsu-with-homemade-katsu-sauce/
Miso and Soy Chilean Sea Bass,"This Chilean sea bass recipe marinates the fish in a mirin and miso mixture with brown sugar and soy sauce. It is melt-in-your-mouth delicious! I had it at a restaurant in NYC, and recreated the recipe at home.",10 mins,10 mins,3 hrs 20 mins,4,"['⅓ cup sake', '⅓ cup mirin (Japanese sweet rice wine)', '⅓ cup miso paste', '¼ cup packed brown sugar', '3 tablespoons soy sauce', '4 (4 ounce) fillets fresh sea bass, about 1 inch thick', '2 tablespoons chopped green onion']","['Whisk together sake, mirin, miso paste, brown sugar, and soy sauce in a bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place sea bass fillets in a large resealable plastic bag; pour marinade over fillets. Chill in the refrigerator for 3 to 6 hours.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', ""Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Prop the oven door to remain slightly ajar."", 'Arrange fillets on a baking sheet; discard marinade.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Broil sea bass in the preheated oven until fish flakes easily with a fork, 7 to 9 minutes.', 'Sprinkle with chopped green onions to serve.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '287', 'Fat': '4g', 'Carbs': '28g', 'Protein': '25g'}",https://www.allrecipes.com/recipe/190094/miso-and-soy-chilean-sea-bass/
Oyakodon (Japanese Chicken and Egg Rice Bowl),"Oyakodon is a delicious traditional Japanese meal consisting of chicken sautéed and then cooked in a Japanese broth, and then finished with egg and served over rice. It's really easy, filling, and delicious.",10 mins,30 mins,40 mins,4,"['1 tablespoon olive oil', '4  skinless, boneless chicken thighs, cut into small pieces', '1  onion, cut in half and sliced', '2 cups dashi stock, made with dashi powder', '¼ cup soy sauce', '3 tablespoons mirin (Japanese rice wine)', '3 tablespoons brown sugar', '4 large eggs', '4 cups hot cooked white rice']","['Heat oil in a large skillet over medium heat. Add chicken and cook until beginning to brown, about 5 minutes. Add onion; cook and stir until onion is translucent, about 5 minutes.', 'Pour in stock, then whisk in soy sauce, mirin, and brown sugar; stir until sugar dissolves. Bring to a boil, then lower heat and simmer until slightly reduced, about 10 minutes.', 'Whisk eggs in a bowl until well-beaten, then pour into the hot stock mixture. Cover the skillet, reduce the heat, and steam until egg is cooked, about 5 minutes. Remove from the heat.', 'Divide rice among 4 deep soup bowls and top with equal amounts of the soup mixture.']","{'Calories': '688', 'Fat': '15g', 'Carbs': '98g', 'Protein': '35g'}",https://www.allrecipes.com/recipe/128589/oyakodon-japanese-chicken-and-egg-rice-bowl/
California Roll,"A California roll is a fresh take on traditional Japanese rice rolls. Filled with avocado, crab, and cucumber, it's fresh and crunchy and makes a filling meal. You can use real or imitation crab.",1 hr,20 mins,1 hr 50 mins,5,"['4 cups water', '2 cups uncooked white rice', '½ cup seasoned rice vinegar', '1 teaspoon white sugar, or to taste', '1 teaspoon salt, or to taste', '¼ pound cooked crab meat, drained of excess liquid and shredded', '1 tablespoon mayonnaise', '5 sheets nori (dry seaweed)', '1  avocado, sliced', '¼ cup red caviar, such as tobiko', '1  English cucumber, seeded and sliced into strips', '2 tablespoons drained pickled ginger, for garnish', '2 tablespoons soy sauce, or to taste', '1 tablespoon wasabi paste']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Wrap a sushi rolling mat completely in plastic wrap and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring water and rice to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender and liquid has been absorbed, 20 to 25 minutes. Transfer rice to a bowl and cut in vinegar using a rice paddle or wooden spoon. Season with sugar and salt. Allow to cool to room temperature, about 30 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine crab meat with mayonnaise in a small bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place nori sheet on a flat work surface. Spread a thin layer of rice on top of nori.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place nori, rice side down, on the prepared rolling mat. Place 2 to 3 avocado slices on top of the nori in one layer.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Top with 2 to 3 tablespoons of the crab mixture.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Spoon 1 to 2 teaspoons tobiko lengthwise on one side of the avocado-crab mixture, and 2 cucumber strips on the other side.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Using the mat as a guide, carefully roll the California roll into a tight log. Remove the rolling mat. Top roll with more tobiko, cover with plastic wrap, and gently press the tobiko into the top of the roll.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove the plastic and cut into 6 even pieces using a wet knife. Repeat with remaining sheets of nori and filling. Serve garnished with pickled ginger, soy sauce, and wasabi paste.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '445', 'Fat': '11g', 'Carbs': '70g', 'Protein': '15g'}",https://www.allrecipes.com/recipe/228953/california-roll/
Homemade Sushi,Sushi rolls can be filled with any ingredients you choose. Try smoked salmon instead of imitation crabmeat. Serve with teriyaki sauce and wasabi.,40 mins,25 mins,1 hr 5 mins,8,"['1 ⅓ cups water', '⅔ cup uncooked short-grain white rice', '3 tablespoons rice vinegar', '3 tablespoons white sugar', '1 ½ teaspoons salt', '4 sheets nori seaweed sheets', '½ pound imitation crabmeat, flaked', '1  avocado - peeled, pitted, and sliced', '½  cucumber, peeled, cut into small strips', '2 tablespoons pickled ginger']","['Gather all ingredients. Preheat the oven to 300 degrees F (150 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring water to a boil in a medium pot; stir in rice. Reduce heat to medium-low, cover, and simmer until rice is tender and water has been absorbed, 20 to 25 minutes.', 'Mix rice vinegar, sugar, and salt in a small bowl. Gently stir into cooked rice in the pot and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Lay nori sheets on a baking sheet.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat nori in the preheated oven until warm, 1 to 2 minutes.', 'Center 1 nori sheet on a bamboo sushi mat. Use wet hands to spread a thin layer of rice on top. Arrange 1/4 of the crabmeat, avocado, cucumber, and pickled ginger over rice in a line down the center.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Lift one end of the mat and roll it tightly over filling to make a complete roll. Repeat with remaining ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Use a wet, sharp knife to cut each roll into 4 to 6 slices.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '152', 'Fat': '4g', 'Carbs': '26g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/24228/sushi-roll/
