title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Rotisserie Chicken Pasta Bake,"Preparation of this rotisserie chicken pasta bake is streamlined by using rotisserie chicken, cooking broccoli in the same pot as the pasta, and making a quick, creamy sauce in a high-powered blender.",15 mins,40 mins,55 mins,4,"['6 ounces high protein pasta, such as Barilla®', '4 ounces chopped broccoli florets', '8 ounces rotisserie chicken, cut into bite-sized pieces', '2-ounce chunk Parmesan cheese', '8 ounces high protein cottage cheese, such as Good Culture®', '4 fluid ounces high protein milk, such as Fa!rlife®', '2 ounces low-fat cream cheese', '1/2 teaspoon granulated garlic', '1/2 teaspoon Cantanzaro herbs', '4 ounces shredded mozzarella cheese, divided']","['Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a casserole dish.', 'Bring a large pot of salted water to a boil, and cook pasta for 7 minutes. Add broccoli; cook for 2 minutes more. Drain pasta and broccoli.', 'Add Parmesan chunk to a high powered blender, such as a Vitamix. Blend on High until Parmesan chunk is finely ground. Add in cottage cheese, milk, and cream cheese; blend until smooth. Pour mixture into a large bowl. Stir in granulated garlic and Cantanzaro herbs. Add in the pasta, broccoli, chicken, and half the mozzarella cheese; stir until combined.', 'Pour into the prepared casserole dish. Top with remaining mozzarella cheese.', 'Pour into the prepared casserole dish. Top with remaining mozzarella cheese.', 'Bake in the preheated oven until bubbly, about 30 minutes. Serve immediately.']","{'Calories': '433', 'Fat': '20g', 'Carbs': '23g', 'Protein': '39g'}",https://www.allrecipes.com/rotisserie-chicken-pasta-bake-recipe-11706563
Hot Honey Feta Chicken Skewers,"These hot honey feta chicken skewers with chicken breasts, onions and green peppers grill until caramelized with hot honey and are finished with crumbled feta.",20 mins,15 mins,35 mins,4,"['2 cloves garlic, minced', '2 tablespoons olive oil, divided', '1/2 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '2 pounds skinless, boneless chicken breasts, cut into 1-inch cubes', '2 green bell peppers, cut into 2-inch pieces', '1/2 white onion, cut into 2-inch pieces', '4 large metal skewers', '1/4 cup honey, plus more for serving', '1/3 cup crumbled feta, or to taste']","['Preheat an outdoor grill for medium-high heat. Lightly coat the grate with cooking spray.', 'Mix together garlic, 1 tablespoon olive oil, salt, and pepper in a small bowl. Toss chicken cubes in the mixture until coated. In a separate bowl toss green peppers and onions with remaining olive oil.', 'Thread chicken, green bell peppers, and onions onto the skewers.', 'Grill until chicken is no longer pink at the center and juices run clear, turning skewers every few minutes, 15 to 20 minutes. An instant-read thermometer inserted near the center should read 165 degrees F (74 degrees C). Baste with hot honey during the last 5 minutes until lightly charred. Top with extra hot honey and feta. Serve warm.']","{'Calories': '550', 'Fat': '18g', 'Carbs': '22g', 'Protein': '73g'}",https://www.allrecipes.com/hot-honey-feta-chicken-skewers-recipe-11706551
Easy Rotisserie Chicken Enchiladas,"These easy rotisserie chicken enchiladas can be assembled in no time, and are a timesaver for busy weekday nights. A handful of ingredients, including rotisserie chicken and premade enchilada sauce, save the day!",10 mins,30 mins,40 mins,,"['1 1/2 tablespoons canola oil', '6 corn tortillas', '1 can red enchilada sauce, divided', '1 cup shredded rotisserie chicken', '2 teaspoons dry enchilada seasoning', '1 cup shredded Monterey Jack cheese, divided']","['Preheat the oven to 375 degrees F (190 degrees C). Place a wire rack on a baking sheet.', 'Heat oil in a heavy skillet. Quickly fry tortillas in the hot oil, about 5 seconds per side. Remove tortillas to the wire rack to drain. Dab excess oil with a paper towel.', 'Pour a thin layer of enchilada sauce into the bottom of a casserole dish.', 'Place shredded chicken in a bowl, sprinkle enchilada seasoning over chicken; toss to combine. Place 3 tablespoons chicken along center of each enchilada. Sprinkle with 1 1/2 tablespoons cheese. Roll up to form enchiladas. Place enchiladas seam side down in the casserole dish. Top with remaining enchilada sauce and sprinkle evenly with cheese. Cover with aluminum foil.', 'Bake in the preheated oven for 25 minutes. Turn on the oven’s broiler, remove foil from enchiladas, and broil until cheese is melted and golden, about 5 minutes.']","{'Calories': '1008', 'Fat': '50g', 'Carbs': '82g', 'Protein': '61g'}",https://www.allrecipes.com/easy-rotisserie-chicken-enchiladas-recipe-11706233
Slow Cooker Chicken and Gravy,This slow cooker chicken and gravy could not be easier. You'll want to serve this over hot rice or mashed potatoes for the ultimate comfort food dish.,5 mins,4 hrs,4 hrs 5 mins,6 to 8,"['1 (10 1/2 ounce) can cream of chicken soup', '2 packets chicken gravy mix', '1/2 cup chicken broth (optional)', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '3 to 4 skinless, boneless chicken breasts']","['In a 6-quart slow cooker, whisk together canned soup, gravy mix. chicken broth, salt, and pepper. Add chicken. Cover and cook on Low for 4 hours.', 'Before serving, carefully shred chicken using a hand mixer.\n\n \n\n\n\n\n\n \n Peyton Beckwith']","{'Calories': '180', 'Fat': '6g', 'Carbs': '9g', 'Protein': '21g'}",https://www.allrecipes.com/slow-cooker-chicken-and-gravy-recipe-11693381
Chicken Alfredo Garlic Bread,"This chicken Alfredo garlic bread is delicious with a seasoned Alfredo sauce, chopped chicken, and 3 kinds of cheese, baked on a toasted French loaf.",15 mins,15 mins,30 mins,6 to 8,"['8 tablespoons butter, divided', '1 tablespoon plus 1/2 teaspoon garlic powder, divided', '1 tablespoon chopped fresh parsley', '1 loaf French bread, cut in half horizontally', ""1 (15 ounce) jar Alfredo sauce, such as Rao's®"", '1/2 cup grated or shredded Parmesan cheese, divided', '1/2 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon smoked paprika', '1/4 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '4 cooked skinless, boneless chicken breasts, roughly chopped', '6 ounces Gruyere cheese, shredded', '8 ounces Monterey Jack cheese, shredded']","['Preheat the oven to 400 degrees F (200 degrees C).', 'In a small bowl whisk together 5 tablespoons melted butter, 1 tablespoon garlic powder, and 1 tablespoon parsley. Place French bread, cut sides up, on a baking sheet. Brush butter mixture evenly onto cut sides of bread.', 'Bake in the preheated oven until edges are golden brown, 4 to 5 minutes. Remove and set aside. Do not turn the oven off.', 'Meanwhile, heat Alfredo sauce in a saucepan over medium heat, stirring often. Add remaining 3 tablespoons butter, 1/4 cup Parmesan, remaining 1/2 teaspoon garlic powder, onion powder, smoked paprika, salt, and pepper. Stir until butter is melted and ingredients are well combined. Remove from heat.', 'Spread half of Alfredo mixture evenly over toasted bread. Add chopped chicken over Alfredo, and top evenly with remaining 1/4 cup Parmesan cheese, Gruyere, and Monterey Jack cheese.', 'Bake in the preheated oven until cheese is bubbly and golden brown, 8 to 10 minutes.', 'To serve, cut into 2-inch\xa0 slices. Garnish with fresh parsley and serve with remaining Alfredo sauce.']","{'Calories': '1111', 'Fat': '74g', 'Carbs': '48g', 'Protein': '63g'}",https://www.allrecipes.com/chicken-alfredo-garlic-bread-recipe-11703384
Chicken Biscuit Stew,"This chicken biscuit stew is a good recipe to use rotisserie chicken. It’s so simple to make, one pot, easy cleanup, and tastes like homemade potpie.",,30 mins,30 mins,4,"['2 tablespoons unsalted butter', '2 tablespoons all-purpose flour', '1 (10.5) ounce can chicken broth', '1/2 cup evaporated milk', '1 1/2 cups cubed cooked chicken breast', '1 (12 ounce) package frozen vegetables', '1/2 cup chopped onion', 'salt and freshly ground black pepper to taste', '1 (6 ounce) can refrigerated buttermilk biscuits']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Melt butter in an ovenproof skillet over medium heat. Sprinkle in flour and whisk continuously to make a roux, 1 to 2 minutes. Gradually add broth and milk whisking until thick, smooth, and bubbly, 4 to 5 minutes.', 'Stir in chicken, frozen vegetables, and onion. Cook for 1 to 2 minutes, then season with salt and pepper. Place biscuits on top of the chicken mixture, lightly pressing each down.', 'Bake in the preheated oven until biscuits are golden brown, 20 to 25 minutes. Check at about 15 minutes, and if biscuits are browning too quickly, cover with a piece of foil. Serve immediately.']","{'Calories': '446', 'Fat': '18g', 'Carbs': '40g', 'Protein': '31g'}",https://www.allrecipes.com/chicken-biscuit-stew-recipe-11700236
Neiman Marcus Chicken Casserole,"This Neiman Marcus chicken casserole recipe is a casserole version of the famous department store's cafe dish. Saucy chicken, bacon, Cheddar, and almonds are baked with a buttery cracker topping in this quick-prep dinner.",10 mins,40 mins,50 mins,6 to 8,"['4 cups shredded cooked chicken', '1 (10.5 ounce) can cream of chicken soup', '1 cup sour cream', '2 cups shredded Cheddar cheese', '1/2 cup sliced green onions', '1/2 cup slivered almonds', '6 slices bacon, cooked and crumbled', '1 ½ teaspoons hot sauce, such as Tabasco® or to taste', '1 sleeve buttery crackers, such as Ritz® crackers, crushed', '1/2 cup butter, melted']","['Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9x13-inch baking dish.', 'Place chicken, chicken soup, sour cream, cheese, green onions, almonds, bacon, and hot sauce into a large mixing bowl and stir to combine.\xa0 Pour mixture into the prepared dish.', 'Stir crushed crackers and butter together until combined; spread mixture evenly over casserole.', ""Bake in the preheated oven until browned and bubbly, 40 to 45 minutes.\n\n \n\n\n\n\n\n \n Peyton Beckwith\n\n From the Editor:\nHere's a foolproof way to Cook Bacon in the Microwave.""]","{'Calories': '724', 'Fat': '55g', 'Carbs': '17g', 'Protein': '40g'}",https://www.allrecipes.com/neiman-marcus-chicken-casserole-recipe-11693255
Creamy Curry-Spiced Chicken Pot Pie,"This creamy, curry-spiced chicken pot pie is a fragrant, entirely made from scratch pie. It's baked in a cast iron skillet with golden pie crust cutouts over a chicken and vegetable filling lightly seasoned with curry powder.",15 mins,45 mins,1 hr 15 mins,4,"['1 1/3 cups all-purpose flour', '1/2 teaspoon curry powder', '1/8 teaspoon salt', '1/4 cup vegetable shortening', '1/4 cup butter', '5 tablespoons ice water', '1/3 cup butter', '1 pound skinless, boneless chicken breast, cubed', '1 onion, chopped', '2 stalks celery, chopped', '2 carrots, chopped', '2 teaspoons curry powder', '1/3 cup all-purpose flour', '2 cups low-sodium chicken broth', '1/2 cup plain whole milk yogurt', '1 tart apple, cored and chopped', '1/4 cup chopped fresh cilantro, plus more for garnish', '1/2 teaspoon salt', '1/2 teaspoon ground black pepper', '1/4 teaspoon dried thyme', '1 large egg, beaten']","['For dough, add flour, curry powder, and salt to the bowl of a food processor and pulse until combined. Add shortening and cold butter. Pulse until combined and mixture resembles coarse crumbs. Add ice water, 1 tablespoon at a time, pulsing after each addition, until mixture comes together (See Note). Wrap in plastic and chill until ready to use, or up to 24 hours.', 'For filling, melt butter in a 10-inch cast-iron skillet over medium-high heat. Add chicken, onion, celery, carrots, and curry powder; cook, stirring occasionally, until onion is softened, about 10 minutes. An instant-read thermometer inserted into thickest parts of chicken should register 165 degrees F (74 degrees C). Reduce heat to medium; add flour and cook, stirring frequently, about 3 minutes more. Slowly stir in broth and yogurt; simmer until thickened, about 5 minutes. Remove from heat. Stir in apple, cilantro, salt, pepper, and thyme.', 'Preheat the oven to 400 degrees F (200 degrees C).', 'To assemble pie, lightly flour a surface, unwrap dough, and roll out to about 1/8-inch thickness. Cut out shapes from dough with 2 1/2- to 3-inch cookie cutters. Arrange shapes on top of filling, overlapping as needed to cover. Brush egg over dough shapes.', 'Bake in the preheated oven until pastry is golden brown and filling is bubbly, about 30 minutes. Cool at least 15 minutes before serving. Garnish with additional cilantro.\n\n From the Editor:\nIf you don’t have a food processor, combine flour, curry powder, and salt in a large bowl. Cut in butter and shortening with a pastry blender or 2 knives until mixture resembles coarse crumbs. Stir in ice water, 1 tablespoon at a time, until mixture forms a ball. Wrap in plastic and chill while making the filling.']","{'Calories': '838', 'Fat': '47g', 'Carbs': '56g', 'Protein': '47g'}",https://www.allrecipes.com/creamy-curry-spiced-chicken-pot-pie-recipe-11694077
Crockpot Teriyaki Chicken and Rice,"This crockpot teriyaki chicken and rice is super quick to assemble. The sauce ingredients, pineapple, and chicken simmer together, and in the last half hour, convenient packs of pre-cooked rice are added to the mix.",10 mins,3 hrs,3 hrs 10 mins,6,"['1/2 cup soy sauce', '1/4 cup brown sugar', '1 teaspoon freshly grated ginger root', '2 teaspoons minced garlic', '3 tablespoons honey', '1 1/2 tablespoons rice vinegar', '2 teaspoons sesame oil', '1 (8-ounce) can pineapple chunks in juice', '2 pounds skinless, boneless chicken thighs, cut into 1-inch pieces', '1 1/2 tablespoons cornstarch', '1/4 cup water', '2 packs pre-cooked rice', '1/2 bunch green onions, thinly sliced', 'sesame seeds (optional)']","['Combine soy sauce, brown sugar, ginger, garlic, honey, rice vinegar, and sesame oil in a slow cooker and whisk to combine. Add pineapple with juice and chicken and stir to coat.\xa0Cover and cook on High for 2 1/2 to 3 hours.', 'Whisk cornstarch and cold water together in a small bowl and stir into slow cooker.', 'Microwave rice packets for 1 minute each to loosen rice slightly and stir rice into chicken mixture. Cover and cook on High 30 minutes.', 'Top with green onions and sprinkle with sesame seeds to serve.\n\n \n\n\n\n\n\n \n Peyton Beckwith']","{'Calories': '440', 'Fat': '14g', 'Carbs': '41g', 'Protein': '40g'}",https://www.allrecipes.com/crockpot-teriyaki-chicken-and-rice-recipe-11692257
Air Fryer Pesto Chicken Quinoa Bowl,"This air fryer pesto chicken quinoa bowl is a hearty dinner, with air fried, seasoned chicken and zucchini spears atop fluffy, whole-grain quinoa, fresh tomatoes, and crumbled feta.",10 mins,10 mins,20 mins,2,"['2 teaspoons prepared pesto', '1/4 teaspoon garlic powder', '1 pound skinless, boneless chicken breasts, cut into 1-inch pieces', '2 teaspoons olive oil', '1/8 teaspoon crushed red pepper flakes', '1/8 teaspoon salt', '1/8 teaspoon freshly ground black pepper', '1 zucchini, cut into spears', 'nonstick cooking spray', '2 cups cooked quinoa (see Note)', '10 basil leaves, chopped', '1 cup grape tomatoes, chopped', '1/4 cup crumbled feta cheese']","['Mix together pesto and garlic powder in a bowl. Add chicken to bowl and stir until evenly coated.', 'In a separate bowl mix together olive oil, pepper flakes, salt, and black pepper. Add zucchini to the bowl and stir until evenly coated.', 'Preheat an air fryer to 400 degrees F (200 degrees C).', 'Lightly spray air fryer with nonstick spray. Place chicken on one side, and place seasoned zucchini on the other side.', 'Fry in the preheated air fryer until an instant-read thermometer inserted into the center of chicken reads 165 degrees F (74 degrees C), about 10 minutes.', 'Mix cooked quinoa and chopped basil leaves together.', 'In a bowl place 1 cup quinoa, ½ cup chopped tomatoes, half the chicken breasts, and half the zucchini spears. Top each bowl with half the feta cheese and serve.\n\n From the Editor:\nFor about 2 cups cooked quinoa, add 3/4 cup quinoa to a fine mesh sieve; rinse under cold running water. Bring 1 1/2 cups water and quinoa to a boil in a saucepan (2:1 ratio of water to quinoa). Reduce heat to medium-low, cover, and simmer until quinoa is tender, 15 to 20 minutes.']","{'Calories': '739', 'Fat': '23g', 'Carbs': '47g', 'Protein': '84g'}",https://www.allrecipes.com/air-fryer-pesto-chicken-quinoa-bowl-recipe-11691482
