title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Carrie's Pad Thai Salad,"This Thai salad with lettuce, rice noodles, peanuts, egg, and cilantro with a lime and tamarind dressing is my favorite new creation. After I started making this salad at home, I could never go back!",20 mins,10 mins,40 mins,4,"['1 (12 ounce) package dried rice noodles', '½ cup white sugar', '¼ cup water', '½  lime, juiced', '2 tablespoons soy sauce', '2 tablespoons fish sauce', '1 teaspoon tamarind concentrate', '¼ cup peanut oil', '1 clove garlic, minced', '4 large eggs', '1 tablespoon paprika', '¼ teaspoon chili powder, or to taste (Optional)', '1 head lettuce, chopped, or as needed', '2 tablespoons flaxseed oil', '½ cup fresh bean sprouts, or to taste (Optional)', '½ cup chopped green onion', '½ cup chopped fresh cilantro', '½ cup chopped peanuts', '½  lime, cut into wedges']","['Place noodles in a large bowl with enough hot water to cover; soak noodles until soft, about 10 minutes. Strain.', 'Combine sugar, water, lime juice, soy sauce, fish sauce, and tamarind in a large saucepan over medium heat. Simmer gently, stirring occasionally, until sauce is slightly thickened, 3 to 5 minutes.', 'Heat peanut oil in a large skillet over medium heat. Add garlic; stir just until fragrant, 30 to 60 seconds. Add eggs; cook and stir until almost set, 2 to 3 minutes. Add noodles to egg mixture; stir in 1/2 of soy-tamarind sauce mixture. Continue to cook and stir noodle mixture until hot, adding additional sauce as desired, 2 to 3 minutes more. Sprinkle paprika and chili powder over noodles.', 'Layer lettuce on a serving dish or in individual bowls; drizzle with flaxseed oil. Place noodle mixture on lettuce; garnish with bean sprouts, green onion, cilantro, and peanuts. Serve with lime wedges.']","{'Calories': '807', 'Fat': '35g', 'Carbs': '109g', 'Protein': '17g'}",https://www.allrecipes.com/recipe/246138/carries-pad-thai-salad/
Cobb Salad,"This Cobb salad has some of my favorite ingredients: chicken, egg, tomatoes, blue cheese, and avocado.",20 mins,10 mins,30 mins,6,"['6 slices bacon', '3 large eggs', '1 head iceberg lettuce, shredded', '3 cups chopped, cooked chicken meat', '2 ripe tomatoes, seeded and chopped', '¾ cup blue cheese, crumbled', '3  green onions, chopped', '1  avocado - peeled, pitted and diced', '1 (8 ounce) bottle Ranch-style salad dressing']","['Place eggs in a saucepan and cover completely with cold water; bring to a boil, then cover and remove from heat. Let eggs sit for 10 to 12 minutes, then cool, peel and chop.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While the eggs are cooking, place bacon in a large, deep skillet. Cook over medium-high heat until evenly brown, 7 to 10 minutes. Drain, crumble, and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Divide shredded lettuce among individual plates. Arrange rows of bacon, eggs, chicken, tomatoes, blue cheese, green onions, and avocado on top.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drizzle with dressing and enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '525', 'Fat': '40g', 'Carbs': '10g', 'Protein': '32g'}",https://www.allrecipes.com/recipe/14415/cobb-salad/
Grilled Chicken Salad with Seasonal Fruit,"This grilled chicken salad is both beautiful in presentation and taste. You can use fresh berries in summer (strawberries, blueberries, raspberries, or blackberries) and orange segments in winter. This terrific salad recipe will bring rave reviews any time of the year!",15 mins,20 mins,35 mins,6,"['1 pound skinless, boneless chicken breast halves', '½ cup pecans', '⅓ cup red wine vinegar', '½ cup white sugar', '1 cup vegetable oil', '½  onion, minced', '1 teaspoon ground mustard', '1 teaspoon salt', '¼ teaspoon ground white pepper', '2 heads Bibb lettuce - rinsed, dried and torn', '1 cup sliced fresh strawberries']","['Preheat the grill to high heat. Lightly oil the grill grate.', 'Grill chicken until juices run clear, about 8 minutes per side. Remove from heat, cool, and slice. Set aside.', 'Meanwhile, place pecans in a dry skillet over medium-high heat. Cook pecans, stirring frequently, until fragrant, about 8 minutes. Remove from heat and set aside.', 'To make the dressing: Combine red wine vinegar, sugar, vegetable oil, onion, mustard, salt, and pepper in a blender. Process until smooth.', 'Arrange lettuce on serving plates. Top with grilled chicken slices, strawberries, and pecans. Drizzle with dressing to serve.']","{'Calories': '567', 'Fat': '46g', 'Carbs': '23g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/14186/grilled-chicken-salad-with-seasonal-fruit/
Greek-Style Chicken Salad,"This Greek chicken salad with cucumbers, cooked chicken, tomatoes, Greek yogurt, and feta cheese is a light and refreshing twist on traditional chicken salad. Garnish with extra dill.",30 mins,,2 hrs,4,"['1 cup diced English cucumbers', '1 ¼ teaspoons salt, divided', '2 tablespoons diced red onion', '1 cup Greek yogurt', '⅓ cup chopped Kalamata olives', '1 ½ tablespoons chopped fresh dill', '2 teaspoons red wine vinegar', '2 teaspoons lemon juice', '1 teaspoon garlic, minced', '1 teaspoon lemon zest', '½ teaspoon dried oregano', '¼ teaspoon ground black pepper', '3 cups diced cooked chicken', '¾ cup crumbled feta cheese', '½ cup diced seeded plum tomatoes', '1 head Bibb lettuce, or more as needed']","['Place cucumbers in a colander; set onto a plate. Toss cucumbers with 1 teaspoon salt. Let rest to draw about liquid, about 30 minutes. Pat dry with paper towels.', 'Place red onion and 1 cup cold water in a bowl. Let soak until the strong onion flavor is weakened, 5 to 10 minutes. Drain and rinse.', 'Combine cucumbers, red onions, Greek yogurt, Kalamata olives, dill, vinegar, lemon juice, garlic, lemon zest, oregano, and black pepper in a bowl. Fold in chicken, feta cheese, and tomatoes. Cover with plastic wrap; refrigerate salad for at least 1 hour.', 'Stir salad and serve on lettuce leaves.']","{'Calories': '385', 'Fat': '22g', 'Carbs': '9g', 'Protein': '37g'}",https://www.allrecipes.com/recipe/260452/greek-inspired-chicken-salad/
"Grilled Chicken, Peach, and Arugula Salad",A yummy summer salad with grilled chicken and grilled fresh peaches.,15 mins,15 mins,30 mins,6,"['5 tablespoons olive oil, divided', '1 tablespoon balsamic vinegar', '1 tablespoon chopped shallot', '1 teaspoon Dijon mustard', '½ teaspoon salt, or more to taste', '4  peaches, halved and pitted', '4  skinless, boneless chicken breast halves', '8 cups baby arugula']","['Preheat an outdoor grill for medium-high heat and lightly oil the grate.', 'For the dressing: Whisk 4 tablespoons olive oil, balsamic vinegar, shallot, Dijon mustard, and 1/2 teaspoon salt together in a bowl until well mixed.', 'Brush 1 teaspoon olive oil onto cut-side of peaches.', 'Place peaches, cut-side down, onto grill and cook until heated through, about 4 minutes. Transfer peaches to a plate.', 'Brush remaining oil onto both sides of chicken breasts and season with salt.', 'Cook chicken on the preheated grill until no longer pink in the center, about 4 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Slice chicken into thin pieces and cut peaches into 1/2-inch thick pieces.', 'Toss arugula and dressing together in a bowl. Divide dressed arugula among plates; top with peaches and chicken.']","{'Calories': '210', 'Fat': '13g', 'Carbs': '6g', 'Protein': '17g'}",https://www.allrecipes.com/recipe/242415/grilled-chicken-peach-and-arugula-salad/
"Spinach Salad with Chicken, Avocado, and Goat Cheese","Great salad with chicken, avocado, and goat cheese.",20 mins,,20 mins,4,"['¼ cup pine nuts', '8 cups chopped spinach', '1 cup halved cherry tomatoes', '1 ½ cups chopped cooked chicken', '1 large avocado - peeled, pitted, and sliced', '½ cup corn kernels', '⅓ cup crumbled goat cheese', '3 tablespoons white wine vinegar', '2 tablespoons extra-virgin olive oil', '1 tablespoon Dijon mustard', '1 pinch salt and ground black pepper to taste']","['Heat a small skillet over medium-high heat. Toast pine nuts in hot skillet until lightly browned and fragrant, 3 to 5 minutes.', 'Put spinach into a large salad bowl; top with pine nuts, tomatoes, chicken, avocado, corn kernels, and goat cheese.', 'Beat white wine vinegar, olive oil, and Dijon mustard together in a small bowl until smooth; season with salt and pepper. Drizzle dressing over the salad and toss lightly to coat.']","{'Calories': '441', 'Fat': '32g', 'Carbs': '18g', 'Protein': '26g'}",https://www.allrecipes.com/recipe/240327/spinach-salad-with-chicken-avocado-and-goat-cheese/
Chicken Paillard,"Try this chicken paillard recipe for a super-easy, simple chicken dish with lemon juice lending a fresh taste. It's very refreshing for an outdoor barbecue or spring dinner. Pairs well with a dry white wine.",15 mins,5 mins,35 mins,4,"['4 (6 ounce) skinless, boneless chicken breast halves', '⅓ cup dry white wine (Optional)', '1  lemon, juiced', '1 small shallot, chopped', '2 teaspoons extra-virgin olive oil', '1 clove garlic, crushed', '1  lemon, juiced', '1 tablespoon red wine vinegar', '1 tablespoon extra-virgin olive oil', '2 teaspoons lemon zest', '½ teaspoon salt, divided', '½ teaspoon freshly ground black pepper, divided', '4 cups trimmed arugula', '8 ounces cherry tomatoes, halved']","['Marinate the chicken: Pound chicken breasts on a work surface using a meat tenderizer or heavy pan to a thickness of 1/4 inch. Whisk wine, lemon juice, shallot, olive oil, and garlic together in a shallow bowl. Add chicken breasts to the bowl and marinate for 15 minutes.', 'Meanwhile, make the salad: Whisk lemon juice, vinegar, olive oil, lemon zest, and 1/4 teaspoon each salt and pepper together in a large bowl. Add arugula and tomatoes; toss to combine.', 'Cook the chicken: Preheat an outdoor grill for high heat and lightly oil the grate, or heat a skillet over high heat.', 'Remove chicken from marinade; discard remaining marinade. Season chicken with remaining 1/4 teaspoon each salt and pepper.', 'Cook chicken on the preheated grill until golden brown and just cooked through, 2 to 3 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Plate chicken with arugula salad on top.']","{'Calories': '280', 'Fat': '10g', 'Carbs': '6g', 'Protein': '37g'}",https://www.allrecipes.com/recipe/246243/chicken-paillard/
Easy Chinese Chicken Salad,This salad is always a hit. Everyone loves it! Can be refrigerated 2 to 3 hours before serving.,15 mins,,15 mins,6,"['1  rotisserie chicken, meat removed and shredded', '½ medium head cabbage, chopped', '4  green onions, sliced', '1 (3 ounce) package ramen noodles (such as Nissin® Top Ramen)', '3 tablespoons sesame seeds', '3 tablespoons slivered almonds', '½ cup olive oil', '3 tablespoons apple cider vinegar', '2 tablespoons white sugar', '1 teaspoon salt', '1 teaspoon ground black pepper']","['Toss chicken meat, cabbage, onions, ramen noodles, sesame seeds, and almonds together in a large bowl. Beat olive oil, vinegar, sugar, salt, and pepper together in a small bowl; drizzle over the salad and toss to coat.']","{'Calories': '361', 'Fat': '29g', 'Carbs': '13g', 'Protein': '15g'}",https://www.allrecipes.com/recipe/231132/easy-chinese-chicken-salad/
Healthy Chicken Salad,"This healthy chicken salad recipe is made with a mixture of Greek yogurt and cottage cheese instead of regular mayonnaise, resulting in a healthier version that's still creamy and delicious but higher in protein. Apples and dried cranberries add a sweet-tart flavor, while chopped pecans provide textural interest in every bite. Serve it on crackers, on a croissant, in a pita, or grab a fork and just dig in!",15 mins,,15 mins,4,"['1 (6 ounce) container fat-free Greek yogurt (such as Fage®)', '½ cup low-fat cottage cheese', '½ cup chopped celery', '½ cup diced apple', '¼ cup sweetened dried cranberries (such as Craisins®)', '2 tablespoons chopped onion', '2 tablespoons chopped pecans', '½ tablespoon Dijon mustard', '1 ¼ cups cubed, cooked chicken', 'salt and ground black pepper to taste']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir Greek yogurt, cottage cheese, celery, apple, cranberries, onion, pecans, and Dijon mustard in a bowl until well combined.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Mix in chicken. Season with salt and pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '168', 'Fat': '6g', 'Carbs': '13g', 'Protein': '15g'}",https://www.allrecipes.com/recipe/272849/healthy-chicken-salad/
"Black Bean, Corn, and Quinoa Salad",This is a wonderful Southwestern style salad that is quick and easy to make.,15 mins,20 mins,40 mins,6,"['2 cups chicken broth', '1 cup uncooked quinoa', '1 cup frozen corn', '1 tablespoon lime juice', '1 teaspoon red wine vinegar', 'lime, zested', '½ teaspoon ground cumin', '2 tablespoons avocado oil', '1 (15 ounce) can black beans, drained', '1 small red bell pepper, seeded and chopped', '1 small red onion, chopped', '¼ cup chopped fresh cilantro', 'salt and ground black pepper to taste']","['Bring chicken broth to a boil in a 2-quart saucepan. Stir in quinoa. Reduce heat to low; simmer, covered, until broth is absorbed, 15 to 20 minutes. Remove from heat; stir in corn. Cover and let stand until corn is warmed through, about 5 minutes.', 'Whisk lime juice, red wine vinegar, lime zest, and cumin together in a large bowl. Whisk in avocado oil. Add black beans, red bell pepper, red onion, and cilantro. Season with salt and pepper. Stir in quinoa and corn.']","{'Calories': '250', 'Fat': '7g', 'Carbs': '38g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/257254/black-bean-corn-and-quinoa-salad/
