title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
One Pot Tuscan Shrimp and Orzo,"This one pot Tuscan shrimp and orzo is hearty yet elegant, every bite bursting with Tuscan-inspired flavors. It’s comfort food with a sophisticated twist, perfect for a special dinner or a cozy night in.",15 mins,25 mins,40 mins,6,"['2 shallots, thinly sliced', '4 cloves garlic, minced', '3 tablespoons butter', '1 1/2 cups orzo pasta', '1 tablespoon tomato paste', '2 teaspoons Cantanzaro herbs', 'salt and freshly ground black pepper to taste', '4 cups vegetable broth, divided', '3 1/2 fluid ounces heavy whipping cream', '10 ounces plain Greek yogurt', '1/2 cup chopped sundried tomatoes', '1 pound shrimp, peeled and deveined', '3 cups fresh spinach', 'fresh basil, for garnish']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Melt butter in a Dutch oven over medium heat. Add shallots, and cook until translucent, 3 to 5 minutes. Add garlic, and stir until fragrant, about 45 seconds.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Add in orzo; cook and stir until orzo is lightly toasted, about 1 minute. Stir in tomato paste and Cantanzaro herbs; season with salt and pepper.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Pour in 3 cups vegetable broth and whipping cream. Stir remaining 1 cup broth into Greek yogurt; pour into the Dutch oven. Stir in sundried tomatoes.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Cook orzo, uncovered, stirring constantly, over medium heat until orzo is just tender with a bite, 15 to 20 minutes.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Stir shrimp and fresh spinach into cooked orzo, and cook until shrimp is pink and opaque and spinach is wilted, about 4 minutes. Taste; season with salt and pepper.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Remove from heat; serve immediately with fresh basil. Enjoy!\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard\n\n Cook’s Note\nCantanzaro herbs are a blend of garlic, lemon peel, marjoram, European basil, Mediterranean thyme, rosemary, and Greek oregano. I buy it from the Savory Spice Shop.']","{'Calories': '343', 'Fat': '13g', 'Carbs': '29g', 'Protein': '28g'}",https://www.allrecipes.com/one-pot-tuscan-shrimp-and-orzo-recipe-8763377
Shrimp Fajita Rice Casserole,"This shrimp fajita rice bake is relatively simple but the flavors really shine. Bright bell peppers, warm poblano peppers, and fire-roasted tomatoes bake with cooked rice and shrimp, and every serving is topped with avocado, sour cream, and cilantro.",20 mins,30 mins,50 mins,6,"['cooking spray', '1 tablespoon vegetable oil', '1 red bell pepper, cut into thin strips', '1 yellow bell pepper, cut into thin strips', '1 poblano pepper, seeded and cut into thin strips', '1 small onion, sliced', '3 cloves garlic, thinly sliced', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon ground cumin', '1/2 teaspoon dried oregano', '1 pound frozen peeled cooked large shrimp, tails removed, thawed (31 to 35 per pound)', '1 (14.5 ounce) cans fire roasted diced tomatoes', '1 1/2 cups cooked long grain white rice', 'sliced avocado', 'sour cream, as needed', 'chopped fresh cilantro', 'lime wedges']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Preheat the oven to 400 degrees F (200 degrees C). Coat a 2-quart baking dish with nonstick cooking spray.', 'Heat oil in a 12-inch skillet over medium-high heat. Add peppers and onion. Cook and stir until softened, 6 minutes.\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Stir in garlic, salt, pepper, cumin, and oregano. Cook and stir until fragrant, 1 minute.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Stir together pepper mixture, shrimp, undrained tomatoes, and rice in a large bowl. Transfer to prepared baking dish. Cover tightly with foil.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Bake in the preheated oven until heated through, about 20 minutes.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', ""Top servings with avocado, sour cream, and cilantro. Serve with lime wedges.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali\n\n From the Editor\nHere's everything you need to know about how to cook rice.""]","{'Calories': '328', 'Fat': '16g', 'Carbs': '27g', 'Protein': '21g'}",https://www.allrecipes.com/shrimp-fajita-rice-casserole-recipe-8788221
Lobster Stuffed Pasta Shells For Two,"For these lobster stuffed pasta shells for two, you’ll be moving lobster from one kind of shell to another to create one of Chef John’s favorite baked pasta dishes. These elegant, delicious, creamy shells will remind you of lobster bisque.",30 mins,45 mins,1 hr 20 mins,2,"['2 cups baby spinach (optional)', '2 small lobster tails, 3 to 4 ounces each', '1/2 cup ricotta cheese', '1/2 cup shredded mozzarella cheese', '1 teaspoon lemon zest', '2 garlic cloves, minced', '1/2 teaspoon kosher salt', 'cayenne pepper to taste', '1/4 teaspoon smoked paprika', 'reserved lobster shells', '1 tablespoon butter', '1 teaspoon tomato paste', '1 cup heavy cream', '1 splash water', '1/4 teaspoon salt', '1 pinch cayenne pepper', '8 large pasta shells', '1/3 cup shredded mozzarella cheese', '1/4 cup freshly grated Parmesan cheese', '1 teaspoon olive oil\xa0(optional)', '1 pinch cayenne pepper\xa0(optional)', '1 pinch chopped fresh parsley\xa0(optional)']","['This step is optional, but greatly improves the flavor and look of the final dish: Wilt spinach in a dry pan over medium-high heat, transfer into a strainer. Let cool, then squeeze out excess water, and chop with a knife. Refrigerate until needed.', 'Cut lengthwise with scissors along the center of each lobster shell on both top and bottom, and remove meat. Set shells aside for sauce. Open up lobster tail meat down the center, slicing open with a knife if necessary, and devein if needed. Rinse briefly under cold water to remove any grit.', 'Chop meat with a knife into small pieces, about 1/4-inch in size. Transfer into a mixing bowl; add chopped spinach, ricotta, mozzarella, lemon zest, garlic, salt, cayenne, and smoked paprika. Mix thoroughly; refrigerate until needed.', 'Cut reserved lobster shells with scissors into 1-inch pieces. Melt butter over medium-high heat in a saucepan, and add lobster shells. Cook, stirring, until lobster shells turn a deep red-orange color and smell like cooked lobster, 1 to 2\xa0minutes.', 'Add tomato paste and cook, stirring, for 30 seconds more. Pour in cream; rinse measuring cup with a small splash of water and add to the saucepan. Season with salt and cayenne. Bring to a boil, adjust temperature to prevent boiling over, and cook until cream reduces and thickens slightly, enough to coat the back of a spoon, about 4 minutes.', 'Pour lobster cream through a fine mesh strainer set over a bowl, allowing all liquid to drain through. Set cream sauce aside until needed; discard shells.', 'Bring a large pot of salted water to a boil. Add shells and cook, stirring occasionally, for 2 minutes less than package directions. Transfer shells into a bowl of cold water to cool immediately, then drain well.', 'Preheat the oven to 375 degrees F (190 degrees C).', 'Use a spoon to generously stuff 8 cooked pasta shells with lobster filling.', 'Spoon about three quarters of lobster cream sauce into a (1-quart) baking dish. A cake pan or deep pie dish can also be used. Arrange stuffed shells in the dish, evenly spaced not more than about 1/2 inch apart.', 'Top each shell with a small amount of mozzarella. Drizzle a few teaspoons of remaining lobster cream sauce over top of each shell. Any extra sauce can be added to the baking dish if desired, or reserved to reheat and serve with cooked shells.', 'Grate a small amount of Parmesan over the top, and drizzle with olive oil if desired.', 'Bake in the preheated oven until bubbly and hot throughout, and golden brown on top, 25 to 30 minutes.', 'Let rest at least 5 minutes before serving.']","{'Calories': '923', 'Fat': '66g', 'Carbs': '33g', 'Protein': '49g'}",https://www.allrecipes.com/lobster-stuffed-pasta-shells-for-two-recipe-8789917
Shrimp Scampi Cheesecake Appetizer,Rich cheesecake with a seafood surprise. Decadent and smooth for adult tastes.,45 mins,25 mins,1 hr 10 mins,12,"['1 tablespoon olive oil', '1  onion', '6 teaspoons minced garlic', '1 pound fresh shrimp, peeled and deveined', '12 shells puff pastry, baked', '4 tablespoons butter or margarine', '3 (8 ounce) packages cream cheese, softened', '4  eggs', '½ cup heavy cream', '16 ounces smoked Gouda, grated', '2 teaspoons salt']","['Preheat oven to 350 degrees F (175 degrees C).', 'In a large skillet over medium-low heat, warm oil and saute onions and garlic until onions are translucent; set aside to cool. When cool, pour off liquid reserving garlic.', 'Cut shrimp into 1/2 inch pieces, reserving 12 uncut for garnish. In a large skillet over medium-low heat, melt butter and add reserved garlic and all shrimp; cook shrimp for 2 to 4 minutes or until done.', 'Remove center circle and a small portion of inside of cooled puff pastry shells.', 'In a medium bowl, beat cream cheese until creamy; add one egg at a time and beat until well mixed. Add cream, Gouda, onions, shrimp and salt.', 'Spoon filling into puff pastry shells.', 'Bake in preheated oven for 20 to 25 minutes or until filling is browned on top. Garnish with whole shrimp and chopped chives; serve.']","{'Calories': '701', 'Fat': '56g', 'Carbs': '23g', 'Protein': '27g'}",https://www.allrecipes.com/recipe/16023/shrimp-scampi-cheesecake-appetizer/
One Pot Mediterranean Shrimp and Vegetables,"This one pot Mediterranean shrimp and vegetables, colorful and full of flavor, is sure to please. Lemon, garlic, tomato, red onion, bell pepper, parsley, and spinach combine with shrimp and rice in one pot, making a Mediterranean-style dish that checks all the boxes—and the ease of cleanup doesn’t hurt a thing!",15 mins,25 mins,40 mins,5,"['1 lemon, divided', '5 tablespoons olive oil, divided', '3 cloves garlic, minced, divided', '1 1/2 teaspoon salt-free Greek seasoning, such as DAK, divided', '1 pinch salt', '1 pound peeled and deveined shrimp, 21 to 25 pieces per pound', '1/2 medium red onion', '1 green bell pepper,\xa0cored, seeded and diced', '1 cup uncooked long grain rice', '1/4 teaspoon red pepper flakes, or to taste', '1 1/4 cups diced fresh tomato', '1 1/4 cup chicken or shrimp broth or stock', '1/4 cup white wine', '2 tablespoons minced fresh flat leaf parsley, plus sprigs for garnish (optional)', '2 cups chopped fresh spinach', '1 cup marinated artichoke hearts, quartered', '2 tablespoons freshly grated Parmesan cheese']","['Cut lemon in half; cut one half into thin slices and set aside. Zest and juice the remaining lemon half into a 1-gallon resealable plastic bag. Add 3 tablespoons olive oil, 1 clove minced garlic, 1/2 teaspoon Greek seasoning, and salt to the bag and seal. Move ingredients around in the bag, gently pressing, to mix.', 'Add shrimp to the bag, reseal, and gently move shrimp inside the bag to coat with marinade. Try to get as much air as possible out of the bag, reseal, and place on a plate. Move shrimp into a single layer inside the bag, and refrigerate shrimp in the marinade. Turn occasionally.', 'In a Dutch oven, heat remaining 2 tablespoons olive oil over medium heat.', 'When oil shimmers, add onions, bell peppers, and rice. Cook, stirring, 3 to 5 minutes, or until the onion begins to turn clear and the rice begins to toast. Add remaining 2 cloves garlic and red pepper flakes. Cook, stirring, until garlic is fragrant, about 30 seconds.', 'Add diced tomatoes and their juices; pour in chicken broth and wine. Stir in parsley, red pepper flakes, and remaining 1 teaspoon Greek seasoning, and bring to a boil. Cover, reduce heat to low and cook until rice is tender with a bite, 15 to 20 minutes. Season to taste with salt.', 'Increase heat to medium; stir in shrimp and marinade. Bring to a boil; stir in spinach and artichoke hearts. Cook covered, stirring occasionally, until shrimp is pink and opaque and rice is tender, 5 to 8 minutes.', ""Sprinkle with Parmesan, garnish with parsley sprigs, and serve with lemon slices.\n\n Cook’s Note\nIf your family doesn't care for artichokes, substitute 1 cup diced zucchini, and add along with the tomatoes.""]","{'Calories': '404', 'Fat': '19g', 'Carbs': '37g', 'Protein': '26g'}",https://www.allrecipes.com/one-pot-mediterranean-shrimp-and-vegetables-recipe-8780639
Copycat Chili Crisp Shrimp,This copycat chili crisp shrimp tastes just like at Panda Express. It is slightly spicy from the chili crisp with a soft-crisp texture.,20 mins,15 mins,35 mins,4,"['1 pound large shrimp, peeled and deveined, tails removed', '1 quart canola oil, for frying', '1/4 cup self rising flour', '1/4 cup potato starch or cornstarch', '1/2 teaspoon kosher salt', '1/8 teaspoon cayenne pepper', '1/2 cup sparkling water, chilled', '3 tablespoons chili crisp', '2 tablespoons reduced-sodium soy sauce', '2 tablespoons water', '1 tablespoon honey', '1 tablespoon vegetable oil', '1 red bell pepper, chopped into 3/4-inch pieces', '1 yellow onion, chopped into 3/4-inch pieces', '1 cup cooked rice']","['Gather all ingredients.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat the oven to 200 degrees F (95 degrees C). Line a baking sheet with paper towels.', 'Heat canola oil in a large saucepan\xa0 to 375 degrees F (190 degrees C). Blot dry shrimp with additional paper towels.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk together\xa0 self-rising flour, potato starch, salt, and cayenne pepper in a small bowl. Add sparkling water; whisk until flour disappears and the mixture resembles crepe batter.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', ""Coat 6 shrimp at a time in batter. Fry shrimp in the hot oil, making sure they don't stick together, until golden brown and crisp, about 3 minutes. Drain on prepared baking sheet and keep warm in the oven while frying remaining batches.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios"", 'Whisk together chili crisp, soy sauce, water, and honey in a small bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', ""Heat vegetable oil a large skillet or wok over medium high heat. Add pepper and onion to skillet and cook until translucent and slightly browned, 5 minutes. Remove from heat. Add cooked shrimp and chili oil mixture. Toss until well coated. If desired, serve with hot cooked rice.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios\n\n Editor's Note\nWe have determined the nutritional value of oil for frying based on a retention value of 10% after cooking. Amount will vary depending on cooking time and temperature, ingredient density, and specific type of oil used.""]","{'Calories': '526', 'Fat': '27g', 'Carbs': '41g', 'Protein': '30g'}",https://www.allrecipes.com/copycat-chili-crisp-shrimp-recipe-8732545
Halibut en Papillote,"Baking halibut en papillote, or in a packet of parchment, is an elegant way to cook this lovely, flaky white fish. The packets also contain potatoes, asparagus, and bell pepper, and are dressed with garlic butter and Meyer lemon slices.",15 mins,25 mins,45 mins,2,"['4 tablespoons butter, at room temperature', '2 cloves garlic, minced', '1 Meyer lemon, very thinly sliced, or more as needed', '4 fingerling potatoes, thinly sliced', '8 asparagus spears', '2 tablespoons fire roasted bell peppers', '2 (6 ounce) halibut filets', 'salt and freshly ground black pepper to taste']","['Preheat the oven to 425 degrees F (220 degrees C). Tear off 2 pieces of parchment paper, at least 18 inches long.', 'Mash garlic and butter together in a small bowl with the back of a spoon.', 'Place 4 lemon slices on each piece of parchment. Layer with thinly sliced potato and 4 asparagus spears. Scatter bell pepper over, and top with 1 tablespoon butter.', 'Place 1 halibut filet onto each stack of vegetables, and add 1 tablespoon butter. Layer on remaining lemon slices. Season with salt and pepper.', 'To close packets, bring opposite sides of parchment together directly above fish. Roll down together tightly until parchment touches packet contents. Crimp the parchment. Now roll and crimp the other 2 sides of parchment to create a sealed packet; tuck ends underneath. Place packets on a baking tray.', 'Bake in the preheated oven until fish flakes easily with a fork, about\xa0 25 minutes. Remove from the oven; let packets rest for 2 to 3 minutes before opening carefully.']","{'Calories': '490', 'Fat': '26g', 'Carbs': '22g', 'Protein': '42g'}",https://www.allrecipes.com/halibut-en-papillote-recipe-8775088
Mediterranean Salmon Baked in Parchment,"This Mediterranean salmon baked in parchment is a lovely fish dish, ideal for a special occasion. It’s served with a mushroom, roasted pepper, artichoke, and wine pan sauce.",15 mins,45 mins,1 hr,2,"['2 (6 to 8-ounce) salmon fillets', '2 squares parchment paper', '1/4 cup butter, divided', '1/4 cup panko breadcrumbs', '2 tablespoons finely ground pecans', '1/2 teaspoon garlic salt', '1 teaspoon Greek seasoning, divided', '2 tablespoons grapeseed oil', '3 ounces portobello mushrooms, quartered', '6 ounces marinated quartered artichoke hearts, drained', '1 pinch freshly ground black pepper', '3/4 cup Pinot Grigio or other dry white wine', '2 ounces jarred roasted bell pepper, chopped']","['Preheat the oven to 350 degrees F (180 degrees C). Place each salmon fillet on a sheet of parchment.', 'Melt 2 tablespoons butter and brush over salmon. Combine panko, pecans, garlic salt, and 1/2 teaspoon Greek seasoning in a small bowl and stir together. Evenly sprinkle over salmon fillets.', 'Crimp and fold parchment around fillets to form a packet. Place packets on a rimmed baking tray.', 'Bake in the preheated oven until salmon flakes easily with a fork, about 25 minutes.', 'Meanwhile, for sauce, heat grapeseed oil in a skillet over medium heat. Add mushrooms and cook, stirring, for about 3 minutes. Stir in artichoke hearts, remaining 1/2 teaspoon Greek seasoning and pepper, and continue to cook and stir for about 6 minutes. Pour in white wine. Biring to a simmer and cook until liquid is reduced by half, about 10 minutes.', 'Add roasted bell pepper, and cook, stirring, until peppers are warmed through, about 1 minute. Stir in remaining butter to melt, about 1 minute more.', 'Carefully peel back parchment from salmon and ladle sauce over the salmon.']","{'Calories': '1303', 'Fat': '87g', 'Carbs': '27g', 'Protein': '86g'}",https://www.allrecipes.com/mediterranean-salmon-baked-in-parchment-recipe-8768509
Mediterranean Salmon Baked in Foil,"This Mediterranean salmon, baked in foil packets with olives, artichokes, tomatoes, and Mediterranean seasonings, stays moist and tender, and cleanup is minimal.",15 mins,15 mins,30 mins,4,"['4 (12x16-inch) rectangles aluminum foil', '4 (6 to 8 ounce) salmon filets', '3 tablespoons olive oil, or as needed, divided', '1 teaspoon Greek seasoning', '1 cup diced cherry or grape tomatoes', '4 marinated artichoke hearts, quartered', '3 tablespoons minced red onion', '3 tablespoons halved, pitted Kalamata olives', '1/2 lemon, zested and juiced', '2 tablespoons minced fresh parsley, plus parsley sprigs for garnish (optional)', '1 tablespoon balsamic vinegar', '2 cloves garlic, minced', '1/4 teaspoon red pepper flakes (optional)', 'salt and freshly ground black pepper', '1 lemon, cut into wedges (optional)']","['Preheat the oven to 400 degrees F (200 degrees C). Brush the center of each foil rectangle with a small amount of olive oil.', 'Place a salmon filet in the center of each foil sheet. Brush filets lightly with olive oil; sprinkle with Greek seasoning.', 'In a small bowl, combine tomatoes, artichokes, onion, olives, lemon zest and juice, minced parsley, balsamic vinegar, garlic, red pepper flakes, and 1 tablespoon olive oil. Season to taste with salt and pepper.', 'Spoon tomato mixture evenly over filets. Pull the long ends of foil rectangles over filets and fold twice to crimp, with the foil not touching the contents. Lift each end of the packet and pinch closed.Place packets on a rimmed baking sheet.', 'Bake in the center of the preheated oven for 12 to 15 minutes. An instant read thermometer, inserted into the center of filets through the foil packet, should read 145 degrees F (63 degrees C).', 'To serve, place foil packs on serving plates. Open packets, drizzle with any remaining olive oil, garnish with parsley sprigs, and serve with lemon wedges.']","{'Calories': '616', 'Fat': '40g', 'Carbs': '10g', 'Protein': '51g'}",https://www.allrecipes.com/mediterranean-salmon-baked-in-foil-recipe-8768562
Hot Honey Salmon Bowls,"These hot honey salmon bowls feature spicy honey-glazed sauteed salmon, served over tri-color quinoa with fresh vegetables, and drizzled with a honey mustard dressing.",20 mins,20 mins,40 mins,2,"['1 cup water', '1/2 cup tri-color quinoa or rice', '1/4 cup honey', '1 teaspoon smoked paprika', '1/4 teaspoon garlic powder', '1/4 teaspoon onion powder', '1/4 teaspoon cayenne pepper', '6 ounces fresh green beans, trimmed', '2 tablespoons olive oil', '2 (4 ounce) skinless salmon fillets,\xa0cut into 1 1/2-inch chunks', '1/4 teaspoon salt', '1/2 English cucumber, sliced', '1/2 cup halved cherry tomatoes', '1/4 cup sliced red onion (optional)', '1/4 cup pitted Castelvetrano olives, sliced (optional)', '2 tablespoons olive oil', '2 tablespoons white wine vinegar', '1 tablespoon Dijon mustard', '1 tablespoon chopped fresh parsley', '1 tablespoon chopped fresh dill', '1 teaspoon honey', '1/4 teaspoon freshly cracked black pepper', '1/8 teaspoon salt']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring water and quinoa to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until quinoa is tender, 15 to 20 minutes; drain any excess water and set aside.', 'Whisk honey, paprika, garlic powder, onion powder, cayenne, and 2 tablespoons water together in a small bowl; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, fill a large skillet with 1 inch of water. Bring to a simmer over medium heat. Add green beans. Cook, covered, until beans are just tender, 2 to 3 minutes. Drain; set aside.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Wipe out skillet; heat olive oil in the same skillet over medium heat. Season salmon pieces with salt. Add salmon to skillet; cook until fish flakes easily with a fork, about 4 minutes, turning after 2 minutes. Remove salmon from skillet, set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add honey mixture to skillet. Cook and stir until mixture is bubbly and slightly thickened; about 2 minutes. Remove skillet from heat. Return cooked salmon to skillet. Toss to coat in honey sauce; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'For mustard dressing, whisk together olive oil, vinegar, Dijon mustard, parsley, dill, honey, pepper and salt, in a small bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'To serve, divide quinoa evenly between 2 bowls. Top with hot-honey-sauced salmon, green beans, cucumber, tomatoes, and red onions and/or olives. Serve with with mustard dressing.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '723', 'Fat': '43g', 'Carbs': '59g', 'Protein': '30g'}",https://www.allrecipes.com/hot-honey-salmon-bowls-recipe-8765623
