title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Easy Rotisserie Chicken Enchiladas,"These easy rotisserie chicken enchiladas can be assembled in no time, and are a timesaver for busy weekday nights. A handful of ingredients, including rotisserie chicken and premade enchilada sauce, save the day!",10 mins,30 mins,40 mins,,"['1 1/2 tablespoons canola oil', '6 corn tortillas', '1 can red enchilada sauce, divided', '1 cup shredded rotisserie chicken', '2 teaspoons dry enchilada seasoning', '1 cup shredded Monterey Jack cheese, divided']","['Preheat the oven to 375 degrees F (190 degrees C). Place a wire rack on a baking sheet.', 'Heat oil in a heavy skillet. Quickly fry tortillas in the hot oil, about 5 seconds per side. Remove tortillas to the wire rack to drain. Dab excess oil with a paper towel.', 'Pour a thin layer of enchilada sauce into the bottom of a casserole dish.', 'Place shredded chicken in a bowl, sprinkle enchilada seasoning over chicken; toss to combine. Place 3 tablespoons chicken along center of each enchilada. Sprinkle with 1 1/2 tablespoons cheese. Roll up to form enchiladas. Place enchiladas seam side down in the casserole dish. Top with remaining enchilada sauce and sprinkle evenly with cheese. Cover with aluminum foil.', 'Bake in the preheated oven for 25 minutes. Turn on the oven’s broiler, remove foil from enchiladas, and broil until cheese is melted and golden, about 5 minutes.']","{'Calories': '1008', 'Fat': '50g', 'Carbs': '82g', 'Protein': '61g'}",https://www.allrecipes.com/easy-rotisserie-chicken-enchiladas-recipe-11706233
Easiest Sheet Pan Tacos,"These are truly the easiest sheet pan tacos you will ever make. High temperature roasting on a sheet pan makes them crisp and golden, and the beef filling does not need pre-cooking. Try them—you'll be amazed. Top with your favorite taco toppings.",10 mins,30 mins,40 mins,5,"['2 tablespoons olive oil, plus more if needed', '1 pound ground beef', '1/4 cup finely chopped onion', '4 ounces diced green chiles', '1 teaspoon chili powder', '1/2 teaspoon ground cumin', '1/4 teaspoon garlic powder', '3/4 teaspoon kosher salt', '10 corn tortillas', '1 cup refried beans (optional)', '1 cup shredded Cheddar cheese', 'toppings: cilantro, sour cream, salsa, guacamole or hot sauce (optional)']","['Preheat the oven to 425 degrees F (220 degrees C). Line a rimmed baking sheet with foil or parchment paper and lightly coat with 1 tablespoon olive oil.', 'Combine beef, onion, green chiles, chili powder, cumin, garlic powder, and salt in a medium bowl and mix until well incorporated.', 'Wrap tortillas in a damp paper towel and microwave just until softened, about 30 seconds.', 'Spread about 3 tablespoons beef mixture over half of a tortilla in a very thin layer that reaches to the edges\xa0 Spread about 1 tablespoon beans onto the other half. Sprinkle all over with about 2 tablespoons cheese. Fold tortilla in half to make a taco; place on prepared baking sheet. Repeat with remaining tortillas, meat and cheese. Brush tops of tacos with remaining oil.', 'Bake tacos in the preheated oven, flipping halfway through, until lightly browned, toasted, and crisp around the edges, 30 to 35 minutes. Serve with desired toppings.\n\n \n\n\n\n\n\n \n Peyton Beckwith']","{'Calories': '558', 'Fat': '32g', 'Carbs': '32g', 'Protein': '36g'}",https://www.allrecipes.com/easiest-sheet-pan-tacos-recipe-11700898
Easy Creamy Crockpot Chicken Enchilada Casserole,This easy creamy crockpot chicken enchilada casserole takes only minutes to assemble. Tomatillo salsa and sour cream flavor the saucy chicken; corn tortilla wedges and pepper Jack cheese add the elements of green enchiladas to this comforting dish.,10 mins,3 hrs,3 hrs 10 mins,8,"['3 skinless, boneless chicken breasts', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon garlic powder', '1/2 teaspoon chili powder', '1 1/2 cups tomatillo salsa or green enchilada sauce', '1/2 cup sour cream, plus more for serving if desired', '8 (6 inch) corn tortillas', '8 ounces pepper Jack cheese, shredded', 'salsa, chopped fresh cilantro, and sliced avocado, for serving (optional)']","['Place chicken in crockpot and season with salt, pepper, garlic powder, and chili powder. Pour over salsa verde or enchilada sauce; cover and cook on High for 2 hours or Low for 3 1/2 hours.', 'Shred chicken and stir in sour cream. Reserve 1/4 of the tortillas and stir in remaining tortilla pieces along with 1 1/4 cups cheese. Top with reserved tortilla triangles and remaining cheese.\xa0 Cover and cook on High for 1 hour.', 'Let stand 5 minutes before serving. Serve topped with desired toppings.']","{'Calories': '274', 'Fat': '14g', 'Carbs': '14g', 'Protein': '23g'}",https://www.allrecipes.com/easy-creamy-crockpot-chicken-enchilada-casserole-recipe-11681159
Shrimp Fajita Rice Casserole,"This shrimp fajita rice bake is relatively simple but the flavors really shine. Bright bell peppers, warm poblano peppers, and fire-roasted tomatoes bake with cooked rice and shrimp, and every serving is topped with avocado, sour cream, and cilantro.",20 mins,30 mins,50 mins,6,"['cooking spray', '1 tablespoon vegetable oil', '1 red bell pepper, cut into thin strips', '1 yellow bell pepper, cut into thin strips', '1 poblano pepper, seeded and cut into thin strips', '1 small onion, sliced', '3 cloves garlic, thinly sliced', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon ground cumin', '1/2 teaspoon dried oregano', '1 pound frozen peeled cooked large shrimp, tails removed, thawed (31 to 35 per pound)', '1 (14.5 ounce) cans fire roasted diced tomatoes', '1 1/2 cups cooked long grain white rice', 'sliced avocado', 'sour cream, as needed', 'chopped fresh cilantro', 'lime wedges']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Preheat the oven to 400 degrees F (200 degrees C). Coat a 2-quart baking dish with nonstick cooking spray.', 'Heat oil in a 12-inch skillet over medium-high heat. Add peppers and onion. Cook and stir until softened, 6 minutes.\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Stir in garlic, salt, pepper, cumin, and oregano. Cook and stir until fragrant, 1 minute.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Stir together pepper mixture, shrimp, undrained tomatoes, and rice in a large bowl. Transfer to prepared baking dish. Cover tightly with foil.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Bake in the preheated oven until heated through, about 20 minutes.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', ""Top servings with avocado, sour cream, and cilantro. Serve with lime wedges.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali\n\n From the Editor\nHere's everything you need to know about how to cook rice.""]","{'Calories': '328', 'Fat': '16g', 'Carbs': '27g', 'Protein': '21g'}",https://www.allrecipes.com/shrimp-fajita-rice-casserole-recipe-8788221
Slow Cooker Chicken Enchilada Casserole,"In this slow cooker chicken enchilada casserole, the tender chicken thighs almost shred themselves. With black beans, corn, and tortillas in a flavorful sauce, this dish is plenty cheesy and satisfying.",10 mins,3 hrs 30 mins,3 hrs 40 mins,6,"['1 pound skinless boneless chicken thighs', '1 (15-ounce) can black beans, rinsed and drained', '1 cup frozen whole kernel corn', '1/2 cup finely chopped onion', '2 cloves garlic, minced', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon ground cumin', '2 (10-ounce) cans medium red enchilada sauce', '1 (8-ounce) package shredded Mexican blend cheese, divided', '8 (6-inch) corn tortillas, cut into 1-inch pieces', 'shredded iceberg or Romaine lettuce', 'chopped fresh tomato', 'chopped green onion', 'sour cream']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Combine chicken, beans, corn, onion, garlic, salt, pepper, and cumin in a 3 1/2- to 4-quart slow cooker. Cover with enchilada sauce.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Cover and cook for 3 to 4 hours on High or 6 to 7 hours on Low.\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Shred chicken in the slow cooker using two forks.\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Stir in half the cheese and the tortillas. Top with remaining cheese.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Cover and cook on High until tortillas are softened and cheese is melted, 30 minutes.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Top servings with lettuce, tomato, green onion, and sour cream.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali']","{'Calories': '501', 'Fat': '23g', 'Carbs': '42g', 'Protein': '36g'}",https://www.allrecipes.com/slow-cooker-chicken-enchilada-casserole-recipe-8788263
Air Fried Tossed Taquitos,"These air fried tossed taquitos are frozen chicken taquitos, given a quick upgrade by air frying, tossing in buttered hot sauce, and sprinkling with cotija cheese and chopped cilantro.",5 mins,10 mins,15 mins,6,"['24 frozen chicken taquitos', '2 tablespoons butter', '1 tablespoon hot sauce', '1/4 cup crumbled cotija cheese', '1 tablespoon finely chopped cilantro', '1/2 cup sour cream, or as needed for dipping']","['Heat an air fryer to 400 degrees F (200 degrees C). Add taquitos and cook until slightly crispy, about 8 minutes.', 'Meanwhile, melt butter in a large skillet over medium heat. Stir in hot sauce until well combined.\xa0 Toss taquitos in butter mixture until well coated and add to a serving platter. Top with cheese and cilantro and serve with sour cream.']","{'Calories': '534', 'Fat': '27g', 'Carbs': '57g', 'Protein': '17g'}",https://www.allrecipes.com/air-fried-tossed-taquitos-recipe-8784154
Chicken Adobo Tacos,"These chicken adobo tacos fuse Mexican and Filipino cuisine. Wrap up some chicken adobo in a flour tortilla and top with mango salsa—so good! Make the mango salsa as directed, or save a few steps by using store-bought salsa.",20 mins,40 mins,1 hr 20 mins,8,"['1/3 cup soy sauce', '1/3 cup white vinegar', '3 bay leaves', '1 teaspoon granulated garlic', '1 1/2 pounds skinless, boneless chicken thighs', '2 tablespoons white vinegar', '1 tablespoon fish sauce', '1/2 teaspoon avocado oil', '2 teaspoons white sugar', '1 pinch ground white pepper, or to taste', '1 mango - peeled, pitted, and diced', '1 Roma tomato, seeded and diced', '1/4 cup minced red onion', '1/4 cup minced jalapeno pepper, seeds and membranes removed', '1/2 cup chopped fresh cilantro', '2 tablespoons oil, divided', '1/2 cup diced onion', '3 garlic cloves, minced', '1 1/2 cups water', '2 tablespoons brown sugar', '1 teaspoon freshly ground black pepper,\xa0or to taste', '8 (8 inch) flour tortillas', 'chopped cilantro and sliced green onions, for garnish (optional)']","['Combine soy sauce, vinegar, bay leaves, and garlic in a large plastic bag with a zipper. Gently squeeze to mix well. Add chicken and coat with marinade. Squeeze out as much air from the bag as possible, coat all the chicken pieces with marinade, seal, and refrigerate for at least 20 minutes.', 'Meanwhile, combine vinegar, fish sauce, avocado oil, sugar, and black pepper in a bowl for the salsa. Stir with a whisk or fork until sugar is dissolved. Add mango, tomato, red onion, jalapeño, and chopped cilantro to the bowl. Toss to combine, and refrigerate salsa until ready to serve.', 'For tacos, remove chicken pieces from the marinade and reserve the marinade.', 'Heat oil in a large nonstick skillet over medium-high heat. Carefully add the chicken thighs, and brown on each side, 1 to 2 minutes, then remove chicken to a plate.', 'To the same skillet, add onion, and cook for about 1 minute. Stir in minced garlic and cook until fragrant, about 30 seconds. Add reserved marinade, water, brown sugar, and black pepper, and bring to a boil.', 'Return chicken to the skillet, smooth side down. Reduce heat to low, and simmer chicken uncovered, about 15 minutes. The liquid should bubble gently. Turn chicken and simmer 10 minutes more. Remove chicken from skillet to rest.', 'Cook sauce over medium heat until syrupy, thick, and reduced, about 10 minutes. Remove skillet from heat. Remove bay leaves and discard.', 'Slice chicken into 1/2-inch slices and return to the skillet to coat in the sauce. Garnish with fresh cilantro and chopped green onions, if desired.', 'Fill each tortilla with chicken strips and top with mango salsa. Serve immediately.']",,https://www.allrecipes.com/chicken-adobo-tacos-recipe-8736734
Roscoe's Chilaquiles,"Roscoe's chilaquiles are a stunning Mexican breakfast of crisp tortilla chips in a traditional salsa roja, topped with a fried egg, crema, and avocado.",20 mins,20 mins,55 mins,4,"['3 guajillo chile peppers, seeds removed', '1 ancho chile pepper, seeds removed', '4 cups boiling water', '4 Roma tomatoes, quartered', '1 white onion, quartered', '3 garlic cloves, peeled', '2 tablespoons olive oil', '1 beef bouillon cube', '2 culantro leaves', '1 lime, juiced', 'salt and freshly ground black pepper to taste', '2 1/4 cups oil, divided', '12 soft corn tortillas, cut into 8 wedges each', '4 large eggs', '1/4 cup Mexican crema, or as needed', '1/2 cup crumbled cotija cheese', '1 avocado, sliced, or to taste', '1/4 cup cilantro leaves, or to taste', '1 lime, quartered', '1/4 teaspoon Mexican oregano, or to taste']","['For salsa roja, pour boiling water over peppers and let sit until softened, 15 to 30 minutes.', 'Meanwhile, add 2 tablespoons olive oil to a skillet over high heat, and sear tomatoes, onions, and garlic until charred for about 2 minutes.', 'Place softened peppers, charred vegetables, and 1 cup of the chile soaking water in a blender. Reserve remaining 3 cups chile water.\xa0 Blend until smooth. Strain the sauce; pour back into the pan.', 'Cook sauce over medium heat, scraping any charred bits from the bottom of the pan; add 2 cups of remaining chile water. Simmer until sauce is reduced by 1/3. Stir in bouillon cube and last 1 cup chile water, culantro leaves, lime juice; stir until bouillon cube dissolves. Season with salt and pepper.', 'For chilaquiles, heat oil to 350 degrees F ( 175 degrees C) in a large saucepan over medium heat. Add tortillas and fry until crisp and golden. 2 minutes per batch.', 'For each serving, heat 1 tablespoon oil in a small nonstick pan over medium heat. Crack an egg into the skillet, and cook until outer edges become opaque, about 1 minute. Turn egg over and cook until whites are completely opaque, 1 to 2 minutes more.', 'Add a handful of chips to the salsa roja, and turn to coat completely. Remove to a serving plate with a slotted spoon.', 'Drizzle with crema, top with an egg, cotija cheese, avocado, cilantro, squeeze of lime juice, and drizzle with more salsa roja. Sprinkle with oregano. Repeat with remaining ingredients.\n\n Cook’s Note\nIf you cannot find culantro, you can substitute fresh cilantro.\n\n\n\n From the Editor\nWe have determined the nutritional value of oil for frying based on a retention value of 10% after cooking. The exact amount will vary depending on cooking time and temperature, ingredient density, and specific type of oil used.']","{'Calories': '856', 'Fat': '66g', 'Carbs': '58g', 'Protein': '18g'}",https://www.allrecipes.com/roscoe-s-chilaquiles-recipe-8739658
Taquito Casserole,"This taquito casserole, with a creamy base of beans, corn, and cheese, baked crispy taquitos on top, and a drizzle of jalapeno crema, is like an enchilada casserole but with tiny enchiladas.",20 mins,50 mins,1 hr 20 mins,8,"['cooking spray', '1 (19 ounce) can mild red enchilada sauce', '1 (15 ounce) can black beans drained and rinsed', '2 1/2 cups frozen corn', '1 (8.8 ounce) package pre-cooked microwaveable white rice', '1 cup finely chopped red bell pepper', '1/2 cup finely chopped red onion', '1/2 cup heavy whipping cream', '1 (1 ounce) package mild taco seasoning', '1 1/2 teaspoons kosher salt', '1 teaspoon smoked paprika', '1 teaspoon ground cumin', '16 ounces shredded Mexican cheese blend, divided', '20 frozen beef and cheese flour tortilla taquitos', '1/2 cup sour cream', '2 tablespoons freshly-squeezed lime juice', '2 tablespoons pickling liquid from jarred pickled jalapenos', '2 tablespoons drained pickled jalapenos', '1/4 cup loosely packed fresh cilantro leaves']","['Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C). Lightly coat a 9x13-inch baking dish with cooking spray; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir together enchilada sauce, beans, corn, rice, bell pepper, red onion, cream, taco seasoning, salt, paprika, cumin, and 3 cups shredded cheese in a large bowl until well combined.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Spread into the prepared baking dish in an even layer. Arrange taquitos evenly over rice mixture.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until taquitos are crispy and rice mixture is bubbling, about 40 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Meanwhile, whisk together sour cream, lime juice, and pickling liquid in a small bowl until smooth. Set aside, uncovered, at room temperature until ready to serve.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove baking dish from oven, and sprinkle evenly with remaining cheese. Top evenly with jalapeño slices. Bake at 375 degrees F (190 degrees C) until cheese is melted, about 8 minutes more.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Let stand for 10 minutes. Top evenly with cilantro leaves. Drizzle each serving with jalapeño crema.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '800', 'Fat': '39g', 'Carbs': '82g', 'Protein': '33g'}",https://www.allrecipes.com/taquito-casserole-recipe-8673259
Chicken Fajita Skillet Casserole,This chicken fajita skillet casserole is a one-dish dinner made in a skillet using convenient rotisserie chicken.,20 mins,25 mins,45 mins,6,"['1 tablespoon olive oil', '2 poblano peppers, thinly sliced', '1 yellow or orange bell pepper, thinly sliced', '1 white onion, thinly sliced', '1 1/2 teaspoons chili powder', '1/2 teaspoon ground cumin', '1/4 teaspoon garlic powder', '3/4 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '2 1/2 tablespoons butter', '2 tablespoons all-purpose flour', '1 (10 ounce) can diced tomatoes and green chiles', '1 1/4 cups chicken broth', '2 1/2 cups shredded rotisserie chicken', '1 (15 ounce) can pinto beans, drained and rinsed', '2 cups sharp Cheddar cheese, divided', '3 cups broken tortilla chips', 'toppings, such as lettuce, cilantro, sour cream, salsa, and hot sauce (optional)']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Heat oil in a large, oven proof skillet over medium-high heat. Add peppers and onions and cook, undisturbed, 5 minutes or until browned. Add chili powder, cumin, garlic powder, salt and pepper and continue cooking until vegetables are soft, stirring often, 1 to 2\xa0 minutes. Remove vegetables from the pan and set aside.', 'Add butter to the pan and melt over moderate heat. Whisk in flour and cook for 1 minute, stirring constantly. Add in tomatoes and broth and cook until thick and creamy, stirring constantly, about 3 minutes. Stir in chicken and beans. Top chicken mixture with 1 cup cheese. Spread reserved peppers and onions evenly over the cheese and top with chips and remaining cheese.', 'Bake in the preheated oven until bubbly and lightly browned on top, about 15\xa0 minutes. Serve with desired toppings.']","{'Calories': '775', 'Fat': '49g', 'Carbs': '37g', 'Protein': '51g'}",https://www.allrecipes.com/chicken-fajita-skillet-casserole-recipe-8701199
