title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition
Cheesy Lasagna Sheet Pasta,"This 3 ingredient cheesy lasagna sheet pasta could not be easier. Serve topped with Parmesan cheese, red pepper flakes, and freshly cracked black pepper if you like.",5 mins,15 mins,20 mins,6,"['8 ounces lasagna noodles, broken in half', '1 (24-ounce) jar tomato sauce', '8 ounces shredded whole milk mozzarella cheese']","['Bring a large pot of lightly salted water to a boil. Cook lasanga noodles in the boiling water, stirring occasionally, until tender yet firm to the bite, 10 to 12 minutes.', 'Strain noodles and return to the pot. Add tomato sauce and cook on medium heat until sauce is heated through, about 5 minutes.', 'Add cheese and stir until cheese is melted. Serve immediately.']","{'Calories': '203', 'Fat': '9g', 'Carbs': '19g', 'Protein': '12g'}"
Creamy Beef and Bow Tie Pasta,"This creamy beef and bow tie pasta is a fun take on beef Stroganoff using ground beef instead of steak chunks. It’s an easy one-pot weeknight meal, and a great way to jazz up some ground beef.",15 mins,20 mins,35 mins,4,"['6 ounces bowtie pasta (farfalle)', '1 pound 85% lean ground beef', '1/2 white onion, finely diced', '1 (1.5 ounce) packet beef Stroganoff sauce seasoning, such as McCormick®', '1 cup water', '2 teaspoons Worcestershire sauce, divided', '1/2 teaspoon garlic powder', '1/2 teaspoon freshly ground black pepper', '1/2 can cream of mushroom soup', '1/2 cup sour cream', 'chopped parsley, for garnish (optional)']","['Bring a large pot of lightly salted water to a boil. Cook bow tie pasta at a boil, stirring occasionally, until just tender yet firm to the bite, about 12 minutes. Drain thoroughly.', 'Add the ground beef and onion to the same pot, lower the heat to medium, and cook and stir until beef is browned and crumbly, breaking up chunks with a spatula, about 7 minutes. Drain grease.', 'Stir sauce packet, water, and 1 teaspoon Worcestershire sauce together in a small bowl. Add sauce mixture to the pot. Stir until thickened, 2 to 3 minutes.', 'Add garlic powder, pepper, and mushroom soup to beef mixture and stir well; stir in sour cream. Remove from heat.', 'Taste; add remaining 1 teaspoon Worcestershire sauce if needed. Fold in pasta and stir gently to combine. Garnish with parsley.']","{'Calories': '498', 'Fat': '26g', 'Carbs': '26g', 'Protein': '37g'}"
Reuben Mac,Not your typical mac and cheese. This recipe won 1st place at the Iowa State Fair.,30 mins,30 mins,1 hr,6,"['8 ounces large elbow macaroni', '¼ cup butter', '¼ cup all-purpose flour', '½ teaspoon spicy brown mustard', '¼ teaspoon salt', '¼ teaspoon ground black pepper', '⅛ teaspoon cayenne pepper, or to taste', '⅛ teaspoon garlic granules', '1 cup half-and-half', '1 cup whole milk', '12 ounces shredded aged Gouda cheese (such as Frisian Farms®), divided', '4 ounces chevre (goat cheese)', '1 ½ ounces blue cheese (such as Maytag®), divided', '1 cup diced corned beef, warmed', ""½ cup sauerkraut (such as Frank's®), warmed"", '¼ cup Thousand Island dressing', '6 slices rye bread']","['Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain and set aside.', 'Meanwhile, melt butter in a large skillet over medium-high heat. Whisk flour in gradually until smooth. Cook and whisk continually for 2 minutes. Add mustard, salt, pepper, cayenne, and garlic; stir to combine. Gradually whisk in half-and-half and milk. Cook, whisking continually, until thickened, 8 to 10 minutes. Add 9 ounces Gouda cheese and stir. Add chevre and 1 ounce blue cheese and stir until smooth. Remove skillet from heat. Stir cooked macaroni into cheese mixture.', ""Set an oven rack about 6 inches from the heat source and preheat the oven's broiler."", 'Divide macaroni and cheese into 6 greased 6-inch cast iron skillets. Top each with corned beef, sauerkraut, a drizzle of Thousand Island dressing, and equal amounts of remaining Gouda and blue cheeses.', 'Broil skillets in the preheated oven until cheese is golden brown, 3 to 5 minutes.', 'Toast rye bread in a toaster and cut each slice diagonally into points. Serve rye bread with Reuben mac.']","{'Calories': '757', 'Fat': '44g', 'Carbs': '56g', 'Protein': '34g'}"
Dump and Bake Meatball Casserole,This super easy dump and bake meatball casserole made with frozen meatballs and prepared marinara sauce comes together in minutes and then just needs to bake in the oven. Perfect family staple on weeknights.,5 mins,40 mins,45 mins,8,"['12 ounces dry rotini pasta', '2 1/2 cups water', '1 (24-ounce) jar marinara sauce', '1 (14-ounce) bag frozen meatballs, thawed', '1 cup chopped bell pepper', '1 teaspoon salt', '2 cups shredded mozzarella cheese, divided', '1/4 cup freshly grated Parmesan cheese', 'chopped fresh herbs, such as parsley or basil (optional)']","['Gather all ingredients.\xa0Preheat the oven to 425 degrees F (220 degrees C).\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Combine pasta, water, marinara sauce, meatballs, peppers, and salt in a 9x13-inch baking dish.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Cover tightly with aluminum foil and bake until pasta is al dente, 30 to 35 minutes.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Remove the foil and stir in 1 cup mozzarella cheese.\xa0 Sprinkle with remaining 1 cup of mozzarella cheese and Parmesan cheese.\xa0\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Bake, uncovered, until cheese is melted, 10 minutes more.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell', 'Serve garnished with fresh herbs, if desired.\n\n \n\n\n\n\n\n \n Jake Sternquist / Food Styling: Lauren McAnelly / Prop Styling: Sue Mitchell']","{'Calories': '362', 'Fat': '19g', 'Carbs': '28g', 'Protein': '19g'}"
Soy Butter Pasta with Chicken,"This soy butter pasta with chicken has a simple sauce made from Parmesan cheese, garlic, ginger, and soy sauce, and is topped with toasted breadcrumbs, green onions, and cilantro. Try not to eat all the buttery breadcrumbs before the dish is done!",10 mins,15 mins,25 mins,3,"['8 ounces bucatini or linguine pasta', '4 tablespoons salted butter, divided', '1/4 cup panko breadcrumbs', '1/8 teaspoon kosher salt', '1 pinch red pepper flakes', '1 teaspoon garlic paste', '1 teaspoon ginger paste', '1/8 cup low-sodium soy sauce', 'salt and freshly ground black pepper to taste', '1/4 cup firmly packed grated Parmesan cheese', '1/2 cup cubed cooked chicken', '2 green onions, sliced', '1/2 bunch cilantro, leaves only']","['Bring a large pot of salted water to a boil. Add pasta to the boiling water and cook until barely tender with a bite, 8 to 10 minutes, or about 1 minute less than recommended time. Drain and set aside.', 'Meanwhile, in a saucepan, melt 1 tablespoon butter. Add panko, kosher salt, and pepper flakes. Stir frequently until breadcrumbs are a nice, soft golden brown, about 3 minutes. Remove breadcrumbs to a small bowl; set aside. Wipe out the saucepan and return to the stovetop.', 'Melt remaining butter in the saucepan. Add garlic paste and ginger paste and cook for a few seconds. Pour in\xa0 soy sauce; season with black pepper. Stir, then slowly add in the Parmesan cheese, stirring to prevent clumping. Add chicken to the sauce and cook until heated through, about 3 minutes.', 'Add pasta to the sauce, mix thoroughly, and season with salt or pepper. Serve in bowls with green onion, cilantro, and breadcrumbs on top.\n\n Cook’s Note\nFeel free to reserve some pasta water to add to the sauce if needed. You can also add a splash of white wine along with the garlic and ginger paste.']","{'Calories': '399', 'Fat': '23g', 'Carbs': '33g', 'Protein': '15g'}"
Cheese Agnolotti,"Cheese agnolotti, homemade pasta filled with ricotta and Parmesan filling, have the perfect filling-to-pasta ratio. Chef John's adorable little puffs are a pleasure to make and a delight to eat. Serve them in the pasta sauce of your choice.",1 hr,5 mins,3 hrs 5 mins,6,"['2 cups all-purpose flour or ""OO"" flour', '3 large eggs', '12 ounces ricotta cheese', '1 ounce grated Parmesan cheese', '1 large egg yolk', '1/4 cup finely minced Italian parsley', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1 pinch cayenne pepper']","['Make a pile of flour on a work surface, and make a well in the center. Add eggs to the well, and scramble eggs with a fork, gradually incorporating flour from the edges. When the dough becomes too thick to use a fork, use a bench scraper to lift remaining dry flour over the top and begin to cut flour in until a shaggy dough forms.', 'Knead dough by hand until you have a smooth ball of dough, about 3 minutes. Cover and let rest for 10 to 15 minutes. Knead until a very smooth and elastic ball of dough forms, about 4 minutes more. Wrap tightly and rest dough in the refrigerator for at least 2 hours or up to overnight.', 'Add ricotta, Parmesan, egg yolk, parsley, salt, black pepper, and cayenne to a bowl, and stir together until evenly combined. Cover and refrigerate until needed.', 'Divide dough into 4 sections. Cover 3 sections with plastic, lightly flour a work surface, and shape the 4th into a rectangle. Use a rolling pin to roll dough into an 18x9-inch rectangle, thin enough to see your hand through.', 'Trim into 2 strips, approximately 18 by 4 1/2 inches. Maintain just enough flour on the work surface for this step and proceeding steps to prevent dough from sticking to the surface.', 'Transfer filling into a piping bag, or a plastic bag with 1 corner cut off, and pipe a 1/2-inch thick rope of filling lengthwise along each dough strip, 2 inches in from the edge. Mist each piece of dough very lightly with water.', 'Fold dough over filling, being careful not to trap any air bubbles. Press the 2 long edges of dough firmly together, flattening the seam to the thickness of a single layer of dough if possible. Use a fluted pasta cutter to trim excess dough to about 1/8-inch from the filling.', 'Starting at the end where the filling begins, and use two fingers to pinch the filling and dough together very tightly every inch to inch and a half. Bend the pressed sections of dough between the filling forward slightly. Use the pasta cutter to slice between each to form individual agnolotti. It may be helpful to mist the dough again before doing this step.', 'Transfer finished agnolotti to a lightly floured, parchment-lined pan. Cover and refrigerate until ready to cook. Agnolotti can also be frozen on the pan before being transferred into freezer bags for storage.', 'Bring a large pot of salted water to a boil and cook agnolotti for 3 minutes before transferring into the sauce of your choice.\n\n \n\n\n\n\n\n \n John Mitzewich']","{'Calories': '308', 'Fat': '10g', 'Carbs': '36g', 'Protein': '17g'}"
The 28 Best Pasta Recipes to Have in Your Arsenal,Buon appetito!,,,,,[],[],
High Protein Cottage Cheese Mac and Cheese,This high-protein cottage cheese mac and cheese is both creamy and satisfying. It’s a great option for those looking to boost their protein intake. Everything seasoning adds a fun twist.,15 mins,10 mins,25 mins,1,"['1/2 cup high protein elbow pasta, such as Banza® elbows chickpea pasta', '1/2 cup high protein cottage cheese, such as Good Culture®', '1 ounce Cheddar cheese, grated', '1/2 ounce Parmigiano Reggiano cheese, grated', '1 tablespoon Cheddar cheese powder (optional)', '2 tablespoons high protein 2% milk, such as Fa!rlife®', '1 dash Worcestershire sauce', '1/4 teaspoon Dijon mustard', 'salt and freshly ground black pepper to taste', '2 teaspoons everything seasoning blend']","['Bring a large pot of salted water to boil. Add pasta and cook until tender with a bite, about 7 minutes.', 'Meanwhile in a food processor or high-powered blender add cottage cheese, Cheddar cheese, Parmigiano Reggiano, Cheddar cheese powder, Worcestershire, Dijon, and milk. Season with salt and pepper. Blend until smooth.', 'Drain pasta, and return pasta to pan. Pour in cheese sauce. Add everything bagel seasoning; stir to combine. Serve immediately.']","{'Calories': '1122', 'Fat': '28g', 'Carbs': '156g', 'Protein': '62g'}"
Creamy Sun-Dried Tomato and Spinach Pasta,"This Italian-inspired creamy sun-dried tomato and spinach pasta brings together the richness of cream, the sweetness of sun-dried tomatoes, and the freshness of baby spinach. Add some bonus points for being quick-and-easy and on the table in less than 30 minutes.",15 mins,15 mins,30 mins,4,"['8 ounces spaghetti or other pasta', '1 tablespoon olive oil', '1/2 cup matchstick-cut oil packed sun-dried tomatoes, drained', '3 cloves garlic, minced, or to taste', '1/2 cup heavy cream', '1/2 cup freshly grated Parmesan cheese', '2 cups roughly chopped fresh baby spinach', 'salt and freshly ground black pepper, to taste', 'crushed red pepper flakes and slivered basil leaves']","['Bring a large pot of salted water to a rolling boil. Add spaghetti and cook, stirring occasionally, until al dente, about 9 to 10 minutes, or to your preferred doneness. Drain, reserving 1/2 cup pasta water.', 'Meanwhile, heat oil in a large skillet over medium heat. Add sun-dried tomatoes and cook until softened, about 1 to 2 minutes. Stir in garlic, and saute until fragrant, about 1 minute.', 'Stir in heavy cream, and bring to a low simmer. Add Parmesan, stirring constantly until the sauce thickens, about 2 minutes.', 'Add cooked spaghetti to skillet, toss until well coated. If too thick, add a small amount of reserved pasta water to achieve your desired consistency. Stir in spinach, cook until just starting to wilt, and season with salt and pepper.', 'Garnish with a sprinkle of crushed red pepper flakes and basil, and serve immediately.']","{'Calories': '306', 'Fat': '20g', 'Carbs': '24g', 'Protein': '9g'}"
Elote Ramen Noodles,"These elote ramen noodles are fusion at its finest! I grew up eating ramen noodles and kicking them up a notch is my favorite pastime. True elote is grilled, but feel free to cut corners by cooking the corn in a skillet. Your favorite toppings make the dish, so don't skip them.",10 mins,20 mins,30 mins,4,"['2 ears fresh corn, husked', '1 small jalapeno pepper', '1/4 cup mayonnaise', '1/2 teaspoon hot sauce, such as Valentina®', '3 cups water', '1 cup half-and-half', '1/2 teaspoon chili powder', '3 (3 ounce) packages instant ramen noodles, seasoning packets discarded', '1 cup shredded mozzarella cheese', '1 lime, cut into wedges', '1/4 cup crumbled cotija cheese, or as needed (optional)', '1/4 cup chopped cilantro, or as needed (optional)']","['Gather all ingredients. Heat an indoor or outdoor grill to medium-high heat.\xa0\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Add corn and jalapeno directly to the grate. Grill 5 minutes. Turn and grill 5 minutes more.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Transfer to a cutting board. Cut corn off the cob. Seed and chop the jalapeno. Set aside.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Whisk mayonnaise and hot sauce together. Set aside.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Heat water, half-and half, and chili powder in a large skillet over medium heat. Add ramen and simmer for 2 minutes. Flip ramen over and cook until noodles are broken up, about 2 minutes more.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Stir in mozzarella cheese and cook until slightly thickened, about 2 minutes.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Stir in corn and jalapeno.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck', 'Transfer to serving dishes; top with mayonnaise mixture. Garnish with lime wedges, cotija, and cilantro.\n\n \n\n\n\n\n\n \n Allrecipes / Julia Hartbeck']","{'Calories': '527', 'Fat': '29g', 'Carbs': '54g', 'Protein': '16g'}"
