title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Roman-Style Pizza,"This Roman-style pizza has a long-fermented thicker crust, and is absolutely awesome. Topped with prepared sauce, sausage, sweet peppers, and three cheeses, or with whatever you like, you'll want to make this on repeat.",30 mins,45 mins,2 days 3 hrs,12,"['4 1/4 cups bread flour (500 grams)', '1 rounded teaspoon dry yeast (3.5 grams)', '1 1/2 cups plus 3 tablespoons water (400 ml)', 'generous 1 1/2 tablespoons olive oil (20 ml), plus 2 teaspoons more to oil container', 'rounded 1 1/2 teaspoons sea salt or kosher salt (10 grams)', '6 ounces Italian sausage', '1 cup diced sweet peppers and onions', '1 1/2 cups prepared pizza sauce', '2 cups shredded mozzarella cheese', '1 1/2 cups shredded Monterey Jack cheese', '1/2 cup freshly grated Parmigiano Reggiano cheese', '1/4 cup olive oil, divided']","['For dough, mix together flour, yeast, and water with a wooden spoon until almost all flour has disappeared and a rough dough is formed.', 'Add salt and olive oil and continue mixing with a spoon for about 3 minutes until a smooth, very soft and sticky dough forms. Clean off spoon and scrape down bowl. Cover and let rest 15 minutes.', 'Perform first set of rotating folds: leaving dough in the bowl, with a damp hand, reach under and grab the dough at the edge of the bowl, pull it and stretch it over the top. Rotate the bowl a few inches and repeat about 10 or 12 times, then gather the dough into a ball as best you can, turning the smoothest side up. Cover the bowl, and let dough rest for 15 minutes. Repeat this stretch, fold, and rest process 2 more times.', 'Transfer dough into an oiled container with a lid, rub dough with a few drops of olive oil and cover. Refrigerate for 24 hours or until doubled in size.', 'Transfer dough to the counter. With damp hands press and stretch dough into a square about 15 inches wide. Fold in half, and then in half again to create a rectangle. Fold rectangle into thirds, and turn over so the seam side is down.', 'Shape back into a neat ball with damp hand. Transfer dough into an oiled container, rub with a few drops of olive oil, and cover. Refrigerate for an additional 24 hours or until doubled in size.', 'Remove dough from the refrigerator and let stand on the counter for 1 hour to come to room temperature.', 'Meanwhile, prepare toppings: Cook and stir sausage in a skillet over medium heat until browned and crumbly, breaking up any clumps with a spatula, about 10 minutes. Remove from the pan; set aside to cool. Add red peppers and onions to the same skillet, and cook and stir just until they begin to soften, 3 to 5 minutes; remove and set aside.', 'Preheat the oven to 500 degrees F (250 degrees C). Oil a sheet pan generously with olive oil. A sheet of parchment paper can be placed on the pan to prevent sticking.', 'Transfer dough to the prepared sheet pan. Use oiled fingers to press dough into a rectangle that almost covers the pan. If dough is too elastic to stay in place, let it rest for a minute, and then continue stretching and pressing into place.', 'Drizzle a teaspoon of olive oil over dough and brush to coat evenly.', 'Bake in the preheated oven until golden brown, about 15 minutes. Remove pizza crust to a cooling rack to cool to room temperature, about 15 minutes. Remove parchment from pan if used, then return crust to the pan.', 'Spread crust with sauce, scatter over sausage and vegetables, sprinkle with mozzarella and Monterey Jack cheese, and finish with a dusting of Parmesan.', ""Bake in the preheated oven until the edges are well browned, about 15 minutes. Remove to a cooling rack; let cool for 10 to 15 minutes, then cut and serve.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Note\nThe bottom of the pizza should be golden brown and crisp, but if it is not, place back on sheet pan, and place over a medium high flame, until you can hear the crust start to sizzle slightly. Rotate the pan so all parts of the bottom crust get toasted and turn golden brown. This is a great way to crisp up a crust, but be careful not to go too far and burn the dough.""]","{'Calories': '413', 'Fat': '20g', 'Carbs': '39g', 'Protein': '17g'}",https://www.allrecipes.com/roman-style-pizza-recipe-8771243
Sweet Potato and Bacon Pizza,"Chef John's sweet potato and bacon pizza is perfectly balanced, with sharp lemon, savory bacon, spicy jalapeno, and a kiss of rosemary to contrast with rich sweet potato.",40 mins,1 hr 40 mins,10 hrs 45 mins,10,"['1 2/3 cups lukewarm water (400 grams)', '1 teaspoon active dry yeast', '4 1/3 cups all-purpose flour', '2 teaspoons kosher salt', '2 1/2 cups mashed orange-fleshed sweet potato (from about 3 sweet potatoes)', '1 teaspoon salt, or to taste', '1/2 teaspoon freshly ground black pepper', '1 pinch cayenne pepper', '1/3 cup olive oil', '1 rounded tablespoon minced rosemary', '1 lemon, zested and juiced', '1 cup freshly grated Parmigiano Reggiano cheese', '12 ounces bacon, cut into 1-inch pieces', '2 tablespoons olive oil, to grease pan', '6 ounces mozzarella cheese, grated', '2 ounces fontina cheese, grated', '1/3 cup freshly grated Parmigiano Reggiano cheese', '2 jalapeno peppers, seeded and thinly sliced']","['For dough, mix yeast and water and let stand for 10 minutes. Add flour and salt, and stir with a wooden spoon for 2 minutes to form a soft, sticky dough. Scrape down sides of bowl, cover, and let rise in a cool spot until doubled in size, 8 to 12 hours.', 'Use a wet hand to deflate and de-gas the dough, and form into a ball. Cover and store in the refrigerator until needed.', 'Preheat the oven to 400 degrees F (200 degrees C). Pierce sweet potatoes with a knife and place on a baking sheet.', 'Roast in the preheated oven until soft, about 1 hour. Let cool until cool enough to handle, about 10 minutes.', 'Scoop sweet potato flesh into a bowl—you will need about 2 1/2 cups. Add salt, black pepper, cayenne, olive oil, rosemary, lemon zest, and lemon juice, and mash until smooth. Stir in Parmigiano Reggiano, and taste for seasoning. Set aside.', 'Preheat the oven to 450 degrees F (235 degrees C).', 'Add bacon to a cold, dry, nonstick skillet. Place over medium-high heat, and cook, separating bacon pieces with tongs, until almost crisp, 7 to 10 minutes. Transfer to a plate lined with paper towels; set aside.', 'To assemble pizza, pour olive oil on a sheet pan and spread over evenly; place on dough, and use oiled hands to press out to the edges. If dough is very elastic, let dough rest and relax for a few minutes, then continue to stretch. Repeat this process as needed to stretch dough to cover the pan.', 'Dollop sweet potato mixture onto dough; Spread a thin layer over crust with the back of a spoon. Top evenly with mozzarella, bacon, fontina, and jalapenos. Finish with another dusting of Parmigiano Reggiano.', ""Bake in the preheated oven until crust is golden, and cheese is browned, 30 to 35 minutes. Remove from oven; cool in the pan for 5 to 10 minutes. Transfer to a board and slice with a pizza cutter.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Note\nIf your pizza is browned on top, but the bottom needs more color. Place pizza back on sheet pan, and place over a stove burner set to medium-high heat. Let the bottom crust toast for a minute, constantly moving the pan around so that it heats evenly.""]","{'Calories': '619', 'Fat': '32g', 'Carbs': '55g', 'Protein': '27g'}",https://www.allrecipes.com/sweet-potato-and-bacon-pizza-recipe-8747988
This Easy TikTok Pizza Is the 3-Ingredient Recipe of Our Dreams,It's the perfect quick recipe for entertaining.,15 mins,22 mins,37 mins,6,"['1 pound store-bought pizza dough, brought to room temperature', '4 plum or Roma tomatoes, thinly sliced', 'fresh basil for garnishing, torn or roughly sliced', 'olive oil', 'salt', 'freshly ground black pepper', 'dried oregano (or Italian seasoning)']","['Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C) with a rack in the center position. Lightly oil a 13- by 18-inch rimmed baking sheet.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Thinly slice tomatoes and place them on a paper towel-lined plate. Pat the tops of the tomatoes dry.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Gently stretch and press pizza dough to each corner of the rimmed baking sheet. Drizzle with oil, then season all over with salt, pepper, and oregano (or Italian seasoning).\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Cover the pizza dough with sliced tomatoes (they should touch). Bake pizza until the crust is golden brown and the tomatoes look roasted, 22 to 25 minutes.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai', 'Let cool slightly, then transfer to a cutting board and cut into small squares. Sprinkle with a pinch of salt and garnish with fresh basil.\n\n \n\n\n\n\n\n \n AllRecipes/Qi Ai']","{'Calories': '223', 'Fat': '6g', 'Carbs': '37g', 'Protein': '5g'}",https://www.allrecipes.com/easy-tiktok-pizza-appetizer-recipe-8660871
Pizza Poppers,"These pizza poppers are mini pizza bites, customized with your favorite pizza toppings. They’re the perfect game day snack, finger-friendly for kids, and good for any get-together.",20 mins,15 mins,35 mins,6,"['1 cup shredded mozzarella cheese', '1/3 cup cooked and crumbled bulk Italian sausage', '1/3 cup chopped pepperoni', '1 pound fresh pizza dough', '1 1/4 cups pizza sauce', '2 tablespoons vegetable oil, or more as needed', '1/2 teaspoon dried basil,\xa0or to taste', '1/2 teaspoon dried oregano,\xa0or to taste', '1/4 teaspoon garlic powder,\xa0or to taste', '1/4 cup grated Parmesan cheese,\xa0or to taste (optional)']","['Preheat the oven to 425 degrees F (220 degrees C).', 'Combine mozzarella, sausage, and pepperoni in a small bowl; set aside.', 'Lightly flour a work surface, and roll out dough 1/4-inch thick. Cut rounds with a biscuit or cookie cutter, and stretch each piece. Place a dollop of pizza sauce on each round, and top with about 1 tablespoon meat mixture. Fold dough over toppings into a ball, pinching the bottom to seal well; set aside, seam side down.', 'Lightly brush a cast iron skillet with oil. Place pizza poppers in skillet, and brush tops with oil. Sprinkle with basil, oregano, and garlic powder.', 'Bake in the preheated oven for 15 to 20 minutes, or until golden brown. Garnish with grated Parmesan, and serve with pizza sauce for dipping.\n\n Cook’s Note\nFor a variation, instead of brushing dough with oil, brush with garlic butter before baking.']","{'Calories': '385', 'Fat': '18g', 'Carbs': '41g', 'Protein': '13g'}",https://www.allrecipes.com/pizza-poppers-recipe-11681552
New England Beach Pizza,"When I heard New England beach pizza called ""America's worst pizza,"" I knew I had to give it a try. With a thin crust, a very sweet sauce, no toppings but a scant sprinkle of mozzarella and full slices of provolone—well, it does deserve a certain reputation. I admit that it is good in a guilty-pleasure sort of way, and a really fun experiment.",10 mins,30 mins,40 mins,12,"['2 tablespoons olive oil', '3 cloves garlic, crushed', '1/4 cup tomato paste', '2 cups marinara sauce', '1/4 cup water', '1/4 cup white sugar, or to taste', '1/4 teaspoon dried oregano', '1/4 teaspoon chili flakes (optional)', '2 tablespoons olive oil', '24 ounces pizza dough', '3 ounces shredded mozzarella cheese', '12 slices provolone cheese']","['Preheat the oven to 475 degrees F (245 degrees C).', 'Heat olive oil in a saucepan over medium heat; sauté garlic until fragrant, about 30 seconds. Stir in tomato paste, and cook, stirring, for another 30 seconds. Add marinara, water, sugar, oregano, and chili flakes. Bring to a simmer, and cook, stirring occasionally, for 10 to 15 minutes. Taste for seasoning and adjust if need be. Turn off heat and reserve.', 'Roll and stretch dough into a rectangle about 15x10 inches. Rub a 13x18-inch half sheet pan with olive oil and transfer dough on. Push, pull, and stretch dough to cover pan. If dough pulls back from the edge, let it rest for a few minutes, and then continue shaping.', 'Top dough with a light layer of sauce (the recipe will make extra sauce). Top with mozzarella cheese.', 'Bake in the preheated oven until the crust is cooked through, and the bottom is golden brown, 15 to 20 minutes.', 'As soon as pizza comes out of the oven, top with slices of provolone. Pizza can be served immediately, or placed back in the oven for a few minutes to melt provolone even more.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n From the Editor:\nNutrition data for this recipe includes the full amount of sauce. The actual amount of sauce consumed will vary.']","{'Calories': '346', 'Fat': '17g', 'Carbs': '36g', 'Protein': '13g'}",https://www.allrecipes.com/new-england-beach-pizza-recipe-8693117
Folded Pizza Sandwich,"It's like an Italian sub, but better.",20 mins,10 mins,1 hr 30 mins,4 (serving size: 1 sandwich),"['1 (1 pound) refrigerated fresh pizza dough', 'cooking spray', '2 teaspoons grated garlic', '1/4 cup extra-virgin olive oil, divided', '1 tablespoon red wine vinegar', '1/4 teaspoon kosher salt', '2 cups fresh baby spinach', '2 (4 ounce) balls burrata cheese, drained', '1 (6 ounce) package mixed cured meats (such as salami, capocollo, mortadella, prosciutto, and/or sopressata)', '1/2 cup drained sliced\xa0pepperoncini', 'balsamic glaze, for drizzling']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place pizza dough in a medium bowl greased with cooking spray and cover lightly with plastic wrap; let stand at room temperature until soft and pliable, about 1 hour.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While dough sits, preheat oven to 450 degrees F (230 degrees C) with a rack in the center position. Stir together grated garlic and 2 tablespoons of the oil in a small bowl. In a separate bowl, whisk together vinegar, salt, and remaining 2 tablespoons oil. Set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Turn dough out onto a large sheet of parchment; cut dough into 4 equal pieces. Working one piece of dough at a time, stretch and roll dough piece into a (7-inch) circle. Brush dough with garlic-oil mixture; fold dough circle in half. Brush top of dough lightly with garlic-oil mixture. Place on a parchment-lined baking sheet. Repeat with remaining dough pieces and garlic-oil mixture.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until puffed and golden, 8 to 10 minutes. Let cool about 3 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Toss spinach with 1 1/2 tablespoons of the vinaigrette in a medium bowl. Tear burrata into 8 pieces. Open pizza bread gently and place 2 pieces of the burrata on the bottom half of each pizza bread.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Evenly stuff spinach, cured meats, and pepperoncini slices into each pizza bread.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drizzle with remaining vinaigrette and balsamic glaze. Serve immediately.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '738', 'Fat': '43g', 'Carbs': '58g', 'Protein': '30g'}",https://www.allrecipes.com/folded-pizza-sandwich-recipe-8666883
Chef John's Sausage and Egg Pizza,"This is a sausage and egg pizza, and man, is it delicious. You may never eat eggs any other way, and you may never eat pizza any other way again.",20 mins,20 mins,40 mins,4,"['6 ounces hot Italian sausage, sliced', '12 ounces unbaked pizza dough, at room temperature', '2 tablespoons cornmeal, or as needed', '¾ cup pizza sauce', '1 pinch red pepper flakes, or to taste (Optional)', '6 ounces shredded Fontina cheese, divided', '4  eggs', 'freshly ground black pepper to taste', '⅓ cup freshly shredded Parmigiano-Reggiano cheese, divided', '1 cup baby arugula leaves, washed and dried', '1 tablespoon olive oil']","['Preheat the oven to 475 degrees F (245 degrees C).', 'Cook and stir sliced Italian sausage in a skillet over medium heat until some of the fat has rendered out and sausage is no longer pink inside, about 5 minutes. Transfer sausage slices to a paper towel-lined plate to drain.', 'Roll pizza dough out to about 12 inches in diameter and about 3/8-inch thick; sprinkle with cornmeal. Flip dough so the cornmeal side is down and transfer to a perforated 14-inch pizza pan.', 'Spread pizza sauce in a thin layer on top of the dough. Sprinkle with red pepper flakes and about 3/4 the Fontina cheese. Spread sausage slices onto the pizza, leaving 4 spaces about 3 inches across on the pizza for eggs. Sprinkle remaining Fontina cheese onto sausage slices.', 'Bake in the preheated oven until dough is hot, edges are starting to brown, and cheese has started to melt, 10 to 12 minutes.', 'Crack each egg into a separate ramekin or small bowl. Remove pizza from oven and use a spatula to press the spaces between sausage slices flat. Gently pour an egg onto each space. Grind a little black pepper onto each egg yolk. Lightly sprinkle Parmigiano-Reggiano cheese over entire pizza.', 'Return to oven and bake until eggs are set but yolks are still liquid, about 5 minutes, checking frequently to avoid overcooking eggs. Toss arugula leaves with olive oil in a bowl until coated. Remove pizza from oven, poke egg yolks with a fork, spread them around a little, and sprinkle arugula over the top of the pizza. Cut into 4 quarters, each with an egg, to serve.']","{'Calories': '649', 'Fat': '34g', 'Carbs': '50g', 'Protein': '34g'}",https://www.allrecipes.com/recipe/234535/chef-johns-sausage-and-egg-pizza/
Perfect Pan Pizza,"Perfect pan pizza baked in a cast iron skillet is achievable at home with this recipe. A homemade dough, an easy, no-cook sauce, pepperoni, and mozzarella make this a classic.",20 mins,25 mins,10 hrs 45 mins,4,"['2 1/2 cups all-purpose flour', '1 1/4 teaspoons active dry yeast', '1 1/4 teaspoons salt', '1 cup lukewarm water', '4 tablespoons olive oil, divided', '2 tablespoons freshly grated Parmesan cheese', '6 ounces low moisture, part skim mozzarella cheese, shredded', '3/4 cup easy no-cook pizza sauce (see below)', '1/3 cup sliced pepperoni']","['Whisk flour, yeast, and salt together in a large bowl. Stir water and 1 tablespoon olive oil together in a separate bowl or measuring cup and add to flour mixture. Stir just until well combined. Cover bowl with plastic wrap and let stand at room temperature until dough has tripled in size, 8 to 12 hours. Alternatively, cover and refrigerate at least 12 hours and up to 36 hours, or until dough has tripled in size.', 'Uncover dough and transfer to a floured surface. Gently stretch and fold dough over a few times until nearly smooth; use your hands to lightly shape dough into a ball. Dough should remain a little sticky.', 'Pour remaining olive oil into a 12-inch cast iron skillet and use your fingers to liberally coat the bottom and sides of the skillet. Using oiled hands, transfer dough to the skillet, gently flatten into a thick disc shape, and lightly coat with some of the oil. Lightly cover the skillet with plastic wrap and set aside at room temperature for 2 hours.', 'Preheat the oven to 400 degrees F (200 degrees C). Use fingers to lightly press dough to an even layer to the edges of the pan and about 1/2 inch up the sides.', 'Sprinkle Parmesan cheese around the edges and over dough. Sprinkle 1/3 cup shredded mozzarella over dough. Spread pizza sauce in an even layer over entire crust. Sprinkle with remaining cheese and top with pepperoni.', 'Bake in the preheated oven until crust is golden around the edges and cheese is lightly browned and melted, 20 to 25 minutes.', 'Remove from the oven and place on the stove over medium heat. Cook until bottom of crust is golden brown and toasted, 3 to 5 minutes.', ""Carefully slide pizza from the pan to a wire rack; let stand for 10 minutes. Transfer pizza to a cutting board; slice and serve.\n\n Easy No Cook Pizza Sauce\nHere is the recipe for Nicole's Easy No Cook Pizza Sauce.""]","{'Calories': '562', 'Fat': '21g', 'Carbs': '66g', 'Protein': '26g'}",https://www.allrecipes.com/perfect-pan-pizza-recipe-8656583
Fried Peach and Pancetta Pizza,"Growing up, I always loved when my family made pizza from scratch, but what I loved even more was what came after the meal. Any extra dough and scraps were rolled out, left to rise, fried, and sprinkled with sugar to create a simple, but delicious donut-like treat. 
Here we're doing a savory twist, using the same technique to make a pizza featuring ricotta, pancetta, and peaches. Garnish with extra sprig of thyme if desired.",20 mins,30 mins,1 hr,4,"['8 ounces pancetta bacon, thickly sliced', '1 teaspoon olive oil, or as needed', '12 ounces pizza dough, or more to taste, cut into quarters', '1 tablespoon all-purpose flour, or as needed', '1 cup olive oil, or as needed', '½ cup ricotta cheese', '2 teaspoons chopped fresh thyme, or to taste', 'ground black pepper to taste', '20 slices fresh peach', '¼ cup freshly grated Parmigiano-Reggiano cheese, or to taste', '4 teaspoons extra-virgin olive oil, or to taste']","['Preheat an oven to 475 degrees F (245 degrees C). Line baking sheets with aluminum foil.', 'Sprinkle pancetta into a cold skillet and drizzle 1 teaspoon olive oil over pancetta. Cook and stir pancetta over medium heat until browned and caramelized, 5 to 10 minutes. Remove pan from heat and cool pancetta in the oil in the skillet.', 'Place 1 dough quarter on a work surface and lightly dust with flour; roll into a 1/8-inch-thick irregularly shaped crust. Stretch dough with your hands to an even thickness; let rest on the work surface for 5 minutes. Repeat with remaining dough.', 'Heat about 1 cup olive oil, reaching about 1/2-inch depth, in a heavy cast iron skillet over medium-high heat. Fry each piece of dough until browned and cooked through, about 2 minutes per side. The first side will be lighter than the second side. Drain the crusts on paper towels.', 'Transfer pizza crusts, lighter-side up, to prepared baking sheets. Spread about 2 tablespoons ricotta cheese onto each crust using the back of a spoon. Sprinkle about 1/2 teaspoon fresh thyme over ricotta layer. Sprinkle pancetta over the ricotta-thyme layer; season with black pepper. Nestle about 5 peach slices onto each pizza, working around the pancetta pieces. Sprinkle 1 tablespoon Parmesan-Reggiano cheese over each pizza. Drizzle about 1 teaspoon extra-virgin olive oil over Parmesan-Reggiano layer.', 'Bake in the preheated oven until cheese is melted and peaches are lightly browned and tender, 12 to 15 minutes. Cool pizzas for 5 to 10 minutes on the baking sheet.']","{'Calories': '462', 'Fat': '23g', 'Carbs': '45g', 'Protein': '16g'}",https://www.allrecipes.com/recipe/239433/fried-peach-and-pancetta-pizza/
Buffalo Caesar Chicken Crust Pizza,"This Buffalo Caesar chicken crust pizza turns canned chicken and Parmesan into pizza crust. Topped with Caesar salad and Buffalo sauce, it's a delicious alternative to conventional pizza and salad.",10 mins,40 mins,55 mins,2,"['1 (10 ounce) can chicken breast, well drained', '1/3 cup freshly grated Parmesan cheese', '2 tablespoons Buffalo sauce, plus more to drizzle', '1 large egg', '1 (9.8 ounce) bag Caesar salad mix', '1/4 cup sliced celery', '2 tablespoons crumbled blue cheese (optional)']","['Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment.', 'Combine chicken, Parmesan cheese, Buffalo sauce, and egg in a bowl and mix well. Pat mixture firmly into a 10-inch circle on the prepared baking sheet.', 'Bake in the preheated oven until golden brown and toasted, about 40 minutes.\xa0 Let cool for about 5 minutes.', 'Drizzle about 2 teaspoons of dressing from the salad kit over crust. Toss half of salad mix with half of remaining dressing packet, according to package directions. (Reserve croutons, if desired, and remaining half of salad mix and dressing for later use.)', 'Place tossed salad on top of crust, and sprinkle evenly with celery and blue cheese. Drizzle with additional Buffalo sauce and serve immediately.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '562', 'Fat': '30g', 'Carbs': '13g', 'Protein': '57g'}",https://www.allrecipes.com/buffalo-caesar-chicken-crust-pizza-recipe-8648525
