title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Pickle Grilled Cheese,This pickle grilled cheese is filled with havarti and chopped dill pickles and pan-toasted to golden perfection. I highly recommend serving this with dill pickle kettle chips for the maximum pickle experience!,5 mins,10 mins,15 mins,4,"['8 slices sourdough bread', '3 tablespoons mayonnaise', '1 1/2 cups shredded havarti cheese', '1/2 cup chopped dill pickles', '3 tablespoons softened butter, divided']","['Place bread on a work surface and spread mayo evenly on one side of each bread slice.', 'Toss cheese and pickles together in a bowl until evenly combined. divide cheese mixture evenly among 4 bread slices. Place remaining 4 bread slices, mayo side down, on top of cheese and pickle mixture.', 'Spread the tops of sandwiches evenly with half of softened butter. Heat a large skillet over medium heat.', 'Place sandwiches, buttered side down, in skillet. Spread remaining butter evenly over tops of sandwiches. Cook until golden brown and toasted on bottom side, about 4 minutes. Flip and cook until cheese is melted through and bread is toasted on both sides, about 4 minutes more. Serve immediately.']","{'Calories': '667', 'Fat': '33g', 'Carbs': '68g', 'Protein': '25g'}",https://www.allrecipes.com/pickle-grilled-cheese-recipe-11711130
Cuban Crunchwrap,"Try this Cuban crunchwrap with ham, cheese, pork, pickles and, yes, potato chips. A quick and easy lunch for one.",5 mins,5 mins,10 mins,1,"['1 extra large flour tortilla (12 inches or larger)', '2 ounces sliced ham', '2 ounces cooked pork', '2 teaspoons mustard', '1/2 cup kettle potato chips', '1/4 cup shredded Swiss cheese', '4 dill pickle slices', '1 tablespoon butter']","['Place tortilla down on a work surface.\xa0Add ham and pork in thin layers in the center of the tortilla and drizzle with mustard.\xa0Top with a layer of chips, 1/2 of the Swiss cheese, pickles, and remaining cheese.', 'Fold one side of the tortilla over the filling and continue to make 4 additional folds working clockwise to fold the tortilla completely over the fillings.', 'Heat butter in a skillet over medium heat.\xa0 Place crunchwrap, seam side down, in the skillet and cook until well toasted.\xa0Flip and cook until toasted and warmed throughout.\xa0Serve immediately.\n\n \n\n\n\n\n\n \n Peyton Beckwith']","{'Calories': '2010', 'Fat': '71g', 'Carbs': '264g', 'Protein': '76g'}",https://www.allrecipes.com/cuban-crunchwrap-recipe-11707035
Easy Cottage Cheese Wrap,"This easy cottage cheese wrap is a keto-style flatbread, sprinkled with everything seasoning, a perfect base for a high-protein breakfast wrap. The batter is whipped up in a blender, then poured on a baking sheet and baked.",5 mins,20 mins,25 mins,1,"['nonstick cooking spray', '2 large eggs', '1/2 cup high protein cottage cheese, such as Good Culture®', '1/4 teaspoon everything bagel seasoning']","['Preheat the oven to 380 degrees F (193 degrees C). Line a rimmed baking sheet with parchment and spray with nonstick spray.', 'Add eggs and cottage cheese to the jar of a blender; blend on high until smooth, about 30 seconds. Pour mixture onto the prepared pan in a roughly rectangular shape. Sprinkle bagel seasoning over mixture.', 'Bake in the preheated oven for 20 minutes. Remove immediately. Allow to cool about 5 minutes before removing wrap from parchment.']","{'Calories': '251', 'Fat': '14g', 'Carbs': '5g', 'Protein': '25g'}",https://www.allrecipes.com/easy-cottage-cheese-wrap-recipe-11697300
Cream Cheese and Peanut Butter Strawberry Sandwich,This cream cheese and peanut butter strawberry sandwich takes a classic combination—strawberries and cream cheese—and adds a sensational flavor layer: peanut butter.,10 mins,,10 mins,1,"['2 tablespoons cream cheese, softened', '1 teaspoon strawberry preserves', '1 tablespoon peanut butter', '3 large strawberries, thinly sliced, or to taste', '2 slices cinnamon swirl bread']","['Mix cream cheese and strawberry preserves in a small bowl until well combined.', 'Place 2 slices of bread on a flat surface. Spread peanut butter on one slice and cream cheese mixture on the other.', 'Assemble as follows: peanut butter slice on the bottom, top with sliced strawberries, and place cream cheese slice on top to form a sandwich. Slice in half and serve.']","{'Calories': '528', 'Fat': '27g', 'Carbs': '66g', 'Protein': '10g'}",https://www.allrecipes.com/cream-cheese-and-peanut-butter-strawberry-sandwich-recipe-11696003
Air Fryer English Muffin Tuna Melt,"This air fryer English muffin tuna melt makes a quick and delicious meal. Begin by toasting the English muffins in the air fryer, top with a quick tuna salad, and finish by melting the cheese air fryer, too.",15 mins,10 mins,25 mins,4,"['2 English muffins, halved', '2 (5-ounce) cans tuna, drained', '3 tablespoons mayonnaise', '1 tablespoon mustard', '3 tablespoons diced celery', '1 tablespoon minced onion', 'salt and freshly ground black pepper to taste', '4 slices provolone cheese', '4 slices Cheddar cheese']","['Preheat an air fryer to 325 degrees F (165 degrees C). Place sliced English muffins in air fryer and toast until lightly browned, 2 to 4 minutes. Remove and set aside.', 'Combine tuna, mayonnaise, mustard, celery, onion, salt, and pepper in a bowl and mix until combined. Divide tuna mixture into 4 equal parts, and top each muffin half with tuna. Top each with 1 slice provolone cheese and 1 slice Cheddar cheese. Air fry until cheese is melted, 5 to 8 minutes.']","{'Calories': '624', 'Fat': '34g', 'Carbs': '39g', 'Protein': '38g'}",https://www.allrecipes.com/air-fryer-english-muffin-tuna-melt-recipe-11695943
Everything But the Bagel Cottage Cheese Wrap,"This everything but the bagel cottage cheese wrap is a grain-free wrap made with a baked everything-seasoned egg and cottage cheese ""bread."" Feel free to customize the fillings as you choose, with different deli meats and cheeses, or with a different dressing or aioli. This will serve 2, or it will make a generous single serving.",10 mins,25 mins,50 mins,2,"['1 cup cottage cheese', '1 teaspoon everything but the bagel seasoning', '1 large egg', '2 slices provolone or mozzarella cheese', '2 (1 ounce) slices deli turkey', 'fresh spinach leaves to taste', '2 to 3 strips roasted red bell pepper', '3 strips thinly sliced cucumber', '1 tablespoon prepared green goddess salad dressing']","['Preheat the oven to 350 degrees F (180 degrees C). Line a 13x9-inch baking pan with parchment paper, and spray with cooking spray.', 'Combine cottage cheese, everything seasoning, and egg in a blender. Blend on the lowest setting until the cottage cheese curds disappear.', 'Pour cottage cheese mixture into the prepared pan and spread as evenly as possible, without creating a bare spot.', 'Bake in the preheated oven until the top is lightly browned and set, 25 to 35 minutes.', 'Cool for about 5 minutes. Remove from the pan to a cutting board, and carefully slide the parchment from beneath the wrap.', 'To fill the wrap, lay thin layers of cheese and sliced turkey on the wrap. Add a single layer of spinach leaves. Place roasted red bell pepper strips and cucumber strips across the middle, from one long side to the other.', 'Drizzle with green goddess salad dressing, and fold in thirds, from the short edge nearest you to the opposite short edge. Slice in half and enjoy!\n\n Cook’s Note\nThis is a wrap, so the entire surface does not need to be covered with the turkey and cheese. If you wish to cover the entire surface, double the amount of cheese and turkey slices.']","{'Calories': '330', 'Fat': '19g', 'Carbs': '11g', 'Protein': '29g'}",https://www.allrecipes.com/everything-but-the-bagel-cottage-cheese-wrap-recipe-11694939
French Onion Hotdogs,"These French onion hotdogs are generously topped with caramelized onions, Gruyere cheese, and a quick homemade Dijonnaise sauce.",15 mins,20 mins,35 mins,6,"['3 tablespoons canola oil', '4 yellow onions, thinly sliced', '2 teaspoons kosher salt', '1/2 cup beef broth', '2 tablespoons Worcestershire sauce', '2 tablespoons sherry vinegar', '1 tablespoon fresh thyme leaves, finely chopped, plus more for garnish', '2 teaspoons freshly ground black pepper', '1 cup mayonnaise', '3 tablespoons Country Dijon mustard', '6 Hawaiian or brioche hot dog buns', '6 cooked beef hotdogs', '2 1/2 cups freshly shredded Gruyere cheese']","['Arrange a rack to the upper third position of oven. Preheat oven to broil.', 'Heat oil in a large skillet over high heat until shimmering, about 30 seconds. Add onions, toss until well coated in oil, and cook undisturbed until browned on one side and slightly softened, 5 to 7 minutes. Stir onions and continue to cook undisturbed until browned on other side, 5 to 7 minutes.', 'Add salt and broth and cook, making sure to scrape up any brown bits stuck to the bottom of the pan, until most of the liquid is absorbed, about 2 minutes. Stir in Worcestershire sauce, vinegar, thyme, and black pepper, and cook until fragrant and onions are brown all over, about 1 minute. Remove from heat.', 'Whisk together mayo and Dijon mustard until smooth; transfer Dijonnaise sauce to a squeeze bottle if desired.', 'Place hotdog buns on a large rimmed baking sheet. Add a hotdog to each bun, drizzle with prepared Dijonnaise sauce, and top with about 1/3 cup caramelized onions. Sprinkle each hotdog with a generous amount of cheese.', 'Broil in the preheated oven until cheese is melted and brown, about 2 minutes. Garnish with thyme leaves.\xa0\n\n From the Editor:\nNot grilling season? Here are 8 ways to cook hot dogs.']","{'Calories': '897', 'Fat': '70g', 'Carbs': '38g', 'Protein': '28g'}",https://www.allrecipes.com/french-onion-hotdogs-recipe-11685564
Sloppy Joe Sliders,Serve these sloppy Joe sliders at your next gathering and watch them disappear! Traditional sloppy Joe filling is served on soft bakery rolls with a delicious baked glaze on top. Try BBQ sauce as a dipper—fantastic!,20 mins,35 mins,55 mins,4,"['1 (12-count) package artisan soft bakery rolls', '24 small slices sharp Cheddar cheese', '1 teaspoon olive or avocado oil', '1 pound 80% lean ground beef', '1/2 large white onion, finely chopped', '2 teaspoons garlic paste', '1 cup ketchup', '2 tablespoons brown sugar', '1 teaspoon Dijon mustard', '3 teaspoons Worcestershire sauce', '1 teaspoon chili powder and/or cumin', 'salt and freshly ground black pepper to taste', '3/4 cup water', '1/4 cup butter, melted', '1/2 tablespoon brown sugar', '1 teaspoon ketchup', '1 teaspoon Worcestershire sauce', '1 teaspoon Dijon mustard', 'sesame or poppy seeds']","['Preheat the oven to 350 degrees F (180 degrees C).', 'Line a baking sheet with parchment paper. Cut rolls in half and lay bottom halves on the sheet. Place a piece of cheese on each bottom half. Set tops aside and cover baking sheet with a tea towel while working on the filling.', 'Heat oil in a heavy skillet over medium-high heat. Add onion and saute for 1 minute, then add ground beef. Cook until browned and crumbly, breaking the meat up with a spoon, and onion is soft, 5 to 7 minutes. Drain grease, then add garlic. Stir to combine and lower heat to medium-low.', 'Stir ketchup, brown sugar, Worcestershire sauce, Dijon mustard, and chili powder together in a small bowl. Add to the cooked beef, then stir in water. Simmer on low, stirring frequently, until thickened to your taste, 5 to 10 minutes. Season with salt and pepper.', 'Place a heaping spoonful of meat mixture over cheese on the bottom half of rolls. Cover the meat mixture with another slice of cheese. Replace the tops.', 'For glaze, mix butter, brown sugar, ketchup, Worcestershire sauce, and Dijon mustard together in a small bowl. Brush over tops of rolls, then sprinkle each roll top with sesame or poppy seeds.', 'Bake sliders, uncovered, in the preheated oven, until cheese is melted and tops are nicely browned, about 20 minutes. Serve with BBQ sauce, ketchup, or yellow mustard for dipping.']","{'Calories': '903', 'Fat': '54g', 'Carbs': '71g', 'Protein': '37g'}",https://www.allrecipes.com/sloppy-joe-sliders-recipe-8789641
Mississippi Pot Roast Cheesesteak,"This Mississippi pot roast cheesesteak is made with what is arguably the best braised beef recipe ever. If you've never tried Mississippi pot roast, prepare to be shocked: this is so super flavorful, insanely rich and beefy. This will make one of the best sandwiches you will ever have.",10 mins,8 hrs,8 hrs 10 mins,8,"['2 teaspoons vegetable oil', '4 to 5 pounds boneless beef chuck roast', '1/2 cup pepperoncini brine', '1/4 cup water', '1 (1 ounce) packet ranch dressing mix, such as Hidden Valley®', '1 (1 ounce) packet powdered au jus gravy mix, such as McCormick®', '1/2 cup unsalted butter, cut into slices', '6 pepperoncini peppers, or to taste', '8 sandwich rolls', '16 slices provolone cheese, or more to taste', 'processed cheese sauce, such as Kraft® Cheese Whiz, as needed (optional)', '2 cups sliced pickled peppers (1/4 cup per sandwich), or to taste']","['Optional: to brown beef, heat oil in a skillet, Dutch oven, or multi-functional cooker over high heat, and sear both sides of beef until well browned, about 3 minutes per side. Remove meat to a large slow cooker. Add pepperoncini brine to the skillet, and stir to loosen any browned bits; pour into the slow cooker.', 'If you skipped the browning step, now add meat and pepperoncini brine to the slow cooker. Drizzle water over meat. Sprinkle ranch dressing evenly over the top, then sprinkle au jus gravy mix evenly over. Top with\xa0 butter slices and peppers.', 'Slow cook on Low until the meat is very tender and can easily be pulled apart, 8 to 10 hours. At this point, you can use the beef for sandwiches, or for anything you like.', 'Remove beef from the slow cooker, and shred the meat using two forks.', 'For sandwiches, preheat the oven to 400 degrees F (200 degrees C). Slice sandwich roll open, cover the open face with provolone cheese slices, and place on a baking sheet.', 'Bake in the preheated oven until the edges start to brown, about 7 minutes.', 'Top roll with hot, juicy shredded Mississippi pot roast. Garnish with Cheez Whiz and pickled peppers and serve.\n\n \n\n\n\n\n\n \n John Mitzewich']","{'Calories': '991', 'Fat': '61g', 'Carbs': '39g', 'Protein': '73g'}",https://www.allrecipes.com/mississippi-pot-roast-cheesesteak-recipe-8785850
Famous Mexican Hotdogs,"These famous Mexican hotdogs are sauteed with onions, tomatoes, and peppers, and tucked into buttery toasted buns with melted Mexican blend cheese.",5 mins,20 mins,25 mins,8,"['3 tablespoons bacon grease', '8 beef hotdogs', '1 1/2 large white onions, sliced', '6 Roma tomatoes, cut into wedges', '3 large jalapenos, halved', '3 cloves garlic, smashed', '1/4 teaspoon red pepper flakes', '3 tablespoons butter, softened', '8 hotdog buns', '1 cup Mexican blend shredded cheese, or as needed']","['Using a knife, make a 1/8-inch slice lengthwise down each hotdog; set aside.', 'Heat bacon grease in a 12-inch cast iron skillet over medium-high heat. Add hot dogs, onion, tomatoes, jalapeno, garlic, and red pepper flakes to the skillet and cook until the vegetables have softened and everything is well browned, about 10 minutes, stirring occasionally.', 'Meanwhile, heat a second skillet over medium heat. Spread a thin layer of butter on the outside of each hotdog bun, and cook, turning occasionally, until lightly toasted on all sides.', 'Divide hot dogs and vegetables evenly among toasted buns and top with cheese. Allow cheese to melt and serve immediately.']","{'Calories': '499', 'Fat': '32g', 'Carbs': '37g', 'Protein': '16g'}",https://www.allrecipes.com/famous-mexican-hotdogs-recipe-8780999
