title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Korean Banana Milk,I have had a hard time finding Korean Banana Milk so I decided to make my own. This turned out delicious and so much less expensive.,5 mins,,5 mins,1,"['1 banana', '1/2 cup whole milk', '1/2 cup cold water', '1 tablespoon pure maple syrup', '1 teaspoon vanilla', '4 to 5 ice cubes (optional)']","['Combine banana, milk, water, maple syrup and vanilla in the blender cup. Blend until smooth.', 'Place ice cubes in glass (if using). Pour banana milk on top.']","{'Calories': '243', 'Fat': '4g', 'Carbs': '47g', 'Protein': '5g'}",https://www.allrecipes.com/korean-banana-milk-recipe-7966165
Zucchini Smoothie,"This zucchini smoothie is a blend of orange juice, banana, and fresh zucchini that makes a great-tasting breakfast. And don't worry — you can't even taste the zucchini in it!",5 mins,,5 mins,1,"['½ cup ice cubes, or as needed (Optional)', '½  zucchini, shredded', '½  frozen banana', '½ cup orange juice']","['Combine ice cubes, zucchini, banana, and orange juice in a blender. Blend until smooth.']","{'Calories': '118', 'Fat': '1g', 'Carbs': '28g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/265537/zucchini-smoothie/
Beet Smoothie,"This delicious beet smoothie is a gorgeous color and naturally sweet thanks to beets, pineapple, and banana.",15 mins,,15 mins,2,"['2 medium beets, scrubbed', '1  green apple', '1  avocado, peeled and pitted', '¾ cup fresh pineapple chunks', '1  banana, peeled', 'ice cubes']","['Juice beets and green apples, including peels, in an electric juicer.', 'Combine apple-beet juice, avocado, pineapple, banana, and ice in a high-speed blender; blend until smooth.']","{'Calories': '310', 'Fat': '15g', 'Carbs': '47g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/264158/sweet-beet-smoothie/
Monkey C Juice,"A great Vitamin C and potassium boost, and only 2 ingredients! This is a copycat of one of my favorite Robeks juices that has unfortunately been retired. Make sure to use freshly-squeezed juice, otherwise the flavor just isn't the same with store-bought.",5 mins,,5 mins,1,"['8 ounces freshly-squeezed orange juice', '1 medium banana, peeled and quartered']",['Place juice and banana in blender. Blend on high until smooth and frothy. about 30 seconds. Serve immediately.'],"{'Calories': '217', 'Fat': '1g', 'Carbs': '53g', 'Protein': '3g'}",https://www.allrecipes.com/monkey-c-juice-recipe-7370055
PB & J Smoothie,"I made this PB&J smoothie with peanut butter, but it can also be made with powdered peanut butter for a lower-calorie smoothie.",5 mins,,5 mins,1,"['6  frozen strawberries, or more to taste', '¾ cup milk', '1 ½ tablespoons peanut butter', '1 tablespoon blue agave nectar, or more to taste', '1 tablespoon flax seeds']","['Combine strawberries, milk, peanut butter, agave, and flax seeds in a blender; blend until smooth.']","{'Calories': '381', 'Fat': '21g', 'Carbs': '39g', 'Protein': '15g'}",https://www.allrecipes.com/recipe/279625/pb-j-smoothie/
Peanut Butter Banana Smoothie,"This peanut butter banana smoothie is so refreshing, and it's sweet and tasty.",5 mins,,5 mins,4,"['2  bananas, broken into chunks', '2 cups milk', '½ cup peanut butter', '2 tablespoons honey, or to taste', '2 cups ice cubes']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place bananas, milk, peanut butter, honey, and ice cubes in a blender.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Blend until smooth, about 30 seconds.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '335', 'Fat': '19g', 'Carbs': '34g', 'Protein': '13g'}",https://www.allrecipes.com/recipe/221261/peanut-butter-banana-smoothie/
Blueberry Smoothie,"Blueberry smoothie recipes are a great way to use fresh or frozen berries, and this is a delicious one!",5 mins,,5 mins,2,"['1 cup blueberries (frozen or fresh)', '1 (8 ounce) container plain yogurt', '¾ cup 2% reduced-fat milk', '2 tablespoons white sugar', '½ teaspoon vanilla extract', '⅛ teaspoon ground nutmeg']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Blend blueberries, yogurt, milk, sugar, vanilla, and nutmeg in a blender until frothy, scraping down the sides of the blender if needed.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Divide between 2 glasses and serve immediately. Enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '211', 'Fat': '4g', 'Carbs': '36g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/215184/blueberry-smoothie/
Chocolate Banana Peanut Butter Protein Shake,This chocolate protein shake is high in protein and tasty.,10 mins,,10 mins,1,"['6  ice cubes', '1 cup milk', '1  banana', '1 scoop chocolate-flavored protein powder', '2 tablespoons peanut butter', '1 tablespoon honey', '1 teaspoon unsweetened cocoa powder, or more to taste']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Blend ice cubes, milk, banana, protein powder, peanut butter, honey, and cocoa powder together in a blender until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '561', 'Fat': '23g', 'Carbs': '67g', 'Protein': '31g'}",https://www.allrecipes.com/recipe/244959/chocolate-banana-peanut-butter-protein-shake/
Fruit and Yogurt Smoothie,This yogurt smoothie recipe is delicious! You may substitute the strawberries for any other berries or fruit.,5 mins,,5 mins,2,"['1 cup strawberries', '1  banana', '½ cup yogurt', '¼ cup pineapple juice', '1 ½ teaspoons white sugar', '1 teaspoon orange juice', '1 teaspoon milk']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine strawberries, banana, yogurt, pineapple juice, sugar, orange juice, and milk in a blender.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Blend until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '146', 'Fat': '1g', 'Carbs': '31g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/215189/fruit-and-yogurt-smoothie/
Strawberry Oatmeal Breakfast Smoothie,"This vegan oatmeal smoothie has a deep pink color and a rich, creamy texture. It's very filling, and perfect for people in a rush in the morning. You don't have to give up a good breakfast when it's this fast to make! I use vitamin fortified soy milk.",5 mins,,5 mins,2,"['1 cup soy milk', '½ cup rolled oats', '14  frozen strawberries', '1  banana, broken into chunks', '1 ½ teaspoons white sugar (Optional)', '½ teaspoon vanilla extract (Optional)']","['Gather ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Blend soy milk, oats, strawberries, and banana in a blender until smooth. Add sugar and vanilla and blend again until smooth.', 'Pour into glasses and serve.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '142', 'Fat': '4g', 'Carbs': '21g', 'Protein': '7g'}",https://www.allrecipes.com/recipe/23539/strawberry-oatmeal-breakfast-smoothie/
Spinach and Banana Power Smoothie,"A vegan banana spinach smoothie that is quick, easy, and surprisingly delicious. I make one of these tasty treats for myself every morning for breakfast, and it powers me all the way until lunch. I love the mild sweetness of the banana, but if you want it sweeter you could add sugar. I've also added different flavors like ginger, cinnamon, apple, or any number of ingredients. Raw vegans can substitute raw almond milk for the soy. Feel free to experiment with different versions, and enjoy the pure energy that comes from eating fresh, good-for-you food!",10 mins,,10 mins,1,"['1 cup plain soy milk', '¾ cup packed fresh spinach leaves', '1 large banana, sliced']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Blend soy milk and spinach together in a blender until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add banana and pulse until thoroughly blended.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '257', 'Fat': '5g', 'Carbs': '47g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/241019/spinach-and-banana-power-smoothie/
Basic Fruit Smoothie,"This is a great fruit smoothie recipe consisting of fruit, fruit juice, and ice. I like to use whatever fresh fruits I crave that day... Berries, mangos, papayas, kiwi fruit, etc. Experiment with your favorites!",10 mins,,10 mins,4,"['1 quart strawberries, hulled', '2  fresh peaches - peeled, pitted, and sliced', '1  banana, broken into chunks', '2 cups ice', '1 cup orange-peach-mango juice']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine strawberries, peaches, and banana in a blender; blend until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add ice and pour in juice; blend again to desired consistency.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '118', 'Fat': '1g', 'Carbs': '29g', 'Protein': '2g'}",https://www.allrecipes.com/recipe/23553/basic-fruit-smoothie/
B and L's Strawberry Smoothie,"This strawberry smoothie recipe blends strawberries with milk, yogurt, sugar, and vanilla for an icy-cold treat. You'll love it!",5 mins,,5 mins,2,"['8  strawberries, hulled', '½ cup skim milk', '½ cup plain yogurt', '3 tablespoons white sugar', '2 teaspoons vanilla extract', '6 cubes  ice, crushed']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine strawberries, milk, yogurt, sugar, and vanilla in a blender. Add ice and blend until smooth and creamy.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour into glasses and serve immediately. Enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '160', 'Fat': '1g', 'Carbs': '30g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/20792/b-and-ls-strawberry-smoothie/
Berry Chocolate Protein Smoothie,"This berry chocolate protein smoothie is the perfect early morning breakfast or the perfect fix for when a sweet craving hits. The chocolate is rich, and the berries provide a little tart sweetness with no added sugar.",5 mins,,5 mins,1,"['6 fluid ounces almond milk, such as MALK®', '3 ounces frozen strawberries', '2 ounces frozen blueberries', '1 scoop chocolate protein powder, such as Premier® or Six Star®', 'sugar-free whipped topping (optional)', 'sugar free chocolate chips']","['Add almond milk, strawberries, and blueberries to a high-powered blender, such as a Vitamix®. Blend on High for 45 seconds. Turn blender off; add protein powder. Blend for 15 seconds more.', 'Pour mixture into a glass, top with sugar-free whipped topping and sugar-free chocolate chips.\n\n Cook’s Note\nThe Vitamix is more powerful than a regular blender, such as a ninja. Using a regular blender, you’ll need to blend longer.']","{'Calories': '274', 'Fat': '6g', 'Carbs': '30g', 'Protein': '27g'}",https://www.allrecipes.com/berry-chocolate-protein-smoothie-recipe-11711428
Pineapple Smoothie,"A tropical pineapple smoothie made with fresh frozen pineapple, banana, and canned coconut milk. Using frozen fruit eliminates the need for ice. This smoothie makes 1 large serving or 2 smaller servings.",5 hrs,,5 hrs,2,"['1 1/2 cups cubed pineapple, frozen', '1 banana, sliced and frozen', '1 cup canned coconut milk', '1/2 teaspoon coconut extract', '1/2 teaspoon vanilla extract']","['Combine pineapple, banana, coconut milk, coconut extract, and vanilla in a blender cup; blend until smooth. Serve immediately.\n\n Cook’s Note\nAdd more coconut milk if\xa0smoothie\xa0is on the thick side.']","{'Calories': '343', 'Fat': '24g', 'Carbs': '33g', 'Protein': '4g'}",https://www.allrecipes.com/pineapple-smoothie-recipe-8641509
