title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Creamy Chicken and Mushroom Soup,"This creamy chicken and mushroom soup is a lovely soup that comes together fairly quickly thanks to rotisserie chicken, but tastes like it simmered all day.",15 mins,20 mins,35 mins,8,"['1 tablespoon olive oil', '1 1/2 cups chopped onion', '3/4 cup thinly sliced celery', '3/4 cup thinly sliced carrots', '1 pound sliced baby portobello (cremini) mushrooms', '5 cloves garlic, minced', '1 teaspoon herbes de Provence', '6 cups low-sodium chicken broth', '2 cups shredded rotisserie chicken, white or dark meat, or both', '1/2 teaspoon red pepper flakes (optional)', '3/4 cup heavy cream', '5 ounces fresh spinach, chopped', 'salt and freshly ground black pepper to taste', 'fresh parsley, thyme. or snipped chives for garnish (optional)']","['Heat olive oil in a large saucepan or Dutch oven over medium-high heat.', 'When the oil shimmers, add onion, celery and carrots. Cook, stirring, until onions begin to turn translucent, about 3 minutes.', 'Add mushrooms and cook, stirring frequently until soft, about 3 minutes. Stir in garlic and herbes de Provence and cook until garlic is fragrant, about 30 seconds.', 'Add broth, shredded chicken, and red pepper flakes, and bring to a boil. Cover, reduce heat, and simmer for about 10 minutes.', 'Place cream in a small bowl. Stir in about 2 tablespoons soup broth to warm the cream, then slowly add warmed cream in a slow stream while stirring. Add spinach and simmer until spinach is wilted. Season with salt and pepper.', 'To serve, ladle into serving bowls and garnish with fresh herbs.']","{'Calories': '289', 'Fat': '18g', 'Carbs': '12g', 'Protein': '22g'}",https://www.allrecipes.com/creamy-chicken-and-mushroom-soup-recipe-11710626
High Protein Broccoli Cheddar Soup,"This creamy high protein broccoli Cheddar soup is packed full of veggies and gets its creaminess—and extra protein—from beans and cottage cheese. The soup is partially blended for a nice, thick base.",10 mins,25 mins,45 mins,4,"['2 tablespoons butter', '1 yellow onion, chopped', '1 large carrot, chopped', '1 stalk celery, chopped', '2 cloves garlic, minced', '1 (15.5 ounce) can navy beans, drained', '4 cups chicken broth', '1 1/2 pounds broccoli, chopped', '1 teaspoon paprika', '1 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1 cup full-fat cottage cheese\xa0(small or large curd)', '1 1/2 cups shredded Cheddar cheese']","['Melt butter in a large stockpot over medium heat. Add onion, carrot, and celery. Cook for 8 minutes. Add garlic and cook 2 minutes more. Add beans, broth, broccoli, paprika, salt, and pepper. Simmer for 10 minutes.', 'Turn heat off; ladle about 1 1/2 cups of soup into a blender. Let cool for 10 minutes. This cooling step is important for blending cottage cheese.', 'Add cottage cheese to blender; blend until smooth. Return mixture to the stockpot; turn heat back on to low. Add Cheddar cheese and stir until melted and soup is thickened. Ladle into bowls and serve.']","{'Calories': '528', 'Fat': '24g', 'Carbs': '51g', 'Protein': '31g'}",https://www.allrecipes.com/high-protein-broccoli-cheddar-soup-recipe-11706191
"Easy Chicken, Rice, and Noodle soup","This easy chicken, rice, and noodle soup features fresh mushrooms and rotisserie chicken. With only a few fresh veggies to chop, this is perfect for days when you are short on time in the kitchen.",10 mins,20 mins,30 mins,4,"['2 tablespoons unsalted butter', '1 small onion, chopped', '1 stalk celery, sliced', '6 baby carrots, sliced', '4 ounces white mushrooms, sliced', '8 cups chicken broth', '2 cups shredded cooked rotisserie chicken', '1 (5.6 ounce) packet chicken flavor rice and pasta blend, such as Knorr® Rice Sides']","['Heat butter in a large stockpot over medium-high heat. Add onion, celery, carrots, and mushrooms. Cook until onions are translucent, about 4 minutes.', 'Add broth and chicken. Bring to a boil.', 'Add rice packet, reduce heat, and simmer 8 minutes. Turn heat off and let stand for 8 minutes. Ladle into bowls and serve.']","{'Calories': '481', 'Fat': '26g', 'Carbs': '20g', 'Protein': '43g'}",https://www.allrecipes.com/easy-chicken-rice-and-noodle-soup-recipe-11702264
Chicken Biscuit Stew,"This chicken biscuit stew is a good recipe to use rotisserie chicken. It’s so simple to make, one pot, easy cleanup, and tastes like homemade potpie.",,30 mins,30 mins,4,"['2 tablespoons unsalted butter', '2 tablespoons all-purpose flour', '1 (10.5) ounce can chicken broth', '1/2 cup evaporated milk', '1 1/2 cups cubed cooked chicken breast', '1 (12 ounce) package frozen vegetables', '1/2 cup chopped onion', 'salt and freshly ground black pepper to taste', '1 (6 ounce) can refrigerated buttermilk biscuits']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Melt butter in an ovenproof skillet over medium heat. Sprinkle in flour and whisk continuously to make a roux, 1 to 2 minutes. Gradually add broth and milk whisking until thick, smooth, and bubbly, 4 to 5 minutes.', 'Stir in chicken, frozen vegetables, and onion. Cook for 1 to 2 minutes, then season with salt and pepper. Place biscuits on top of the chicken mixture, lightly pressing each down.', 'Bake in the preheated oven until biscuits are golden brown, 20 to 25 minutes. Check at about 15 minutes, and if biscuits are browning too quickly, cover with a piece of foil. Serve immediately.']","{'Calories': '446', 'Fat': '18g', 'Carbs': '40g', 'Protein': '31g'}",https://www.allrecipes.com/chicken-biscuit-stew-recipe-11700236
Polish Cabbage Roll Soup,"Chef John's cabbage roll soup tastes exactly like Polish-style cabbage rolls, because it has all the same ingredients. This delicious and comforting one-pot soup satisfies the exact same craving, but involves a fraction of the work.",10 mins,50 mins,1 hr,8,"['1/2 cup unsalted butter', '1 yellow onion, diced', '2 1/2 teaspoons kosher salt', '1 pound ground beef', '3 cloves garlic, crushed', '1 teaspoon freshly ground black pepper', '1 pinch cayenne pepper', '1 bay leaf', '2 1/2 cups beef broth, plus more as needed', '3 cups canned crushed or puréed tomatoes', '1 1/2 cups water, plus more as needed', '2 1/2 pounds green cabbage, cut into 1 1/2-inch pieces', '1 cup long grain white rice', '3/4 cup chopped Italian parsley, divided']","['Set a soup pot over medium-high heat and melt butter. Add onion and salt, and cook, stirring, until onions turn soft and translucent, 4 to 5 minutes.', 'Add ground beef and cook, stirring and breaking up large clumps, until meat is browned and broken into small crumbles, about 5 minutes.', 'Season with garlic, black pepper, cayenne, and bay leaf; cook and stir for 1 minute. Pour in beef broth, increase heat to high, and bring to a boil. Stir in cabbage, reduce heat to medium, and cook until cabbage is just tender, 10 to 15 minutes.', 'Pour in tomatoes and water, and continue to simmer, 10 to 15 minutes more. Stir in rice and half the parsley; simmer over medium heat until rice is tender and soup thickens, about 20 minutes. If soup becomes too thick as it simmers, add a little more beef broth and/or water. Season to taste with salt.\n\n \n\n\n\n\n\n \n John Mitzewich']","{'Calories': '358', 'Fat': '22g', 'Carbs': '22g', 'Protein': '21g'}",https://www.allrecipes.com/polish-cabbage-roll-soup-recipe-11699185
Guinness Chili for Two,"This Guinness chili for two, inspired by the Irish draught ale, makes ordinary stew meat spectacular. A turn in the oven thickens the chili and deepens the flavor.",20 mins,1 hr 30 mins,1 hr 50 mins,2,"['1 tablespoon olive oil', '1 slice bacon', '1/4 tsp salt and freshly ground black pepper', '1 1/2 pounds beef stew meat', '1/2 cup all purpose flour', '1/4 medium yellow onion', '1/4 cup cilantro leaves', '2 teaspoons garlic paste', '1/4 cup tomato paste', '2 tablespoons chili powder', '1/8 teaspoon dried oregano', '1 teaspoon ground cumin', '1/8 teaspoon smoked paprika', '1/2 teaspoon ground coriander', '5 fluid ounces Irish stout, such as Guinness® Draught ale', '1 (5-ounce) can tomato sauce', '1 1/2 cups beef broth', '1/4 tsp salt and freshly ground black pepper', 'sliced green onion and cilantro, for garnish']","['Preheat the oven to 325 degrees F (165 degrees C). Add oil to an oven-safe pot and place over medium heat. Add bacon and cook, stirring occasionally, until golden but not yet crispy, about 3 minutes.', 'Season stew cubes with salt and pepper. Place flour in a shallow bowl, and dredge cubes in flour, shaking off excess. Add to the pot and cook in bacon grease, mixing bacon in with beef until beef is browned on all sides. Pour in 1/2 cup beef broth to deglaze the pan and prevent sticking.', 'Add onion and garlic to the pot; cook and stir until onion is just translucent, about 3 minutes. Add tomato paste, chili powder, oregano, cumin, paprika, and coriander. Stir to coat onion and meat with spices.', 'Pour in Guinness; scrape up any bits on the bottom of the pot. Add tomato sauce and remaining beef broth; season with salt and pepper. Stir, then bring to a boil.', 'Transfer to the preheated oven and bake, uncovered, uncovered until chili is thick and meat is tender, 1 1/2 to 2 hours. Stir stew every 30 minutes to prevent scorching; add a small amount of water or broth if stew seems too dry.', 'Garnish each bowl with green onion and cilantro leaves.']","{'Calories': '1014', 'Fat': '37g', 'Carbs': '44g', 'Protein': '122g'}",https://www.allrecipes.com/guinness-chili-for-two-recipe-11692381
Cottage Cheese Tomato Soup,"This cottage cheese tomato soup is creamy and with a high-protein twist—cottage cheese, bone broth, and nutritional yeast add flavor and nutrients to classic tomato soup",5 mins,20 mins,25 mins,2,"['2 Roma tomatoes, quartered', '1 shallot, peeled and quartered', '4 cloves garlic, peeled and halved', '2 teaspoons olive oil, or as needed', 'salt to taste', '1/2 cup cottage cheese', '8.25 fluid ounces bone broth', '2 tablespoons tomato paste', '1 tablespoon fortified nutritional yeast', '1/2 teaspoon Italian seasoning']","['Preheat the oven to 425 degrees F (220 degrees C). Place tomatoes, shallot, and garlic on a baking tray. Spritz with olive oil and sprinkle with salt.', 'Roast in the preheated oven until soft, 20 to 30 minutes.', 'Meanwhile add cottage cheese, bone broth, tomato paste, nutritional yeast, and Italian seasoning into the jar of a blender. Blend until smooth.', 'Remove roasted tomatoes from oven and add to blender. To blend hot soup, cover blender with the lid, and hold lid down tightly with a kitchen towel; blend until smooth. Contents will be hot! Taste and add salt if needed.', 'Pour soup into bowls; serve immediately.']","{'Calories': '193', 'Fat': '8g', 'Carbs': '18g', 'Protein': '16g'}",https://www.allrecipes.com/cottage-cheese-tomato-soup-recipe-11682446
Mushroom Ramen,"In this mushroom ramen, dried shiitake mushrooms season instant ramen broth while they hydrate, and you can toss that seasoning packet. Add a few more ingredients to give body to the broth, and then top with whatever you like best—kimchi, chopped green onions, chili crisp, soft or hard boiled eggs—for even more flavor. Quail eggs are a great size for this, but chicken eggs work, too.",5 mins,30 mins,35 mins,4,"['8 cups water', '2 cups dried shiitake mushrooms', '1 tablespoon white miso paste', '2 teaspoons soy sauce', '2 teaspoons rice wine vinegar', '1 clove garlic, minced', '1/2 teaspoon ginger paste', '2 (3.5-ounce) packages instant ramen noodles, seasoning packets discarded']","['Bring water, mushrooms, miso paste, soy sauce, vinegar, garlic, and ginger to a boil in a large soup pot. Reduce heat to low and simmer for 25 minutes.', 'Add ramen noodles and dunk in the broth until they no longer float to the top. Cook 5 minutes.', 'Ladle into serving bowls and top with your favorite ramen toppings.']","{'Calories': '382', 'Fat': '3g', 'Carbs': '92g', 'Protein': '13g'}",https://www.allrecipes.com/mushroom-ramen-recipe-11681053
Lazy French Onion Soup,"For this lazy French onion soup, onions caramelize in the oven, with only intermittent stirring. Toasted baguette and bubbly broiled Gruyère cheese finish the soup.",15 mins,1 hr 50 mins,2 hrs 5 mins,6,"['3 yellow onions, thinly sliced', '2 tablespoons olive oil', '3\xa0thyme sprigs, plus leaves for garnish', '1/4 cup dry sherry', '6 cups beef broth', '1 tablespoon Worcestershire sauce', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon kosher salt', '1 fresh or dried bay leaf', '2 teaspoons apple cider vinegar', '12 (1/2-inch-thick) slices French bread loaf or other soft baguette, lightly toasted', '8 ounces Gruyère cheese, shredded']","['Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C) with rack in middle position.\n\n \n\n\n\n\n\n \n Robby Lozano / Food Styling: Amanda Hostein / Prop Styling: Keoshia McGhee', 'Combine onions, oil, and thyme sprigs in a heavy-bottomed pot or large Dutch oven.\n\n \n\n\n\n\n\n \n Robby Lozano / Food Styling: Amanda Hostein / Prop Styling: Keoshia McGhee', 'Bake, covered, in the preheated oven, stirring once halfway through, until onions are wilted and lightly browned, about 40 minutes. Uncover and continue cooking, stirring occasionally, until onions are golden brown and caramelized, about 30 minutes more.', 'Remove from oven and stir in sherry. Cook over medium, stirring constantly, scraping up any browned bits from bottom and sides of pot, until liquid has mostly evaporated, about 3 minutes.\n\n \n\n\n\n\n\n \n Robby Lozano / Food Styling: Amanda Hostein / Prop Styling: Keoshia McGhee', 'Stir in broth, Worcestershire, pepper, salt, and bay leaf; bring to a boil over high. Reduce heat to medium-low, and simmer, undisturbed, allowing flavors to meld together, about 15 minutes. Remove from heat and stir in cider vinegar. Discard thyme sprigs and bay leaf.\n\n \n\n\n\n\n\n \n Robby Lozano / Food Styling: Amanda Hostein / Prop Styling: Keoshia McGhee', 'Increase oven temperature to broil. Ladle soup evenly into 6 broiler-proof bowls or crocks, and place bowls on a large rimmed baking sheet. Top each bowl with 2 bread slices and about 1/3 cup Gruyère.\n\n \n\n\n\n\n\n \n Robby Lozano / Food Styling: Amanda Hostein / Prop Styling: Keoshia McGhee', 'Broil until Gruyère is bubbly and bread is browned in places, 3 to 5 minutes. Garnish with thyme leaves and serve immediately.\n\n \n\n\n\n\n\n \n Robby Lozano / Food Styling: Amanda Hostein / Prop Styling: Keoshia McGhee']","{'Calories': '546', 'Fat': '20g', 'Carbs': '70g', 'Protein': '23g'}",https://www.allrecipes.com/lazy-french-onion-soup-8773811
Harissa Butternut Squash Soup,"Warm up with a bowl of harissa butternut squash soup, where sweet, creamy butternut squash meets the bold, smoky heat of harissa.",20 mins,35 mins,55 mins,6,"['1 butternut squash - peeled, seeded, and cubed (about 4 cups)', '1 onion, cut into 8 wedges', '2 cloves garlic, peeled', '2 tablespoons olive oil', '4 cups chicken\xa0broth or vegetable broth', '2 tablespoons harissa paste', '1 teaspoon ground cumin', '1/2 teaspoon smoked paprika', '1 1/2 tablespoons brown sugar', '2/3 cup heavy cream, or as needed', 'salt and freshly ground black pepper to taste']","['Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper. Toss butternut squash, onion, and whole garlic with olive oil. Spread out on the prepared baking sheet.', 'Roast in the preheated oven until tender and slightly caramelized, 25 to 30 minutes.', 'Place cooked vegetables into the jar of a blender. If ingredients are hot, fill blender no more than halfway full, and hold lid down with a potholder. You may have to work in batches. Add broth, harissa paste, cumin, smoked paprika, and brown sugar. Blend until smooth', 'Pour blender contents into a stockpot. Bring to a boil, then reduce heat to a simmer. Cook for 10 minutes to allow the flavors to meld. Stir in heavy cream and season with salt and pepper. Ladle into bowls and serve with a swirl of heavy cream, if desired.']","{'Calories': '231', 'Fat': '16g', 'Carbs': '22g', 'Protein': '4g'}",https://www.allrecipes.com/harissa-butternut-squash-soup-recipe-8781939
