title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Ultimate Lowcountry Shrimp and Grits,"This recipe for the ultimate Lowcountry shrimp and grits is modeled after my mother-in-law’s recipe, for which she won first place in Charleston, SC. It features grits with fresh white sweet corn, topped with a rich tomato gravy and deep fried shrimp, then finished with crumbled bacon.",30 mins,1 hr 10 mins,1 hr 40 mins,6 to 8,"['4 cups water', '1 cup milk or half-and-half', '3 tablespoons butter', '1 1/2 teaspoons kosher salt', '1 1/4 cups stone ground grits', '2 ears white sweet corn', '1/4 teaspoon freshly ground black pepper', '1 1/2 teaspoons olive oil', '6 slices bacon', '1 onion, diced', '4 green onions, divided', '1/2 green bell pepper, diced', '1/2 red bell pepper, diced', '4 ounces okra, thinly sliced', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon garlic powder', '1/4 teaspoon cayenne pepper', '2 cloves garlic', '2 ripe tomatoes, seeded and diced', '1 1/2 tablespoons butter', '2 tablespoons all-purpose flour', '1 (10 ounce) can diced tomatoes with green chiles', '2 cups chicken stock', '1/2 teaspoon white sugar', '2 teaspoons Worcestershire sauce', '1/2 teaspoon hot sauce, or to taste (optional)', '2 cups peanut oil or other vegetable oil for frying', '3 large eggs', '1 1/2 pounds medium shrimp,\xa0peeled and deveined', '2 cups all-purpose flour', '2 teaspoons kosher salt', '1 1/2 teaspoons paprika', '1 teaspoon freshly ground black pepper', '1/2 teaspoon cayenne pepper', '3 green onions, thinly sliced', 'chopped parsley for garnish (optional)']","['Combine water, milk, butter, and salt in a large saucepan and bring just to a boil. Whisk in grits until incorporated. Reduce heat to simmer, cover, and cook until thick, 25 to 30 minutes, stirring often. If mixture gets too thick, add a little more milk or water.', 'Cut kernels off corn cobs, and using the back of the knife, carefully scrape the cob to release the creamy corn milk. Stir corn kernels and corn milk into grits and continue cooking until grits are creamy and tender, 15 to 20 minutes longer, stirring often. Stir in pepper and adjust seasonings if necessary.', 'Meanwhile, heat a large deep skillet or Dutch oven over medium heat. Add olive oil and bacon slices in a single layer, and cook until bacon is crisp, stirring occasionally, about 7 minutes.\xa0 Remove bacon from the skillet, drain on paper towels, and set aside. Crumble bacon once cool enough to handle. Reserve drippings in the skillet and return skillet to medium-high heat.', 'Finely slice green onions and reserve green ends for garnish. Add white parts of green onion, onion, green and red bell peppers, and okra to the skillet and cook until softened and lightly browned, stirring often, about 5 minutes. Add in salt, pepper, garlic powder, and cayenne and cook for 1 minute. Add fresh tomatoes and garlic, and cook for 2 minutes.', 'Add butter to mixture and allow it to melt. Sprinkle flour over skillet and cook, stirring constantly, about 1 minute. Add in tomatoes, with juices, and stock while stirring constantly until smooth. Stir in sugar, Worcestershire, and hot sauce, and return mixture to a simmer. Cook gravy for 10 minutes, stirring occasionally.', 'Heat peanut oil to 350 degrees F (175 degrees C) in a large, deep skillet over medium-high heat. Whisk eggs in a bowl; add shrimp and stir to coat. In a shallow dish, whisk flour, salt, paprika, black pepper, and cayenne pepper.', 'Working a few at a time, remove shrimp from egg, allowing excess to drip off, and lightly coat in flour mixture. Transfer shrimp to a wire rack set inside a rimmed baking sheet. Repeat with remaining shrimp.', 'Working in batches, add shrimp to hot oil and cook, turning occasionally, until lightly browned and crisp, 1 to 2 minutes. Drain on a wire rack set over a paper towel-lined baking sheet.', 'To serve, place grits in the bottom of a shallow bowl. Top with about 1/2 cup of gravy and 6 to 8 shrimp. Top with crumbled bacon, and sprinkle with green onions and parsley if desired.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios\n\n From the Editor:\nNutrition data for this recipe includes the full amount of breading ingredients. The actual amount of breading consumed will vary. We have determined the nutritional value of oil for frying based on a retention value of 10% after cooking. The exact amount will vary depending on cooking time and temperature, ingredient density, and specific type of oil used.']","{'Calories': '695', 'Fat': '28g', 'Carbs': '66g', 'Protein': '45g'}",https://www.allrecipes.com/ultimate-lowcountry-shrimp-and-grits-recipe-8660975
Crawfish Etouffee,"This traditional Cajun stew gets its flavor from what is known as the Trinity–onion, green bell pepper, and celery–and the rich spices used to create Cajun seasoning. It’s similar to gumbo but with a thicker, gravy-type base. Serve over rice to make a complete meal.",10 mins,40 mins,50 mins,6 servings,"['5 tablespoons butter', '5 tablespoons all-purpose flour', '1 yellow onion, chopped', '1 green bell pepper, chopped', '2 stalks celery, chopped', '4 cloves garlic, chopped', '2 tablespoons Cajun seasoning, divided, or to taste', '1 teaspoon cayenne pepper (optional)', '2 cups fish stock', 'salt and ground black pepper to taste', '1 pound cooked crawfish tail meat']","['Melt butter in a Dutch oven over medium heat. Stir in flour to make the roux, and stir continuously until roux is at least the color of peanut butter, about 10 minutes, or for a darker roux, 15 to 20 minutes.', 'Add onions, bell pepper, celery, and garlic; cook and stir for 5 to 7 minutes. Stir in half the Cajun seasoning, cayenne pepper, and stock. Season with salt and ground black pepper. Reduce heat to low and simmer for 15 minutes.', 'Stir in crawfish, turn heat off, and cover. Let stand until crawfish are heated through. Taste and add remaining half of Cajun seasoning, if needed.']","{'Calories': '196', 'Fat': '11g', 'Carbs': '10g', 'Protein': '15g'}",https://www.allrecipes.com/crawfish-etouffee-recipe-7371763
Authentic Louisiana Red Beans and Rice,Authentic Cajun flavor! I grew up in Louisiana and love red beans and rice; these are just like I remember. Serve with hot sauce for a little kick. My family loved to splash a little cider vinegar in each bowl.,25 mins,3 hrs 5 mins,11 hrs 30 mins,8,"['1 pound dry kidney beans', '¼ cup olive oil', '1 large onion, chopped', '1  green bell pepper, chopped', '2 stalks celery, chopped', '2 tablespoons minced garlic', '6 cups water', '2  bay leaves', '1 tablespoon dried parsley', '1 teaspoon dried thyme', '1 teaspoon Cajun seasoning', '½ teaspoon cayenne pepper', '¼ teaspoon dried sage', '1 pound andouille sausage, sliced', '4 cups water', '2 cups long grain white rice']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studio', 'Rinse beans, and then soak in a large pot of water overnight.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studio', 'Heat oil in a skillet over medium heat. Cook onion, bell pepper, celery, and garlic in olive oil for 3 to 4 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studio', 'Rinse beans, and transfer to a large pot with 6 cups water. Stir cooked vegetables into beans. Season with bay leaves, parsley, thyme, Cajun seasoning, cayenne pepper, and sage. Bring to a boil, and then reduce heat to medium-low. Simmer for 2 1/2 hours.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studio', 'Stir sausage into beans, and continue to simmer for 30 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studio', 'Meanwhile, prepare the rice. Bring water and rice to a boil in a saucepan. Reduce heat, cover, and simmer for 20 minutes. Serve beans over steamed white rice.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '630', 'Fat': '24g', 'Carbs': '79g', 'Protein': '24g'}",https://www.allrecipes.com/recipe/58211/authentic-louisiana-red-beans-and-rice/
Chef John's Buttermilk Fried Chicken,"Buttermilk fried chicken that's incredibly tender, thanks to tangy buttermilk. After the buttermilk soak, dredge the chicken pieces in seasoned flour and fry them in hot oil until crisp and golden.",15 mins,25 mins,6 hrs 50 mins,4,"['1 (3 1/2) pound chicken, cut into 8 pieces', '1 teaspoon black pepper', '1 teaspoon salt', '1 teaspoon paprika', '½ teaspoon white pepper', '¼ teaspoon dried rosemary', '¼ teaspoon ground thyme', '¼ teaspoon dried oregano', '¼ teaspoon dried sage', '¼ teaspoon cayenne pepper', '2 cups buttermilk', '2 cups flour', '1 teaspoon salt', '½ teaspoon paprika', '½ teaspoon cayenne pepper', '½ teaspoon garlic powder', '½ teaspoon white pepper', '½ teaspoon onion powder', '2 ½ quarts peanut oil for frying']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Toss chicken pieces, black pepper, salt, paprika, white pepper, rosemary, thyme, oregano, sage, and cayenne together in a large bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in buttermilk until chicken is evenly coated. Cover and refrigerate for 6 hours.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine flour, salt, paprika, cayenne, garlic powder, white pepper, and onion powder in a large shallow dish.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove chicken from buttermilk and dredge each piece in seasoned flour; shake off any excess and transfer to a plate.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat peanut oil in a large Dutch oven to 350 degrees F (175 degrees C).', 'Add chicken pieces to the hot oil and fry for 10 minutes. Turn chicken pieces and fry for another 10 to 15 minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer fried chicken to a cooling rack set over a paper towel-lined baking sheet. Let sit for 10 minutes before serving.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '1262', 'Fat': '85g', 'Carbs': '56g', 'Protein': '66g'}",https://www.allrecipes.com/recipe/220128/chef-johns-buttermilk-fried-chicken/
Southern Fried Catfish,This fried catfish recipe is a classic Southern dish traditionally served with buttermilk hush puppies and buttermilk coleslaw.,20 mins,10 mins,30 mins,2,"['½ cup buttermilk', '½ cup water', 'salt and pepper, to taste', '1 pound catfish fillets, cut in strips', '1 ½ cups fine cornmeal', '½ cup all-purpose flour', '1 teaspoon seafood seasoning, such as Old Bay™', '1 quart vegetable oil for deep frying']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Mix buttermilk, water, salt, and pepper in a small bowl. Pour mixture into a flat pan large enough to hold fillets.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Arrange fillets in a single layer in the pan, turning to coat each side. Set aside to marinate.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine cornmeal, flour, and seafood seasoning in a 2-gallon resealable plastic bag.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add fillets to the bag, a few at a time, and tumble gently until evenly coated.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a deep fryer to 365 degrees F (185 degrees C). Fry fillets in hot oil until crisp and golden brown, about 3 minutes. Work in batches to avoid overcrowding, so fillets have room to brown properly.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drain on paper towels.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '1427', 'Fat': '79g', 'Carbs': '132g', 'Protein': '46g'}",https://www.allrecipes.com/recipe/140930/southern-fried-catfish/
The Best Chicken Fried Steak,"This chicken fried steak recipe is one I received from a co-worker about 5 years ago. A Southern favorite, these crispy, breaded, tenderized cube steaks drenched in creamy gravy can be served for breakfast or dinner. It's by far the best chicken fried steak I've ever had. I've made this numerous times for my picky son and my Southern-raised better half, as well as for other family and friends and each time, I get nothing but rave reviews.",20 mins,20 mins,40 mins,4,"['4 (½ pound) beef cube steaks', '2 ¼ cups all-purpose flour, divided', '2 teaspoons baking powder', '1 teaspoon baking soda', '1 teaspoon black pepper', '¾ teaspoon salt', '1 ½ cups buttermilk', '1 tablespoon hot pepper sauce (e.g. Tabasco™)', '1 large egg', '2 cloves garlic, minced', '3 cups vegetable shortening for frying', '4 cups milk', 'kosher salt and ground black pepper to taste']","['Place steaks between 2 layers of plastic and pound to a thickness of 1/4 inch.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place 2 cups flour in a shallow bowl.', 'Stir together baking powder, baking soda 1 teaspoon pepper, and 3/4 teaspoon salt in second shallow bowl. Add buttermilk, Tabasco sauce, egg, and garlic; stir to combine.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat shortening in a deep cast-iron skillet to 325 degrees F (165 degrees C). Place a wire rack over a sheet of parchment paper.', 'While the shortening is heating, dredge a steak in flour to coat; shake off excess. Dip into buttermilk batter; lift up so excess batter drips back into the bowl. Press in flour again to coat both sides completely. Place breaded steak on the wire rack and repeat to bread remaining steaks.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Fry steaks, in batches if necessary, until evenly golden brown, 3 to 5 minutes per side. Remove steaks to a paper towel-lined plate to drain. Cover with foil to keep warm while you make the gravy.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drain fat from the skillet, reserving 1/4 cup of the liquid and as much of the solid remnants as possible.', 'Return the skillet to medium-low heat; add the reserved oil. Whisk the remaining 1/4 cup flour into the oil. Scrape the bottom of the pan with a spatula to release solids into the gravy.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in milk, increase the heat to medium, and bring the gravy to a simmer. Cook, stirring often, until thick, 6 to 7 minutes. Season with kosher salt and pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer steaks to a platter and pour gravy over top.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '832', 'Fat': '29g', 'Carbs': '71g', 'Protein': '68g'}",https://www.allrecipes.com/recipe/150306/the-best-chicken-fried-steak/
Dave's Low Country Boil,"Low country boil is famous in Georgia and South Carolina. This boil is done best on an outdoor cooker. It has sausage, shrimp, crab, potatoes, and corn for an all-in-one-pot, all-you-can-eat buffet! Grab a paper plate and a beer and enjoy!",30 mins,30 mins,1 hr,15,"['1 tablespoon seafood seasoning (such as Old Bay), or to taste', '5 pounds new potatoes', '3 (16 ounce) packages cooked kielbasa sausage, cut into 1 inch pieces', '8 ears  fresh corn, husks and silks removed', '5 pounds whole crab, broken into pieces', '4 pounds fresh shrimp, peeled and deveined']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat a large pot of water over an outdoor cooker, or on the stovetop over medium-high heat. Add seafood seasoning to taste and bring to a boil.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add potatoes and sausage and cook for 10 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Break corn ears in half; add corn and crab and cook for another 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add shrimp when potatoes are almost tender and everything else is almost done; cook until shrimp are just cooked through, 3 to 4 minutes longer.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Drain off and discard the water. Pour the contents out onto a picnic table covered with newspaper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '722', 'Fat': '29g', 'Carbs': '46g', 'Protein': '68g'}",https://www.allrecipes.com/recipe/44033/daves-low-country-boil/
Deep-Fried Turkey,This is an awesome deep-fried turkey recipe made with Creole seasoning. The meat is crispy on the outside and super juicy on the inside — even the white meat! We use a 26-quart aluminum pot with a drain basket.,30 mins,45 mins,1 hr 25 mins,16,"['3 gallons peanut oil for frying, or as needed', '1 (12 pound) whole turkey, neck and giblets removed', '¼ cup Creole seasoning', '1 medium white onion']","[""Gather the ingredients. Fill a turkey fryer or large stockpot with enough oil to fry turkey; be sure to leave room for turkey so oil doesn't spill over. Heat oil to 400 degrees F (200 degrees C). Layer a large platter with food-safe paper bags.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios"", 'Rinse turkey and thoroughly pat dry with paper towels. Rub seasoning inside the cavity and all over the outer surfaces. Make sure the hole at the neck is open at least 2 inches so oil can flow freely into the cavity.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Turn off the heat source. Place whole onion into the drain basket followed by turkey, neck-end first. Slowly lower the basket into the fryer until turkey is completely submerged in oil. Turn on the heat source and cook, maintaining oil temperature at 350 degrees F (175 degrees C) until no longer pink at the bone and the juices run clear, about 45 minutes, or 3 1/2 minutes per pound.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Carefully remove the basket from the fryer and drain turkey. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read at least 165 degrees F (74 degrees C) but no more than 180 degrees F (80 degrees C). Transfer turkey to the prepared platter to finish draining, 10 to 15 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve warm and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '603', 'Fat': '34g', 'Carbs': '2g', 'Protein': '69g'}",https://www.allrecipes.com/recipe/13824/deep-fried-turkey/
Old Charleston-Style Shrimp and Grits,"This is a great shrimp and grits recipe that you're sure to love! The grits are soft, creamy, and comforting, and the shrimp sauce with bacon, sausage, and bell peppers is hearty and delicious.",30 mins,45 mins,1 hr 15 mins,8,"['3 cups water', '2 teaspoons salt', '1 cup coarsely ground grits', '2 cups half-and-half', '2 pounds uncooked shrimp, peeled and deveined', 'salt to taste', '1 pinch cayenne pepper, or to taste', '1 medium lemon, juiced', '1 pound andouille sausage, cut into 1/4-inch slices', '5 slices bacon', '1 medium green bell pepper, chopped', '1 medium red bell pepper, chopped', '1 medium yellow bell pepper, chopped', '1 cup chopped onion', '1 teaspoon minced garlic', '¼ cup butter', '¼ cup all-purpose flour', '1 cup chicken broth', '1 tablespoon Worcestershire sauce', '1 cup shredded sharp Cheddar cheese']","['Bring water and 2 teaspoons salt to a boil in a heavy saucepan over medium-high heat.', 'Whisk grits into the boiling water, and then whisk in half-and-half. Reduce heat to medium-low and simmer, stirring occasionally, until grits are thickened and tender, 15 to 20 minutes. Set aside and keep warm.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Season shrimp with salt and cayenne pepper. Add lemon juice, toss to combine, and set aside to marinate.', 'Place sausage slices in a large skillet over medium-high heat. Cook, stirring occasionally, until browned, 5 to 8 minutes. Remove sausage from the skillet.', 'Add bacon to the same skillet. Cook over medium-high heat until evenly browned, about 5 minutes per side. Transfer bacon to paper towels to drain, then chop or crumble when cool enough to handle. Leave bacon drippings in the skillet.', 'Add bell peppers, onion, and garlic to the bacon drippings; cook and stir until onion is translucent, about 8 minutes.', 'Stir cooked sausage and marinated shrimp into the skillet with the cooked vegetables. Turn off the heat and set aside.', 'Melt butter in a small saucepan over medium heat. Whisk in flour, stirring to create a smooth roux. Turn heat to low and cook, stirring constantly, until mixture is golden brown in color, 8 to 10 minutes. Watch carefully, mixture burns easily.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour the roux over the sausage, shrimp, and vegetables.', 'Place the skillet over medium heat, add chicken broth, bacon, and Worcestershire sauce, and stir to combine. Cook until sauce thickens up and shrimp turn opaque and bright pink, about 8 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Just before serving, mix Cheddar cheese into grits; stir until cheese is melted and grits are creamy and light yellow.', 'Spoon grits onto plates and serve shrimp mixture over top.']","{'Calories': '618', 'Fat': '44g', 'Carbs': '16g', 'Protein': '39g'}",https://www.allrecipes.com/recipe/220895/old-charleston-style-shrimp-and-grits/
Southern Fried Chicken Livers,"Mom made us fried chicken livers because they were cheap, and now the convenience stores sell them in the South! Use a fry screen — these things can pop and will burn you! Serve with pepper gravy or a packet of chicken gravy.",15 mins,15 mins,30 mins,4,"['1 pound chicken livers', '1  egg', '½ cup milk', '1 cup all-purpose flour', '1 tablespoon garlic powder', 'salt and pepper to taste', '1 quart vegetable oil for frying']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place chicken livers in a colander; rinse with cold water and drain well. Blot dry with paper towels.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk egg and milk together in a shallow dish until blended.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place flour, garlic powder, salt, and pepper into a zip-top bag; shake to combine. Heat oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Dip chicken livers in egg mixture to coat, then transfer, one at a time, into flour mixture, shaking the bag to coat completely.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Gently place coated livers, a few at a time, into hot oil; cover with a splatter screen and cook until crisp and golden brown, 5 to 6 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve with your choice of dip. Enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '470', 'Fat': '29g', 'Carbs': '28g', 'Protein': '24g'}",https://www.allrecipes.com/recipe/200036/southern-fried-chicken-livers/
