title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Quick Tofu Stir Fry,"This tofu stir fry is super quick to make with firm tofu, frozen vegetables, and Chinese black bean sauce to create a delicious vegan dish. Serve stir-fried tofu over rice or noodles for a complete meal.",10 mins,15 mins,25 mins,4,"['1 tablespoon peanut oil', '8 ounces extra-firm tofu, drained and cubed', '2  spring onions, sliced', '1 (16 ounce) bag frozen stir-fry vegetables', '½ cup black bean sauce', '¼ cup vegetable broth']","['Heat peanut oil in a wok over medium-high heat. Crumble the drained tofu and stir-fry until crispy, about 5 minutes. Remove tofu with a slotted spoon and drain on a paper towel.', 'Add spring onions and frozen vegetables. Stir-fry until crisp and heated throughout, about 5 minutes. Remove from wok and add to the tofu.', 'Pour black bean sauce and vegetable broth into the wok. Stir together and cook until sauce is hot and has thickened, 3 to 5 minutes. Return tofu and vegetables to the wok; toss well to coat. Serve hot.']","{'Calories': '150', 'Fat': '8g', 'Carbs': '14g', 'Protein': '8g'}",https://www.allrecipes.com/recipe/280800/quick-tofu-stir-fry/
Turmeric Black Pepper Chicken with Broccoli,"This turmeric black pepper chicken with broccoli is peppery and sweet, a bright yellow color—a quick stir-fry you can make easily on a weeknight. Serve over rice or in lettuce wraps.",15 mins,10 mins,25 mins,5,"['1/4 cup water', '2 tablespoons honey', '3/4 teaspoon freshly ground black pepper', '2 tablespoons all-purpose flour', '1 1/2 teaspoons ground turmeric', '1 teaspoon salt', '1 pound skinless, boneless chicken thighs, cut into bite-sized pieces', '1 tablespoon vegetable oil', '1/2 pound broccoli, cut into small florets', '1 (5 ounce) can water chestnuts, drained', '1 teaspoon rice vinegar']","['Whisk water, honey, and pepper together in a small bowl. Set aside.', 'Whisk flour, turmeric, and salt together in a separate bowl. Add chicken pieces and toss to coat.', 'Heat oil in a wok over medium-high heat. Add chicken and cook for 4 minutes, stirring frequently. Add broccoli and water chestnuts. Cook for 3 minutes, stirring frequently.', 'Stir in honey mixture. Cook until sauce has thickened, 3 to 4 minutes. Turn heat off and stir in vinegar. Serve over rice or in lettuce wraps.']","{'Calories': '257', 'Fat': '10g', 'Carbs': '20g', 'Protein': '24g'}",https://www.allrecipes.com/turmeric-black-pepper-chicken-with-broccoli-recipe-8750707
Shrimp Stir-Fry With Snap Peas and Baby Corn,"This shrimp stir-fry with snap peas and baby corn is a little sweet, with a little bit of heat, and is on the dinner table in a matter of minutes. Feel free to substitute sliced water chestnuts for baby corn. Egg rolls on the side are always a plus.",10 mins,10 mins,20 mins,6,"['1/4 cup soy sauce', '2 tablespoons honey', '2 tablespoons lemon juice', '1 tablespoon cornstarch', '1 clove garlic, minced', '1 teaspoon hoisin sauce', '1/4 teaspoon crushed red pepper flakes', '1 tablespoon sesame oil', '1 (15 ounce) can baby corn, drained', '8 ounces snap peas', '1 (6 1/2 ounce) can sliced mushrooms, drained', '1 pound large raw shrimp, peeled and deveined']","['Whisk soy sauce, honey, lemon juice, cornstarch, garlic, Hoisin, and red pepper flakes in a bowl. Set aside.', 'Heat sesame oil in a wok over medium-high heat. Add corn, snap peas, and mushrooms. Stir-fry for 4 minutes. Add shrimp and stir-fry 2 minutes more.', 'Stir in reserved sauce and cook until shrimp is opaque, about 2 minutes more. Serve over rice.']","{'Calories': '150', 'Fat': '4g', 'Carbs': '17g', 'Protein': '14g'}",https://www.allrecipes.com/shrimp-stir-fry-with-snap-peas-and-baby-corn-recipe-8753997
Easy Chinese Fried Noodles,"These stir fried noodles with ramen and veggies are a quick, easy, and delicious recipe that all will enjoy. Try adding cooked, cubed pork, chicken, or any of your favorite vegetables to this versatile recipe.",15 mins,25 mins,40 mins,6,"['2 (3 ounce) packages soy sauce-flavored ramen noodles with seasoning packets', '2 tablespoons vegetable oil, divided', '3 large eggs, beaten', '2 teaspoons vegetable oil, divided', '4  green onions, thinly sliced', '1 small carrot, peeled and grated', '½ cup green peas', '¼ cup red bell pepper, minced', '2 tablespoons sesame oil', '1 teaspoon sesame oil, or to taste', '1 teaspoon soy sauce, or to taste']","['Gather all ingredients.', 'Bring a medium pot of water to a boil. Cook ramen noodles, reserving seasoning packets, in boiling water until softened, about 3 minutes. Drain noodles and set aside.', 'Heat 1 tablespoon vegetable oil in a small skillet. Cook and stir beaten eggs in hot oil until scrambled and firm. Set aside.', 'Heat 1 teaspoon vegetable oil in a large skillet or wok over medium heat. Add green onions into hot oil and stir fry until softened, 2 to 3 minutes. Remove green onions to a plate; set aside.', 'Heat remaining 1 teaspoon vegetable oil in the same wok or skillet over medium heat. Add carrots, peas, and bell pepper separately; stir frying until softened, removing each to the plate with green onions when done.', 'Combine 2 tablespoons sesame oil with remaining 1 tablespoon vegetable oil in the same skillet or a wok over medium heat. Stir fry cooked noodles in hot sesame-vegetable oil, tossing frequently, until golden, 3 to 5 minutes. Season with desired amounts of sesame oil, soy sauce, and reserved ramen seasoning packets; toss to coat.', 'Stir in cooked vegetables, tossing frequently, until heated through, about 5 more minutes.']","{'Calories': '161', 'Fat': '13g', 'Carbs': '7g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/34668/chinese-fried-noodles/
Caramel-Apple Tofu and Noodle Stir-Fry,"It’s a disservice to only drizzle in rich, buttery caramel sauce during the dessert course. The ice cream topping teams up with soy sauce, peanut butter, and chili paste in this stir-fried main.",10 mins,20 mins,30 mins,4,"['8 ounces linguine or fettuccine pasta', '1/4 cup caramel ice cream topping', '1/4 cup less-sodium soy sauce', '2 tablespoons peanut butter', '1 tablespoon rice vinegar', '2 teaspoons Asian-style chili paste (sambal oelek) (such as Huy Fong)', '1 teaspoon toasted sesame oil', '1 tablespoon vegetable oil, or more as needed', '1 (14-to 16-ounce) package firm tofu, cubed and patted dry', '1 small onion, cut into thin wedges', '2 cloves garlic, minced', '1 cup coarsely shredded red cabbage', '1 carrot, cut into matchsticks', '1 apple, cut into matchsticks', 'chopped peanuts, for garnish', 'fresh cilantro, for garnish', '4 lime wedges, for serving']","['Bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite, about 11 minutes. Drain.', 'Meanwhile, for sauce, whisk together caramel topping, soy sauce, peanut butter, vinegar, chili paste, and toasted sesame oil in a small bowl.', 'Heat 1 tablespoon vegetable oil in a very large skillet over medium-high heat. Cook tofu, stirring frequently, until browned on all sides, about 8 minutes. Remove from skillet.', 'If needed, add more vegetable oil to the skillet. Cook onion and garlic, stirring frequently, until softened, about 3 minutes. Add cabbage and carrot; cook, stirring frequently, until nearly tender, 3 to 4 minutes.', 'Add tofu, sauce, and apple to skillet; cook, stirring frequently, until apple starts to soften, 1 to 2 minutes. Add pasta; toss and cook until heated through, 1 to 2 minutes. Garnish with peanuts and cilantro. Serve with lime wedges.']","{'Calories': '399', 'Fat': '16g', 'Carbs': '54g', 'Protein': '19g'}",https://www.allrecipes.com/caramel-apple-tofu-and-noodle-stir-fry-recipe-8745592
Shiitake Mushroom Stir Fry,"In this shiitake mushroom stir fry, mushrooms, bell peppers, onion, and zucchini are glazed with a delicious sweet-salty soy-chili sauce. Add a protein if you like, and serve over rice.",15 mins,20 mins,35 mins,4,"['2 tablespoons low-sodium soy sauce', '1 1/2 teaspoons oyster sauce', '1 tablespoon rice vinegar', '1 tablespoon sweet Thai chili sauce', '1 tablespoon maple syrup', '1/8 teaspoon red chili pepper flakes', '6 ounces shiitake mushrooms, thinly sliced', '1 tablespoon low-sodium soy sauce', '2 tablespoons cornstarch', '2 tablespoons sesame oil, divided', '2 cloves garlic, minced', '1/2 cup chopped onion', '1 orange bell pepper, chopped', '1/2 cup chopped zucchini']","['Combine soy sauce, oyster sauce, rice vinegar, sweet Thai chili sauce, maple syrup, and red pepper chili flakes in a small bowl. Stir until smooth and set aside.', 'Add mushrooms to a bowl, drizzle with 1 tablespoon soy sauce, and toss until coated. Sprinkle cornstarch over mushrooms and toss until completely coated.', 'Heat 1 tablespoon sesame oil in a wok or large skillet over medium-high heat. Add mushrooms; cook until golden brown, about 5 minutes per side. Transfer mushrooms into a dish; set aside.', 'Heat remaining 1 tablespoon sesame oil in the same wok or skillet over medium-high heat. Add onions, orange peppers, and zucchini, and cook until softened, about 5 minutes. Stir sauce into pan and cook until thickened, about 3 minutes. Add mushrooms back into stir fry; toss to coat.']","{'Calories': '143', 'Fat': '7g', 'Carbs': '18g', 'Protein': '3g'}",https://www.allrecipes.com/shiitake-mushroom-stir-fry-recipe-8722745
Ramen Vegetable Stir Fry,This ramen vegetable stir fry combines fresh veggies and ramen in a simple lime-chili sauce. Add in extra veggies or even tofu to make this a more hearty meal.,15 mins,10 mins,25 mins,4,"['1/2 cup low-sodium soy sauce', '2 tablespoons lime juice', '2 tablespoons sweet Thai chili sauce', '1 tablespoon maple syrup', '1/4 teaspoon ground ginger', '1/8 teaspoon red pepper flakes', '6 ounces ramen noodles (2 packages), flavor packets disgarded', '2 tablespoons sesame oil', '2 cloves garlic, minced', '1/2 cup chopped onion', '1/2 cup chopped red pepper', '2 1/2 cups broccoli florets', '4 ounces sugar snap peas']","['Combine soy sauce, lime juice, Thai chili sauce, maple syrup, ginger, and red pepper flakes in a small bowl. Stir until smooth; set aside.', 'Bring 4 cups of water to a boil in a pot. Discard flavor packet. Add ramen noodles to boiling water; cook until noodles are tender, 4 to 5 minutes. Drain noodles and set aside.', 'Heat sesame oil in a skillet over medium-high heat. Add garlic, onions, red peppers, broccoli, and sugar snap peas, and cook and stir until softened, about 5 minutes. Reduce heat to low; stir in sauce, and cook until thickened, about 3 minutes. Add in ramen noodles and serve warm.']","{'Calories': '196', 'Fat': '9g', 'Carbs': '25g', 'Protein': '8g'}",https://www.allrecipes.com/ramen-vegetable-stir-fry-recipe-8735776
Ground Turkey and Vegetable Stir Fry,"This ground turkey and vegetable stir fry is colorful, saucy, and tasty. Once you start cooking, it goes very quickly, so be sure to have everything ready to go. It’s especially good over steamed rice or cauliflower rice.",20 mins,15 mins,35 mins,4,"['1 1/2 cups chicken stock', '1/2 cup white wine or sherry', '1/4 cup rice vinegar', '2 teaspoons sesame oil', '1/2 cup soy sauce, or to taste', '2 teaspoons white sugar', '3 tablespoons cornstarch', '1 pound ground turkey', '1/2 teaspoon granulated garlic', '1/2 teaspoon ground ginger', '1/4 teaspoon white pepper', '1 pinch salt', '2 tablespoons cooking oil of choice', '1 cup vertically sliced onion', '3/4 cup sliced celery', '1 cup matchstick-cut carrots', '1/2 cup 1-inch diced red bell pepper', '2 cups shredded cabbage', '1 cup trimmed snow peas', '2 cups broccoli florets', '3/4 cup frozen French sliced\xa0green beans, thawed', '2 tablespoons minced garlic', '1 (1 inch) piece fresh ginger, peeled and minced', 'sesame seeds for garnish (optional)', '1 sliced green onion for garnish (optional)']","['To make the stir fry sauce, combine chicken stock, white wine or sherry, rice vinegar, sesame oil, soy sauce, white sugar, and cornstarch in a medium mixing bowl. Use a whisk to stir until the cornstarch is dissolved and there are no lumps. Set aside.', 'In a large skillet or wok, over medium high heat, combine turkey with granulated garlic, ground ginger, white pepper, and a pinch of salt, stirring and breaking up turkey until cooked through, 3 to 5 minutes.', 'Remove turkey from pan and keep warm. Wipe the pan clean, and heat cooking oil until very hot.', 'Add onions, celery, julienne carrots and red bell pepper pieces and cook, stirring continuously, about 1 minute.', 'Add shredded cabbage, snow peas, broccoli florets, and green beans and cook, stirring continuously, about 3 minutes. Add garlic and ginger and cook, stirring, about 1 minute.', 'Add cooked turkey back to the pan. Give the stir fry sauce a final whisk, and pour in the pan, stirring continuously, until the sauce thickens and comes to a boil.', 'Remove from heat and garnish with sesame seeds and sliced green onions, if desired.']","{'Calories': '608', 'Fat': '31g', 'Carbs': '41g', 'Protein': '40g'}",https://www.allrecipes.com/ground-turkey-and-vegetable-stir-fry-recipe-8708979
Shrimp Ramen Stir Fry,"This shrimp ramen stir fry, loaded with vegetables and made with a delicious sauce instead of the seasoning packet, is a budget-friendly meal for one.",10 mins,15 mins,25 mins,1,"['3 tablespoons soy sauce', '1 teaspoon oyster sauce', '1 teaspoon sesame oil', '1 teaspoon rice vinegar', '1 teaspoon chili crisp, or more to taste', '2 cloves garlic, minced', '2 teaspoons grapeseed oil', '1 teaspoon sesame oil', '1/2 cup chopped broccoli florets', '1/2 cup chopped carrots', '1/4 cup chopped red bell pepper', '1/4 cup chopped onion', '2 cloves garlic, minced', '1/4 pound shrimp, peeled and deveined', '1 (3 ounce) package ramen noodles', '1 pinch black and white sesame seeds', 'sliced green onions for garnish']","['For sauce, add soy sauce, oyster sauce, sesame oil, rice vinegar, chili crisp, and garlic to a small bowl. Heat grapeseed oil in a small saucepan. Carefully pour heated oil into the bowl; set sauce aside.', 'Heat remaining 1 teaspoon sesame oil in a wok or heavy skillet. Add broccoli, carrots, bell pepper, and onion. Sauté until vegetables are crisp-tender, about 3 minutes. Add garlic and stir until fragrant, about 35 seconds. Pour in sauce, and add shrimp. Cook for approximately 2 minutes.', 'Meanwhile, open ramen package; discard seasoning packet. Bring 2½ cups water to a boil in a small saucepan. Add noodles and cook for 2 minutes. Drain; stir noodles into the wok; toss to coat. Garnish with black and white sesame seeds, and chopped green onion.\n\n Cook’s Note\nThis is meant to serve 1, but the portion is substantial and it could serve 2 with lighter appetites.']","{'Calories': '649', 'Fat': '33g', 'Carbs': '53g', 'Protein': '38g'}",https://www.allrecipes.com/shrimp-ramen-stir-fry-recipe-8733280
Ground Turkey Teriyaki Stir-Fry,"Begin this ground turkey stir-fry by making an easy teriyaki stir-fry sauce, then use frozen vegetables and pre-cooked rice to have dinner ready in no time.",15 mins,10 mins,25 mins,5,"['1/3 cup soy sauce', '1/4 cup mirin', '1/4 cup sake', '3 cloves garlic\xa0minced', '1 teaspoon grated fresh ginger', '2 tablespoons brown sugar', '1 teaspoon cornstarch', '2 teaspoons oil', '1 pound ground turkey', '1 small onion, diced', '2 cups frozen stir fry vegetables, or more to taste', '2 1/2 cups cooked jasmine rice', '1 teaspoon toasted sesame seeds, or as needed', '1/4 cup sliced green onion, or as needed']","['Stir soy sauce, mirin, sake, garlic, ginger, brown sugar, and cornstarch together in a small bowl; set aside.', 'Place a skillet over medium high heat. Add oil. Add ground turkey. Allow turkey to brown for 3 to 5 minutes before starting to crumble and break up with a spatula. Add in onions and stir fry vegetables. Cover and cook for 3 minutes.', ""Uncover and add the teriyaki sauce. Cook and stir until sauce thickens, about 3 minutes. Spoon over rice. Sprinkle sesame seeds and chopped green onions on top.\n\n Cook’s Note\nThis teriyaki is also good made with udon noodles. Stir cooked udon noodles directly into the sauce in Step 3, just until reheated, about 1 minute.You can of course use fresh vegetables instead of frozen.\n\n\n\n From the Editor\nHere's all you need to know about how to cook jasmine rice.""]","{'Calories': '445', 'Fat': '23g', 'Carbs': '29g', 'Protein': '28g'}",https://www.allrecipes.com/ground-turkey-teriyaki-stir-fry-recipe-8705245
