title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Our Most Saved Taco Recipe of All Time,We're making this on repeat no matter what time of year it is.,,,,,[],[],,https://www.allrecipes.com/our-most-saved-taco-recipe-of-all-time-8639608
Smash Burger Taco,"If you're a smash burger fan, try serving them as a taco with cheese and all the fixings for a different take!",10 mins,10 mins,20 mins,4,"['1/4 cup mayonnaise', '1 tablespoon ketchup', '1 teaspoon mustard', '1 tablespoon relish', '1/2 teaspoon hot sauce', '1 lb ground round', '1 teaspoon Kosher salt', '1/2 teaspoon freshly ground black pepper', '4 (6-inch) flour tortillas', '2 slices American cheese, cut in half lengthwise', '1 cup shredded iceberg lettuce', '1/4 cup diced onion']","['Combine mayo, ketchup, mustard, relish, and hot sauce in a small bowl; set sauce aside.', 'Heat a griddle over medium-high heat.', 'Divide beef into 4 loose portions and place them in mounds on the hot griddle.\xa0Season evenly with salt and pepper and cook for 2 minutes.\xa0Place a tortilla on top of each beef portion and press down to flatten the beef into the shape and size of the tortilla.', 'Cook until tortilla is golden-brown, 2 to 3 more minutes. Flip each patty over and top with cheese.\xa0When cheese has melted and the tortilla has lightly browned, top with lettuce and onions. Drizzle with sauce, remove from the griddle and fold in half like a taco.\xa0Serve immediately.\xa0\n\n \n\n\n\n\n\n \n fabeveryday']","{'Calories': '508', 'Fat': '34g', 'Carbs': '13g', 'Protein': '37g'}",https://www.allrecipes.com/smash-burger-taco-recipe-7485747
Phenomenal Pork Tacos,"These pork tacos are truly delicious! They're quick to make with ground pork, Mexican seasoning, and poblano pepper and so tasty served with lime crema and homemade fruity salsa.",30 mins,10 mins,40 mins,6,"['1  red onion, halved and thinly sliced', '1  Roma tomato, seeded and finely chopped', '1  ripe kiwi, diced', '1  lime, quartered, divided', '2 tablespoons chopped cilantro, divided', 'salt and ground black pepper to taste', '4 tablespoons sour cream', 'olive oil', '1  poblano pepper - cored, seeded, and finely chopped', '10 ounces ground pork', '1 tablespoon Mexican seasoning', '2 tablespoons chicken stock', '1 tablespoon tomato paste', '6  flour tortillas']","['Mince a few slices of onion to get 1 tablespoon. Add minced onion, tomato, kiwi, juice from 2 lime wedges, 3/4 of the cilantro, salt, and pepper to a small bowl. Mix into a salsa.', 'Juice 1/4 of the lime into another small bowl; mix in sour cream to make the crema.', 'Heat olive oil in a large pan over medium-high heat. Add sliced onion and poblano pepper. Cook, tossing occasionally, until softened and lightly charred, 3 to 4 minutes. Add pork and Mexican seasoning. Cook until pork is browned throughout, 4 to 5 minutes. Reduce heat to medium-low. Add chicken stock, tomato paste, salt, and pepper. Cook and stir until everything is coated, 1 to 2 minutes.', 'Wrap tortillas in a damp cloth and microwave for 30 seconds. Divide tortillas over plates; spread lime crema on top. Top tortillas with pork mixture and salsa. Garnish with remaining cilantro.']","{'Calories': '392', 'Fat': '17g', 'Carbs': '45g', 'Protein': '15g'}",https://www.allrecipes.com/recipe/269743/poblano-and-ground-pork-tacos/
Shrimp Tacos with Cilantro-Lime Crema,"These sensational shrimp tacos with spicy seasoned shrimp, zesty lime crema, avocado, and cilantro are easy to make and so delicious. Everyone enjoys these tacos when I make them.",45 mins,30 mins,1 hr 15 mins,20,"['2 pounds large frozen peeled and deveined shrimp, thawed', '1 ½ teaspoons chili powder', '1 teaspoon freshly minced garlic', '½ teaspoon paprika', '½ teaspoon ground cumin', '½ teaspoon onion powder', '½ teaspoon salt', '½ teaspoon ground black pepper', '¼ teaspoon ground coriander', '¼ teaspoon grated Valencia orange zest', '2 tablespoons olive oil, or more as needed', '2 tablespoons sour cream', '1  lime, zested and juiced', '1 teaspoon chopped fresh cilantro', '¼ teaspoon garlic powder', '1 pinch salt and ground black pepper', '20 (6 inch) corn tortillas', '2  avocados, thinly sliced, or to taste', '1  red onion, finely diced, or to taste', '½ bunch fresh cilantro, chopped, or to taste', '1 jalapeño pepper, diced, or to taste (Optional)', '2  limes, cut into wedges, or as needed']","['Rinse defrosted shrimp under cold water, drain, and pat dry.', 'Combine shrimp, chili powder, garlic, paprika, cumin, onion powder, 1/2 teaspoon salt, 1/2 teaspoon black pepper, coriander, and orange zest in a bowl. Mix well.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat olive oil in nonstick frying pan over medium-high heat. Add shrimp and cook until bright pink on the outside and the meat is opaque, 4 to 5 minutes on each side, depending on the size of the shrimp.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While shrimp cooks, prepare crema by whisking together sour cream, zest and juice of 1 lime, 1 teaspoon cilantro, garlic powder, and 1 pinch each of salt and black pepper.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat corn tortillas in either a pan or on a griddle over low heat, 1 to 2 minutes per side. Be careful not to let them burn. Set aside.', 'Assemble tacos by spreading 1 teaspoon crema across each tortilla, adding 3 or 4 shrimp, 2 slices of avocado, a sprinkle of fresh red onion, cilantro, and jalapeño. Serve with sliced limes to squeeze on top and extra crema on the side.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '147', 'Fat': '6g', 'Carbs': '15g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/280916/shrimp-tacos-with-cilantro-lime-crema/
Barbacoa Tacos,"These barbacoa tacos are packed with smoky shredded beef that's perfectly tender. Spices like cumin complement the chiles, while oregano and bay leaves add an earthiness to this recipe.",45 mins,2 hrs,2 hrs 45 mins,6,"['2  ripe plum tomatoes', '1 small white onion, quartered', '2 cloves garlic, peeled', '4  chipotle peppers in adobo sauce', '3 teaspoons kosher salt', '1 ½ teaspoons chili powder', '1 teaspoon ground cumin', '½ teaspoon freshly ground black pepper', '1 (3 pound) beef chuck roast, cut into 6-equal sized cubes', '2 tablespoons olive oil', '1 cup water', '1 tablespoon light brown sugar', '2 teaspoons dried oregano', '3  fresh bay leaves', '1 tablespoon lime juice', 'corn tortillas, warmed', '2  ripe avocados, peeled, pitted and sliced', '½ bunch radishes, thinly sliced', '2 tablespoons chopped fresh cilantro, or to taste']","['Heat a large cast iron skillet over medium-high. Arrange whole tomatoes, onions (cut-side down), and garlic in the dry skillet in a single layer, working in batches if needed. Cook, turning occasionally, until charred on all sides, about 6 minutes for the garlic and about 12 minutes for the onions and tomatoes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer charred vegetables to a blender and add chipotle peppers. Process until smooth, about 1 minute.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir salt, chili powder, cumin, and black pepper together in a small bowl; season beef evenly with salt mixture.', 'Heat oil in a Dutch oven over medium-high heat. Add beef in batches and cook, turning occasionally, until browned on all sides, about 3 minutes per side. Transfer browned beef to a large plate.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour water into the Dutch oven and scrape up any browned bits from the bottom of the pan. Stir in onion-tomato mixture, brown sugar, oregano, and bay leaves. Reduce heat to medium-low and bring to a simmer.', 'Nestle beef back into pot and cover. Cook, stirring and re-nestling beef occasionally (about every 20 to 30 minutes), until beef is tender and pulls easily apart with a fork, 1 hour and 45 minutes to 2 hours and 15 minutes. Remove bay leaves and discard.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Remove beef from Dutch oven, place on cutting board; shred beef using 2 forks.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Return beef to the Dutch oven, add lime juice, and stir to combine.', 'Serve in corn tortillas with avocado, radishes, and cilantro.']","{'Calories': '771', 'Fat': '56g', 'Carbs': '25g', 'Protein': '43g'}",https://www.allrecipes.com/recipe/8497570/barbacoa-tacos/
Traditional Mexican Street Tacos,"These street tacos are easy to make, packed with flavor, and look great too! These little dynamites are tasty as an appetizer or quick meal.",10 mins,0 mins,10 mins,2,"['6 (5-inch) corn tortillas', '3 cups chopped cooked chicken', '4 sprigs fresh cilantro, chopped', '½ cup chopped white onion', '1 cup guacamole', '1  lime, cut into wedges']","['Place a paper towel on a microwave-safe plate and top with tortillas; heat in the microwave for 10 seconds.', 'Place chicken in a microwave-safe bowl; heat in the microwave until heated through, 30 seconds to 1 minute.', 'Layer chicken, cilantro, onion, and guacamole, in that order, onto each tortilla. Squeeze lime juice over each taco.']","{'Calories': '697', 'Fat': '30g', 'Carbs': '44g', 'Protein': '64g'}",https://www.allrecipes.com/recipe/257988/traditional-mexican-street-tacos/
Birria de Pollo (Chicken Birria) Tacos,"These Mexican birria de pollo tacos, or chicken birria tacos, are rich, flavorful, and smoky. They would taste delicious with fresh chopped tomatoes and avocado!",,,,6,"['4 cups chicken broth', '4  dried guajillo chiles, stemmed and seeded', '4  dried ancho chiles, stemmed and seeded', '1  dried de árbol chile, stemmed and seeded (Optional)', '4 tablespoons canola oil, divided', '1 medium white onion, quartered, divided', '4 cloves garlic', '1 (14.5 ounce) can fire-roasted diced tomatoes', '2 tablespoons apple cider vinegar', '2 teaspoons kosher salt, divided', '2 teaspoons ground cumin', '1 teaspoon dried oregano', '½ teaspoon ground black pepper', '¼ teaspoon ground cloves', '1 ½ pounds skinless, boneless chicken breasts', '1  bay leaf', '12 (6 inch) corn tortillas', '2 tablespoons chopped fresh cilantro, or to taste', '12  lime wedges, for serving']","['Add chicken broth to a medium saucepan and bring to a boil over medium-high. Remove from heat and add dried chiles. Cover and let sit until chiles have softened, about 10 minutes.', 'Meanwhile, heat 2 tablespoons of the oil in a large pot or Dutch oven over medium-high. Add 3 of the onion quarters, reserving the last quarter for later use, and garlic to pan. Cook, flipping once, until charred, about 6 minutes. Remove from heat (do not wipe out the pot), and transfer onion and garlic to a blender. Add chicken broth, chiles, tomatoes, vinegar, 1 teaspoon salt, cumin, oregano, pepper, and cloves. Secure lid on blender, and remove center piece to allow steam to escape. Place a clean towel over opening. Process until combined, about 1 to 2 minutes. Pour through a fine mesh strainer into a large bowl.', 'Season chicken with remaining 1 teaspoon salt. Add remaining 1 tablespoon oil in to the large pot; heat over medium-high. Add chicken; cook, flipping once, until golden brown, about 3 minutes per side. Pour blended chile mixture over meat chicken and top with bay leaf. Cover and cook over medium-low until chicken is cooked through, about 25 minutes.', 'Meanwhile, chop remaining onion quarter. Set aside.', 'Uncover pot, discard bay leaf, and remove chicken from chile mixture and shred. Transfer shredded chicken to a large bowl and top with 1 cup of the chile mixture; leave remaining mixture in the Dutch oven pot over medium-low.', 'Heat remaining 1 tablespoon oil in a large nonstick skillet over medium-high. Working with 1 tortilla at a time, quickly dip tortilla into sauce until well coated. Transfer to skillet and top with 1/4 cup of the chicken. Repeat process with as many tortillas as will fit on in skillet. Cook until tortillas are golden brown and beginning to crisp, 1 to 2 minutes. Fold tortillas in half and transfer to a plate. Repeat process with remaining sauce, meat chicken and tortillas.', 'Divide tacos evenly among 6 plates. Top with reserved chopped onion and cilantro and serve with lime wedges.']","{'Calories': '255', 'Fat': '11g', 'Carbs': '8g', 'Protein': '28g'}",https://www.allrecipes.com/recipe/8463920/birria-de-pollo-chicken-birria-for-tacos/
Ground Turkey Taco Meat,"Your ground turkey tacos will have amazing flavor and fewer calories because of the ground turkey! It is a little spicy, but our family enjoys it this way. Because it has so much flavor, you cannot even tell it's not ground beef. It tastes great in tacos or as a topping for baked potatoes.",10 mins,20 mins,30 mins,3,"['1 ½ tablespoons chili powder', '2 teaspoons ground cumin', '1 teaspoon ground paprika', '1 teaspoon salt', '½ teaspoon garlic powder', '½ teaspoon onion powder', '½ teaspoon dried oregano', '¼ teaspoon cayenne pepper', '12 ounces ground turkey', '½ cup water', '1 tablespoon cider vinegar', '1 ½ teaspoons brown sugar']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine chili powder, cumin, paprika, salt, garlic powder, onion powder, oregano, and cayenne in a small bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat a large nonstick skillet over medium heat. Add ground turkey and cook, stirring to break up clumps, until no longer pink, about 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in spice mixture and water. Reduce heat and simmer, stirring occasionally, until most of the liquid is absorbed, about 10 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in cider vinegar and brown sugar; simmer until flavors combine, 3 to 4 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer to a serving bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '201', 'Fat': '10g', 'Carbs': '6g', 'Protein': '21g'}",https://www.allrecipes.com/recipe/255545/ground-turkey-taco-meat/
Sarah's Easy Shredded Chicken Taco Filling,"This shredded chicken taco recipe is quick to make — no slow cooker needed. Serve the warm chicken filling in a taco shell, covered with lettuce, tomatoes, cheese, or other favorite toppings.",15 mins,15 mins,30 mins,4,"['1 pound skinless, boneless chicken breast halves', '2 teaspoons vegetable oil', '1 tablespoon minced onion', '¼ cup tomato sauce', '1 pinch ground cumin', '1 pinch chili powder']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place chicken breasts in a saucepan and cover with water. Bring to a boil over medium heat, then simmer until no longer pink, 10 to 12 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Transfer chicken breasts to a bowl. Allow to cool briefly, then shred with 2 forks.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat vegetable oil in a saucepan over medium heat. Add onion and cook until translucent, 2 to 3 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in shredded chicken, tomato sauce, cumin, and chili powder. Bring to a boil, then reduce heat to low and simmer until chicken is hot and flavors have blended, about 3 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '213', 'Fat': '6g', 'Carbs': '1g', 'Protein': '35g'}",https://www.allrecipes.com/recipe/220326/sarahs-easy-shredded-chicken-taco-filling/
Authentic Tacos al Pastor,"Tacos al pastor is a quintessential Mexican dish, with tender pork and pineapple marinated in a savory and aromatic chile sauce. Serve with warm corn tortillas, tomatillos salsa, and lemon or lime wedges.",30 mins,30 mins,5 hrs,10,"['1  tomato', '3  dried guajillo chile peppers, seeded', '2  dried ancho chile peppers, seeded', '1  pineapple, sliced 3/4-inch thick', '½ cup orange juice', '1  onion, quartered', '¼ cup white vinegar', '2  chipotle peppers in adobo sauce', '1 tablespoon salt, or to taste', '2 cloves garlic, crushed', '3  cloves', '1 teaspoon cumin seeds', '1 teaspoon dried oregano', '2 pounds boneless pork loin, thinly sliced', '½ cup chopped onion', '½ cup chopped fresh cilantro']","['Cook tomato on a ridged grill pan over medium-high heat until slightly blackened, about 5 minutes. Remove from heat and cool until easily handled. Peel off skin and remove seeds.', 'Bring a small pot of water to a boil. Add guajillo and ancho chile peppers; cook until softened, about 5 minutes. Drain.', 'Combine tomato flesh, softened chile peppers, 2 slices pineapple, orange juice, quartered onion, vinegar, chipotle peppers, salt, garlic, cloves, cumin seeds, and oregano in a blender; blend until smooth.', 'Arrange pork slices in a glass or ceramic baking dish. Pour blended mixture over pork, ensuring all sides are evenly coated. Cover baking dish with plastic wrap.', 'Marinate pork in the refrigerator, 4 hours to overnight.', 'Cook remaining pineapple slices on a ridged grill pan over medium-high heat until slightly blackened and soft, about 5 minutes per side. Chop into small pieces.', 'Wipe out grill pan and preheat over medium-high heat. Cook marinated pork in the hot pan, turning once, until browned, 4 to 5 minutes.', 'Chop pork coarsely into small pieces against the grain. Serve with pineapple, chopped onion, and cilantro.\n\n \n\n\n\n\n\n \n AllrecipesPhoto']","{'Calories': '204', 'Fat': '6g', 'Carbs': '23g', 'Protein': '17g'}",https://www.allrecipes.com/recipe/257538/authentic-tacos-al-pastor/
