title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Thai Pasta Salad,"This delicious Thai pasta salad is loaded with vegetables and roasted peanuts tossed in a spicy chili and lime dressing. It comes together quickly once you've cooked the pasta! Add chicken, shrimp, or tofu for a main dish. So good warm or chilled.",15 mins,15 mins,30 mins,4,"['3 tablespoons sesame oil', '1 tablespoon vegetable oil', '1 tablespoon low-sodium soy sauce', '1 tablespoon balsamic vinegar', '1 tablespoon fish sauce', '1 tablespoon chili-garlic sauce', '1 tablespoon fresh lime juice', '1 ½ teaspoons seasoned rice vinegar', '¼ teaspoon white sugar', '½ (16 ounce) package farfalle (bow-tie) pasta', '½ cup frozen peas, thawed', '¼ cup shredded carrots', '¼ cup thinly sliced red bell pepper', '3 tablespoons thinly sliced green onions', '2 tablespoons chopped fresh cilantro', '2 tablespoons dry-roasted peanuts', '½ teaspoon crushed red pepper flakes, or to taste', '4 wedges lime']","['To make the dressing: Whisk sesame oil, vegetable oil, soy sauce, balsamic vinegar, fish sauce, chili-garlic sauce, lime juice, rice vinegar, and sugar together in a small bowl until well combined. Set aside.', 'Bring a large pot of lightly salted water to a boil. Cook pasta at a boil, stirring occasionally, until tender yet firm to the bite, about 10 to 12 minutes. Drain pasta, rinse with cold water, and return to the pot.', 'Drizzle dressing over pasta and stir gently to combine. Add peas, carrots, bell pepper, green onions, cilantro, peanuts, and red pepper flakes; stir until well combined.', 'Serve at room temperature with lime wedges, or chill in the refrigerator and serve cold.']","{'Calories': '291', 'Fat': '17g', 'Carbs': '32g', 'Protein': '7g'}",https://www.allrecipes.com/thai-pasta-salad-recipe-8646006
Thai-Inspired Potato Salad,"This Thai-inspired potato salad is one of the most exciting, most interesting potato salads you will ever have. A sweet, salty, spicy dressing over crusty roasted potatoes contrasts with the texture and flavor of fresh herbs, peppers and peanuts.",35 mins,45 mins,2 hrs,6,"['2 1/2 pounds Yukon gold potatoes, cut into 2-inch pieces', '3 teaspoons kosher salt, divided', '1 teaspoon ground coriander', '1/4 teaspoon ground turmeric', '1/8 teaspoon baking soda', '2 tablespoons vegetable oil, divided', '2 cloves garlic, crushed', '1 teaspoon grated fresh ginger', '1/4 cup rice vinegar', '1 lime, juiced', '1 1/2 teaspoons tamarind paste', '2 teaspoons fish sauce, or to taste', '1/2 teaspoon salt, or to taste', '1/4 teaspoon freshly ground black pepper', '1 tablespoon brown sugar, or to taste', '2 tablespoons vegetable oil', '1/4 teaspoon Sriracha hot sauce, or to taste', '1/2 cup sliced red onions', '1/4 cup sliced red bell pepper', '1/4 cup sliced jalapeno pepper', '1 cup torn fresh herb leaves (basil. mint, and/or cilantro)', '1/2 cup chopped roasted salted peanuts']","['Combine potatoes, 2 teaspoons salt, coriander, turmeric, and baking soda in a saucepan, with enough water to cover by 1 inch. Bring to a simmer, and cook just until barely tender, 10 to 15 minutes. Drain well.', 'Line a sheet pan with foil, and grease generously with 1 tablespoon oil; transfer potatoes onto pan, skin side down. Let cool, cover, and refrigerate until chilled.', 'Preheat the oven to 475 degrees F (245 degrees C). Brush tops of potatoes with remaining tablespoon oil, and season generously with remaining 1 teaspoon salt.', 'Bake potatoes in the preheated oven until browned and crusty, about 35 minutes. Let cool to just warm or room temperature.', 'Meanwhile, add garlic, ginger, rice vinegar, lime juice, tamarind paste, fish sauce, salt, pepper, brown sugar, vegetable oil, and Sriracha to a small bowl; whisk to combine, and set aside.', ""Add potatoes to a bowl with red onions, bell peppers, jalapeno peppers, herbs, and peanuts. Pour in dressing and mix thoroughly. Transfer to a serving platter or bowl and serve immediately.\n\n \n\n\n\n\n\n \n John Mitzewich\n\n Chef's Note:\nTamarind pastes can vary in intensity depending on brand, so start slow and add more if needed.\xa0For a faster version, you can skip the roasting step.""]","{'Calories': '349', 'Fat': '14g', 'Carbs': '52g', 'Protein': '9g'}",https://www.allrecipes.com/thai-inspired-potato-salad-recipe-8655649
Larb Gai,This is my hairstylist's mom's secret recipe for Thai larb gai and it is the best! Boiling the ground chicken or turkey instead of stir frying it keeps it moist and helps the meat absorb all the beautiful flavors. Can be served hot or cold with any type of greens or lettuce. You can even serve it with rice.,20 mins,10 mins,1 hr,4,"['2  lemons, juiced', '1  lime, juiced', '2 tablespoons fish sauce, or more to taste', '1 tablespoon rice vinegar', '1 teaspoon white sugar', '1 teaspoon cayenne pepper', '1 teaspoon lemon zest', '1 pound ground turkey or chicken', '1 clove garlic, minced', '1 cup water to cover', '½  red onion, thinly sliced', '1  carrot, shredded', '½ cup coarsely chopped chestnuts', '3  Thai chile peppers, sliced', '3  green onions, sliced', '¼ cup chopped fresh mint', '⅓ cup chopped fresh Thai basil', '2 tablespoons chopped fresh cilantro', '3 tablespoons toasted rice powder', '2 tablespoons Thai chile flakes']","['Whisk lemon juice, lime juice, fish sauce, rice vinegar, sugar, cayenne, and lemon zest together in a bowl until dressing is smooth.', 'Spread ground turkey or chicken in a thin layer in a large skillet; add garlic. Pour enough water into the skillet to cover the ground meat; bring to a boil. Cook and stir, breaking the meat apart with a fork, until browned and crumbly, 7 to 10 minutes. Drain liquid and transfer ground meat to a large glass bowl.', 'Stir red onion, carrot, chestnuts, Thai chile peppers, green onions, mint, basil, and cilantro into the bowl until well combined. Refrigerate mixture until chilled, about 30 minutes.', 'Sprinkle rice powder and Thai chile flakes over salad mixture and mix well.']","{'Calories': '266', 'Fat': '10g', 'Carbs': '21g', 'Protein': '25g'}",https://www.allrecipes.com/larb-gai-6604488
Slow Cooker Beef Massaman Curry,"Beef massaman curry is a famous Thai beef stew that is the best of 2 worlds - it has the texture of stew with the flavor of curry. The sauce is intensely savory, thick, and luscious. Make sure you are using a good-quality curry paste (like Maesri) so you will get great depth of flavor without a lot of work.",10 mins,4 hrs 30 mins,4 hrs 42 mins,8,"['3 pounds boneless beef chuck roast', '3 ½ tablespoons cornstarch, divided', '½ teaspoon kosher salt', '½ teaspoon ground black pepper', '2 tablespoons canola oil', '6 tablespoons Massaman curry paste', '1 cup low-sodium beef broth', '1 (13.5 ounce) can unsweetened coconut cream', '1 pound baby Yukon Gold potatoes', '2 tablespoons cold water', '1  lime, zested and juiced', '3 cups cooked jasmine rice', '½ cup roasted cashews', '1 cup chopped fresh cilantro leaves and stems', '1 medium Fresno chile, thinly sliced', 'additional lime wedges, for serving, if desired']","['Pat beef dry with paper towels, trim, and cut into 1 1/2- to 2-inch pieces. Place in a bowl with 2 tablespoons cornstarch, salt, and pepper; toss to coat beef evenly.', 'Heat oil in a large nonstick skillet over medium-high heat. Add half of the beef and cook, turning often, until beef is browned on all sides, about 6 minutes (do not overcrowd the skillet to ensure browning). Repeat process with remaining beef, using any residual oil in the skillet. (Do not wipe skillet clean.) Place browned beef in an ungreased 6-quart slow cooker.', 'Once all beef has been browned, lower heat to medium and add curry paste, stirring to release any browned bits from the skillet. Add beef broth and coconut cream to skillet, stirring to combine ingredients. Pour mixture over beef in slow cooker. Add potatoes to slow cooker; cover and cook on HIGH for 4 hours, or LOW for 6 hours, or until beef is very tender when pierced with a fork.', 'Remove beef and potatoes to a large bowl, and carefully pour liquid from slow cooker into a heatproof glass measuring cup or bowl and allow to stand until fat settles on top of liquid, about 2 minutes. Remove fat from the surface of the liquid with a ladle and discard.', 'Pour remaining liquid into a saucepan and bring to a boil, undisturbed, over medium-high heat. Whisk remaining 1 1/2 tablespoons cornstarch with 2 tablespoons cold water together in a small bowl; add to boiling liquid in saucepan, whisking until mixture thickens, 2 to 5 minutes. Return meat and potatoes to thickened sauce; stir in lime zest and juice.', 'Serve family-style, or place 1/2 cup rice into each of 6 bowls, spoon 1 1/3 cups beef, potatoes, and sauce mixture over rice, and garnish each portion with cashews, cilantro, sliced chile, and a lime wedge.']","{'Calories': '832', 'Fat': '66g', 'Carbs': '40g', 'Protein': '40g'}",https://www.allrecipes.com/recipe/8465373/slow-cooker-beef-massaman-curry/
Chicken Massaman Curry,"This massaman curry recipe, flavored with tamarind and coconut milk, is ready in under an hour. Serve over plain white rice.",20 mins,35 mins,55 mins,4,"['2 tablespoons vegetable oil', '3 tablespoons curry paste', '1 (3/4 inch thick) slice ginger, minced', '1 ¼ pounds skinless, boneless chicken breast meat - cubed', '⅓ cup peanut butter', '3 tablespoons brown sugar', '3 tablespoons fish sauce', '3 tablespoons tamarind paste', '3 cups peeled, cubed potatoes', '1 (13.5 ounce) can coconut milk', '3 tablespoons fresh lime juice']","['Gather the ingredients.', 'Heat vegetable oil in a large saucepan over medium heat. Stir in curry paste and minced ginger; cook and stir for 2 minutes. Add in cubed chicken, and cook until the pieces turn white on the outside, about 3 minutes.', 'Mix in peanut butter, brown sugar, fish sauce, and tamarind paste, stirring to combine. Add potatoes and coconut milk. Bring to a boil, then reduce heat to medium-low, cover, and simmer until the potatoes are tender and the chicken pieces are no longer pink in the center, about 20 minutes.', 'Add lime juice and cook for an additional 5 minutes before serving.']","{'Calories': '690', 'Fat': '41g', 'Carbs': '47g', 'Protein': '38g'}",https://www.allrecipes.com/recipe/142055/chicken-massaman-curry/
Pad Thai,"This is a traditional pad thai recipe used by a friend's mother. You can use chicken, pork, beef, tofu, or a combination. You may want to start with less pepper and work your way up.",10 mins,15 mins,45 mins,6,"['1 (12 ounce) package rice noodles', '2 tablespoons butter', '1 pound boneless, skinless chicken breast halves, cut into bite-sized pieces', '¼ cup vegetable oil', '4  eggs', '3 tablespoons white sugar', '2 tablespoons fish sauce', '1 tablespoon white wine vinegar', '⅛ tablespoon crushed red pepper', '2 cups bean sprouts', '3  green onions, chopped', '¼ cup crushed peanuts', '1  lemon, cut into wedges']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Soak rice noodles in cold water until soft, 30 to 50 minutes. Drain and set aside.', 'Meanwhile, heat butter in a wok; add chicken and sauté until browned. Remove chicken and set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in the wok over medium-high heat. Crack eggs into hot oil and cook until firm. Stir in chicken and cook for 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add softened noodles, sugar, fish sauce, vinegar, and red pepper; mix well until noodles are tender. Adjust seasonings to taste.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir bean sprouts into wok and cook for 3 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve topped with green onions, crushed peanuts, and a wedge of lemon.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '524', 'Fat': '21g', 'Carbs': '59g', 'Protein': '26g'}",https://www.allrecipes.com/recipe/42968/pad-thai/
Authentic Pad Thai,"This is an authentic pad thai recipe with rice noodles, chicken, peanuts, and stir-fried eggs in a traditional tamarind sauce. Garnish with fresh bean spouts and chives. This recipe was inspired by the pad thai at Thai Tom.",20 mins,20 mins,1 hr 10 mins,6,"['12 ounces dried rice noodles', '½ cup white sugar', '½ cup distilled white vinegar', '¼ cup fish sauce', '2 tablespoons tamarind paste', '2 tablespoons vegetable oil, divided', '2  boneless, skinless chicken breast halves, sliced into thin strips', '1 ½ teaspoons garlic, minced', '4 large eggs, beaten', '1 ½ tablespoons white sugar', '1 ½ teaspoons salt', '1 cup coarsely ground peanuts', '2 cups bean sprouts', '½ cup chopped fresh chives', '1 tablespoon paprika, or to taste', '1 medium lime, cut into wedges']","['Place rice noodles into a large bowl and cover with several inches of room temperature water; let soak for 30 to 60 minutes. Drain.', 'Whisk 1/2 cup sugar, vinegar, fish sauce, and tamarind paste together in a saucepan over medium heat. Bring to a simmer, then remove from the heat.', 'Heat 1 tablespoon oil in a skillet over medium-high heat. Add chicken; cook and stir until chicken is no longer pink in the center and the juices run clear, 5 to 7 minutes. Remove from the heat.', 'Heat remaining 1 tablespoon oil in a large skillet or wok over medium-high heat. Add garlic and cook until fragrant, about 1 minute. Stir in eggs; scramble until eggs are nearly cooked through, about 2 minutes. Add chicken and rice noodles and stir until well combined.', 'Stir in tamarind mixture, 1 1/2 tablespoons sugar, and salt; cook until noodles are tender, 3 to 5 minutes. Stir in peanuts and cook until heated through, 1 to 2 minutes. Garnish with bean sprouts, chives, and paprika; serve with lime wedges.']","{'Calories': '583', 'Fat': '21g', 'Carbs': '79g', 'Protein': '22g'}",https://www.allrecipes.com/recipe/222350/authentic-pad-thai/
Thai Green Curry Chicken,This Thai green curry recipe never fails to please! It is quick and easy to make and the chicken stays moist and tender. Serve over jasmine rice for a satisfying meal.,20 mins,30 mins,50 mins,4,"['1 tablespoon dark soy sauce', '1 tablespoon all-purpose flour', '1 pound skinless, boneless chicken breast halves - cut into 1 inch cubes', '2 tablespoons cooking oil', '2 tablespoons green curry paste', '2  green onions with tops, chopped', '3 cloves garlic, peeled and chopped', '1 teaspoon fresh ginger, peeled and finely chopped', '2 cups coconut milk', '2 tablespoons white sugar', '1 tablespoon fish sauce', '1 tablespoon dark soy sauce', '½ cup cilantro leaves, for garnish']","['Pour 1 tablespoon soy sauce into a shallow dish. Place 1 tablespoon flour into a separate shallow dish. Toss chicken pieces in soy sauce, then in flour, coating pieces evenly.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a large skillet over medium-high heat. Add chicken; cook and stir until browned, about 5 minutes. Transfer chicken to a plate; set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Reduce heat to medium and stir in curry paste. Cook for 1 minute until fragrant. Add green onions, garlic, and ginger; cook an additional 2 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Return chicken to the skillet, stirring to coat with curry paste. Stir in coconut milk, sugar, fish sauce, and remaining 1 tablespoon soy sauce; simmer over medium heat until chicken is tender and cooked through, about 20 minutes. Serve curry with cilantro leaves.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '472', 'Fat': '41g', 'Carbs': '15g', 'Protein': '27g'}",https://www.allrecipes.com/recipe/141833/thai-green-curry-chicken/
Panang Curry with Chicken,Panang curry with chicken represents the diversity of Thailand's southern region. Panang refers to the island of Penang in Northern Malaysia bordering southern Thailand. Use 4 tablespoons curry paste from a fresh curry paste recipe or 5 tablespoons pre-made curry paste if time does not permit making your own paste,15 mins,20 mins,35 mins,4,"['5 tablespoons Panang curry paste', '1 tablespoon cooking oil', '4 cups coconut milk', '⅔ pound skinless, boneless chicken breast, cubed', '2 tablespoons palm sugar', '2 tablespoons fish sauce, or to taste', '6  makrut lime leaves, torn in half', '2  fresh red chile peppers, sliced', '¼ cup fresh Thai basil leaves']","['Fry curry paste in oil in a large skillet or wok over medium heat until fragrant.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in coconut milk and bring to a boil. Add chicken; cook and stir until chicken is nearly cooked through, 10 to 15 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir palm sugar, fish sauce, and lime leaves into mixture; simmer for 5 minutes. Taste and adjust saltiness by adding more fish sauce if necessary.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Garnish with sliced red chile peppers and Thai basil leaves.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '596', 'Fat': '51g', 'Carbs': '19g', 'Protein': '22g'}",https://www.allrecipes.com/recipe/213947/panang-curry-with-chicken/
Curried Coconut Chicken,This chicken coconut curry recipe features chicken simmered in coconut milk and tomatoes for a mouthwatering hint of the tropics! Goes well with rice and vegetables.,20 mins,40 mins,1 hr,6,"['2 pounds boneless skinless chicken breasts, cut into 1/2-inch chunks', 'salt and ground black pepper to taste', '1 ½ tablespoons vegetable oil', '2 tablespoons curry powder', '½  onion, thinly sliced', '2 cloves garlic, crushed', '1 (14.5 ounce) can stewed, diced tomatoes', '1 (14 ounce) can coconut milk', '1 (8 ounce) can tomato sauce', '3 tablespoons sugar']","['Season chicken pieces with salt and pepper; set aside.', 'Heat oil in a large skillet over medium-high heat. Cook and stir curry powder in hot oil for 1 minute. Stir in onions and garlic; cook 1 minute. Add chicken, tossing lightly to coat with curry oil. Reduce heat to medium and cook, stirring occasionally, until chicken is no longer pink in the center and juices run clear, 7 to 10 minutes.', 'Stir tomatoes, coconut milk, tomato sauce, and sugar into the skillet. Cover and simmer, stirring occasionally, for 30 to 40 minutes.']","{'Calories': '375', 'Fat': '21g', 'Carbs': '17g', 'Protein': '32g'}",https://www.allrecipes.com/recipe/68532/curried-coconut-chicken/
