title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Ground Turkey Teriyaki Stir-Fry,"Begin this ground turkey stir-fry by making an easy teriyaki stir-fry sauce, then use frozen vegetables and pre-cooked rice to have dinner ready in no time.",15 mins,10 mins,25 mins,5,"['1/3 cup soy sauce', '1/4 cup mirin', '1/4 cup sake', '3 cloves garlic\xa0minced', '1 teaspoon grated fresh ginger', '2 tablespoons brown sugar', '1 teaspoon cornstarch', '2 teaspoons oil', '1 pound ground turkey', '1 small onion, diced', '2 cups frozen stir fry vegetables, or more to taste', '2 1/2 cups cooked jasmine rice', '1 teaspoon toasted sesame seeds, or as needed', '1/4 cup sliced green onion, or as needed']","['Stir soy sauce, mirin, sake, garlic, ginger, brown sugar, and cornstarch together in a small bowl; set aside.', 'Place a skillet over medium high heat. Add oil. Add ground turkey. Allow turkey to brown for 3 to 5 minutes before starting to crumble and break up with a spatula. Add in onions and stir fry vegetables. Cover and cook for 3 minutes.', ""Uncover and add the teriyaki sauce. Cook and stir until sauce thickens, about 3 minutes. Spoon over rice. Sprinkle sesame seeds and chopped green onions on top.\n\n Cook’s Note\nThis teriyaki is also good made with udon noodles. Stir cooked udon noodles directly into the sauce in Step 3, just until reheated, about 1 minute.You can of course use fresh vegetables instead of frozen.\n\n\n\n From the Editor\nHere's all you need to know about how to cook jasmine rice.""]","{'Calories': '445', 'Fat': '23g', 'Carbs': '29g', 'Protein': '28g'}",https://www.allrecipes.com/ground-turkey-teriyaki-stir-fry-recipe-8705245
Ground Turkey Stir Fry,"This flavorful and nutritious ground turkey stir fry, with mushrooms, carrots, celery, and a spicy sauce, comes together quickly on those busy weeknights. Serve with your favorite rice. I often whip up a batch on Sundays for meal prep.",20 mins,15 mins,35 mins,4,"['1/4 cup low-sodium soy sauce', '1 tablespoon honey', '1 tablespoon gochujang\xa0(Korean hot pepper paste)', '1 teaspoon sesame oil', '2 cloves garlic, minced', '3 tablespoons vegetable oil, divided', '8 cremini mushrooms, sliced', '3 green onions, white and green parts separated, thinly sliced', '3 carrots, peeled and thinly sliced diagonally', '3 stalks celery, thinly sliced diagonally', '1 pound lean ground turkey', 'salt and freshly ground black pepper to taste']","['Whisk together soy sauce, honey, gochujang, sesame oil, and garlic in a small bowl; set aside.', 'Heat 1 tablespoon vegetable oil in wok or large skillet over medium-high heat. Add mushrooms, white parts of green onions, carrots, and celery. Stir-fry veggies, stirring constantly, until crisp-tender, about 4 to 6 minutes. Transfer to a bowl.', 'Heat remaining 2 tablespoons vegetable oil in the wok. Add ground turkey and cook, stirring every 15 to 20 seconds, and break up any large chunks, until evenly browned, about 5 to 6 minutes.', 'Return veggies to the wok and pour sauce over top. Stir to combine and simmer for 2 to 3 minutes. Top with green parts from green onions and season to taste with salt and pepper.\n\n Cook’s Note\nYou can use Sriracha or sambal oelek instead of gochujang.']","{'Calories': '416', 'Fat': '25g', 'Carbs': '16g', 'Protein': '34g'}",https://www.allrecipes.com/ground-turkey-stir-fry-recipe-8612814
Jerky Roast Turkey – Jerk Spice Thanksgiving Turkey,"The marinade for this turkey breast is adapted from my Jerk Chicken Wings recipe and makes for a delicious, juicy turkey breast with just the right amount of heat that is beautifully balanced by brown sugar.",30 mins,,6 hrs 35 mins,8,"['½ cup diced yellow onion', '¼ cup green onions, sliced', '6 cloves garlic, roughly chopped', '2  habanero peppers, seeded and chopped', '1 tablespoon fresh thyme leaves', '2 teaspoons dried thyme', '1 tablespoon kosher salt', '1 teaspoon freshly ground black pepper', '1 teaspoon ground allspice', '½ teaspoon cinnamon', '½ teaspoon cumin', '½ teaspoon freshly grated nutmeg', '2  limes, juiced', '3 tablespoons soy sauce', '2 tablespoons packed brown sugar', '2 tablespoons vegetable oil', '3 ½ pounds boneless turkey breast', '1 large yellow onion, sliced', 'kosher salt to taste', '1  lime, cut into wedges (Optional)']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Combine diced onions, green onions, garlic, habanero peppers, fresh and dried thyme, kosher salt, black pepper, allspice, cinnamon, cumin, and in a blender or in large cup if you are using an immersion blender. Add lime juice, soy sauce, brown sugar, and vegetable oil. Blend until smooth.\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Place turkey breasts into a large bowl, splay it open, and pour marinade all over the turkey. Flip and toss turkey breast a number of times until it is evenly covered in marinade. Press plastic wrap over the turkey and marinate in the refrigerator for a minimum of 4, up to 12 hours.\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Preheat the oven to 450 degrees F (230 degrees C). Transfer the turkey into a roasting pan and tie together with cooking twine. Add sliced onions underneath and around the turkey. Season with salt.\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Roast turkey in the preheated oven for 30 minutes. Reduce temperature to 300 degrees F (150 degrees C) and roast until an instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C), about 1 hour and 15 minutes longer\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Loosely tent with foil and let rest for about 20 minutes. Snip off the strings and serve.\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA']","{'Calories': '316', 'Fat': '9g', 'Carbs': '9g', 'Protein': '48g'}",https://www.allrecipes.com/recipe/8509206/jerky-roast-turkey/
Turkey in a Smoker,"This smoked turkey recipe makes a moist, tender, hickory-flavored whole turkey that's sure to be met with rave reviews from your holiday guests! It's nearly impossible to cook a large bird on a barbecue grill so a smoker is best for this.",20 mins,10 hrs,10 hrs 20 mins,13,"['1 (10 pound) whole turkey, neck and giblets removed', '4 cloves garlic, crushed', '2 tablespoons seasoned salt', '½ cup butter', '2 (12 fluid ounce) cans cola-flavored carbonated beverage', '1 medium apple, quartered', '1 medium onion, quartered', '1 tablespoon garlic powder', '1 tablespoon salt', '1 tablespoon ground black pepper', '2 cups hickory wood chips, or more as needed (Optional)']","['Preheat a smoker to 225 to 250 degrees F (110 to 120 degrees C).', 'Rinse turkey under cold water, and pat dry.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Rub crushed garlic over the outside of the turkey, and sprinkle with seasoned salt. Transfer to a disposable roasting pan.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Fill the turkey cavity with butter, cola, apple, onion, garlic powder, salt, and pepper. Cover turkey loosely with foil.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', ""Add wood chips to the smoker according to the manufacturer's directions. Place the roasting pan in the preheated smoker. Smoke the turkey, basting every 1 to 2 hours with juices from the bottom of the roasting pan, for 5 hours.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios"", 'Add more wood chips if desired. Continue smoking and basting, until turkey is no longer pink at the bone and the juices run clear, about 5 more hours. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 180 degrees F (80 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '625', 'Fat': '32g', 'Carbs': '10g', 'Protein': '71g'}",https://www.allrecipes.com/recipe/16984/turkey-in-a-smoker/
Juicy Thanksgiving Turkey,"This turkey recipe uses orange wedges and aromatics to add flavor, while a champagne broth works its magic to keep the turkey moist and tender. My grandmother and mother passed this recipe on to me. It changes a little every Thanksgiving, because I've never written the recipe down before. But the roast turkey is always incredibly juicy and succulent!",20 mins,3 hrs,3 hrs 30 mins,10,"['2 tablespoons dried parsley', '2 tablespoons ground dried rosemary', '2 tablespoons rubbed dried sage', '2 tablespoons dried thyme leaves', '1 tablespoon lemon-pepper seasoning', '1 tablespoon salt', '1 (15 pound) whole turkey, neck and giblets removed', '1 medium orange, cut into 8 wedges', '1 medium onion, chopped into large pieces', '1 medium carrot, cut into ½-inch slices', '2 stalks celery, cut into ½-inch slices', '1 (750 milliliter) bottle champagne', '1 (14.5 ounce) can chicken broth']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Line a roaster with sheets of aluminum foil long enough to wrap around turkey.\n\n \n\n\n\n\n\n \n ALLRECIPES / KAREN HIBBARD', 'Stir parsley, rosemary, sage, thyme, lemon-pepper seasoning, and salt together in a small bowl.\n\n \n\n\n\n\n\n \n ALLRECIPES / KAREN HIBBARD', 'Rub herb mixture into turkey cavity, then stuff with orange wedges, onion, carrot, and celery. Tie turkey legs together with kitchen string, then tuck the wings under the body.\n\n \n\n\n\n\n\n \n ALLRECIPES / KAREN HIBBARD', 'Place turkey on the foil in the roasting pan. Pour champagne and chicken broth over turkey, making sure to get some liquid in the cavity.\n\n \n\n\n\n\n\n \n ALLRECIPES / KAREN HIBBARD', 'Bring aluminum foil up and over the top of turkey and seal; try to keep the foil from touching the turkey.\n\n \n\n\n\n\n\n \n ALLRECIPES / KAREN HIBBARD', 'Roast turkey in the preheated oven until juices run clear, 2 ½ to 3 hours. Uncover turkey and continue baking until the skin turns golden brown, 30 to 60 more minutes. An instant-read thermometer inserted into the thickest part of thigh, near the bone, should read 180 degrees F (80 degrees C).\n\n \n\n\n\n\n\n \n ALLRECIPES / KAREN HIBBARD', 'Remove turkey from the oven, cover with two sheets of aluminum foil, and allow to rest in a warm area before slicing, 10 to 15 minutes.\n\n \n\n\n\n\n\n \n ALLRECIPES / KAREN HIBBARD', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n ALLRECIPES / KAREN HIBBARD\n\n Recipe Tip\nYou can use white wine in place of Champagne if desired.']","{'Calories': '556', 'Fat': '24g', 'Carbs': '4g', 'Protein': '69g'}",https://www.allrecipes.com/recipe/166160/juicy-thanksgiving-turkey/
Oven-Roasted Turkey Breast,"This turkey breast recipe is easy to make and perfect for our 2-person household at Thanksgiving, and we always have leftovers. It can easily be scaled up to feed a larger gathering with larger appetites!",15 mins,1 hr 35 mins,1 hr 50 mins,2,"['¼ cup butter, softened', '1 clove garlic, minced', '1 teaspoon paprika', '1 teaspoon Italian seasoning', '½ teaspoon salt-free garlic and herb seasoning blend (such as Mrs. Dash)', 'salt and ground black pepper to taste', '1 (3 pound) turkey breast with skin', '1 teaspoon minced shallot', '1 tablespoon butter', '1 splash dry white wine', '1 cup chicken stock', '3 tablespoons all-purpose flour', '2 tablespoons half-and-half (Optional)']","['Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C).\n\n \n\n\n\n\n\n \n Will Dickey / Food Styling: Margaret Dickey / Prop styling: Phoebe Hauser', 'Mix 1/4 cup butter, garlic, paprika, Italian seasoning, garlic and herb seasoning, salt, and black pepper together in a bowl.\n\n \n\n\n\n\n\n \n Will Dickey / Food Styling: Margaret Dickey / Prop styling: Phoebe Hauser', 'Place turkey breast with skin-side up into a roasting pan. Loosen skin with your fingers; brush 1/2 of the butter mixture over the turkey breast and underneath the skin. Reserve remaining butter mixture. Tent turkey breast loosely with aluminum foil.\n\n \n\n\n\n\n\n \n Will Dickey / Food Styling: Margaret Dickey / Prop styling: Phoebe Hauser', 'Roast in the preheated oven for 1 hour; baste turkey breast with remaining butter mixture. Return to oven and roast until the juices run clear and an instant-read meat thermometer inserted into the thickest part of the breast, not touching bone, reads 165 degrees F (65 degrees C), about 30 more minutes. Let turkey breast rest 10 to 15 minutes before serving.\n\n \n\n\n\n\n\n \n Will Dickey / Food Styling: Margaret Dickey / Prop styling: Phoebe Hauser', 'While turkey is resting, transfer pan drippings to a skillet. Skim off excess grease, leaving about 1 tablespoon in skillet. Place skillet over low heat; cook and stir shallot in turkey grease until opaque, about 5 minutes.\n\n \n\n\n\n\n\n \n Will Dickey / Food Styling: Margaret Dickey / Prop styling: Phoebe Hauser', 'Melt 1 tablespoon butter in skillet with shallot and whisk in white wine, scraping any browned bits of food from skillet. Whisk in chicken stock and flour until smooth. Bring to a simmer, whisking constantly, until thickened. For a creamier, lighter gravy, whisk in half-and-half.\n\n \n\n\n\n\n\n \n Will Dickey / Food Styling: Margaret Dickey / Prop styling: Phoebe Hauser', 'Serve hot and enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '412', 'Fat': '31g', 'Carbs': '15g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/229658/oven-roasted-turkey-breast/
A Simply Perfect Roast Turkey,"Simple roast turkey just like grandma used to make. Seasoned with salt and pepper and basted with turkey stock, the flavors of the turkey really stand out. Stuff with your favorite dressing.",25 mins,4 hrs,4 hrs 45 mins,24,"['1 (18 pound) whole turkey', '8 cups prepared stuffing', '½ cup unsalted butter, softened', 'salt and freshly ground black pepper to taste', '1 ½ quarts turkey stock, divided']","['Gather all ingredients. Preheat the oven to 325 degrees F (165 degrees C). Place a rack in the lowest position of the oven.\n\n \n\n\n\n\n\n \n ALLRECIPES / ANA CADENA', 'Remove turkey neck and giblets. Rinse turkey and pat dry with paper towels, and place breast-side up, on a rack in a roasting pan.\n\n \n\n\n\n\n\n \n ALLRECIPES / ANA CADENA', 'Loosely fill turkey cavity with stuffing. Rub skin with butter, then season with salt and pepper.\n\n \n\n\n\n\n\n \n ALLRECIPES / ANA CADENA', 'Pour 2 cups of turkey stock into the roasting pan.\n\n \n\n\n\n\n\n \n ALLRECIPES / ANA CADENA', 'Loosely tent turkey with aluminum foil, and roast turkey for 2 ½ hours, basting with pan juices every 30 minutes. When drippings evaporate, add remaining stock to the pan, 1 to 2 cups at a time.\n\n \n\n\n\n\n\n \n ALLRECIPES / ANA CADENA', 'Remove foil and continue roasting until a meat thermometer inserted in thickest part of thigh reads 165 degrees F (75 degrees C), about 1\xa0½ hours more.\n\n \n\n\n\n\n\n \n ALLRECIPES / ANA CADENA', 'Transfer turkey to a large serving platter. Let stand for 20 to 30 minutes before carving.\n\n \n\n\n\n\n\n \n ALLRECIPES / ANA CADENA', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n ALLRECIPES / ANA CADENA']","{'Calories': '828', 'Fat': '38g', 'Carbs': '15g', 'Protein': '100g'}",https://www.allrecipes.com/recipe/56348/a-simply-perfect-roast-turkey/
Roast Spatchcock Turkey,"This spatchcock turkey recipe makes the juiciest, crispiest roast turkey cooked in a fraction of the time it usually takes to cook a whole turkey. If you've never tried it, spatchcocking is easier than you might think! By removing the backbone and flattening out the bird, you'll reduce cooking time and make carving a whole lot easier, too! Once you try it, you might never go back.",15 mins,1 hr 45 mins,2 hrs 10 mins,10,"['1 (10 pound) whole turkey', '½ cup olive oil', '1 tablespoon chopped fresh sage', '1 tablespoon fresh thyme leaves', '1 tablespoon finely chopped fresh rosemary', '1 tablespoon salt', '1 teaspoon crushed black pepper']","['Gather ingredients.\n\n \n\n\n\n\n\n \n Allrecipes/Oana Ennis', 'Preheat the oven to 350 degrees F (175 degrees C). Place a roasting rack on a baking sheet.', 'Place turkey, breast-side down, on a cutting board. Using a pair of sharp heavy-duty kitchen shears, cut along one side of the backbone.\n\n \n\n\n\n\n\n \n Allrecipes/Oana Ennis', 'Repeat on the other side of the backbone. Remove backbone and reserve for making turkey stock for gravy.\n\n \n\n\n\n\n\n \n Allrecipes/Oana Ennis', 'Press firmly down onto both sides of turkey to flatten.\n\n \n\n\n\n\n\n \n Allrecipes/Oana Ennis', 'Flip turkey breast-side up and put on the roasting rack. Tuck wing tips under turkey (behind breast). Pat skin dry and rub olive oil over entire turkey. Season with sage, thyme, rosemary, salt, and pepper.\n\n \n\n\n\n\n\n \n Allrecipes/Oana Ennis', 'Roast in the preheated oven for 1 hour 30 minutes, rotating the baking sheet every 30 minutes.', 'Increase the oven temperature to 400 degrees F (200 degrees C) and continue to roast until skin is crisp and golden, about 15 minutes more. An instant-read thermometer inserted into the thickest part of the thigh should read 165 degrees F (74 degrees C).\n\n \n\n\n\n\n\n \n Allrecipes/Oana Ennis', 'Remove turkey from the oven, cover loosely with a doubled sheet of aluminum foil, and allow to rest for 10 to 15 minutes before slicing.\n\n \n\n\n\n\n\n \n Allrecipes/Oana Ennis', 'Serve hot and enjoy!\n\n \n\n\n\n\n\n \n Allrecipes/Oana Ennis']","{'Calories': '777', 'Fat': '43g', 'Carbs': '0g', 'Protein': '92g'}",https://www.allrecipes.com/recipe/245534/roast-spatchcock-turkey/
Simple Deep Fried Turkey,"Learn how to deep-fry turkey for Thanksgiving without all the fuss. This deep-fried turkey recipe is simple — no injecting, no marinades, no complicated rubs. If you like a more traditional tasting turkey, this is the one for you!",10 mins,35 mins,1 hr,12,"['3 ½ gallons peanut oil for frying', '1 (10 pound) whole turkey, neck and giblets removed', '1 tablespoon salt, or to taste', '1 tablespoon ground black pepper, or to taste']","['Heat oil in a large stockpot or turkey fryer to 350 degrees F (175 degrees C). Make sure the fryer is located outdoors in a safe area, preferably on dirt or pavement, and far away from buildings, wooden decks, or other objects. Keep a fire extinguisher handy, just in case.', 'Ensure that the turkey is completely thawed. Cut any extra skin away from the neck area and make sure neck hole is at least 1 inch in diameter.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pat the bird completely dry with paper towels, then rub liberally with salt and pepper on both the outside and the inside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place turkey into a drain basket, neck-side first. Working slowly and carefully, gently lower the basket into the hot oil to completely cover the turkey.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Maintain the temperature of the oil at 350 degrees F (175 degrees C), and cook turkey for 3 1/2 minutes per pound, about 35 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Carefully remove basket from oil, and drain turkey. Insert a meat thermometer into the thickest part of the thigh; the internal temperature must be 180 degrees F (80 degrees C). Allow to rest for 15 minutes before slicing.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '568', 'Fat': '27g', 'Carbs': '0g', 'Protein': '77g'}",https://www.allrecipes.com/recipe/215412/simple-deep-fried-turkey/
How to Cook a Turkey,"Learn how to cook a turkey with this simple recipe that's still the best. The biggest myth in American cookery is that a juicy, perfectly cooked turkey is difficult for the novice cook to achieve. Even if this is your first time, don't play scared; this will work! There is nothing to fear but the fear of dry turkey itself. Be sure to buy a meat thermometer before Thanksgiving; it will be the essential tool in the kitchen that day.",20 mins,3 hrs 5 mins,3 hrs 35 mins,24,"['1 medium onion, coarsely chopped', '1 stalk celery, coarsely chopped', '1 medium carrot, coarsely chopped', '1 (12 pound) whole turkey, neck and giblets reserved', '2 tablespoons kosher salt', '1 tablespoon ground black pepper', '1 teaspoon cayenne pepper', '3 tablespoons butter', '4 sprigs fresh rosemary', '½ bunch fresh sage, chopped']","['Preheat the oven to 325 degrees F (165 degrees C).', 'Place onion, celery, and carrot in a large, shallow roasting pan.', 'Place turkey, breast-side up, on top of vegetables in the roasting pan. Pat outside and inside of turkey dry with paper towels.', 'Combine salt, black pepper, and cayenne pepper in a small bowl. Season inside of turkey with about 1/3 of the salt mixture. Fold wing tips under bird.', 'Melt butter in a small saucepan over medium heat until edges turn golden, about 2 minutes. Add rosemary and sage; cook and stir until fragrant, about 1 minute.', 'Place rosemary and sage inside cavity of turkey; reserve melted butter. Tie turkey legs together with twine.', 'Brush melted butter over turkey. Season with the remaining salt mixture.', 'Bake turkey, uncovered, in the preheated oven until no longer pink at the bone and juices run clear, about 3 hours. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 180 degrees F (82 degrees C).', 'Remove turkey from the oven and allow to rest in a warm area for 10 to 15 minutes before slicing.\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '355', 'Fat': '17g', 'Carbs': '2g', 'Protein': '46g'}",https://www.allrecipes.com/recipe/222332/how-to-cook-a-turkey/
