title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Mushroom-Steak Diane,"The traditionally meat-centric dish gets a vegan makeover courtesy of king trumpet mushrooms. Miso, soy sauce, and coconut milk add cooked-all-day depth of flavor in minutes.",15 mins,10 mins,25 mins,2,"['1/2 cup low-sodium vegetable broth', '2 tablespoons reduced sodium soy sauce', '2 teaspoons Chinese mustard or Dijon mustard', '2 teaspoons white miso paste', '1 pinch crushed red pepper', '3 large king trumpet mushrooms (about 1 pound)', '2 tablespoons vegetable oil', '1 teaspoon vegetable oil', '1 shallot, minced', '1/4 cup sake', '1/2 cup unsweetened coconut milk', 'cooked black lentils, for serving', '2 teaspoons sliced chives or green onions']","['Stir together broth, soy sauce, mustard, miso paste, and red pepper in a small bowl.', 'Cut mushrooms in half lengthwise. Score the inside of each mushroom half with shallow diagonal cuts (do not cut all the way through).', 'Heat 2 tablespoons oil in a large cast-iron or nonstick skillet over high heat, swirling to coat bottom. Cook mushrooms, cut sides down, until bottoms are golden brown, 3 to 5 minutes (do not stir). Reduce heat to medium. Pour half of broth mixture (about 1/3 cup) into skillet. Cook, covered, until liquid is mostly absorbed and mushrooms are fork-tender, about 5 minutes. (Add water as needed, 2 tablespoons at a time, if liquid evaporates and mushrooms are not yet tender.) Transfer mushrooms to a bowl.', 'Add remaining 1 teaspoon oil and the shallot to skillet. Cook, stirring constantly, over medium heat 30 seconds. Add sake; bring to a boil over high heat. Cook, stirring frequently, until slightly reduced, about 1 minute. Add coconut milk, remaining broth mixture, and any accumulated juices from mushrooms. Cook over high heat just until sauce starts to thicken, about 2 minutes.', 'Return mushrooms to skillet. Reduce heat to low. Gently simmer until mushrooms are heated through, adding water as needed, 1 tablespoon at a time, until sauce reaches desired consistency, about 2 minutes.', 'Serve mushrooms over lentils and top with sauce and chives.']","{'Calories': '422', 'Fat': '19g', 'Carbs': '44g', 'Protein': '17g'}",https://www.allrecipes.com/mushroom-steak-diane-recipe-8722391
Caramelized Onion and Roasted Garlic Pasta,This caramelized onion and roasted garlic pasta is great for when summer starts winding down and comfort food begins to make its way back up onto the menu board. Short pasta in a creamy roasted garlic and caramelized onion sauce hits all the cozy notes of fall. It's a bit time and labor intensive but worth it.,30 mins,1 hr 45 mins,2 hrs 15 mins,4,"['2 heads garlic, separated into cloves and peeled', '6 tablespoons olive oil', '2 sprigs fresh thyme', '1 large white onion, thinly sliced', '2 tablespoons butter', '3 tablespoons olive oil', '1/4 cup water', '1 tablespoon balsamic vinegar', '1/2 teaspoon white sugar', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '8 ounces heavy cream', '4 cloves roasted garlic, or to taste', '1/4 cup chopped chopped parsley, divided', '1 cup grated Parmesan cheese, divided', '8 ounces gemelli or other short pasta']","['To roast garlic: Preheat the oven to 250 degrees F (120 degrees C). Place the garlic cloves in a shallow baking dish and cover with olive oil. Lay the sprigs of thyme on top of the oil.', 'Bake in the preheated oven until golden brown, about 1 hour. Garlic should easily mash with a fork. Remove garlic from oil and set aside. Reserve oil for another use.', 'To caramelize onions: Heat a roomy skillet over medium heat. Add butter and olive oil. Add onions to the pan and stir to coat. Stir frequently and move onions around, ensuring they cook evenly.', 'Once onions have started to color a bit (about 15 minutes or so), add in water, vinegar, sugar, salt, and pepper. Continue to stir regularly until onions are completely soft, a golden brown color, and reduced by at least half, about 15 minutes more. Turn down the heat to medium low.', 'Bring a large pot of lightly salted water to a boil. Add gemelli and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes.. Meanwhile, add cream, 4 to 5 cloves roasted garlic, 1 tablespoon parsley, and 1/2 cup Parmesan cheese\xa0 to onions; stir to combine. Reserve remaining roasted garlic for another use.', 'Drain pasta; divide among 4 plates. Spoon about a 1/4 cup of sauce on top; sprinkle with more Parmesan cheese, parsley, and black pepper.']","{'Calories': '765', 'Fat': '65g', 'Carbs': '34g', 'Protein': '14g'}",https://www.allrecipes.com/caramelized-onion-and-roasted-garlic-pasta-recipe-8724725
Million Dollar Potato Casserole,"This creamy, cheesy million dollar potato casserole is an excellent cold weather side dish.",15 mins,1 hr 45 mins,2 hrs,8,"['1 (10.5-ounce) can condensed cream of chicken soup', '1 cup heavy whipping cream', '1/2 cup 4% small curd cottage cheese', '4 ounces cream cheese, cubed and softened', '1/2 cup sour cream', '1 1/2 teaspoons kosher salt', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1 1/2 tablespoons fresh thyme leaves, plus more for garnish', '1/2 teaspoon freshly ground black pepper', '2 pounds Yukon Gold potatoes (about 6), scrubbed and sliced into 1/8-inch thick slices', '2 cups shredded Cheddar cheese, divided', '30 round buttery crackers, crushed (such as Ritz®)', '2 tablespoons unsalted butter, melted']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add cream of chicken soup, heavy whipping cream, cottage cheese, cream cheese, sour cream, salt, garlic powder, and onion powder to a large saucepan over medium. Cook, stirring often, until cream cheese mixture is melted, about 5 minutes. Remove from heat; stir in thyme and pepper. Add potatoes and toss to coat fully.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Spoon half of the potato mixture into a 9x13-inch baking dish. Using the back of a large spoon, gently press down and spread potatoes in an even layer; sprinkle with 1 cup of the cheese. Top with remaining potato mixture, gently pressing down and spreading potatoes in an even layer. Set aside.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir together crackers, butter, and remaining 1 cup cheese in a small bowl until evenly coated; sprinkle over potatoes. Transfer baking dish to a large-rimmed baking sheet. Cover baking dish with aluminum foil.\xa0\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in preheated oven, until the sauce thickens and potatoes are tender, about 1 hour 40 minutes, removing aluminum foil after 1 hour 10 minutes.\xa0\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Let stand 15 minutes before serving; garnish with thyme.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '554', 'Fat': '38g', 'Carbs': '40g', 'Protein': '15g'}",https://www.allrecipes.com/million-dollar-potato-casserole-recipe-8710394
Ratatouille Bake,"This ratatouille bake recipe was given to me by my aunt, who lives in Atlanta, Georgia. It tastes wonderful with your garden vegetables.",15 mins,45 mins,1 hr,6,"['1 tablespoon olive oil', '2 cups peeled and diced eggplant', '1  onion, chopped', '5 cloves garlic, minced', '2 cups chopped zucchini', '1 (14.5 ounce) can diced tomatoes', '1  green bell pepper, chopped', '1 tablespoon dried basil', '1 tablespoon dried parsley', '½ teaspoon salt', '⅛ teaspoon ground black pepper', '1 (8 ounce) package frozen cheese ravioli', '¾ cup shredded mozzarella cheese']","['Preheat the oven to 350 degrees F (175 degrees C). Coat a 2 1/2-quart baking dish with cooking spray.', 'Heat olive oil in a large skillet over medium heat. Add eggplant, onion, and garlic; cook and stir until vegetables begin to soften, about 8 minutes. Stir in zucchini, tomatoes, bell pepper, basil, parsley, salt, and black pepper; bring to a boil, stirring frequently. Reduce heat to medium-low; simmer until vegetables are tender, about 20 minutes.', 'Fill a large pot with lightly salted water and bring to a rolling boil; stir in ravioli and cook as directed on package. Drain. Transfer ravioli to bottom of the prepared baking dish; spoon hot vegetable mixture over top. Sprinkle with mozzarella cheese.', 'Bake in the preheated oven until bubbling and cheese is melted, about 20 minutes.\n\n \n\n\n\n\n\n \n France C']","{'Calories': '188', 'Fat': '8g', 'Carbs': '22g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/200877/ratatouille-bake/
Broccoli Fritters,"These crispy little broccoli fritters are packed with tender broccoli and cheese. They're quick and easy to make in a food processor, and kids love them! A great way to sneak in extra vegetables!",10 mins,10 mins,20 mins,4,"['10 ounces chopped broccoli', '⅔ cup flour', '2 large eggs', '2 ounces shredded sharp Cheddar cheese', '1 teaspoon Mexican seasoning mix (such as Goya® Sazonador Total)', 'salt and freshly ground black pepper to taste', '2 tablespoons vegetable oil', '2 tablespoons sour cream, or to taste', ""casero pollo asado seasoning (such as \xa0(Lawry's®), to taste""]","['Place chopped broccoli in a microwave-safe bowl. Pour 3 tablespoons water over the top and cover with a plate. Microwave on high for 2 minutes.', 'Add softened broccoli, flour, and egg to a food processor. Pulse until well combined. Transfer mixture to a bowl. Mix in cheese, Mexican seasoning, salt, and pepper until well incorporated.', 'Heat oil in a non-stick skillet over medium-high.', 'Use a scoop to portion out about 2 tablespoons of mixture. Drop broccoli mixture into hot oil and flatten out with a spatula. Cook broccoli fritters until golden brown, about 3 minutes per side.', 'Transfer cooked fritters onto a cooling rack set over a baking tray. Serve with sour cream and seasoning.']","{'Calories': '256', 'Fat': '14g', 'Carbs': '22g', 'Protein': '10g'}",https://www.allrecipes.com/broccoli-fritters-recipe-8646002
Chef John’s Tortilla de Patatas,"Chef John's tortilla de patatas is simple to make and only needs 4 ingredients plus seasonings. This technique delivers a tender, moist version of the Spanish classic. Serve the tortilla the traditional way, with a garlic aioli, and at any temperature you like—hot, warm, or cool.",15 mins,30 mins,50 mins,6,"['2 pounds Yukon gold potatoes or russet potatoes, peeled', '1 yellow onion, peeled\xa0and halved', '5 large eggs', '1 1/2 teaspoons kosher salt, divided', '1/4 teaspoon freshly ground black pepper', '1 pinch cayenne pepper', '1/2 cup olive oil, divided']","['Slice potatoes and onions with a very sharp knife or mandoline into 1/8-inch thick slices.', 'Combine eggs, 1/2 teaspoon salt, black pepper, and cayenne in a large bowl and whisk very thoroughly; set aside.', 'Add 1/3 cup olive oil to a large nonstick pan and set heat to medium-high. Add potatoes, onions, and remaining salt. Cook, tossing and stirring occasionally, until potatoes are tender, and some onions and potatoes are lightly browned, about 20 minutes. Between stirrings, cover potatoes to reduce cooking time and keep in moisture. For less browning, reduce heat to medium.', 'Stir potato mixture into egg mixture with a spatula. Cover and let stand for 5 to 10 minutes.', 'Add remaining olive oil to an 8- or 9-inch nonstick pan, and set the pan over medium-high heat. Pour in egg and potato mixture, and smooth the top. Cook, covered, for about 4 minutes or until the bottom is browned and the edges of tortilla begin to firm up.', 'Slide tortilla out onto a plate, cover with another plate, and flip the plates over to invert. Slide tortilla back into the pan, and place back over medium-high heat.', 'Cook, uncovered, until the tortilla is fully set, about 2 minutes more. Tortilla will spring back lightly when pressed in the middle with a finger if eggs are fully cooked. If it feels soft or mushy when pressed, cook for a few minutes more, unless you prefer the tortilla less than fully set.', 'Slip tortilla onto a serving plate, and serve hot, warm, or room temperature.\n\n \n\n\n\n\n\n \n John Mitzewich']","{'Calories': '361', 'Fat': '22g', 'Carbs': '33g', 'Protein': '9g'}",https://www.allrecipes.com/chef-john-s-tortilla-de-patatas-recipe-8640102
Pesto Spaghetti Squash,"When making this spaghetti squash dish for the first time, I wanted to use items I would normally incorporate with pasta, such as pesto and mushrooms. It's tastes wonderful and I think most people would enjoy; I know I did! Serve with garlic bread.",25 mins,1 hr 5 mins,1 hr 40 mins,6,"['1  spaghetti squash, halved lengthwise and seeded', '3 tablespoons butter, divided', '1  onion, sliced', '1 cup kale, stems removed and leaves chopped', '4  white mushrooms, sliced', '1 teaspoon garlic salt', '1 teaspoon Italian seasoning', '1 teaspoon red pepper flakes', '1 teaspoon olive oil', '2 tablespoons prepared pesto', '¼ cup grated Parmesan cheese']","['Preheat the oven to 400 degrees F (200 degrees C). Grease a baking sheet.', 'Place squash skin-side down on prepared baking sheet. Bake until cooked through, about 1 hour. Remove from oven; cool for 10 minutes. Once squash is cool enough to handle, scrape flesh into string-like strands with a fork. Place in a bowl and set aside.', 'Melt 1 tablespoon of butter in a large skillet over medium-high heat. Add onion; cook and stir until onion begins to turn translucent. Stir in kale and mushrooms; reduce heat to medium low.', 'Stir in squash, remaining 2 tablespoons butter, garlic salt, Italian seasoning, and red pepper flakes; cook for 2 minutes. Remove from stove and place squash mixture in a large bowl.', 'Stir olive oil and pesto into the squash mixture. Slowly add grated Parmesan cheese, stirring until evenly mixed.']","{'Calories': '161', 'Fat': '11g', 'Carbs': '14g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/231457/pesto-spaghetti-squash/
Spaghetti Aglio e Olio,"No two aglio e olio recipes are alike, but this one is pretty true to the classic method. The key is slowly toasting the garlic slices to a perfect golden brown in the olive oil. If it's too light, you don't get the full flavor and if it's too dark it gets bitter. My advice? Do it perfectly.",10 mins,15 mins,25 mins,4,"['1 pound uncooked spaghetti', '½ cup olive oil', '6 cloves garlic, thinly sliced', '¼ teaspoon red pepper flakes, or to taste', 'salt and freshly ground black pepper to taste', '¼ cup chopped fresh Italian parsley', '1 cup finely grated Parmigiano-Reggiano cheese']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, about 10 to 12 minutes. Drain and transfer to a pasta bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While the pasta is cooking, combine olive oil and garlic in a cold skillet.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cook over medium heat to slowly toast garlic, about 10 minutes. Reduce heat to medium-low when olive oil begins to bubble. Cook and stir until garlic is golden brown, about another 5 minutes. Remove from heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir red pepper flakes, salt, and black pepper into pasta.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour in hot olive oil and garlic, and sprinkle on Italian parsley and half of the Parmigiano-Reggiano cheese; toss until combined.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve pasta topped with the remaining Parmigiano-Reggiano cheese.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '755', 'Fat': '35g', 'Carbs': '87g', 'Protein': '23g'}",https://www.allrecipes.com/recipe/222000/spaghetti-aglio-e-olio/
Spanakopita (Greek Spinach Pie),"This is an authentic Greek spanakopita recipe featuring layers of crispy, flaky phyllo dough and a rich spinach and feta cheese filling. Serve this delicious savory pie warm for an impressive but easy to make vegetarian main dish.",30 mins,40 mins,1 hr 10 mins,6,"['3 tablespoons olive oil', '1 large onion, chopped', '1 bunch green onions, chopped', '2 cloves garlic, minced', '2 pounds spinach, rinsed and chopped', '½ cup chopped fresh parsley', '1 cup crumbled feta cheese', '½ cup ricotta cheese', '2 large eggs, lightly beaten', '8 sheets phyllo dough', '¼ cup olive oil, or as needed']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly oil a 9-inch square baking pan.\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans', 'Heat 3 tablespoons olive oil in a large skillet over medium heat. Sauté chopped onion, green onions, and garlic in the hot oil until soft and lightly browned, about 5 minutes.\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans', ""Stir in spinach and parsley, adding spinach in batches if it doesn't all fit in the pan at once, and continue to saute until spinach is limp and excess liquid has evaporated, about 5 minutes. Remove from the heat and set aside to cool.\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans\n\n Recipe Tip\nTo prevent a soggy spanakopita, allow the spinach mixture to cool and then squeeze out as much liquid as possible before moving on to the next step. You can place the spinach in a fine sieve or clean cloth and press or squeeze out excess liquid, working over the sink."", ""Mix feta cheese, ricotta cheese, and eggs in a large bowl until well combined. Stir in spinach mixture. Lay one sheet of phyllo dough in the prepared baking pan, and brush lightly with olive oil. Lay another sheet of phyllo dough on top and brush with olive oil. Repeat the process with two more sheets of phyllo dough; the sheets will overlap the pan.\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans\n\n Expert Tip\nOur Editorial Director Diana Moutsopoulos likes to sprinkle 1 to 2 tablespoons of semolina flour over the last layer of phyllo before adding the filling. The semolina helps to absorb excess moisture, preventing sogginess and keeping the phyllo cripsy. If you don't have semolina you can use Cream of Wheat."", 'Spread spinach and cheese mixture into the pan. Fold any overhanging dough over the filling. Brush with oil.\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans', 'Layer the remaining 4 sheets of phyllo dough, brushing each with oil. Tuck overhanging dough into the pan to seal the filling.\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans', 'Bake in the preheated oven until golden brown, 30 to 40 minutes.\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans', 'Cut into squares and serve while hot.\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans', 'Enjoy!\n\n \n\n\n\n\n\n \n Brie Goldman / Food Stylist: Annie Probst / Prop Stylist: Addelyn Evans']","{'Calories': '494', 'Fat': '35g', 'Carbs': '32g', 'Protein': '18g'}",https://www.allrecipes.com/recipe/18417/spanakopita-greek-spinach-pie/
Grandma's Hash Brown Casserole,This hashbrown casserole is absolutely the best hash brown dish I've ever had. It's my friend's grandma's recipe. Kentucky grandmas sure know how to cook!,10 mins,1 hr,1 hr 10 mins,12,"['1 (2 pound) package frozen hash brown potatoes, thawed', '1 (10.5 ounce) can condensed cream of chicken soup', '2 cups shredded Cheddar cheese', '1 (8 ounce) container sour cream', '1 cup butter, melted, divided', '½ cup chopped onion', '½ teaspoon salt', '½ teaspoon ground black pepper', '1 cup crushed cornflakes']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Mix hash browns, Cheddar cheese, condensed soup, sour cream, ½ of the melted butter, onion, salt, and pepper in a bowl. Transfer mixture to a 9x13-inch baking dish.\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Sprinkle cornflakes on top, then drizzle with remaining melted butter.\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Bake in the preheated oven until sauce is bubbly and top is golden brown, 1 to 1 ½ hours.\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n ALLRECIPES / DIANA CHISTRUGA']","{'Calories': '338', 'Fat': '32g', 'Carbs': '17g', 'Protein': '8g'}",https://www.allrecipes.com/recipe/276505/grandmas-hash-brown-casserole/
