title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
White Bean and Tomato Pasta,"For this white bean and tomato pasta, cannellini beans are pureed with garlic, lemon juice, and olive oil to make a smooth sauce. Lightly cooked tomatoes, red pepper flakes, Parmesan cheese and penne pasta complete the dish.",15 mins,15 mins,30 mins,4,"['1 (8 ounce) package penne pasta', '1 (15 ounce) can cannellini beans, drained and rinsed', '2 garlic cloves, chopped', '1 lemon, juiced', '1 tablespoon olive oil', '2 cups cherry tomatoes', '1/4 teaspoon red pepper flakes', '1/4 cup shredded Parmesan cheese', 'salt and freshly ground black pepper to taste']","['Bring a large pot of water to a rolling boil over high heat. Cook pasta in boiling water until cooked through but still firm to bite, about 10 minutes. Drain and set aside.', 'Meanwhile, puree cannellini beans, garlic, lemon juice, and 1 tablespoon olive oil in a food processor until smooth. Set aside.', 'Add 2 tablespoons olive oil, red pepper flakes, and cherry tomatoes to a skillet. Cook over medium heat until tomatoes are warmed, about 2 minutes. Remove from heat.', 'Stir pureed bean sauce into the skillet; stir in Parmesan cheese and pasta. Season with salt and pepper, and serve warm.']","{'Calories': '312', 'Fat': '6g', 'Carbs': '50g', 'Protein': '16g'}",https://www.allrecipes.com/white-bean-and-tomato-pasta-recipe-11703008
Marry Me Chickpeas,"These marry me chickpeas combine convenient canned chickpeas with a rich sun-dried tomato and coconut sauce, for a delicious vegetarian dinner. Serve over rice.",10 mins,15 mins,25 mins,4,"['1 tablespoon grapeseed oil or olive oil, or more as needed', '2 cloves garlic, chopped', '1 shallot, chopped', '1 teaspoon smoked paprika, or\xa0more to taste', '1 teaspoon dried oregano', '1/4 teaspoon salt', '1/4 teaspoon red pepper flakes', '2 tablespoons tomato paste', '1/3 cup chopped sun-dried tomatoes in oil', '2 (15 ounce) cans chickpeas', '2 tablespoons lemon juice', '1 cup vegetable broth', '1 cup coconut milk']","['Heat oil in a cast iron skillet over medium heat. Add shallots and garlic. Cook until fragrant, 1 to 2 minutes.', 'Add paprika, oregano, salt,\xa0 and pepper flakes, and cook and stir to toast spices, about 1 minute. Add tomato paste, sundried tomatoes, and chickpeas, and stir well to fully coat chickpeas.', 'Add vegetable broth and lemon juice, cover, and simmer for 10 minutes. Add a little more broth if mixture seems too thick. Add coconut milk, stir well, and remove from heat.']","{'Calories': '541', 'Fat': '22g', 'Carbs': '69g', 'Protein': '22g'}",https://www.allrecipes.com/marry-me-chickpeas-recipe-11688105
Creamy Tuscan White Bean Skillet,"This creamy Tuscan white bean skillet is a flavorful dish featuring tender beans, artichoke hearts, and bright sun-dried tomatoes coated in a creamy sauce with Parmesan cheese. A vegetarian-friendly main dish or side, it has the feel of comfort food, elevated beyond simple beans.",10 mins,15 mins,25 mins,4,"['1 tablespoon olive oil', '1/2 cup chopped onion', '2 cloves garlic, minced', '2 (15 ounce) cans cannellini beans, rinsed and drained', '1 (14.5 ounce) can artichoke hearts, drained', '1/2 cup oil-packed sun-dried tomatoes, chopped', '1 tablespoon chopped fresh oregano, or 1 teaspoon dried oregano, plus more for garnish (optional)', '1/2 teaspoon crushed red pepper', '1/2 teaspoon freshly ground black pepper', '1/4 teaspoon salt', '1/2 cup vegetable broth', '1/2 cup heavy cream', '4 cups torn kale or spinach', '1/3 cup grated Parmesan cheese']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat oil in a very large skillet over medium heat. Add onion; cook until softened, about 4 minutes.\xa0Add garlic and cook 30 seconds more.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add beans, artichoke hearts, sun-dried tomatoes, oregano, crushed red pepper, black pepper, and salt to the skillet; stir to combine.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Pour in broth and cream; bring to a simmer and cook until lightly thickened, stirring occasionally, 5 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add kale and reduce heat to low. Cook until kale begins to soften, stirring often, 2 to 3 minutes longer. Remove from the heat.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sprinkle the cheese over the beans and stir; garnish with additional chopped fresh oregano.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '603', 'Fat': '20g', 'Carbs': '81g', 'Protein': '34g'}",https://www.allrecipes.com/creamy-tuscan-white-bean-skillet-recipe-8769362
Easy Zucchini Mushroom Skillet,"Try this easy zucchini mushroom skillet, full of colorful and tasty vegetables, and far from the same old side dish. Yellow bell pepper is beautiful with the zucchini in the dish, but red or orange bell peppers will do just as nicely. The mushrooms, garlic, and Italian seasoning add lots of flavor. Chops or chicken work well with this side, and with all the vegetables, either a simple green salad or a Caesar salad will be delicious.",15 mins,10 mins,25 mins,4,"['1 tablespoon olive oil', '1 tablespoon unsalted butter', '1 cup sliced red onion', '1 1/2 cups sliced mushrooms', '1/2 yellow bell pepper, cut into strips', 'salt and freshly ground black pepper to taste', '2 large zucchini, halved lengthwise and sliced into half-moon shapes', '1 tablespoon minced garlic', '1 teaspoon Italian herb seasoning', '1/4 cup grated Parmesan cheese', 'fresh parsley sprigs, for garnish (optional)']","['In a large skillet, heat olive oil and butter over medium-high heat, until butter is melted and bubbling.', 'Add onions, mushrooms, and bell peppers; season lightly with salt and pepper. Cook, stirring often, about 2 minutes.', 'Add zucchini, garlic, and Italian seasoning, and stir to combine. Cook about 4 minutes, stirring often. Continue to cook and stir until vegetables are as tender as you like, a total of 5 to 8 minutes.', 'Remove from heat and sprinkle with grated Parmesan cheese. Garnish with fresh parsley sprigs. Serve warm.']","{'Calories': '163', 'Fat': '9g', 'Carbs': '18g', 'Protein': '6g'}",https://www.allrecipes.com/easy-zucchini-mushroom-skillet-recipe-8753947
Ramen Vegetable Stir Fry,This ramen vegetable stir fry combines fresh veggies and ramen in a simple lime-chili sauce. Add in extra veggies or even tofu to make this a more hearty meal.,15 mins,10 mins,25 mins,4,"['1/2 cup low-sodium soy sauce', '2 tablespoons lime juice', '2 tablespoons sweet Thai chili sauce', '1 tablespoon maple syrup', '1/4 teaspoon ground ginger', '1/8 teaspoon red pepper flakes', '6 ounces ramen noodles (2 packages), flavor packets disgarded', '2 tablespoons sesame oil', '2 cloves garlic, minced', '1/2 cup chopped onion', '1/2 cup chopped red pepper', '2 1/2 cups broccoli florets', '4 ounces sugar snap peas']","['Combine soy sauce, lime juice, Thai chili sauce, maple syrup, ginger, and red pepper flakes in a small bowl. Stir until smooth; set aside.', 'Bring 4 cups of water to a boil in a pot. Discard flavor packet. Add ramen noodles to boiling water; cook until noodles are tender, 4 to 5 minutes. Drain noodles and set aside.', 'Heat sesame oil in a skillet over medium-high heat. Add garlic, onions, red peppers, broccoli, and sugar snap peas, and cook and stir until softened, about 5 minutes. Reduce heat to low; stir in sauce, and cook until thickened, about 3 minutes. Add in ramen noodles and serve warm.']","{'Calories': '196', 'Fat': '9g', 'Carbs': '25g', 'Protein': '8g'}",https://www.allrecipes.com/ramen-vegetable-stir-fry-recipe-8735776
Mushroom-Steak Diane,"The traditionally meat-centric dish gets a vegan makeover courtesy of king trumpet mushrooms. Miso, soy sauce, and coconut milk add cooked-all-day depth of flavor in minutes.",15 mins,10 mins,25 mins,2,"['1/2 cup low-sodium vegetable broth', '2 tablespoons reduced sodium soy sauce', '2 teaspoons Chinese mustard or Dijon mustard', '2 teaspoons white miso paste', '1 pinch crushed red pepper', '3 large king trumpet mushrooms (about 1 pound)', '2 tablespoons vegetable oil', '1 teaspoon vegetable oil', '1 shallot, minced', '1/4 cup sake', '1/2 cup unsweetened coconut milk', 'cooked black lentils, for serving', '2 teaspoons sliced chives or green onions']","['Stir together broth, soy sauce, mustard, miso paste, and red pepper in a small bowl.', 'Cut mushrooms in half lengthwise. Score the inside of each mushroom half with shallow diagonal cuts (do not cut all the way through).', 'Heat 2 tablespoons oil in a large cast-iron or nonstick skillet over high heat, swirling to coat bottom. Cook mushrooms, cut sides down, until bottoms are golden brown, 3 to 5 minutes (do not stir). Reduce heat to medium. Pour half of broth mixture (about 1/3 cup) into skillet. Cook, covered, until liquid is mostly absorbed and mushrooms are fork-tender, about 5 minutes. (Add water as needed, 2 tablespoons at a time, if liquid evaporates and mushrooms are not yet tender.) Transfer mushrooms to a bowl.', 'Add remaining 1 teaspoon oil and the shallot to skillet. Cook, stirring constantly, over medium heat 30 seconds. Add sake; bring to a boil over high heat. Cook, stirring frequently, until slightly reduced, about 1 minute. Add coconut milk, remaining broth mixture, and any accumulated juices from mushrooms. Cook over high heat just until sauce starts to thicken, about 2 minutes.', 'Return mushrooms to skillet. Reduce heat to low. Gently simmer until mushrooms are heated through, adding water as needed, 1 tablespoon at a time, until sauce reaches desired consistency, about 2 minutes.', 'Serve mushrooms over lentils and top with sauce and chives.']","{'Calories': '422', 'Fat': '19g', 'Carbs': '44g', 'Protein': '17g'}",https://www.allrecipes.com/mushroom-steak-diane-recipe-8722391
Caramelized Onion and Roasted Garlic Pasta,This caramelized onion and roasted garlic pasta is great for when summer starts winding down and comfort food begins to make its way back up onto the menu board. Short pasta in a creamy roasted garlic and caramelized onion sauce hits all the cozy notes of fall. It's a bit time and labor intensive but worth it.,30 mins,1 hr 45 mins,2 hrs 15 mins,4,"['2 heads garlic, separated into cloves and peeled', '6 tablespoons olive oil', '2 sprigs fresh thyme', '1 large white onion, thinly sliced', '2 tablespoons butter', '3 tablespoons olive oil', '1/4 cup water', '1 tablespoon balsamic vinegar', '1/2 teaspoon white sugar', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '8 ounces heavy cream', '4 cloves roasted garlic, or to taste', '1/4 cup chopped chopped parsley, divided', '1 cup grated Parmesan cheese, divided', '8 ounces gemelli or other short pasta']","['To roast garlic: Preheat the oven to 250 degrees F (120 degrees C). Place the garlic cloves in a shallow baking dish and cover with olive oil. Lay the sprigs of thyme on top of the oil.', 'Bake in the preheated oven until golden brown, about 1 hour. Garlic should easily mash with a fork. Remove garlic from oil and set aside. Reserve oil for another use.', 'To caramelize onions: Heat a roomy skillet over medium heat. Add butter and olive oil. Add onions to the pan and stir to coat. Stir frequently and move onions around, ensuring they cook evenly.', 'Once onions have started to color a bit (about 15 minutes or so), add in water, vinegar, sugar, salt, and pepper. Continue to stir regularly until onions are completely soft, a golden brown color, and reduced by at least half, about 15 minutes more. Turn down the heat to medium low.', 'Bring a large pot of lightly salted water to a boil. Add gemelli and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes.. Meanwhile, add cream, 4 to 5 cloves roasted garlic, 1 tablespoon parsley, and 1/2 cup Parmesan cheese\xa0 to onions; stir to combine. Reserve remaining roasted garlic for another use.', 'Drain pasta; divide among 4 plates. Spoon about a 1/4 cup of sauce on top; sprinkle with more Parmesan cheese, parsley, and black pepper.']","{'Calories': '765', 'Fat': '65g', 'Carbs': '34g', 'Protein': '14g'}",https://www.allrecipes.com/caramelized-onion-and-roasted-garlic-pasta-recipe-8724725
Creamy Caramelized Onion Pasta,"This creamy caramelized onion pasta is worthy crying over onions for, plus, this is the fastest way to caramelize onions.",10 mins,30 mins,40 mins,4,"['8 ounces your favorite pasta', '2 onions, sliced vertically', '2 tablespoons butter', '3 tablespoons oil', '1 teaspoon white sugar', 'salt and freshly ground black pepper to taste', '1 tablespoon sherry vinegar', '1/4 cup water', '1/2 cup milk', '1 garlic clove, sliced', '3 sprigs thyme, leaves only', '1/4 cup grated Parmesan cheese, or to taste']","['Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook pasta uncovered, stirring occasionally, until tender yet firm to the bite, about 10 minutes, or according to package directions.', 'Meanwhile, add butter and oil to a deep skillet over high heat. Add onions, and cook and stir until they take on a little color. Add sugar, salt, pepper, vinegar, and water, and continue to cook on high heat, stirring constantly, until onions are very tender and dark brown, about 15 minutes.', 'Turn heat down to low;\xa0 add milk, garlic, thyme, and grated Parmesan. Blend the sauce until smooth with an immersion blender.', 'Drain pasta, reserving a small amount of water to thin sauce if needed. Stir pasta into sauce.\n\n \n\n\n\n\n\n \n lutzflcat']","{'Calories': '299', 'Fat': '19g', 'Carbs': '26g', 'Protein': '7g'}",https://www.allrecipes.com/creamy-caramelized-onion-pasta-recipe-8710600
These Viral Butter Beans alla Vodka Are the Easiest Weeknight Dinner,It's the perfect comfort food dish for fall.,10 mins,35 mins,45 mins,4,"['3 tablespoons unsalted butter', '1/2 large sweet onion, peeled and chopped', '3 cloves garlic, peeled and very thinly sliced', '1 teaspoons kosher salt, divided (more or less if desired)', '1 (6-ounce) can tomato paste', '1 (28-ounce) can crushed tomatoes with basil', '1 1/2 cups heavy whipping cream', '1/4 cup plus 1 tablespoon vodka', '1/4 cup\xa0freshly\xa0grated Parmesan cheese, plus more for serving', '2 (15-ounce) cans butter beans, drained and rinsed', 'balsamic vinegar\xa0for serving', 'chili flakes for serving', 'chopped fresh parsley for serving']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Allrecipes/Diana Chistruga', 'Melt butter in a 4-quart saucepan or Dutch oven over medium heat. Add onion and season with ½ teaspoon salt. Cook until onions are soft, about 7 minutes. Add garlic and continue cooking until onions are translucent but not browned, 2 to 3 minutes.\n\n \n\n\n\n\n\n \n Allrecipes/Diana Chistruga', 'Add tomato paste and stir until thickened, 3 to 4 minutes. Add crushed tomatoes. Stir to combine. Cook until the sauce thickens, stirring often, about 10 minutes.\n\n \n\n\n\n\n\n \n Allrecipes/Diana Chistruga', 'Add heavy cream. For slightly chunky sauce, stir to combine. For smooth sauce, puree using an immersion blender.\n\n \n\n\n\n\n\n \n Allrecipes/Diana Chistruga', 'Stir in Parmesan cheese. Once combined, reduce to medium-low heat. Add vodka and bring sauce to low simmer and cook for 15 minutes, stirring frequently.\n\n \n\n\n\n\n\n \n Allrecipes/Diana Chistruga', 'Transfer half of the sauce to an airtight container. Refrigerate or freeze for future use.\n\n \n\n\n\n\n\n \n Allrecipes/Diana Chistruga', 'Add beans to remaining sauce and gently stir to combine. Allow to sit at a simmer for 2-3 minutes.\n\n \n\n\n\n\n\n \n Allrecipes/Diana Chistruga', 'Serve drizzled with olive oil and balsamic vinegar and topped with freshly grated parmesan cheese and a sprinkle of chili flakes and chopped parsley.\n\n \n\n\n\n\n\n \n Allrecipes/Diana Chistruga']","{'Calories': '830', 'Fat': '44g', 'Carbs': '79g', 'Protein': '27g'}",https://www.allrecipes.com/butter-beans-alla-vodka-recipe-8660103
Summer Nights Eggplants,"I named this recipe after the beautiful summer nights I spent with my family on the balcony eating this tasty recipe, because at this season in Greece we have plenty of eggplants and cook them in various ways.",20 mins,30 mins,50 mins,4,"['2  large eggplants', '½ cup olive oil for frying', '2 medium onions, chopped', '2 cloves garlic, minced', '2 small tomatoes, chopped', '1  green bell pepper, seeded and chopped', '1 tablespoon chopped fresh parsley', 'salt and pepper to taste', '4 cups dry bread crumbs', '1 cup crumbled feta cheese']","[""Remove the leaves from the eggplants, and slice in half lengthwise. Carefully scoop out the centers of the eggplants, leaving a half-inch shell so they resemble 'canoes'. Cut the center portion into small pieces, and set aside."", 'Preheat the oven to 350 degrees F (175 degrees C).', 'Heat the oil in a large skillet over medium heat. Add the onions and garlic, and saute for a few minutes, until tender. Add the eggplant pieces, and cook until soft, about 5 minutes. Then, stir in the tomato, green pepper, and parsley. Simmer for about 10 minutes.', 'Remove from the heat, and transfer to a large bowl. Stir in the bread crumbs until evenly blended. Divide the mixture evenly between the four eggplant shells. Sprinkle feta cheese over the top. Place the eggplant halves on a baking sheet.', 'Bake for 15 to 20 minutes in the preheated oven, until the tops are browned and the cheese is melted. Serve hot or cold. I prefer them chilled.']","{'Calories': '645', 'Fat': '17g', 'Carbs': '101g', 'Protein': '23g'}",https://www.allrecipes.com/recipe/31818/summer-nights-eggplants/
